date,close,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012/10/25,21.493,21.493,21.493,21.493,208479
2012/10/26,23.479,23.479,23.479,23.479,105834
2012/10/31,25.738,25.738,25.738,25.738,100182
2012/11/01,28.266,28.266,28.266,28.266,69911
2012/11/02,28.266,28.266,28.266,28.266,164315
2012/11/05,28.266,28.266,28.266,28.266,74958
2012/11/06,28.447,28.447,28.447,28.447,47146
2012/11/07,29.8,29.8,29.8,29.8,23431
2012/11/08,27.363,27.363,27.363,27.363,3871
2012/11/09,27.905,27.905,27.905,27.905,9523
2012/11/12,26.911,26.911,26.911,26.911,12243
2012/11/13,27.091,27.091,27.091,27.091,22776
2012/11/14,28.266,28.266,28.266,28.266,10282
2012/11/15,28.717,28.717,28.717,28.717,19294
2012/11/16,28.447,28.447,28.447,28.447,6880
2012/11/19,27.363,27.363,27.363,27.363,2551
2012/11/20,27.363,27.363,27.363,27.363,6351
2012/11/21,26.911,26.911,26.911,26.911,5178
2012/11/23,27.363,27.363,27.363,27.363,18059
2012/11/26,27.815,27.815,27.815,27.815,6926
2012/11/27,28.266,28.266,28.266,28.266,17012
2012/11/28,28.447,28.447,28.447,28.447,20577
2012/11/29,29.168,29.168,29.168,29.168,21810
2012/11/30,29.259,29.259,29.259,29.259,11937
2012/12/03,29.351,29.351,29.351,29.351,5010
2012/12/04,30.524,30.524,30.524,30.524,16837
2012/12/05,32.782,32.782,32.782,32.782,11504
2012/12/06,31.608,31.608,31.608,31.608,5188
2012/12/07,32.871,32.871,32.871,32.871,19726
2012/12/10,33.865,33.865,33.865,33.865,22045
2012/12/11,34.138,34.138,34.138,34.138,16473
2012/12/12,33.865,33.865,33.865,33.865,3452
2012/12/13,32.961,32.961,32.961,32.961,5470
2012/12/14,32.961,32.961,32.961,32.961,16281
2012/12/17,32.511,32.511,32.511,32.511,22921
2012/12/18,33.142,33.142,33.142,33.142,6038
2012/12/19,33.685,33.685,33.685,33.685,10802
2012/12/20,34.138,34.138,34.138,34.138,19074
2012/12/21,35.401,35.401,35.401,35.401,13097
2012/12/24,35.039,35.039,35.039,35.039,9782
2012/12/26,34.769,34.769,34.769,34.769,3016
2012/12/27,34.497,34.497,34.497,34.497,5628
2012/12/28,34.316,34.316,34.316,34.316,5031
2012/12/31,34.769,34.769,34.769,34.769,9466
2013/01/02,34.587,34.587,34.587,34.587,5405
2013/01/03,33.865,33.865,33.865,33.865,21983
2013/01/04,34.138,34.138,34.138,34.138,7069
2013/01/07,34.497,34.497,34.497,34.497,7302
2013/01/08,34.769,34.769,34.769,34.769,8915
2013/01/09,34.769,34.769,34.769,34.769,9523
2013/01/10,34.316,34.316,34.316,34.316,11207
2013/01/11,33.865,33.865,33.865,33.865,13812
2013/01/14,33.413,33.413,33.413,33.413,13142
2013/01/15,33.413,33.413,33.413,33.413,22776
2013/01/16,32.871,32.871,32.871,32.871,8778
2013/01/17,32.782,32.782,32.782,32.782,3557
2013/01/18,32.782,32.782,32.782,32.782,10991
2013/01/22,33.685,33.685,33.685,33.685,19813
2013/01/23,34.587,34.587,34.587,34.587,8829
2013/01/24,34.587,34.587,34.587,34.587,9560
2013/01/25,33.413,33.413,33.413,33.413,16358
2013/01/28,33.865,33.865,33.865,33.865,5784
2013/01/29,34.227,34.227,34.227,34.227,20313
2013/01/30,34.316,34.316,34.316,34.316,9010
2013/01/31,34.587,34.587,34.587,34.587,7459
2013/02/01,34.227,34.227,34.227,34.227,2913
2013/02/04,34.587,34.587,34.587,34.587,8271
2013/02/05,34.769,34.769,34.769,34.769,5784
2013/02/06,35.221,35.221,35.221,35.221,5861
2013/02/07,36.123,36.123,36.123,36.123,15171
2013/02/08,35.49,35.49,35.49,35.49,17972
2013/02/11,35.49,35.49,35.49,35.49,6011
2013/02/12,35.49,35.49,35.49,35.49,2526
2013/02/13,35.49,35.49,35.49,35.49,6543
