<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT,D,20150615,000000,15.631,15.631,15.347,15.347,61389,0
1AT,D,20150616,000000,15.332,15.347,15.063,15.232,57164,0
1AT,D,20150617,000000,15.205,15.561,14.92,15.411,36813,0
1AT,D,20150618,000000,15.347,15.411,15.276,15.382,39086,0
1AT,D,20150619,000000,15.411,15.411,15.133,15.205,11703,0
1AT,D,20150622,000000,15.318,15.318,15.219,15.227,3761,0
1AT,D,20150623,000000,15.227,15.312,15.027,15.276,36104,0
1AT,D,20150624,000000,15.276,15.276,14.267,15.183,22367,0
1AT,D,20150625,000000,15.178,15.268,14.92,15.268,4504,0
1AT,D,20150626,000000,14.92,15.232,14.573,15.191,31357,0
1AT,D,20150629,000000,14.601,14.92,14.601,14.92,298,0
1AT,D,20150630,000000,14.849,14.849,14.566,14.849,11709,0
1AT,D,20150701,000000,14.92,15.169,14.92,15.169,2815,0
1AT,D,20150702,000000,15.155,15.169,15.155,15.169,35328,0
1AT,D,20150703,000000,15.178,15.304,15.169,15.169,14274,0
1AT,D,20150706,000000,15.261,15.312,15.261,15.312,15592,0
1AT,D,20150707,000000,15.312,15.774,15.312,15.312,22967,0
1AT,D,20150708,000000,15.631,15.631,15.312,15.631,6375,0
1AT,D,20150709,000000,15.631,15.667,15.623,15.623,562,0
1AT,D,20150710,000000,15.631,15.631,15.347,15.623,1396,0
1AT,D,20150713,000000,15.667,15.667,15.49,15.623,841,0
1AT,D,20150714,000000,15.525,15.623,15.276,15.623,3800,0
1AT,D,20150715,000000,15.623,15.623,15.083,15.623,16759,0
1AT,D,20150716,000000,15.623,15.667,15.347,15.631,14241,0
1AT,D,20150717,000000,15.667,15.667,15.616,15.623,3978,0
1AT,D,20150720,000000,15.623,15.631,15.561,15.561,14131,0
1AT,D,20150721,000000,15.561,15.623,15.553,15.623,8285,0
1AT,D,20150722,000000,15.631,15.631,15.49,15.49,436,0
1AT,D,20150723,000000,15.61,15.631,15.61,15.631,4098,0
1AT,D,20150724,000000,15.276,15.83,15.276,15.83,247,0
1AT,D,20150727,000000,15.71,15.71,15.631,15.631,405,0
1AT,D,20150728,000000,15.631,15.631,15.631,15.631,13,0
1AT,D,20150729,000000,15.616,15.616,15.616,15.616,13,0
1AT,D,20150730,000000,15.347,15.616,15.347,15.616,99,0
1AT,D,20150731,000000,15.61,15.61,15.61,15.61,13,0
1AT,D,20150803,000000,15.382,15.382,14.352,15.212,2620,0
1AT,D,20150804,000000,15.133,15.133,14.991,15.133,2563,0
1AT,D,20150805,000000,15.205,15.532,15.205,15.532,2323,0
1AT,D,20150806,000000,15.532,15.532,15.532,15.532,321,0
1AT,D,20150807,000000,15.418,15.525,15.418,15.475,226,0
1AT,D,20150810,000000,15.532,15.532,15.475,15.475,28,0
1AT,D,20150811,000000,15.418,15.532,15.418,15.49,740,0
1AT,D,20150812,000000,15.49,15.49,15.063,15.481,570,0
1AT,D,20150813,000000,15.481,15.481,15.276,15.276,148,0
1AT,D,20150814,000000,15.276,15.49,15.276,15.49,7485,0
1AT,D,20150817,000000,15.532,15.532,15.532,15.532,6,0
1AT,D,20150818,000000,15.51,15.51,14.395,15.461,5050,0
1AT,D,20150819,000000,14.735,15.454,14.735,15.44,759,0
1AT,D,20150820,000000,15.432,15.432,15.312,15.312,738,0
1AT,D,20150821,000000,15.432,15.432,15.432,15.432,141,0
1AT,D,20150824,000000,15.432,15.432,14.566,15.39,8364,0
1AT,D,20150825,000000,15.197,15.347,15.197,15.34,4224,0
1AT,D,20150827,000000,15.133,15.268,14.92,15.268,1045,0
1AT,D,20150828,000000,15.133,15.268,14.508,15.268,5888,0
