<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABS,D,20071119,000000,5.0372,5.4703,5.0372,5.1601,150122,0
ABS,D,20071120,000000,5.1648,5.2422,5.1056,5.2422,17429,0
ABS,D,20071121,000000,5.288,5.288,5.2014,5.2422,32327,0
ABS,D,20071122,000000,5.2422,5.2422,5.0145,5.0145,2249,0
ABS,D,20071123,000000,5.0601,5.288,5.0601,5.288,5279,0
ABS,D,20071126,000000,5.4703,5.4703,5.288,5.3791,14652,0
ABS,D,20071128,000000,5.4019,5.4703,5.4019,5.4703,2228,0
ABS,D,20071129,000000,5.5159,5.5159,5.5159,5.5159,23,0
ABS,D,20071203,000000,5.1648,5.4703,5.0647,5.4703,438,0
ABS,D,20071205,000000,5.8806,5.8806,5.8806,5.8806,4,0
ABS,D,20071206,000000,5.5159,5.5159,5.5159,5.5159,1557,0
ABS,D,20071207,000000,5.5614,5.5614,5.4248,5.4248,1259,0
ABS,D,20071210,000000,5.4703,5.5159,5.4703,5.5159,2476,0
ABS,D,20071211,000000,5.3198,5.5159,5.3198,5.5159,1250,0
ABS,D,20071212,000000,5.4657,5.6069,5.4248,5.6069,14053,0
ABS,D,20071213,000000,5.6298,5.6298,5.6298,5.6298,2,0
ABS,D,20071214,000000,5.6298,5.6298,5.6298,5.6298,23,0
ABS,D,20071217,000000,5.6982,5.6982,5.5614,5.6526,2550,0
ABS,D,20071219,000000,5.6982,5.6982,5.5614,5.6982,285,0
ABS,D,20071220,000000,5.4703,5.6982,5.4703,5.4703,659,0
ABS,D,20071221,000000,5.6753,5.6753,5.4703,5.6753,23035,0
ABS,D,20071227,000000,5.525,5.525,5.5159,5.5159,1099,0
ABS,D,20071228,000000,5.288,5.7895,5.288,5.6982,9869,0
ABS,D,20080102,000000,5.6982,5.6982,5.6982,5.6982,3422,0
ABS,D,20080103,000000,5.6982,5.6982,5.5204,5.5204,1121,0
