<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACG,D,20110811,000000,7.9036,9.77,7.9036,9.72,69639,0
ACG,D,20110812,000000,9.715,9.72,9.3532,9.72,13039,0
ACG,D,20110816,000000,9.4815,9.72,9.4815,9.72,2088,0
ACG,D,20110817,000000,9.4513,9.671,9.4513,9.671,3394,0
ACG,D,20110818,000000,9.4815,9.658,9.4513,9.658,4290,0
ACG,D,20110819,000000,9.456,9.624,9.456,9.624,6309,0
ACG,D,20110822,000000,9.525,9.525,9.525,9.525,3276,0
ACG,D,20110823,000000,9.525,9.525,9.5,9.519,5117,0
ACG,D,20110824,000000,9.5,9.578,9.5,9.578,15684,0
ACG,D,20110825,000000,9.525,9.617,9.525,9.578,1748,0
ACG,D,20110826,000000,9.51,9.599,9.51,9.599,1921,0
ACG,D,20110829,000000,9.627,10.013,9.593,10.013,11542,0
ACG,D,20110830,000000,9.72,10.013,9.72,10.013,2844,0
ACG,D,20110831,000000,9.794,10.355,9.794,10.355,5178,0
ACG,D,20110901,000000,9.648,10.599,9.648,10.599,4656,0
ACG,D,20110902,000000,10.599,10.599,10.599,10.599,63,0
ACG,D,20110905,000000,10.55,10.55,10.55,10.55,6,0
ACG,D,20110906,000000,9.866,10.599,9.77,10.599,8662,0
ACG,D,20110909,000000,10.258,10.55,9.97,10.55,1246,0
ACG,D,20110912,000000,10.258,10.594,9.896,10.594,2191,0
ACG,D,20110913,000000,10.258,10.526,9.97,10.526,1713,0
ACG,D,20110914,000000,9.97,10.526,9.97,10.526,921,0
ACG,D,20110915,000000,9.979,10.526,9.979,10.526,3029,0
ACG,D,20110919,000000,10.258,10.526,10.258,10.526,1221,0
ACG,D,20110920,000000,10.526,10.699,10.526,10.699,1506,0
ACG,D,20110921,000000,10.262,10.599,10.262,10.599,1190,0
ACG,D,20110922,000000,10.165,10.165,10.135,10.135,4075,0
ACG,D,20110923,000000,10.013,10.013,9.843,9.847,20492,0
ACG,D,20110926,000000,9.774,10.16,9.77,9.916,13939,0
ACG,D,20110927,000000,9.77,9.892,9.77,9.77,90869,0
ACG,D,20110928,000000,10.209,10.209,9.77,10.135,41975,0
ACG,D,20110929,000000,9.774,10.058,9.774,10.013,3526,0
