<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP,D,19980602,000000,10.602,10.602,10.602,10.602,577707,0
ACP,D,19980603,000000,11.648,11.648,11.648,11.648,221464,0
ACP,D,19980604,000000,12.694,12.694,12.694,12.694,655891,0
ACP,D,19980605,000000,12.847,12.847,12.847,12.847,252087,0
ACP,D,19980608,000000,12.794,12.794,12.794,12.794,141804,0
ACP,D,19980609,000000,12.271,12.271,12.271,12.271,97949,0
ACP,D,19980610,000000,11.279,11.279,11.279,11.279,195688,0
ACP,D,19980615,000000,10.602,10.602,10.602,10.602,323545,0
ACP,D,19980616,000000,10.97,10.97,10.97,10.97,267644,0
ACP,D,19980617,000000,12.011,12.011,12.011,12.011,164694,0
ACP,D,19980618,000000,12.218,12.218,12.218,12.218,142440,0
ACP,D,19980619,000000,12.116,12.116,12.116,12.116,194825,0
ACP,D,19980622,000000,12.432,12.432,12.432,12.432,278840,0
ACP,D,19980623,000000,12.794,12.794,12.794,12.794,267915,0
ACP,D,19980624,000000,12.794,12.794,12.794,12.794,95250,0
ACP,D,19980625,000000,12.794,12.794,12.794,12.794,108758,0
ACP,D,19980626,000000,13.21,13.21,13.21,13.21,395672,0
ACP,D,19980629,000000,13.473,13.473,13.473,13.473,180035,0
ACP,D,19980630,000000,13.579,13.579,13.579,13.579,161317,0
ACP,D,19980701,000000,14.257,14.257,14.257,14.257,209409,0
ACP,D,19980702,000000,14.518,14.518,14.518,14.518,177731,0
ACP,D,19980703,000000,14.886,14.886,14.886,14.886,186868,0
ACP,D,19980706,000000,15.405,15.405,15.405,15.405,213830,0
ACP,D,19980707,000000,15.826,15.826,15.826,15.826,413628,0
ACP,D,19980708,000000,15.665,15.665,15.665,15.665,128718,0
ACP,D,19980709,000000,14.886,14.886,14.886,14.886,287402,0
ACP,D,19980710,000000,14.886,14.886,14.886,14.886,124731,0
ACP,D,19980713,000000,15.927,15.927,15.927,15.927,51166,0
ACP,D,19980714,000000,17.128,17.128,17.128,17.128,254843,0
ACP,D,19980715,000000,17.128,17.128,17.128,17.128,153482,0
ACP,D,19980716,000000,16.971,16.971,16.971,16.971,98113,0
ACP,D,19980717,000000,17.389,17.389,17.389,17.389,170134,0
ACP,D,19980720,000000,16.971,18.173,16.971,18.018,150358,0
ACP,D,19980721,000000,18.173,18.173,17.65,17.757,219687,0
ACP,D,19980722,000000,17.389,17.389,16.971,17.128,185792,0
ACP,D,19980723,000000,17.235,18.173,17.235,17.912,170694,0
ACP,D,19980724,000000,17.495,18.018,17.495,17.757,159181,0
ACP,D,19980727,000000,17.65,17.65,16.711,16.871,143217,0
ACP,D,19980728,000000,16.971,16.971,16.45,16.611,204175,0
ACP,D,19980729,000000,16.189,16.611,15.826,16.611,225425,0
ACP,D,19980730,000000,16.711,17.128,16.45,16.611,110861,0
ACP,D,19980731,000000,17.128,17.128,16.711,16.871,119083,0
ACP,D,19980803,000000,16.45,16.711,16.347,16.611,371839,0
ACP,D,19980804,000000,16.711,17.495,16.711,17.495,133032,0
ACP,D,19980805,000000,16.971,17.495,16.971,17.235,194084,0
ACP,D,19980806,000000,17.757,18.173,17.389,17.495,188866,0
ACP,D,19980807,000000,18.018,18.803,17.757,18.803,239340,0
ACP,D,19980810,000000,18.279,18.803,18.279,18.54,174767,0
ACP,D,19980811,000000,17.912,17.912,16.611,16.871,288681,0
ACP,D,19980812,000000,17.757,17.912,17.128,17.495,265766,0
ACP,D,19980813,000000,16.711,16.711,16.087,16.45,310468,0
ACP,D,19980814,000000,16.971,17.495,16.971,17.389,117725,0
ACP,D,19980817,000000,16.45,16.711,16.347,16.611,113379,0
ACP,D,19980818,000000,17.235,17.495,17.235,17.235,139787,0
ACP,D,19980819,000000,17.912,17.912,17.235,17.757,197653,0
ACP,D,19980820,000000,17.65,17.757,17.495,17.65,275628,0
ACP,D,19980821,000000,16.611,16.871,16.45,16.871,197979,0
ACP,D,19980824,000000,17.235,17.235,16.871,16.871,102801,0
ACP,D,19980825,000000,17.495,17.65,17.389,17.389,175265,0
ACP,D,19980826,000000,16.871,16.871,16.45,16.45,89705,0
ACP,D,19980827,000000,15.826,15.826,14.625,14.625,136272,0
ACP,D,19980828,000000,14.257,15.042,13.734,14.625,183104,0
ACP,D,19980831,000000,14.886,14.886,14.625,14.778,235741,0
ACP,D,19980901,000000,13.579,14.363,13.579,14.102,154420,0
ACP,D,19980902,000000,14.886,15.564,14.886,15.302,229331,0
ACP,D,19980903,000000,14.625,14.625,13.994,13.994,109038,0
ACP,D,19980904,000000,14.625,15.147,14.625,15.042,236493,0
ACP,D,19980907,000000,15.826,16.087,15.302,15.564,196947,0
ACP,D,19980908,000000,15.826,16.347,15.665,16.347,209418,0
ACP,D,19980909,000000,15.665,15.665,15.147,15.302,144469,0
ACP,D,19980910,000000,15.405,15.665,15.147,15.147,263567,0
ACP,D,19980911,000000,14.886,15.042,14.886,14.886,168660,0
ACP,D,19980914,000000,15.564,15.665,15.302,15.564,92344,0
ACP,D,19980915,000000,15.564,15.564,15.042,15.042,63201,0
ACP,D,19980916,000000,15.147,15.147,15.042,15.042,96210,0
ACP,D,19980917,000000,14.363,14.363,13.841,13.841,121458,0
ACP,D,19980918,000000,13.841,14.363,13.841,14.363,66782,0
ACP,D,19980921,000000,14.102,14.102,13.841,13.841,267652,0
ACP,D,19980922,000000,14.625,15.147,14.625,14.886,120896,0
ACP,D,19980923,000000,15.564,15.826,15.564,15.665,209494,0
ACP,D,19980924,000000,16.711,16.711,16.189,16.189,142749,0
ACP,D,19980925,000000,15.927,16.087,15.665,15.927,158697,0
ACP,D,19980928,000000,16.45,16.711,16.347,16.711,101484,0
ACP,D,19980929,000000,17.389,17.757,17.235,17.65,210859,0
ACP,D,19980930,000000,17.389,17.389,16.711,17.235,144395,0
ACP,D,19981001,000000,16.45,16.45,15.927,16.189,77622,0
ACP,D,19981002,000000,15.665,16.45,15.665,16.347,86940,0
ACP,D,19981005,000000,16.347,16.711,16.189,16.189,50194,0
ACP,D,19981006,000000,16.45,16.611,16.45,16.611,70483,0
ACP,D,19981007,000000,16.971,16.971,16.711,16.711,140130,0
ACP,D,19981008,000000,17.128,17.128,16.611,16.611,118073,0
