<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALL,D,20111012,000000,3.1775,3.1775,2.7042,2.9746,139526,0
ALL,D,20111013,000000,3.0133,3.0133,2.8491,2.9843,8318,0
ALL,D,20111014,000000,2.9264,2.9458,2.8008,2.9458,6931,0
ALL,D,20111017,000000,2.8491,2.9264,2.7042,2.7042,9728,0
ALL,D,20111018,000000,2.6849,2.8008,2.598,2.7526,3485,0
ALL,D,20111019,000000,2.8974,2.8974,2.7526,2.8008,4411,0
ALL,D,20111020,000000,2.6946,2.8878,2.6946,2.8878,4556,0
ALL,D,20111021,000000,2.7526,2.8878,2.7429,2.8491,1788,0
ALL,D,20111024,000000,2.8878,3.1872,2.8878,3.1872,6970,0
ALL,D,20111025,000000,3.0423,3.332,2.8974,3.332,16871,0
ALL,D,20111026,000000,3.1485,3.6701,3.1388,3.6218,5625,0
ALL,D,20111027,000000,3.4962,3.6894,3.4866,3.6894,11201,0
ALL,D,20111028,000000,3.7086,4.0274,3.5734,3.9888,27194,0
ALL,D,20111031,000000,3.9598,3.9598,3.815,3.8922,607,0
ALL,D,20111102,000000,3.7666,3.8439,3.7666,3.8439,621,0
ALL,D,20111103,000000,3.8439,3.8439,3.8439,3.8439,571,0
ALL,D,20111104,000000,3.8536,3.8536,3.815,3.8246,701,0
ALL,D,20111107,000000,3.8343,3.8343,3.815,3.815,5594,0
ALL,D,20111108,000000,3.8246,3.8922,3.7666,3.7666,1989,0
ALL,D,20111109,000000,3.6701,3.815,3.5734,3.757,2226,0
ALL,D,20111110,000000,3.757,3.7666,3.6991,3.6991,9256,0
ALL,D,20111114,000000,3.8053,3.9695,3.1872,3.786,8623,0
ALL,D,20111115,000000,3.786,3.786,3.7183,3.786,1151,0
ALL,D,20111117,000000,3.786,3.786,3.6314,3.786,6241,0
ALL,D,20111118,000000,3.786,3.786,3.786,3.786,10,0
ALL,D,20111121,000000,3.786,3.786,3.5734,3.5734,1656,0
ALL,D,20111122,000000,3.6024,3.728,3.6024,3.728,937,0
ALL,D,20111123,000000,3.6121,3.6894,3.5734,3.6701,1470,0
ALL,D,20111124,000000,3.6218,3.6218,3.6218,3.6218,1036,0
ALL,D,20111125,000000,3.5252,3.6121,3.1872,3.6121,6071,0
ALL,D,20111128,000000,3.4576,3.6121,3.4576,3.6121,2382,0
ALL,D,20111129,000000,3.6121,3.6121,3.5252,3.5831,1341,0
ALL,D,20111130,000000,3.6121,3.6121,3.4769,3.4769,1761,0
ALL,D,20111201,000000,3.4576,3.4576,3.4576,3.4576,10,0
ALL,D,20111202,000000,3.6121,3.6121,3.3804,3.4382,1356,0
ALL,D,20111205,000000,3.6121,3.6121,3.4576,3.4576,765,0
ALL,D,20111206,000000,3.4769,3.6121,3.4769,3.6121,7248,0
ALL,D,20111207,000000,3.6121,3.6604,3.4769,3.6604,11262,0
ALL,D,20111208,000000,3.728,3.728,3.728,3.728,5,0
ALL,D,20111209,000000,3.6701,3.6701,3.6701,3.6701,2,0
ALL,D,20111212,000000,3.7086,3.7086,3.6218,3.6218,1658,0
ALL,D,20111213,000000,3.6701,3.6701,3.5831,3.6411,2693,0
ALL,D,20111214,000000,3.6701,3.6701,3.5928,3.6701,7560,0
ALL,D,20111215,000000,3.6701,3.6701,3.6701,3.6701,1,0
ALL,D,20111216,000000,3.6701,3.6701,3.5831,3.6701,1048,0
ALL,D,20111219,000000,3.6701,3.6701,3.6701,3.6701,320,0
ALL,D,20111220,000000,3.6701,3.6701,3.6701,3.6701,448,0
ALL,D,20111221,000000,3.6508,3.6508,3.5734,3.6218,1674,0
ALL,D,20111222,000000,3.6411,3.6508,3.6411,3.6508,1087,0
ALL,D,20111223,000000,3.6508,3.6508,3.6508,3.6508,2071,0
ALL,D,20111227,000000,3.7473,3.7473,3.7376,3.7376,1475,0
ALL,D,20111228,000000,3.7666,3.8536,3.7666,3.8536,1036,0
ALL,D,20111229,000000,3.8536,3.8632,3.6894,3.7666,4002,0
ALL,D,20111230,000000,3.757,4.1144,3.757,4.1144,17918,0
ALL,D,20120102,000000,3.8632,3.8632,3.7666,3.7666,1477,0
ALL,D,20120103,000000,3.9598,3.9598,3.815,3.815,622,0
ALL,D,20120104,000000,3.8536,3.8536,3.8536,3.8536,10,0
ALL,D,20120105,000000,3.8536,3.8536,3.8536,3.8536,20,0
ALL,D,20120109,000000,4.0081,4.0081,4.0081,4.0081,26,0
ALL,D,20120110,000000,3.7666,3.9598,3.7666,3.9598,2278,0
ALL,D,20120111,000000,3.9598,3.9598,3.9598,3.9598,112,0
ALL,D,20120112,000000,3.9598,3.9598,3.8632,3.9598,314,0
ALL,D,20120113,000000,3.9598,3.9598,3.9598,3.9598,1,0
ALL,D,20120116,000000,4.0081,4.0081,3.9598,3.9598,633,0
ALL,D,20120117,000000,3.9888,3.9888,3.9888,3.9888,3,0
ALL,D,20120118,000000,3.9598,3.9985,3.9598,3.9888,1558,0
ALL,D,20120119,000000,3.9985,3.9985,3.8536,3.9985,827,0
ALL,D,20120120,000000,3.9985,3.9985,3.9985,3.9985,468,0
ALL,D,20120123,000000,3.9985,3.9985,3.9985,3.9985,2,0
ALL,D,20120124,000000,3.9985,3.9985,3.9985,3.9985,312,0
ALL,D,20120125,000000,3.9985,4.0467,3.9985,4.0467,4858,0
ALL,D,20120126,000000,4.0467,4.0467,4.0467,4.0467,169,0
ALL,D,20120127,000000,4.0467,4.095,3.9598,4.095,7961,0
ALL,D,20120130,000000,4.095,4.095,3.9598,4.095,2081,0
ALL,D,20120131,000000,3.9212,4.1047,3.9212,4.1047,2087,0
ALL,D,20120201,000000,4.153,4.153,4.153,4.153,1,0
ALL,D,20120202,000000,4.1916,4.1916,4.1337,4.1337,415,0
ALL,D,20120203,000000,4.1337,4.1337,4.1337,4.1337,209,0
ALL,D,20120206,000000,4.1047,4.1047,4.1047,4.1047,259,0
ALL,D,20120207,000000,4.1047,4.1047,3.9888,4.095,3233,0
ALL,D,20120208,000000,4.095,4.095,4.095,4.095,1508,0
ALL,D,20120209,000000,4.095,4.095,4.0081,4.095,2282,0
ALL,D,20120210,000000,4.095,4.095,4.0274,4.0274,1226,0
ALL,D,20120213,000000,4.095,4.095,3.9212,3.9212,2975,0
ALL,D,20120214,000000,4.0467,4.0467,4.0467,4.0467,1,0
ALL,D,20120215,000000,4.037,4.037,3.9695,4.0274,531,0
ALL,D,20120216,000000,4.037,4.037,4.037,4.037,2,0
ALL,D,20120217,000000,4.037,4.037,3.9985,4.0081,534,0
ALL,D,20120220,000000,4.0467,4.095,4.0467,4.095,683,0
ALL,D,20120221,000000,4.095,4.095,4.095,4.095,5,0
ALL,D,20120222,000000,4.095,4.095,3.9888,4.0757,2520,0
ALL,D,20120223,000000,4.0757,4.124,4.0757,4.1047,13049,0
ALL,D,20120224,000000,4.124,4.124,4.124,4.124,2,0
ALL,D,20120227,000000,4.153,4.153,4.153,4.153,5,0
ALL,D,20120228,000000,4.1433,4.1433,4.0081,4.1433,2382,0
ALL,D,20120229,000000,4.1433,4.5296,4.1433,4.2979,7099,0
ALL,D,20120301,000000,4.4621,4.5586,4.3461,4.3461,3059,0
ALL,D,20120302,000000,4.5393,4.7325,4.3654,4.549,7867,0
ALL,D,20120305,000000,4.7325,4.7325,4.2302,4.4427,3442,0
ALL,D,20120306,000000,4.2785,4.4813,4.2785,4.4813,1074,0
ALL,D,20120307,000000,4.4621,4.4621,4.2689,4.4427,401,0
ALL,D,20120308,000000,4.4331,5.3119,4.4331,4.9642,41996,0
ALL,D,20120309,000000,5.3119,6.2681,4.6938,5.2154,32330,0
ALL,D,20120312,000000,5.0222,5.4085,4.829,4.9352,21539,0
ALL,D,20120313,000000,5.1671,5.4568,5.1188,5.4085,14978,0
ALL,D,20120314,000000,5.2154,5.4085,5.1188,5.4085,3742,0
ALL,D,20120315,000000,5.3506,5.3506,5.2154,5.3023,4216,0
ALL,D,20120316,000000,5.3023,5.3023,4.8097,5.1091,9327,0
ALL,D,20120319,000000,5.0222,5.2057,5.0222,5.2057,2450,0
ALL,D,20120320,000000,5.2636,5.6982,5.0994,5.6982,62611,0
ALL,D,20120321,000000,5.7852,6.0846,5.3603,5.621,22626,0
ALL,D,20120322,000000,5.5823,5.6017,5.0704,5.2346,8357,0
ALL,D,20120323,000000,5.1381,5.592,4.8483,5.4568,8875,0
ALL,D,20120326,000000,5.8721,5.8721,5.2926,5.3409,2729,0
ALL,D,20120327,000000,5.6017,5.8914,5.6017,5.6017,21028,0
ALL,D,20120328,000000,5.7755,6.0846,5.621,5.7949,12936,0
ALL,D,20120329,000000,6.0363,6.0363,5.7949,5.8431,12198,0
ALL,D,20120330,000000,5.988,6.0653,5.8817,5.8817,15852,0
ALL,D,20120402,000000,6.0846,6.1618,5.8914,5.9687,10513,0
ALL,D,20120403,000000,5.7562,5.8914,5.7465,5.7465,7217,0
ALL,D,20120404,000000,5.7949,5.7949,5.5534,5.6017,1977,0
ALL,D,20120405,000000,5.4665,5.8914,5.4568,5.8914,2149,0
ALL,D,20120410,000000,5.8914,6.1328,5.7949,5.8431,12838,0
ALL,D,20120411,000000,5.8431,5.8431,5.7949,5.7949,3334,0
ALL,D,20120412,000000,5.8431,5.9591,5.7949,5.9591,2034,0
ALL,D,20120413,000000,5.7949,5.8431,5.6982,5.8431,7292,0
ALL,D,20120416,000000,5.8334,5.8334,5.6017,5.6017,3406,0
ALL,D,20120417,000000,5.6017,5.8239,5.6017,5.65,5366,0
ALL,D,20120418,000000,5.65,5.8142,5.65,5.7562,3503,0
ALL,D,20120419,000000,5.7949,5.8239,5.7949,5.7949,3139,0
ALL,D,20120420,000000,5.8142,5.8721,5.6017,5.6017,568,0
ALL,D,20120423,000000,5.6113,5.6113,5.3603,5.5051,6775,0
ALL,D,20120424,000000,5.3603,5.3603,5.0222,5.3603,8247,0
ALL,D,20120425,000000,5.2636,5.2636,5.0319,5.2154,2132,0
ALL,D,20120426,000000,5.2636,5.2636,5.0704,5.225,2342,0
ALL,D,20120427,000000,5.3119,5.5051,5.3119,5.5051,3789,0
ALL,D,20120430,000000,5.5534,5.6982,5.5534,5.6017,2460,0
ALL,D,20120502,000000,5.7175,5.8817,5.6982,5.8817,3295,0
ALL,D,20120504,000000,5.8431,5.8431,5.8431,5.8431,10,0
ALL,D,20120507,000000,5.6113,5.7465,5.6113,5.7465,352,0
ALL,D,20120508,000000,5.7369,5.7369,5.7369,5.7369,10,0
ALL,D,20120509,000000,5.6307,5.8817,5.621,5.8817,1560,0
ALL,D,20120510,000000,5.7949,5.7949,5.7949,5.7949,1036,0
ALL,D,20120511,000000,5.6113,5.6789,5.563,5.65,4426,0
ALL,D,20120514,000000,5.65,5.65,5.5534,5.65,3043,0
ALL,D,20120515,000000,5.65,5.65,5.3409,5.5823,1410,0
ALL,D,20120516,000000,5.3409,5.6017,5.3409,5.6017,2545,0
ALL,D,20120517,000000,5.4568,5.592,5.4568,5.592,859,0
ALL,D,20120518,000000,5.5823,5.592,5.5823,5.592,971,0
ALL,D,20120521,000000,5.592,5.6017,5.592,5.6017,517,0
ALL,D,20120522,000000,5.5823,5.6017,5.5051,5.6017,2480,0
ALL,D,20120523,000000,5.4761,5.6017,5.4761,5.6017,1015,0
ALL,D,20120524,000000,5.3988,5.5727,5.3119,5.4182,844,0
ALL,D,20120525,000000,5.2154,5.2346,4.9836,5.2346,3430,0
ALL,D,20120528,000000,5.0125,5.0704,4.9352,5.0704,5030,0
ALL,D,20120529,000000,5.0704,5.2154,5.0704,5.2154,414,0
ALL,D,20120530,000000,5.1188,5.1188,5.1188,5.1188,103,0
ALL,D,20120531,000000,5.3023,5.3023,5.3023,5.3023,5,0
ALL,D,20120604,000000,5.0609,5.2154,4.9256,5.2154,1613,0
ALL,D,20120605,000000,4.9836,5.2154,4.9836,5.2154,110,0
ALL,D,20120606,000000,5.0319,5.2636,5.0319,5.2636,167,0
ALL,D,20120608,000000,5.0319,5.0319,5.0222,5.0222,574,0
ALL,D,20120611,000000,5.0222,5.2636,5.0222,5.2636,135,0
ALL,D,20120612,000000,5.0222,5.1188,5.0222,5.1188,2019,0
ALL,D,20120613,000000,5.0222,5.1671,5.0222,5.1671,912,0
ALL,D,20120614,000000,5.0704,5.1671,5.0704,5.0704,157,0
ALL,D,20120615,000000,5.0704,5.3216,5.0704,5.3216,160,0
ALL,D,20120618,000000,5.2154,5.2154,5.0222,5.1188,2214,0
ALL,D,20120619,000000,5.2154,5.2154,5.0801,5.0801,1437,0
