<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC,D,19970908,000000,45.122,45.122,45.122,45.122,183128,0
AMC,D,19970909,000000,46.531,46.531,46.531,46.531,110379,0
AMC,D,19970910,000000,47.94,47.94,47.94,47.94,53899,0
AMC,D,19970911,000000,46.886,46.886,46.886,46.886,74407,0
AMC,D,19970912,000000,46.18,46.18,46.18,46.18,47506,0
AMC,D,19970915,000000,46.18,46.18,46.18,46.18,179351,0
AMC,D,19970916,000000,48.294,48.294,48.294,48.294,45229,0
AMC,D,19970917,000000,48.294,48.294,48.294,48.294,62623,0
AMC,D,19970918,000000,48.647,48.647,48.647,48.647,63591,0
AMC,D,19970919,000000,48.647,48.647,48.647,48.647,201989,0
AMC,D,19970922,000000,49.352,49.352,49.352,49.352,50364,0
AMC,D,19970923,000000,49.352,49.352,49.352,49.352,19098,0
AMC,D,19970924,000000,47.94,47.94,47.94,47.94,15965,0
AMC,D,19970925,000000,47.94,47.94,47.94,47.94,52457,0
AMC,D,19970926,000000,48.294,48.294,48.294,48.294,118177,0
AMC,D,19970929,000000,47.94,47.94,47.94,47.94,10824,0
AMC,D,19970930,000000,48.647,48.647,48.647,48.647,40263,0
AMC,D,19971001,000000,48.647,48.647,48.647,48.647,27666,0
AMC,D,19971002,000000,49.352,49.352,49.352,49.352,13608,0
AMC,D,19971003,000000,46.886,46.886,46.886,46.886,7434,0
AMC,D,19971006,000000,47.236,47.236,47.236,47.236,37693,0
AMC,D,19971007,000000,47.94,47.94,47.94,47.94,38921,0
AMC,D,19971008,000000,48.998,48.998,48.998,48.998,33876,0
AMC,D,19971009,000000,49.352,49.352,49.352,49.352,65959,0
AMC,D,19971010,000000,49.704,49.704,49.704,49.704,71210,0
AMC,D,19971013,000000,51.114,51.114,51.114,51.114,39502,0
AMC,D,19971014,000000,53.582,53.582,53.582,53.582,42922,0
AMC,D,19971015,000000,54.288,54.288,54.288,54.288,37611,0
AMC,D,19971016,000000,54.288,54.288,54.288,54.288,87405,0
AMC,D,19971017,000000,53.23,53.23,53.23,53.23,28497,0
AMC,D,19971020,000000,53.582,53.582,53.582,53.582,90555,0
AMC,D,19971021,000000,53.582,53.582,53.582,53.582,71746,0
AMC,D,19971022,000000,54.288,54.288,54.288,54.288,33497,0
AMC,D,19971023,000000,53.582,53.582,53.582,53.582,12101,0
AMC,D,19971024,000000,51.466,51.466,51.466,51.466,16683,0
AMC,D,19971027,000000,48.998,48.998,48.998,48.998,17894,0
AMC,D,19971028,000000,44.418,44.418,44.418,44.418,0,0
AMC,D,19971029,000000,48.647,48.647,48.647,48.647,66929,0
AMC,D,19971030,000000,47.236,47.236,47.236,47.236,61994,0
AMC,D,19971031,000000,46.18,46.18,46.18,46.18,15311,0
AMC,D,19971103,000000,47.589,47.589,47.589,47.589,7049,0
AMC,D,19971104,000000,48.647,48.647,48.647,48.647,24028,0
AMC,D,19971105,000000,49.352,49.352,49.352,49.352,13673,0
AMC,D,19971106,000000,48.294,48.294,48.294,48.294,11069,0
AMC,D,19971107,000000,48.647,48.647,48.647,48.647,31765,0
AMC,D,19971112,000000,47.94,47.94,47.94,47.94,96465,0
AMC,D,19971113,000000,47.236,47.236,47.236,47.236,27408,0
AMC,D,19971114,000000,46.531,46.531,46.531,46.531,22122,0
AMC,D,19971117,000000,47.589,47.589,47.589,47.589,26372,0
AMC,D,19971118,000000,48.294,48.294,48.294,48.294,34566,0
AMC,D,19971119,000000,47.94,47.94,47.94,47.94,73375,0
AMC,D,19971120,000000,47.94,47.94,47.94,47.94,34434,0
AMC,D,19971121,000000,47.589,47.589,47.589,47.589,33292,0
AMC,D,19971124,000000,46.531,46.531,46.531,46.531,12442,0
AMC,D,19971125,000000,45.122,45.122,45.122,45.122,18917,0
AMC,D,19971126,000000,45.472,45.472,45.472,45.472,8007,0
AMC,D,19971127,000000,44.418,44.418,44.418,44.418,7397,0
AMC,D,19971128,000000,43.712,43.712,43.712,43.712,6239,0
AMC,D,19971201,000000,44.768,44.768,44.768,44.768,3220,0
AMC,D,19971202,000000,44.768,44.768,44.768,44.768,51759,0
AMC,D,19971203,000000,44.768,44.768,44.768,44.768,13105,0
AMC,D,19971204,000000,43.361,43.361,43.361,43.361,30820,0
AMC,D,19971205,000000,44.418,44.418,44.418,44.418,23792,0
AMC,D,19971208,000000,44.064,44.064,44.064,44.064,26837,0
AMC,D,19971209,000000,43.712,43.712,43.712,43.712,23513,0
AMC,D,19971210,000000,43.361,43.361,43.361,43.361,4700,0
AMC,D,19971211,000000,42.654,42.654,42.654,42.654,36179,0
AMC,D,19971212,000000,42.654,42.654,42.654,42.654,14618,0
AMC,D,19971215,000000,43.712,43.712,43.712,43.712,20222,0
AMC,D,19971216,000000,44.064,44.064,44.064,44.064,30804,0
AMC,D,19971217,000000,43.361,43.361,43.361,43.361,42516,0
AMC,D,19971218,000000,43.361,43.361,43.361,43.361,50352,0
AMC,D,19971219,000000,41.95,41.95,41.95,41.95,37291,0
AMC,D,19971222,000000,40.188,40.188,40.188,40.188,8510,0
AMC,D,19971223,000000,40.188,40.188,40.188,40.188,11776,0
AMC,D,19971229,000000,39.483,39.483,39.483,39.483,3654,0
AMC,D,19971230,000000,40.539,40.539,40.539,40.539,36499,0
AMC,D,19971231,000000,42.3,42.3,42.3,42.3,4149,0
