<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AML,D,20140717,000000,24.988,25.267,24.336,25.131,161455,0
AML,D,20140718,000000,25.167,25.31,25.059,25.31,30800,0
AML,D,20140721,000000,25.267,25.403,25.203,25.275,27617,0
AML,D,20140722,000000,25.345,25.345,24.916,24.916,16036,0
AML,D,20140723,000000,24.988,25.059,24.988,25.059,773,0
AML,D,20140724,000000,25.239,25.239,23.627,24.422,6104,0
AML,D,20140725,000000,24.493,24.63,24.493,24.63,4891,0
AML,D,20140728,000000,24.916,25.203,24.701,25.203,8356,0
AML,D,20140729,000000,25.203,25.203,25.059,25.189,2855,0
AML,D,20140730,000000,25.195,25.195,24.772,25.059,4105,0
AML,D,20140731,000000,24.881,25.096,24.881,25.059,46300,0
AML,D,20140801,000000,25.059,25.059,24.344,24.344,3813,0
AML,D,20140804,000000,24.63,25.059,24.344,24.344,8146,0
AML,D,20140805,000000,24.351,24.659,24.351,24.659,3983,0
AML,D,20140806,000000,24.652,25.045,24.351,25.045,2176,0
AML,D,20140807,000000,24.701,25.059,24.344,24.701,7822,0
AML,D,20140808,000000,24.701,24.916,24.438,24.916,2146,0
AML,D,20140811,000000,24.63,24.916,24.63,24.916,5700,0
AML,D,20140812,000000,24.916,24.951,24.708,24.916,12606,0
AML,D,20140813,000000,24.772,24.916,24.772,24.916,5203,0
AML,D,20140814,000000,24.487,24.916,24.429,24.909,6118,0
AML,D,20140818,000000,24.909,24.916,24.909,24.916,95472,0
AML,D,20140819,000000,24.916,24.916,24.493,24.916,11504,0
AML,D,20140820,000000,24.916,24.966,24.643,24.916,75302,0
AML,D,20140821,000000,25.053,26.005,24.924,25.883,171158,0
AML,D,20140822,000000,25.955,26.313,25.926,25.926,29176,0
AML,D,20140825,000000,26.097,26.097,25.689,25.776,6052,0
AML,D,20140826,000000,25.66,26.276,25.66,26.276,27494,0
AML,D,20140827,000000,26.298,27.064,26.298,26.985,55040,0
AML,D,20140828,000000,27.064,27.558,26.14,26.7,27588,0
AML,D,20140829,000000,26.686,27.422,26.349,26.994,22662,0
AML,D,20140901,000000,27.064,27.487,26.994,27.199,41790,0
AML,D,20140902,000000,27.422,28.281,27.199,28.281,107954,0
AML,D,20140903,000000,28.533,29.355,28.425,28.711,90416,0
AML,D,20140904,000000,28.711,28.711,28.138,28.568,35160,0
AML,D,20140905,000000,28.568,29.319,28.503,29.177,48307,0
AML,D,20140908,000000,28.926,29.162,28.926,29.14,20265,0
