<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APN,D,20090525,000000,5.6517,5.6517,5.1629,5.2417,279653,0
APN,D,20090526,000000,5.4387,5.4387,4.9105,5.0288,54613,0
APN,D,20090527,000000,5.0367,5.0367,4.6506,4.7293,44450,0
APN,D,20090528,000000,4.7373,4.7373,4.5638,4.6111,23306,0
APN,D,20090529,000000,4.5716,4.887,4.4533,4.7531,41175,0
APN,D,20090601,000000,4.9186,4.9186,4.7293,4.824,10042,0
APN,D,20090602,000000,4.7293,4.8791,4.6662,4.8633,28161,0
APN,D,20090603,000000,4.8475,4.8475,4.7293,4.8003,4321,0
APN,D,20090604,000000,4.8003,4.9105,4.7766,4.7766,7925,0
APN,D,20090605,000000,4.7766,4.824,4.7531,4.824,1683,0
APN,D,20090608,000000,4.816,4.8475,4.7293,4.824,7312,0
APN,D,20090609,000000,4.824,4.824,4.7451,4.8081,2320,0
APN,D,20090610,000000,4.8081,4.9028,4.8081,4.8475,8803,0
APN,D,20090612,000000,4.8396,4.8949,4.8318,4.8318,3017,0
APN,D,20090615,000000,4.7923,4.9264,4.7923,4.9264,1221,0
APN,D,20090616,000000,4.7923,4.887,4.7689,4.887,2233,0
APN,D,20090617,000000,4.8713,4.8949,4.8475,4.8475,8667,0
APN,D,20090618,000000,4.7923,4.8633,4.7923,4.8633,371,0
APN,D,20090619,000000,4.7923,4.887,4.7845,4.8081,3755,0
APN,D,20090622,000000,4.7608,4.8475,4.6662,4.7293,12729,0
APN,D,20090623,000000,4.7293,4.7845,4.6662,4.7845,454,0
APN,D,20090624,000000,4.8475,4.8475,4.8396,4.8475,5076,0
APN,D,20090625,000000,4.8633,4.8633,4.7293,4.7293,2381,0
APN,D,20090626,000000,4.824,4.824,4.7293,4.7293,223,0
APN,D,20090629,000000,4.7845,4.7845,4.7845,4.7845,256,0
APN,D,20090630,000000,4.7451,4.7451,4.7451,4.7451,889,0
APN,D,20090701,000000,4.6742,4.7766,4.5875,4.7293,5337,0
APN,D,20090702,000000,4.7766,4.8081,4.6506,4.6506,13554,0
APN,D,20090703,000000,4.7137,4.7137,4.7137,4.7137,380,0
APN,D,20090706,000000,4.7293,4.7293,4.7293,4.7293,1903,0
APN,D,20090707,000000,4.69,4.7293,4.69,4.7293,836,0
APN,D,20090709,000000,4.6348,4.7215,4.5716,4.5716,11106,0
APN,D,20090710,000000,4.5716,4.7215,4.5716,4.7215,2897,0
APN,D,20090713,000000,4.7215,4.7215,4.5716,4.7215,1605,0
APN,D,20090715,000000,4.7215,4.7215,4.5087,4.6506,2262,0
APN,D,20090716,000000,4.6822,4.6822,4.6111,4.6822,4414,0
APN,D,20090717,000000,4.6191,4.7215,4.6191,4.7215,529,0
APN,D,20090720,000000,4.5796,4.5796,4.5796,4.5796,1657,0
APN,D,20090721,000000,4.6348,4.7215,4.6348,4.6425,3201,0
APN,D,20090722,000000,4.6425,4.8003,4.6425,4.8003,529,0
APN,D,20090723,000000,4.7689,4.7845,4.7689,4.7689,2538,0
APN,D,20090724,000000,4.8003,4.8553,4.7689,4.7689,4651,0
APN,D,20090727,000000,4.8003,4.8003,4.6979,4.6979,2317,0
APN,D,20090728,000000,4.6979,4.7373,4.6979,4.7373,237,0
APN,D,20090729,000000,4.6979,4.7293,4.69,4.6979,2127,0
APN,D,20090730,000000,4.7608,4.7923,4.6979,4.7058,8447,0
APN,D,20090731,000000,4.7689,4.7689,4.7137,4.7293,3838,0
APN,D,20090803,000000,4.7293,4.7689,4.7137,4.7608,1447,0
APN,D,20090804,000000,4.7373,4.7531,4.7293,4.7373,6398,0
APN,D,20090805,000000,4.7373,4.7689,4.7058,4.7531,11369,0
APN,D,20090806,000000,4.7531,4.7531,4.6584,4.7293,1037,0
APN,D,20090807,000000,4.7766,4.7766,4.5716,4.7373,8360,0
APN,D,20090810,000000,4.7215,4.7215,4.6111,4.6111,1235,0
APN,D,20090811,000000,4.6268,4.6268,4.6111,4.6111,824,0
APN,D,20090812,000000,4.5796,5.0053,4.5716,4.9736,43377,0
APN,D,20090813,000000,5.0211,5.1549,4.9736,5.0997,25226,0
APN,D,20090814,000000,5.0997,5.1944,5.0525,5.1788,8990,0
APN,D,20090817,000000,5.084,5.1944,4.8553,5.1788,17718,0
APN,D,20090818,000000,5.1944,5.4231,5.1944,5.3993,26807,0
APN,D,20090819,000000,5.4073,5.6752,5.2496,5.6752,27558,0
APN,D,20090820,000000,5.5254,6.1008,5.5254,6.1008,17982,0
APN,D,20090821,000000,5.8644,6.2428,5.5964,6.2428,15557,0
APN,D,20090824,000000,6.2979,6.8733,6.1954,6.7788,31071,0
APN,D,20090825,000000,6.7315,6.8497,6.3058,6.6999,29297,0
APN,D,20090826,000000,6.6605,6.6605,6.1088,6.6212,18910,0
APN,D,20090827,000000,6.5974,6.6605,6.3925,6.6212,9873,0
APN,D,20090828,000000,6.6212,6.9362,6.6212,6.6999,18851,0
APN,D,20090831,000000,6.227,6.3846,6.0301,6.3058,21485,0
APN,D,20090901,000000,6.0378,6.3058,5.8644,6.2743,9894,0
APN,D,20090902,000000,5.8722,5.8722,5.6911,5.6911,3105,0
APN,D,20090903,000000,5.6359,5.9038,5.2417,5.2417,16749,0
APN,D,20090904,000000,5.2496,5.7933,5.2496,5.7856,1464,0
APN,D,20090907,000000,5.8328,5.8328,5.5334,5.8328,447,0
APN,D,20090908,000000,5.7541,5.7541,5.3601,5.5964,792,0
APN,D,20090909,000000,5.4152,5.6594,5.2811,5.6517,12004,0
APN,D,20090910,000000,5.4782,5.4782,5.2574,5.4782,2576,0
APN,D,20090914,000000,5.6201,5.6201,5.6201,5.6201,10,0
APN,D,20090915,000000,5.2496,5.6673,5.2022,5.6673,250,0
APN,D,20090916,000000,5.3601,5.6201,5.2968,5.5097,9792,0
APN,D,20090917,000000,5.5176,5.5176,5.5176,5.5176,179,0
APN,D,20090918,000000,5.2417,5.3601,5.0053,5.3204,1473,0
APN,D,20090921,000000,5.3204,5.3204,5.3204,5.3204,2578,0
APN,D,20090922,000000,5.2811,5.4308,5.1234,5.1234,2219,0
APN,D,20090923,000000,5.1629,5.3125,5.1234,5.3125,886,0
APN,D,20090924,000000,5.3204,5.3601,5.084,5.2811,2609,0
APN,D,20090928,000000,5.1234,5.1234,5.1156,5.1156,1053,0
APN,D,20090929,000000,5.1234,5.1234,5.1234,5.1234,2841,0
APN,D,20090930,000000,5.1234,5.1234,4.7373,5.1077,7798,0
APN,D,20091001,000000,4.7845,5.0447,4.7845,5.0447,7721,0
APN,D,20091002,000000,4.7923,4.7923,4.7923,4.7923,2538,0
APN,D,20091005,000000,4.7373,4.7373,4.7293,4.7293,2856,0
APN,D,20091006,000000,4.7689,4.9579,4.7373,4.9579,4819,0
APN,D,20091007,000000,4.7451,4.9501,4.7215,4.9501,2684,0
APN,D,20091008,000000,4.7923,4.9264,4.7293,4.7373,2206,0
APN,D,20091009,000000,4.7531,4.7531,4.7373,4.7373,2791,0
APN,D,20091012,000000,4.7373,4.7689,4.7373,4.7373,2709,0
APN,D,20091013,000000,4.7451,4.7451,4.7293,4.7373,806,0
APN,D,20091014,000000,4.7451,4.7451,4.7373,4.7373,2538,0
APN,D,20091015,000000,4.7293,4.7373,4.4141,4.7293,4468,0
APN,D,20091016,000000,4.7293,4.9501,4.7293,4.8949,18535,0
APN,D,20091019,000000,4.8949,5.0367,4.887,4.9422,6799,0
