<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APR,D,20160606,000000,2.3788,2.3788,2.3393,2.3491,10222,0
APR,D,20160607,000000,2.3985,2.4676,2.3491,2.3689,3136,0
APR,D,20160608,000000,2.4676,2.4676,2.3788,2.4577,927,0
APR,D,20160609,000000,2.5565,2.5663,2.3985,2.3985,36921,0
APR,D,20160610,000000,2.4676,2.4676,2.3886,2.4183,6357,0
APR,D,20160613,000000,2.4183,2.6256,2.4183,2.4973,22955,0
APR,D,20160614,000000,2.517,2.5565,2.5071,2.5565,7300,0
APR,D,20160615,000000,2.7638,2.7638,2.5861,2.6058,13889,0
APR,D,20160616,000000,2.8526,2.8526,2.6749,2.6749,15579,0
APR,D,20160617,000000,2.6749,2.7341,2.6058,2.7341,4524,0
APR,D,20160620,000000,2.9513,3.1092,2.7835,2.7933,26609,0
APR,D,20160621,000000,2.9513,2.9513,2.7835,2.9019,9014,0
APR,D,20160622,000000,2.9019,3.1586,2.8624,3.0993,143772,0
APR,D,20160623,000000,3.1388,3.3362,2.9513,3.0104,246261,0
APR,D,20160624,000000,2.7638,2.8921,2.665,2.8526,132099,0
APR,D,20160627,000000,2.9414,2.9513,2.8526,2.9414,76410,0
APR,D,20160628,000000,2.9414,2.9513,2.813,2.8723,63822,0
APR,D,20160629,000000,3.1487,3.1487,2.9118,3.0697,64939,0
APR,D,20160630,000000,3.1289,3.1289,3.0204,3.0697,13588,0
APR,D,20160701,000000,3.1092,3.1092,2.971,3.05,6541,0
APR,D,20160704,000000,2.9907,3.05,2.8624,2.9216,15211,0
APR,D,20160705,000000,2.9612,2.9612,2.8723,2.9118,4219,0
APR,D,20160706,000000,2.9513,2.9513,2.813,2.8526,9721,0
APR,D,20160707,000000,2.8921,2.8921,2.7736,2.8427,10752,0
APR,D,20160708,000000,2.8427,2.9612,2.813,2.9315,27225,0
APR,D,20160711,000000,2.9315,3.0993,2.9315,3.0895,599659,0
APR,D,20160712,000000,3.0796,3.1586,3.0598,3.1191,246024,0
APR,D,20160713,000000,3.1388,3.2572,3.0796,3.2572,322790,0
APR,D,20160714,000000,3.2572,3.4843,3.2572,3.4349,454136,0
APR,D,20160715,000000,3.4448,3.4546,3.3362,3.3658,107829,0
APR,D,20160718,000000,3.3658,3.4152,3.3263,3.4053,88021,0
APR,D,20160719,000000,3.4152,3.4152,3.3362,3.3362,85561,0
APR,D,20160720,000000,3.3362,3.3954,3.277,3.3954,294518,0
APR,D,20160721,000000,3.356,3.3856,3.2572,3.3263,120332,0
APR,D,20160722,000000,3.3263,3.3954,3.3066,3.3856,64966,0
APR,D,20160725,000000,3.3658,3.3757,3.3066,3.3757,81069,0
APR,D,20160726,000000,3.3757,3.3757,3.3066,3.356,26210,0
APR,D,20160727,000000,3.356,3.356,3.3066,3.3461,246640,0
APR,D,20160728,000000,3.3066,3.356,3.3066,3.356,102205,0
APR,D,20160729,000000,3.356,3.4744,3.3165,3.4546,505938,0
APR,D,20160801,000000,3.4349,3.5336,3.4349,3.4942,23101,0
APR,D,20160802,000000,3.504,3.5237,3.4546,3.4942,49516,0
APR,D,20160803,000000,3.4744,3.4942,3.4546,3.4645,45546,0
APR,D,20160804,000000,3.504,3.5237,3.4645,3.5237,24080,0
APR,D,20160805,000000,3.504,3.7508,3.504,3.741,160181,0
APR,D,20160808,000000,3.8001,3.8001,3.6817,3.7014,42407,0
APR,D,20160809,000000,3.7014,3.731,3.5139,3.6718,89365,0
APR,D,20160810,000000,3.6718,3.7014,3.6422,3.6916,58503,0
APR,D,20160811,000000,3.7211,3.7211,3.6817,3.6916,31009,0
APR,D,20160812,000000,3.7014,3.7014,3.6521,3.6817,105754,0
APR,D,20160816,000000,3.7113,3.7113,3.6521,3.6521,72119,0
APR,D,20160817,000000,3.7014,3.7014,3.5237,3.583,117612,0
APR,D,20160818,000000,3.6126,3.6422,3.5633,3.583,165140,0
APR,D,20160819,000000,3.583,3.6422,3.5633,3.583,17858,0
APR,D,20160822,000000,3.583,3.5928,3.5731,3.5731,24324,0
APR,D,20160823,000000,3.5928,3.6027,3.5534,3.5731,52141,0
APR,D,20160824,000000,3.6027,3.6027,3.5435,3.5928,14374,0
APR,D,20160825,000000,3.5928,3.5928,3.4349,3.5435,42447,0
APR,D,20160826,000000,3.5534,3.5731,3.4546,3.5435,29073,0
APR,D,20160829,000000,3.5237,3.5534,3.4645,3.5139,87692,0
APR,D,20160830,000000,3.5237,3.5237,3.4645,3.504,22826,0
APR,D,20160831,000000,3.5534,3.5534,3.4744,3.5237,56537,0
APR,D,20160901,000000,3.5534,3.5534,3.4349,3.4349,30636,0
APR,D,20160902,000000,3.3954,3.5237,3.3856,3.5237,45535,0
APR,D,20160905,000000,3.5336,3.5534,3.4744,3.5336,66822,0
APR,D,20160906,000000,3.5435,3.6916,3.5237,3.6916,14431,0
APR,D,20160907,000000,3.7705,4.1456,3.583,4.0963,1376270,0
APR,D,20160908,000000,4.1752,4.1752,3.9876,4.0272,224419,0
APR,D,20160909,000000,4.0075,4.1456,3.9679,3.9778,335402,0
APR,D,20160912,000000,4.0173,4.0864,3.9975,4.0567,54518,0
APR,D,20160913,000000,4.0666,4.2344,4.0666,4.1949,361592,0
APR,D,20160914,000000,4.1752,4.3035,4.1357,4.2344,274483,0
APR,D,20160915,000000,4.2838,4.3628,4.264,4.264,191870,0
APR,D,20160916,000000,4.3134,4.3232,4.1949,4.264,67010,0
APR,D,20160919,000000,4.264,4.2937,4.1949,4.2443,37520,0
APR,D,20160920,000000,4.2344,4.2541,4.1949,4.2147,51173,0
APR,D,20160921,000000,4.2246,4.2246,4.1851,4.1949,52052,0
APR,D,20160922,000000,4.2246,4.2246,4.0469,4.1357,96912,0
APR,D,20160923,000000,4.1653,4.2246,4.0963,4.2147,131019,0
APR,D,20160926,000000,4.2147,4.3232,4.2147,4.2838,137707,0
APR,D,20160927,000000,4.3232,4.3232,4.2246,4.3035,27175,0
APR,D,20160928,000000,4.3134,4.3134,4.2443,4.3134,215802,0
APR,D,20160929,000000,4.3134,4.3134,4.2443,4.2937,151186,0
APR,D,20160930,000000,4.3134,4.3134,4.2344,4.274,348429,0
APR,D,20161003,000000,4.274,4.343,4.2443,4.3331,34738,0
APR,D,20161004,000000,4.3331,4.3331,4.2838,4.2937,16520,0
APR,D,20161005,000000,4.2937,4.2937,4.2443,4.2443,37457,0
APR,D,20161006,000000,4.2443,4.274,4.1851,4.2147,113989,0
APR,D,20161007,000000,4.2541,4.2541,4.2147,4.2246,47840,0
APR,D,20161010,000000,4.2344,4.264,4.2147,4.2344,31157,0
APR,D,20161011,000000,4.2443,4.2443,4.1258,4.1258,175763,0
APR,D,20161012,000000,4.2344,4.2344,3.8593,4.1258,234242,0
APR,D,20161013,000000,4.1851,4.2838,4.1357,4.2344,286173,0
APR,D,20161014,000000,4.3134,4.3232,4.2049,4.2344,37280,0
APR,D,20161017,000000,4.2246,4.2246,4.1752,4.2049,76837,0
APR,D,20161018,000000,4.2147,4.2147,4.0666,4.1949,156857,0
APR,D,20161019,000000,4.1653,4.1949,4.0864,4.1456,51897,0
APR,D,20161020,000000,4.1949,4.1949,4.1258,4.1851,14501,0
APR,D,20161021,000000,4.1456,4.2049,4.0963,4.116,39945,0
APR,D,20161024,000000,4.116,4.116,4.0864,4.0864,10892,0
APR,D,20161025,000000,4.0765,4.1258,4.0567,4.116,107389,0
APR,D,20161026,000000,4.1456,4.1456,4.1061,4.1357,29328,0
APR,D,20161027,000000,4.1851,4.1851,4.0963,4.1752,98389,0
APR,D,20161028,000000,4.1752,4.2838,4.1456,4.1456,49098,0
APR,D,20161031,000000,4.2147,4.2838,4.1456,4.2838,128141,0
APR,D,20161102,000000,4.2838,4.2838,4.0469,4.1357,161268,0
APR,D,20161103,000000,4.1357,4.1752,4.0173,4.0469,39627,0
APR,D,20161104,000000,4.116,4.116,4.0469,4.0864,19871,0
APR,D,20161107,000000,4.1653,4.1653,4.0469,4.1061,17235,0
APR,D,20161108,000000,4.1061,4.1061,4.0075,4.0864,164964,0
APR,D,20161109,000000,3.8593,4.0864,3.8495,4.0666,63735,0
APR,D,20161110,000000,4.1456,4.3628,4.0666,4.2443,113544,0
APR,D,20161114,000000,4.3035,4.3035,4.0963,4.2246,51398,0
APR,D,20161115,000000,4.116,4.2246,4.116,4.2147,20374,0
APR,D,20161116,000000,4.2443,4.274,4.1456,4.1949,29614,0
APR,D,20161117,000000,4.1456,4.2147,4.0469,4.0963,116082,0
APR,D,20161118,000000,4.0963,4.1456,4.0469,4.1357,51330,0
APR,D,20161121,000000,4.1357,4.1456,3.9679,4.0864,184547,0
APR,D,20161122,000000,4.0864,4.1258,4.0075,4.1061,50550,0
APR,D,20161123,000000,4.116,4.1456,4.0469,4.1357,42791,0
APR,D,20161124,000000,4.1456,4.2344,4.0765,4.1258,37804,0
APR,D,20161125,000000,4.1752,4.2443,4.1258,4.2147,65089,0
