<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,D,19970424,000000,1.4702,1.4702,1.4702,1.4702,2156590,0
APT,D,19970425,000000,1.4098,1.4098,1.4098,1.4098,1013297,0
APT,D,19970428,000000,1.2819,1.2819,1.2819,1.2819,487542,0
APT,D,19970429,000000,1.1786,1.1786,1.1786,1.1786,2012114,0
APT,D,19970430,000000,1.2454,1.2454,1.2454,1.2454,853610,0
APT,D,19970505,000000,1.2333,1.2333,1.2333,1.2333,1659772,0
APT,D,19970506,000000,1.3125,1.3125,1.3125,1.3125,2020311,0
APT,D,19970507,000000,1.3064,1.3064,1.3064,1.3064,1004345,0
APT,D,19970508,000000,1.3489,1.3489,1.3489,1.3489,892959,0
APT,D,19970509,000000,1.4216,1.4216,1.4216,1.4216,869332,0
APT,D,19970512,000000,1.4582,1.4582,1.4582,1.4582,1202612,0
APT,D,19970513,000000,1.4643,1.4643,1.4643,1.4643,817250,0
APT,D,19970514,000000,1.3732,1.3732,1.3732,1.3732,427169,0
APT,D,19970515,000000,1.4216,1.4216,1.4216,1.4216,393274,0
APT,D,19970516,000000,1.4098,1.4098,1.4098,1.4098,321450,0
APT,D,19970519,000000,1.434,1.434,1.434,1.434,262965,0
APT,D,19970520,000000,1.434,1.434,1.434,1.434,158537,0
APT,D,19970521,000000,1.3913,1.3913,1.3913,1.3913,461583,0
APT,D,19970522,000000,1.3732,1.3732,1.3732,1.3732,510523,0
APT,D,19970523,000000,1.2333,1.2333,1.2333,1.2333,436602,0
APT,D,19970526,000000,1.2454,1.2454,1.2454,1.2454,375550,0
APT,D,19970527,000000,1.2152,1.2152,1.2152,1.2152,453368,0
APT,D,19970528,000000,1.2152,1.2152,1.2152,1.2152,362651,0
APT,D,19970530,000000,1.2758,1.2758,1.2758,1.2758,270607,0
APT,D,19970602,000000,1.2333,1.2333,1.2333,1.2333,144470,0
APT,D,19970603,000000,1.2577,1.2577,1.2577,1.2577,302311,0
APT,D,19970604,000000,1.2333,1.2333,1.2333,1.2333,421630,0
APT,D,19970605,000000,1.2211,1.2211,1.2211,1.2211,270099,0
APT,D,19970606,000000,1.2454,1.2454,1.2454,1.2454,118206,0
APT,D,19970609,000000,1.2699,1.2699,1.2699,1.2699,154193,0
APT,D,19970610,000000,1.2395,1.2395,1.2395,1.2395,342960,0
APT,D,19970611,000000,1.2211,1.2211,1.2211,1.2211,163409,0
APT,D,19970612,000000,1.3244,1.3244,1.3244,1.3244,490908,0
APT,D,19970613,000000,1.3549,1.3549,1.3549,1.3549,521113,0
APT,D,19970616,000000,1.3305,1.3305,1.3305,1.3305,178927,0
APT,D,19970617,000000,1.3125,1.3125,1.3125,1.3125,160256,0
APT,D,19970618,000000,1.3125,1.3125,1.3125,1.3125,607340,0
APT,D,19970619,000000,1.3305,1.3305,1.3305,1.3305,1035031,0
APT,D,19970620,000000,1.3732,1.3732,1.3732,1.3732,475595,0
APT,D,19970623,000000,1.3305,1.3305,1.3305,1.3305,300291,0
APT,D,19970624,000000,1.3305,1.3305,1.3305,1.3305,575448,0
APT,D,19970625,000000,1.3913,1.3913,1.3913,1.3913,571601,0
APT,D,19970626,000000,1.3732,1.3732,1.3732,1.3732,1201911,0
APT,D,19970627,000000,1.3913,1.3913,1.3913,1.3913,477138,0
APT,D,19970630,000000,1.3913,1.3913,1.3913,1.3913,335971,0
APT,D,19970701,000000,1.367,1.367,1.367,1.367,237834,0
APT,D,19970702,000000,1.367,1.367,1.367,1.367,183380,0
APT,D,19970703,000000,1.3793,1.3793,1.3793,1.3793,252109,0
APT,D,19970704,000000,1.434,1.434,1.434,1.434,366669,0
APT,D,19970707,000000,1.434,1.434,1.434,1.434,285997,0
APT,D,19970708,000000,1.44,1.44,1.44,1.44,92741,0
APT,D,19970709,000000,1.4946,1.4946,1.4946,1.4946,259924,0
APT,D,19970710,000000,1.4946,1.4946,1.4946,1.4946,1076207,0
APT,D,19970711,000000,1.4886,1.4886,1.4886,1.4886,901266,0
APT,D,19970714,000000,1.434,1.434,1.434,1.434,243029,0
APT,D,19970715,000000,1.3244,1.3244,1.3244,1.3244,295397,0
APT,D,19970716,000000,1.367,1.367,1.367,1.367,309861,0
APT,D,19970717,000000,1.3732,1.3732,1.3732,1.3732,215575,0
APT,D,19970718,000000,1.4098,1.4098,1.4098,1.4098,469474,0
APT,D,19970721,000000,1.3913,1.3913,1.3913,1.3913,237646,0
APT,D,19970722,000000,1.3913,1.3913,1.3913,1.3913,89740,0
APT,D,19970723,000000,1.3974,1.3974,1.3974,1.3974,186175,0
