<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH,D,20160322,000000,8.9106,8.9106,8.3894,8.6924,10871,0
ARH,D,20160323,000000,8.7487,8.7487,7.9351,8.5805,11734,0
ARH,D,20160324,000000,8.5518,8.6359,8.5518,8.6359,3100,0
ARH,D,20160329,000000,8.4679,8.4734,8.4116,8.4734,3300,0
ARH,D,20160330,000000,8.4734,8.6924,8.4734,8.687,6206,0
ARH,D,20160331,000000,8.4179,8.653,8.4179,8.653,37,0
ARH,D,20160401,000000,8.6091,8.6091,8.6091,8.6091,188,0
ARH,D,20160404,000000,8.6091,8.6091,8.6091,8.6091,294,0
ARH,D,20160405,000000,8.6091,8.6091,8.5518,8.5518,1975,0
ARH,D,20160406,000000,8.6091,8.6091,8.4679,8.4679,1257,0
ARH,D,20160407,000000,8.5518,8.5518,8.4394,8.4394,212,0
ARH,D,20160408,000000,8.4394,8.6924,8.4394,8.4457,4184,0
ARH,D,20160411,000000,8.6816,8.6816,8.6816,8.6816,1,0
ARH,D,20160412,000000,8.4457,8.6189,8.4394,8.6189,598,0
ARH,D,20160413,000000,8.6029,8.6029,8.4457,8.6029,469,0
ARH,D,20160414,000000,8.525,8.5805,8.525,8.5805,1435,0
ARH,D,20160415,000000,8.4116,8.5582,8.356,8.5582,3175,0
ARH,D,20160418,000000,8.4179,8.4179,8.4068,8.4068,1506,0
ARH,D,20160419,000000,8.3672,8.3672,8.3457,8.3457,1459,0
ARH,D,20160420,000000,8.3283,8.3283,7.9628,7.9747,2836,0
ARH,D,20160421,000000,8.1317,8.1881,8.1317,8.1317,1236,0
ARH,D,20160422,000000,8.1317,8.356,8.1317,8.356,197,0
ARH,D,20160425,000000,8.1881,8.1881,7.97,7.97,1800,0
ARH,D,20160426,000000,8.1595,8.525,8.1595,8.525,5198,0
ARH,D,20160427,000000,8.525,8.805,8.525,8.5295,14159,0
ARH,D,20160428,000000,8.5349,8.5349,8.5349,8.5349,527,0
ARH,D,20160502,000000,8.5805,8.5805,8.5805,8.5805,170,0
ARH,D,20160504,000000,8.2157,8.3782,8.2047,8.2047,2079,0
ARH,D,20160506,000000,8.2989,8.687,8.2989,8.356,1783,0
ARH,D,20160509,000000,8.4116,8.4116,8.4116,8.4116,19,0
ARH,D,20160510,000000,8.4116,8.4512,8.4116,8.4512,1286,0
ARH,D,20160511,000000,8.4227,8.7433,8.4227,8.6924,4987,0
ARH,D,20160512,000000,8.7156,8.7156,8.5805,8.653,4476,0
ARH,D,20160513,000000,8.6359,8.6359,8.6359,8.6359,356,0
ARH,D,20160516,000000,8.67,8.687,8.6476,8.687,1569,0
ARH,D,20160517,000000,8.6924,8.6924,8.6655,8.6655,2789,0
ARH,D,20160518,000000,8.6359,8.6359,8.6359,8.6359,107,0
ARH,D,20160519,000000,8.5805,8.6924,8.5805,8.6924,19361,0
ARH,D,20160520,000000,8.7433,8.7487,8.7433,8.7487,4986,0
ARH,D,20160523,000000,8.6359,8.6359,8.5805,8.5805,1159,0
ARH,D,20160524,000000,8.6924,8.7487,8.6924,8.6977,1727,0
ARH,D,20160525,000000,8.7487,8.7487,8.7487,8.7487,858,0
ARH,D,20160530,000000,8.6924,8.6924,8.5859,8.6924,687,0
ARH,D,20160531,000000,8.6655,8.6924,8.5805,8.6924,2886,0
ARH,D,20160601,000000,8.5859,8.5859,8.4345,8.4345,1670,0
ARH,D,20160602,000000,8.4179,8.7487,8.4116,8.7487,6439,0
ARH,D,20160603,000000,8.7487,8.7487,8.7487,8.7487,141,0
ARH,D,20160606,000000,8.7487,8.7487,8.525,8.525,610,0
ARH,D,20160607,000000,8.5134,8.7371,8.5134,8.7371,1854,0
ARH,D,20160608,000000,8.4964,8.5805,8.4964,8.5805,1694,0
ARH,D,20160609,000000,8.5805,8.5805,8.5805,8.5805,269,0
ARH,D,20160610,000000,8.525,8.525,8.525,8.525,1783,0
ARH,D,20160614,000000,8.5295,8.5295,8.4179,8.4179,750,0
ARH,D,20160615,000000,8.4179,8.4179,8.4116,8.4116,703,0
ARH,D,20160616,000000,8.356,8.356,8.2435,8.2435,360,0
ARH,D,20160620,000000,8.2435,8.249,8.2435,8.2435,894,0
ARH,D,20160621,000000,8.0255,8.0255,8.0255,8.0255,72,0
ARH,D,20160622,000000,8.2332,8.3457,8.2332,8.3457,394,0
ARH,D,20160624,000000,8.0255,8.1262,7.5703,8.0984,7551,0
ARH,D,20160627,000000,8.3854,8.3854,8.3259,8.3854,2891,0
ARH,D,20160628,000000,8.3854,8.3854,8.3854,8.3854,706,0
ARH,D,20160629,000000,8.3259,8.6842,8.3259,8.679,1186,0
ARH,D,20160630,000000,8.5063,8.5063,8.5063,8.5063,5,0
ARH,D,20160701,000000,8.4457,8.4512,8.4457,8.4512,619,0
ARH,D,20160704,000000,8.5063,8.5063,8.2656,8.2656,3687,0
ARH,D,20160705,000000,8.3259,8.3259,7.9953,7.9953,452,0
ARH,D,20160706,000000,7.9668,7.9787,7.9668,7.9668,2035,0
ARH,D,20160707,000000,7.9668,8.0262,7.9668,8.0262,2690,0
ARH,D,20160712,000000,8.0801,8.0858,8.0801,8.0858,720,0
ARH,D,20160713,000000,8.0262,8.0262,8.0262,8.0262,94,0
ARH,D,20160714,000000,7.9121,7.9121,7.9121,7.9121,121,0
ARH,D,20160715,000000,8.1166,8.1166,8.1166,8.1166,125,0
ARH,D,20160718,000000,8.1166,8.1166,7.9787,7.9787,672,0
ARH,D,20160719,000000,7.9668,7.9668,7.9422,7.9422,1937,0
ARH,D,20160720,000000,7.9597,8.1397,7.9597,8.1397,3857,0
ARH,D,20160721,000000,8.1397,8.1397,7.9121,7.9312,253,0
ARH,D,20160722,000000,8.2474,8.2656,8.2474,8.2656,1326,0
ARH,D,20160725,000000,8.3854,8.6842,8.092,8.6842,2589,0
ARH,D,20160726,000000,8.6842,8.7872,8.6842,8.7872,1737,0
ARH,D,20160727,000000,8.805,8.805,8.7872,8.7872,168,0
ARH,D,20160728,000000,8.6842,8.6842,8.6842,8.6842,168,0
ARH,D,20160729,000000,8.679,8.9545,8.679,8.9545,629,0
ARH,D,20160801,000000,8.6485,8.6485,8.6485,8.6485,168,0
ARH,D,20160804,000000,8.8945,8.8945,8.8945,8.8945,40,0
ARH,D,20160808,000000,8.6548,8.6548,8.6548,8.6548,510,0
ARH,D,20160809,000000,8.679,8.679,8.679,8.679,168,0
ARH,D,20160810,000000,8.679,8.679,8.6485,8.6485,333,0
ARH,D,20160811,000000,8.6842,8.6842,8.6842,8.6842,318,0
ARH,D,20160812,000000,8.7156,8.978,8.7156,8.978,1420,0
ARH,D,20160816,000000,8.6968,8.978,8.6485,8.978,342,0
ARH,D,20160817,000000,8.6548,8.978,8.6548,8.978,40,0
ARH,D,20160818,000000,8.978,8.978,8.978,8.978,249,0
ARH,D,20160824,000000,8.8641,8.8641,8.6315,8.8346,1122,0
ARH,D,20160829,000000,8.6253,8.805,8.6253,8.805,386,0
ARH,D,20160830,000000,8.661,8.661,8.6253,8.6253,1126,0
ARH,D,20160831,000000,8.805,9.0261,8.6842,8.9545,13138,0
ARH,D,20160901,000000,8.9545,8.9733,8.9545,8.9733,1366,0
ARH,D,20160902,000000,8.9545,8.9545,8.6548,8.925,1147,0
ARH,D,20160905,000000,8.9186,8.9186,8.6548,8.805,744,0
ARH,D,20160906,000000,8.6736,8.8945,8.6736,8.8945,1151,0
ARH,D,20160907,000000,8.8829,8.9855,8.8829,8.9855,8472,0
ARH,D,20160908,000000,8.978,9.1045,8.925,9.1045,62985,0
ARH,D,20160909,000000,9.0441,9.2545,8.9855,9.1045,91553,0
ARH,D,20160912,000000,8.8945,8.8945,8.805,8.805,29991,0
ARH,D,20160913,000000,8.805,8.805,8.805,8.805,3654,0
ARH,D,20160914,000000,8.7219,8.7219,8.7219,8.7219,33,0
ARH,D,20160915,000000,8.7263,9.1941,8.7219,9.1582,16640,0
ARH,D,20160916,000000,9.1752,9.1941,9.1639,9.1752,584,0
ARH,D,20160919,000000,9.1639,9.1941,9.1639,9.1941,5490,0
ARH,D,20160920,000000,9.1045,9.1941,8.9903,9.0441,495,0
ARH,D,20160921,000000,9.0563,9.2234,9.0563,9.1941,5125,0
ARH,D,20160923,000000,9.1941,9.2234,9.1941,9.2234,972,0
ARH,D,20160926,000000,9.2234,9.2658,8.9545,9.2658,4219,0
ARH,D,20160927,000000,9.0799,9.2658,9.0743,9.2658,139,0
ARH,D,20160928,000000,9.0743,9.2658,8.9855,9.2592,127,0
ARH,D,20160929,000000,9.2234,9.3432,9.2234,9.3432,30827,0
ARH,D,20160930,000000,9.3432,9.4036,9.3432,9.4036,834,0
