<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20071030,000000,3.4836,3.705,3.3224,3.4683,259846,0
ASB,D,20071031,000000,3.4632,3.4632,3.3475,3.3475,43794,0
ASB,D,20071102,000000,3.3727,3.448,3.3475,3.3978,49027,0
ASB,D,20071105,000000,3.4632,3.4632,3.3475,3.3475,38205,0
ASB,D,20071106,000000,3.3978,3.3978,3.3727,3.3978,26289,0
ASB,D,20071107,000000,3.3978,3.4029,3.2217,3.2217,87619,0
ASB,D,20071108,000000,3.247,3.3173,2.9247,3.3173,65505,0
ASB,D,20071109,000000,3.0958,3.3224,3.0958,3.3173,28473,0
ASB,D,20071112,000000,3.4683,3.4683,3.1211,3.2721,22487,0
ASB,D,20071113,000000,3.3224,3.3375,3.2721,3.2721,104048,0
ASB,D,20071114,000000,3.4734,3.4734,3.2721,3.3928,681,0
ASB,D,20071115,000000,3.2721,3.3375,3.0303,3.3375,11441,0
ASB,D,20071116,000000,3.2669,3.2721,3.2669,3.2721,2599,0
ASB,D,20071119,000000,3.3224,3.3375,3.3224,3.3375,196,0
ASB,D,20071120,000000,3.3224,3.3224,3.1411,3.1411,940,0
ASB,D,20071121,000000,2.9851,2.9851,2.7686,2.7686,2863,0
ASB,D,20071122,000000,2.7686,2.7686,2.7686,2.7686,1391,0
ASB,D,20071123,000000,2.522,3.116,2.522,3.116,895,0
ASB,D,20071126,000000,3.3173,3.3375,3.0204,3.0204,11782,0
ASB,D,20071127,000000,3.0204,3.1662,3.0204,3.0958,1695,0
ASB,D,20071128,000000,2.9197,3.2721,2.9197,3.2721,24203,0
ASB,D,20071130,000000,2.9951,3.3727,2.9951,3.3727,172716,0
ASB,D,20071203,000000,3.3727,3.4734,3.2721,3.4734,64924,0
ASB,D,20071205,000000,3.3677,3.423,3.2016,3.3727,15775,0
ASB,D,20071206,000000,3.3727,3.4683,3.3727,3.4683,18019,0
ASB,D,20071210,000000,3.2669,3.3677,3.2669,3.2771,2044,0
ASB,D,20071211,000000,3.2721,3.6494,3.2721,3.6494,149875,0
ASB,D,20071212,000000,3.6596,3.6596,3.5336,3.6244,13066,0
ASB,D,20071213,000000,3.5336,3.6194,3.5336,3.6194,1687,0
ASB,D,20071214,000000,3.4836,3.6244,3.2721,3.6244,202639,0
ASB,D,20071217,000000,3.6194,3.6194,3.5589,3.5589,1302,0
ASB,D,20071218,000000,3.5237,3.5237,3.5237,3.5237,398,0
ASB,D,20071219,000000,3.6244,3.6244,3.6244,3.6244,3973,0
ASB,D,20071220,000000,3.6244,3.9767,3.6244,3.9767,43814,0
ASB,D,20071221,000000,3.9767,4.2788,3.9767,4.1277,18569,0
ASB,D,20071227,000000,4.1328,4.4801,4.1277,4.2788,11522,0
ASB,D,20071228,000000,4.455,4.5305,4.304,4.4297,39649,0
ASB,D,20080102,000000,4.606,4.606,4.4297,4.5305,13317,0
ASB,D,20080103,000000,4.4801,4.5305,4.2788,4.2788,11492,0
ASB,D,20080104,000000,4.2788,4.2788,4.2788,4.2788,3712,0
ASB,D,20080107,000000,4.1882,4.1882,3.871,4.027,9441,0
ASB,D,20080108,000000,3.8759,3.881,3.8759,3.881,3333,0
ASB,D,20080109,000000,3.6747,3.8258,3.5741,3.8258,12695,0
ASB,D,20080110,000000,3.6747,3.72,3.5741,3.72,4576,0
ASB,D,20080111,000000,3.6747,3.6747,3.5286,3.6494,6640,0
ASB,D,20080114,000000,3.6646,3.6646,3.3224,3.5237,12171,0
ASB,D,20080115,000000,3.5237,3.7753,3.5237,3.6244,6011,0
ASB,D,20080116,000000,3.423,3.5237,3.1211,3.423,16448,0
ASB,D,20080117,000000,3.3224,3.6747,3.3224,3.3727,75495,0
ASB,D,20080118,000000,3.5237,3.5237,3.423,3.4331,4566,0
ASB,D,20080121,000000,3.5237,3.5237,3.1008,3.3475,6311,0
ASB,D,20080122,000000,3.448,3.448,3.2721,3.2721,1194,0
ASB,D,20080123,000000,3.4331,3.448,3.2721,3.2721,36054,0
ASB,D,20080124,000000,3.3224,3.5991,3.2721,3.5991,3528,0
ASB,D,20080125,000000,3.9767,3.9767,3.5489,3.5991,11303,0
ASB,D,20080128,000000,3.6244,3.6244,3.3224,3.3576,1786,0
ASB,D,20080129,000000,3.4079,3.7653,3.3727,3.3727,3027,0
ASB,D,20080130,000000,3.423,3.6646,3.2971,3.6646,7803,0
ASB,D,20080131,000000,3.725,3.725,3.5237,3.5237,12818,0
ASB,D,20080201,000000,3.5791,3.5791,3.4282,3.5791,3826,0
ASB,D,20080204,000000,3.6494,3.6494,3.5237,3.5237,70895,0
ASB,D,20080205,000000,3.5237,3.5237,3.423,3.423,26308,0
ASB,D,20080206,000000,3.3224,3.423,3.2721,3.423,69668,0
ASB,D,20080207,000000,3.3727,3.5237,3.3323,3.5237,104160,0
ASB,D,20080211,000000,3.5137,3.6998,3.5137,3.6998,1905,0
ASB,D,20080212,000000,3.6747,3.6747,3.5791,3.6494,3277,0
ASB,D,20080213,000000,3.6244,3.6244,3.6244,3.6244,398,0
ASB,D,20080214,000000,3.6747,3.6747,3.4734,3.6244,4600,0
ASB,D,20080215,000000,3.4734,3.5991,3.4734,3.5991,1987,0
ASB,D,20080218,000000,3.5237,3.5991,3.3224,3.5991,3335,0
ASB,D,20080219,000000,3.3475,3.5489,3.3475,3.5489,3992,0
ASB,D,20080220,000000,3.3727,3.5137,3.3224,3.5137,3457,0
ASB,D,20080221,000000,3.3525,3.5137,3.3224,3.5086,114397,0
ASB,D,20080222,000000,3.3727,3.4734,3.3727,3.4734,1990,0
ASB,D,20080225,000000,3.5086,3.5086,3.3224,3.4734,67555,0
ASB,D,20080226,000000,3.4734,3.5036,3.4734,3.5036,2620,0
ASB,D,20080227,000000,3.4734,3.4836,3.4734,3.4734,21948,0
ASB,D,20080228,000000,3.4734,3.4734,3.2971,3.4632,12993,0
ASB,D,20080229,000000,3.5188,3.5991,3.4381,3.589,26781,0
ASB,D,20080303,000000,3.5741,3.5741,3.5188,3.5237,12716,0
ASB,D,20080304,000000,3.5439,3.5439,3.423,3.4734,12380,0
ASB,D,20080305,000000,3.423,3.5741,3.423,3.5741,45467,0
ASB,D,20080306,000000,3.6698,4.027,3.5741,3.851,17949,0
ASB,D,20080307,000000,3.5741,4.0168,3.5741,3.9264,31219,0
ASB,D,20080310,000000,3.9767,4.1025,3.9264,4.1025,21277,0
ASB,D,20080311,000000,4.027,4.2537,4.027,4.2537,12024,0
ASB,D,20080312,000000,4.2788,4.3795,4.2788,4.3795,11997,0
ASB,D,20080313,000000,4.0422,4.3291,4.0422,4.3291,257,0
ASB,D,20080314,000000,4.0773,4.4048,4.0773,4.2386,17889,0
ASB,D,20080317,000000,4.4297,4.4297,4.1025,4.1025,888,0
ASB,D,20080318,000000,4.4048,4.4048,4.032,4.3795,6907,0
ASB,D,20080319,000000,4.2284,4.3241,4.1781,4.3241,3000,0
ASB,D,20080320,000000,4.1176,4.3241,3.9264,4.319,12702,0
ASB,D,20080325,000000,4.1781,4.3746,4.1781,4.3543,8983,0
ASB,D,20080326,000000,4.3291,4.3997,4.2284,4.2284,217824,0
ASB,D,20080327,000000,4.2336,4.4297,4.2336,4.4297,217425,0
ASB,D,20080328,000000,4.4297,4.47,4.2839,4.4297,4905,0
ASB,D,20080331,000000,4.4297,4.4605,4.2817,4.4297,2185,0
ASB,D,20080401,000000,4.4297,4.5305,4.304,4.3291,9837,0
ASB,D,20080402,000000,4.304,4.5204,4.2336,4.5204,1183,0
ASB,D,20080403,000000,4.5305,4.5305,4.4801,4.4801,1808,0
ASB,D,20080404,000000,4.4348,4.5154,4.4348,4.5154,419,0
ASB,D,20080407,000000,4.5103,4.5103,4.2889,4.3291,227343,0
ASB,D,20080408,000000,4.3795,4.3795,4.3291,4.3291,1037,0
ASB,D,20080409,000000,4.2788,4.2788,4.1378,4.1378,200939,0
ASB,D,20080410,000000,4.1025,4.2284,4.1025,4.2284,42469,0
ASB,D,20080411,000000,4.1981,4.319,4.0373,4.2788,31127,0
ASB,D,20080414,000000,4.0673,4.2686,4.0673,4.2686,208477,0
ASB,D,20080416,000000,4.1025,4.2636,4.1025,4.1025,1346,0
ASB,D,20080417,000000,4.027,4.027,4.027,4.027,2481,0
ASB,D,20080418,000000,3.7501,4.0975,3.7501,4.0975,7545,0
ASB,D,20080421,000000,4.2586,4.2586,3.9817,4.0018,869,0
ASB,D,20080422,000000,3.8759,4.0221,3.8759,4.0221,13740,0
ASB,D,20080425,000000,4.0119,4.027,4.0119,4.027,4714,0
ASB,D,20080428,000000,4.027,4.027,4.027,4.027,191,0
ASB,D,20080505,000000,4.027,4.032,4.027,4.032,1169,0
ASB,D,20080507,000000,4.027,4.2788,4.027,4.1328,256285,0
ASB,D,20080508,000000,4.1277,4.2788,4.0673,4.2788,11930,0
ASB,D,20080509,000000,4.2788,4.2788,4.0975,4.2788,430013,0
ASB,D,20080512,000000,4.3785,4.4655,4.2919,4.4655,15588,0
ASB,D,20080513,000000,4.4297,4.4297,4.4297,4.4297,24,0
ASB,D,20080514,000000,4.4248,4.4248,4.2355,4.3735,2811,0
ASB,D,20080515,000000,4.1076,4.3746,4.1076,4.3746,398,0
ASB,D,20080516,000000,4.4297,4.4297,4.4297,4.4297,1987,0
ASB,D,20080519,000000,4.4706,4.5319,4.1078,4.5319,7996,0
ASB,D,20080520,000000,4.5267,4.5267,4.3072,4.4297,1733,0
ASB,D,20080521,000000,4.5882,4.5882,4.5882,4.5882,218,0
ASB,D,20080523,000000,4.3686,4.3686,4.2406,4.3429,71011,0
ASB,D,20080527,000000,4.3429,4.5371,4.2,4.2,420,0
ASB,D,20080528,000000,4.2,4.5217,4.2,4.5217,102042,0
ASB,D,20080529,000000,4.4963,4.4963,4.2662,4.491,1779,0
ASB,D,20080530,000000,4.4452,4.491,4.4452,4.491,5991,0
ASB,D,20080602,000000,4.2766,4.491,4.2766,4.491,23225,0
ASB,D,20080603,000000,4.3174,4.5217,4.3174,4.5217,2914,0
ASB,D,20080605,000000,4.4706,4.4706,4.3429,4.3429,479,0
ASB,D,20080606,000000,4.2561,4.5319,4.2561,4.5319,1860,0
ASB,D,20080609,000000,4.2817,4.4197,4.2817,4.4197,5779,0
ASB,D,20080611,000000,4.2817,4.2817,4.2817,4.2817,352,0
ASB,D,20080612,000000,4.2817,4.394,4.0875,4.394,10388,0
ASB,D,20080613,000000,4.4197,4.4197,4.4197,4.4197,1956,0
ASB,D,20080616,000000,4.1232,4.4197,4.1232,4.4197,407,0
ASB,D,20080620,000000,4.2152,4.3429,4.2152,4.3429,574,0
ASB,D,20080623,000000,4.4197,4.4197,4.4197,4.4197,5,0
ASB,D,20080630,000000,4.1386,4.4197,4.1386,4.4197,6279,0
ASB,D,20080701,000000,4.1386,4.3378,4.113,4.3378,3529,0
ASB,D,20080703,000000,4.0875,4.1897,3.832,4.1897,3304,0
ASB,D,20080708,000000,4.3327,4.3327,4.3327,4.3327,3,0
ASB,D,20080711,000000,4.3429,4.3429,3.9852,4.1386,3081,0
ASB,D,20080714,000000,3.9852,4.0823,3.9852,4.0823,546,0
ASB,D,20080721,000000,3.9852,4.0823,3.9852,4.0823,1786,0
ASB,D,20080723,000000,4.2919,4.2919,3.8422,4.0875,10871,0
ASB,D,20080724,000000,4.1591,4.1591,4.1591,4.1591,194,0
ASB,D,20080725,000000,4.2919,4.2919,3.832,4.0875,884,0
ASB,D,20080730,000000,3.8882,4.0823,3.8832,4.0823,7254,0
ASB,D,20080731,000000,3.832,3.9852,3.832,3.9852,536,0
ASB,D,20080804,000000,3.9852,4.3429,3.9852,4.3429,121,0
