<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASE,D,20091028,000000,10.186,12.255,10.186,10.882,10786,0
ASE,D,20091029,000000,10.756,12.021,10.756,10.978,8804,0
ASE,D,20091030,000000,11.705,11.705,11.072,11.13,10894,0
ASE,D,20091102,000000,11.155,11.198,10.749,10.876,3154,0
ASE,D,20091103,000000,10.749,10.882,10.408,10.749,1481,0
ASE,D,20091104,000000,10.408,11.072,10.408,11.072,138,0
ASE,D,20091105,000000,11.072,11.072,11.072,11.072,190,0
ASE,D,20091106,000000,11.072,12.021,11.072,11.072,2903,0
ASE,D,20091109,000000,11.072,11.325,11.072,11.072,1753,0
ASE,D,20091110,000000,11.072,11.198,11.072,11.072,739,0
ASE,D,20091112,000000,11.072,11.072,11.01,11.01,353,0
ASE,D,20091116,000000,11.01,11.01,11.01,11.01,508,0
ASE,D,20091118,000000,10.946,11.01,10.946,10.946,54,0
ASE,D,20091119,000000,10.896,10.896,10.762,10.762,207,0
ASE,D,20091123,000000,11.072,11.072,11.072,11.072,314,0
ASE,D,20091124,000000,11.072,11.072,11.072,11.072,159,0
ASE,D,20091125,000000,11.072,11.072,11.041,11.041,4,0
ASE,D,20091126,000000,9.94,10.946,9.94,10.946,11571,0
ASE,D,20091203,000000,9.871,10.749,9.871,10.749,3635,0
ASE,D,20091204,000000,10.072,10.749,10.072,10.749,303,0
ASE,D,20091217,000000,10.504,10.756,10.504,10.756,301,0
ASE,D,20091218,000000,9.902,10.756,9.902,10.756,1513,0
ASE,D,20091221,000000,10.756,10.756,10.756,10.756,686,0
ASE,D,20091228,000000,10.756,10.756,10.756,10.756,697,0
ASE,D,20091229,000000,10.756,10.756,10.756,10.756,49,0
ASE,D,20091231,000000,10.756,10.756,10.756,10.756,2106,0
ASE,D,20100104,000000,9.815,10.749,9.815,10.749,123,0
ASE,D,20100105,000000,10.13,10.25,10.123,10.25,1486,0
ASE,D,20100106,000000,10.25,10.25,10.25,10.25,397,0
ASE,D,20100107,000000,10.44,10.44,10.25,10.434,354,0
ASE,D,20100108,000000,10.123,10.218,10.123,10.218,475,0
ASE,D,20100112,000000,9.815,10.116,9.807,10.105,16553,0
ASE,D,20100113,000000,10.244,10.244,10.237,10.237,103,0
ASE,D,20100114,000000,9.807,10.231,9.807,10.231,15853,0
ASE,D,20100115,000000,10.123,10.123,10.123,10.123,156,0
ASE,D,20100122,000000,9.4648,10.123,9.4648,10.123,191,0
ASE,D,20100126,000000,10.116,10.116,10.116,10.116,77,0
ASE,D,20100202,000000,9.3693,10.11,9.3693,10.11,237,0
ASE,D,20100205,000000,9.3897,9.3897,9.3819,9.3819,401,0
ASE,D,20100216,000000,9.3693,9.3693,9.3693,9.3693,129,0
ASE,D,20100222,000000,8.8568,9.0478,8.8568,9.0478,236,0
ASE,D,20100226,000000,9.3634,9.3771,9.3634,9.3771,311,0
ASE,D,20100302,000000,9.4278,9.4278,9.4278,9.4278,112,0
ASE,D,20100304,000000,9.4911,9.4911,9.4911,9.4911,63,0
ASE,D,20100310,000000,9.4911,9.4911,9.4911,9.4911,1359,0
ASE,D,20100311,000000,9.1742,9.1742,9.1742,9.1742,63,0
ASE,D,20100312,000000,9.4911,10.054,9.4911,10.054,6704,0
ASE,D,20100315,000000,10.123,10.123,10.123,10.123,642,0
ASE,D,20100317,000000,10.631,10.749,10.566,10.566,558,0
ASE,D,20100318,000000,10.749,10.756,10.724,10.724,4333,0
ASE,D,20100329,000000,9.807,10.724,9.807,10.724,317,0
ASE,D,20100330,000000,10.724,10.749,10.724,10.749,260,0
ASE,D,20100331,000000,10.757,10.757,10.661,10.661,1549,0
ASE,D,20100401,000000,10.687,10.692,10.687,10.692,2,0
ASE,D,20100406,000000,10.661,10.661,10.376,10.44,808,0
ASE,D,20100412,000000,10.123,10.408,10.028,10.25,1016,0
ASE,D,20100413,000000,9.4979,9.871,9.4911,9.566,938,0
ASE,D,20100414,000000,10.44,10.44,10.44,10.44,159,0
ASE,D,20100415,000000,10.098,10.123,9.4979,10.054,2088,0
ASE,D,20100416,000000,9.679,10.25,9.679,9.807,1744,0
