<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC,D,20091023,000000,12.797,13.004,12.467,12.715,138504,0
ATC,D,20091026,000000,12.789,12.789,12.599,12.633,20699,0
ATC,D,20091027,000000,12.633,12.864,12.467,12.864,83543,0
ATC,D,20091028,000000,12.789,12.789,12.459,12.476,17516,0
ATC,D,20091029,000000,12.484,12.484,12.054,12.228,30311,0
ATC,D,20091030,000000,12.087,12.22,12.054,12.137,22771,0
ATC,D,20091102,000000,12.22,12.22,12.096,12.137,32450,0
ATC,D,20091103,000000,12.137,12.377,11.972,12.261,6213,0
ATC,D,20091104,000000,12.343,12.343,12.137,12.137,6764,0
ATC,D,20091105,000000,12.013,12.377,12.013,12.029,7146,0
ATC,D,20091106,000000,12.054,12.277,11.93,12.269,5837,0
ATC,D,20091109,000000,12.021,12.797,12.021,12.484,14095,0
ATC,D,20091110,000000,12.673,12.673,12.401,12.55,11952,0
ATC,D,20091112,000000,12.509,12.55,12.368,12.368,14294,0
ATC,D,20091113,000000,12.425,12.467,12.425,12.467,1230,0
ATC,D,20091116,000000,12.633,12.748,12.393,12.492,13232,0
ATC,D,20091117,000000,12.401,12.467,12.384,12.384,3189,0
ATC,D,20091118,000000,12.384,12.384,12.137,12.22,9364,0
ATC,D,20091119,000000,12.178,12.253,12.079,12.096,6507,0
ATC,D,20091120,000000,12.178,12.269,12.063,12.269,1720,0
ATC,D,20091123,000000,12.054,12.137,12.054,12.104,221,0
ATC,D,20091124,000000,12.104,12.169,12.063,12.096,3757,0
ATC,D,20091125,000000,12.096,12.128,11.98,11.98,3066,0
ATC,D,20091126,000000,12.045,12.045,11.807,11.889,1786,0
ATC,D,20091127,000000,11.558,11.872,11.476,11.856,30225,0
ATC,D,20091130,000000,11.609,11.972,11.517,11.849,13496,0
ATC,D,20091201,000000,11.724,11.757,11.575,11.716,12988,0
ATC,D,20091202,000000,11.716,11.724,11.558,11.716,45839,0
ATC,D,20091203,000000,11.567,12.261,11.558,12.261,46630,0
ATC,D,20091204,000000,12.244,12.384,11.98,12.36,10192,0
ATC,D,20091207,000000,12.36,12.36,12.137,12.294,10574,0
ATC,D,20091208,000000,12.368,13.408,12.368,13.061,447855,0
ATC,D,20091209,000000,13.227,13.747,13.168,13.623,251186,0
ATC,D,20091210,000000,13.78,13.804,13.309,13.376,51348,0
ATC,D,20091211,000000,13.459,13.532,13.251,13.4,45051,0
ATC,D,20091214,000000,13.301,13.417,13.127,13.293,42201,0
ATC,D,20091215,000000,13.243,13.376,13.243,13.342,35843,0
ATC,D,20091216,000000,13.243,13.441,13.219,13.441,78325,0
ATC,D,20091217,000000,13.417,13.532,13.251,13.367,81915,0
ATC,D,20091218,000000,13.417,13.417,13.111,13.376,76896,0
ATC,D,20091221,000000,13.376,13.417,13.335,13.335,23537,0
ATC,D,20091222,000000,13.335,13.342,13.168,13.335,45598,0
ATC,D,20091223,000000,13.359,13.359,13.177,13.351,10870,0
ATC,D,20091228,000000,13.335,13.367,13.293,13.335,6871,0
ATC,D,20091229,000000,13.309,13.441,13.26,13.335,11243,0
ATC,D,20091230,000000,13.293,13.433,13.293,13.367,2387,0
ATC,D,20091231,000000,13.342,13.376,13.251,13.335,1999,0
ATC,D,20100104,000000,13.335,13.417,13.136,13.376,38360,0
ATC,D,20100105,000000,13.424,13.532,13.293,13.459,47846,0
ATC,D,20100106,000000,13.433,13.459,13.351,13.376,57933,0
ATC,D,20100107,000000,13.459,13.459,13.168,13.21,15211,0
ATC,D,20100108,000000,13.284,13.284,12.772,12.772,28583,0
ATC,D,20100111,000000,12.789,12.963,12.467,12.492,147634,0
ATC,D,20100112,000000,12.492,12.592,12.301,12.45,73166,0
ATC,D,20100113,000000,12.467,13.127,12.442,13.053,534159,0
ATC,D,20100114,000000,13.21,13.21,12.797,12.797,65888,0
ATC,D,20100115,000000,12.797,13.045,12.557,12.88,4376,0
