<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATG,D,20040109,000000,1.1422,1.2119,1.1367,1.185,10908291,0
ATG,D,20040112,000000,1.1798,1.1798,1.1098,1.1422,860400,0
ATG,D,20040113,000000,1.1367,1.1635,1.1153,1.1581,1370839,0
ATG,D,20040114,000000,1.1367,1.1422,1.1261,1.1261,125386,0
ATG,D,20040115,000000,1.1153,1.1313,1.1153,1.1313,179785,0
ATG,D,20040116,000000,1.1313,1.1313,1.0938,1.0993,261964,0
ATG,D,20040119,000000,1.0993,1.0993,1.0561,1.0561,452439,0
ATG,D,20040120,000000,1.0617,1.0831,1.0617,1.0617,228326,0
ATG,D,20040121,000000,1.0617,1.0886,1.0617,1.0831,426732,0
ATG,D,20040122,000000,1.0723,1.0938,1.0723,1.0938,81521,0
ATG,D,20040123,000000,1.0993,1.1529,1.0938,1.1153,280392,0
ATG,D,20040126,000000,1.1367,1.1367,1.1261,1.1313,82826,0
ATG,D,20040127,000000,1.1474,1.1529,1.1045,1.1045,547332,0
ATG,D,20040128,000000,1.1098,1.1098,1.0831,1.0886,60836,0
ATG,D,20040129,000000,1.0723,1.0831,1.0723,1.0776,215342,0
ATG,D,20040130,000000,1.0723,1.0886,1.0723,1.0886,222006,0
ATG,D,20040202,000000,1.0938,1.0993,1.0886,1.0993,120600,0
ATG,D,20040203,000000,1.0993,1.1098,1.0886,1.0886,78114,0
ATG,D,20040204,000000,1.0886,1.1045,1.0831,1.1045,97577,0
ATG,D,20040205,000000,1.1153,1.1153,1.0723,1.0831,141899,0
ATG,D,20040206,000000,1.0723,1.0886,1.0723,1.0723,59724,0
ATG,D,20040209,000000,1.1098,1.1098,1.0886,1.1045,144543,0
ATG,D,20040210,000000,1.1045,1.1153,1.1045,1.1153,163775,0
ATG,D,20040211,000000,1.0993,1.1153,1.0993,1.1098,122283,0
ATG,D,20040212,000000,1.1153,1.1153,1.1045,1.1098,17276,0
ATG,D,20040213,000000,1.1098,1.1261,1.0993,1.1045,112781,0
ATG,D,20040216,000000,1.0886,1.1045,1.0886,1.1045,9196,0
ATG,D,20040217,000000,1.1098,1.1367,1.1098,1.1367,118990,0
ATG,D,20040218,000000,1.1367,1.1529,1.1367,1.1529,202083,0
ATG,D,20040219,000000,1.1367,1.1474,1.1261,1.1367,143969,0
ATG,D,20040220,000000,1.1153,1.1635,1.1153,1.1635,133701,0
ATG,D,20040223,000000,1.1474,1.1798,1.1474,1.1635,91026,0
ATG,D,20040224,000000,1.1689,1.1798,1.1529,1.1743,384284,0
ATG,D,20040225,000000,1.1743,1.2225,1.1743,1.2225,186108,0
ATG,D,20040226,000000,1.2171,1.3297,1.2171,1.3137,586369,0
ATG,D,20040227,000000,1.3244,1.3244,1.2709,1.3244,402289,0
ATG,D,20040301,000000,1.3457,1.3566,1.2654,1.3405,500364,0
ATG,D,20040302,000000,1.3405,1.3405,1.3137,1.335,429797,0
ATG,D,20040303,000000,1.3244,1.3297,1.3137,1.3137,98993,0
ATG,D,20040304,000000,1.303,1.303,1.2815,1.2922,188676,0
ATG,D,20040305,000000,1.2761,1.2922,1.2761,1.287,269011,0
ATG,D,20040308,000000,1.287,1.2976,1.2385,1.2976,426694,0
ATG,D,20040309,000000,1.2761,1.287,1.2654,1.2654,28040,0
ATG,D,20040310,000000,1.2385,1.2654,1.2385,1.2546,169329,0
ATG,D,20040311,000000,1.2492,1.2492,1.2492,1.2492,138258,0
ATG,D,20040312,000000,1.2333,1.2654,1.2333,1.2654,35052,0
ATG,D,20040315,000000,1.2654,1.2654,1.1689,1.2171,83172,0
