<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT,D,20190514,000000,22.402,22.605,20.926,21.519,386078,0
BBT,D,20190515,000000,21.815,26.948,21.815,26.948,329419,0
BBT,D,20190516,000000,28.231,29.218,24.184,24.677,350808,0
BBT,D,20190517,000000,24.677,25.862,22.93,25.072,149543,0
BBT,D,20190520,000000,25.467,25.467,22.999,23.118,49586,0
BBT,D,20190521,000000,23.197,23.986,21.835,22.605,61428,0
BBT,D,20190522,000000,22.289,22.289,19.796,20.403,166150,0
BBT,D,20190523,000000,20.038,21.351,19.762,20.778,32131,0
BBT,D,20190524,000000,20.926,24.381,20.739,24.381,124321,0
BBT,D,20190527,000000,23.888,24.352,22.412,23.098,72643,0
BBT,D,20190528,000000,23.295,24.184,22.723,22.901,35265,0
BBT,D,20190529,000000,23.177,23.295,21.598,22.308,23362,0
BBT,D,20190530,000000,21.519,23.493,20.334,21.825,100636,0
BBT,D,20190531,000000,21.825,22.299,20.966,21.519,25729,0
BBT,D,20190603,000000,21.716,22.052,21.124,21.124,10905,0
BBT,D,20190604,000000,21.223,22.002,21.223,21.469,14235,0
BBT,D,20190605,000000,21.42,22.012,21.134,21.519,10477,0
BBT,D,20190606,000000,21.321,21.321,19.248,20.423,72110,0
BBT,D,20190607,000000,20.226,20.729,19.786,20.038,31424,0
BBT,D,20190610,000000,20.226,20.226,19.248,19.742,23608,0
BBT,D,20190611,000000,19.15,19.742,18.765,18.854,20987,0
BBT,D,20190612,000000,18.765,19.337,17.057,17.373,44525,0
BBT,D,20190613,000000,17.373,18.755,17.175,17.175,22444,0
BBT,D,20190614,000000,17.689,18.163,17.057,18.003,10793,0
BBT,D,20190617,000000,18.261,18.261,17.274,17.866,2804,0
BBT,D,20190618,000000,18.163,18.163,16.978,17.373,8207,0
BBT,D,20190619,000000,17.373,17.373,15.991,16.109,30151,0
BBT,D,20190621,000000,16.188,17.225,16.188,16.787,20043,0
BBT,D,20190624,000000,16.781,16.781,15.912,16.366,6018,0
BBT,D,20190625,000000,16.366,17.462,14.915,16.978,35211,0
BBT,D,20190626,000000,16.702,17.215,16.2,17.027,3932,0
BBT,D,20190627,000000,17.324,17.965,16.836,17.027,13820,0
BBT,D,20190628,000000,17.274,17.639,16.682,17.472,8819,0
BBT,D,20190701,000000,18.155,18.745,17.472,18.261,22582,0
BBT,D,20190702,000000,18.212,20.611,18.212,19.939,54489,0
BBT,D,20190703,000000,19.939,19.939,19.073,19.643,16542,0
BBT,D,20190704,000000,19.683,19.742,18.261,18.755,21059,0
BBT,D,20190705,000000,18.557,18.755,17.866,18.212,22433,0
BBT,D,20190708,000000,18.607,18.755,17.965,18.36,6154,0
BBT,D,20190709,000000,18.557,19.051,18.36,18.755,4973,0
BBT,D,20190710,000000,19.039,19.15,18.557,18.834,4441,0
BBT,D,20190711,000000,19.045,19.045,18.439,19,3048,0
BBT,D,20190712,000000,18.992,18.992,18.755,18.755,2170,0
BBT,D,20190715,000000,19,19.969,18.952,19.296,16470,0
BBT,D,20190716,000000,19.541,20.235,18.952,19.446,20932,0
BBT,D,20190717,000000,19.929,20.038,19.584,19.747,11709,0
BBT,D,20190718,000000,20.127,20.127,19.446,19.885,5075,0
BBT,D,20190719,000000,19.742,20.137,19.485,20.008,3942,0
BBT,D,20190722,000000,20.018,20.087,19.26,19.742,4636,0
BBT,D,20190723,000000,19.949,19.949,19.248,19.545,5678,0
BBT,D,20190724,000000,19.545,19.545,19.248,19.248,3505,0
BBT,D,20190725,000000,19.446,19.446,17.965,18.409,26518,0
BBT,D,20190726,000000,18.409,18.459,18.103,18.425,6980,0
BBT,D,20190729,000000,18.425,18.528,18.064,18.311,6178,0
BBT,D,20190730,000000,18.407,18.755,18.064,18.261,4964,0
BBT,D,20190731,000000,18.686,18.686,17.669,18.261,10921,0
BBT,D,20190801,000000,18.358,18.358,18.163,18.261,3556,0
BBT,D,20190802,000000,18.36,18.36,17.876,18.261,2057,0
BBT,D,20190805,000000,18.261,18.261,17.274,17.568,6112,0
