<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX,D,19950525,000000,3.6897,3.6897,3.6897,3.6897,860494,0
BDX,D,19950526,000000,3.6897,3.6897,3.6897,3.6897,673898,0
BDX,D,19950529,000000,3.7675,3.7675,3.7675,3.7675,550504,0
BDX,D,19950530,000000,3.3986,3.3986,3.3986,3.3986,420339,0
BDX,D,19950531,000000,3.4375,3.4375,3.4375,3.4375,263435,0
BDX,D,19950601,000000,3.146,3.146,3.146,3.146,105849,0
BDX,D,19950602,000000,3.1848,3.1848,3.1848,3.1848,165473,0
BDX,D,19950605,000000,3.379,3.379,3.379,3.379,81530,0
BDX,D,19950606,000000,3.379,3.379,3.379,3.379,196209,0
BDX,D,19950607,000000,3.4375,3.4375,3.4375,3.4375,206267,0
BDX,D,19950608,000000,3.4375,3.4375,3.4375,3.4375,167429,0
BDX,D,19950609,000000,3.4179,3.4179,3.4179,3.4179,113958,0
BDX,D,19950612,000000,3.3208,3.3208,3.3208,3.3208,107654,0
BDX,D,19950613,000000,3.3401,3.3401,3.3401,3.3401,100292,0
BDX,D,19950614,000000,3.4179,3.4179,3.4179,3.4179,69780,0
BDX,D,19950616,000000,3.3401,3.3401,3.3401,3.3401,69606,0
BDX,D,19950619,000000,3.2237,3.2237,3.2237,3.2237,49478,0
BDX,D,19950620,000000,3.3015,3.3015,3.3015,3.3015,75575,0
BDX,D,19950621,000000,3.3015,3.3015,3.3015,3.3015,90870,0
BDX,D,19950622,000000,3.3015,3.3015,3.3015,3.3015,124194,0
BDX,D,19950623,000000,3.3401,3.3401,3.3401,3.3401,62272,0
BDX,D,19950626,000000,3.4956,3.4956,3.4956,3.4956,284791,0
BDX,D,19950627,000000,3.6121,3.6121,3.6121,3.6121,285850,0
BDX,D,19950628,000000,3.4956,3.4956,3.4956,3.4956,135315,0
BDX,D,19950629,000000,3.5732,3.5732,3.5732,3.5732,231023,0
BDX,D,19950630,000000,3.5927,3.5927,3.5927,3.5927,140982,0
BDX,D,19950703,000000,3.6897,3.6897,3.6897,3.6897,314114,0
BDX,D,19950704,000000,3.6508,3.6508,3.6508,3.6508,245421,0
BDX,D,19950705,000000,3.6121,3.6121,3.6121,3.6121,115864,0
BDX,D,19950706,000000,3.6313,3.6313,3.6313,3.6313,92800,0
BDX,D,19950707,000000,3.5927,3.5927,3.5927,3.5927,72789,0
BDX,D,19950710,000000,3.5927,3.5927,3.5927,3.5927,35212,0
