<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHW,D,19970630,000000,14.625,14.625,14.625,14.625,1908829,0
BHW,D,19970701,000000,14.859,14.859,14.859,14.859,3562838,0
BHW,D,19970702,000000,15.439,15.439,15.439,15.439,3268397,0
BHW,D,19970703,000000,15.627,15.627,15.627,15.627,1797420,0
BHW,D,19970704,000000,15.937,15.937,15.937,15.937,689158,0
BHW,D,19970707,000000,16.207,16.596,16.207,16.362,1081031,0
BHW,D,19970708,000000,16.747,16.747,16.4,16.631,1132909,0
BHW,D,19970709,000000,16.4,16.671,16.4,16.596,522768,0
BHW,D,19970710,000000,16.207,16.516,16.207,16.247,727214,0
BHW,D,19970711,000000,16.018,16.052,15.707,15.783,699045,0
BHW,D,19970714,000000,15.822,15.822,15.358,15.513,1310231,0
BHW,D,19970715,000000,15.439,15.627,15.439,15.594,1579175,0
BHW,D,19970716,000000,15.553,15.707,15.553,15.627,819306,0
BHW,D,19970717,000000,15.822,16.133,15.822,16.133,997925,0
BHW,D,19970718,000000,16.018,16.052,15.822,15.822,976084,0
BHW,D,19970721,000000,15.627,15.783,15.594,15.668,124572,0
BHW,D,19970722,000000,15.627,15.668,15.594,15.668,906064,0
BHW,D,19970723,000000,15.668,15.668,15.627,15.627,339112,0
BHW,D,19970724,000000,15.822,15.822,15.627,15.627,578264,0
BHW,D,19970725,000000,15.822,15.822,15.244,15.439,676900,0
BHW,D,19970728,000000,15.439,15.627,15.439,15.473,389738,0
BHW,D,19970729,000000,15.627,15.783,15.627,15.743,636424,0
BHW,D,19970730,000000,15.668,15.783,15.668,15.783,212175,0
BHW,D,19970731,000000,15.822,15.862,15.627,15.707,521487,0
BHW,D,19970801,000000,15.627,15.822,15.627,15.627,236537,0
BHW,D,19970804,000000,15.668,15.668,15.049,15.049,661122,0
BHW,D,19970805,000000,15.513,15.707,15.513,15.707,440616,0
BHW,D,19970806,000000,15.627,15.743,15.627,15.707,439915,0
BHW,D,19970807,000000,15.822,16.981,15.822,16.981,1126613,0
BHW,D,19970808,000000,17.404,18.717,17.404,18.408,1321468,0
BHW,D,19970811,000000,17.748,17.748,17.25,17.365,490117,0
BHW,D,19970812,000000,17.365,17.944,17.365,17.558,715379,0
BHW,D,19970813,000000,16.596,16.596,16.596,16.596,349472,0
BHW,D,19970814,000000,16.477,16.477,16.287,16.287,357510,0
BHW,D,19970818,000000,16.207,16.207,15.822,16.133,214188,0
BHW,D,19970819,000000,16.247,16.516,16.247,16.516,186312,0
BHW,D,19970820,000000,16.477,16.671,16.441,16.441,105863,0
BHW,D,19970821,000000,16.596,16.596,16.441,16.477,309452,0
BHW,D,19970822,000000,16.596,16.596,16.596,16.596,172657,0
BHW,D,19970825,000000,16.596,16.596,16.516,16.516,75961,0
BHW,D,19970826,000000,16.671,16.865,16.671,16.711,150116,0
BHW,D,19970827,000000,16.981,17.365,16.865,16.901,160961,0
BHW,D,19970828,000000,16.942,17.02,16.786,16.786,118139,0
BHW,D,19970829,000000,16.901,16.901,16.596,16.671,129051,0
BHW,D,19970901,000000,16.596,16.631,16.516,16.516,87160,0
BHW,D,19970902,000000,16.981,17.404,16.981,17.209,536879,0
BHW,D,19970903,000000,17.445,17.944,17.445,17.902,638143,0
BHW,D,19970904,000000,17.404,17.598,17.365,17.558,361972,0
BHW,D,19970905,000000,17.673,17.944,17.673,17.944,503169,0
BHW,D,19970908,000000,17.868,18.252,17.748,18.213,416444,0
BHW,D,19970909,000000,18.178,18.946,18.178,18.908,504206,0
BHW,D,19970910,000000,18.908,19.142,18.717,18.908,879438,0
BHW,D,19970911,000000,18.482,18.717,18.482,18.562,271302,0
BHW,D,19970912,000000,18.213,18.213,18.023,18.023,188362,0
BHW,D,19970915,000000,18.521,18.872,18.521,18.717,229533,0
BHW,D,19970916,000000,18.717,18.717,18.562,18.638,232659,0
BHW,D,19970917,000000,18.908,18.908,18.638,18.638,426243,0
BHW,D,19970918,000000,19.142,19.875,19.142,19.875,266285,0
BHW,D,19970919,000000,19.485,19.875,19.485,19.681,393071,0
BHW,D,19970922,000000,19.875,20.065,19.681,20.065,405426,0
BHW,D,19970923,000000,19.485,19.681,19.485,19.681,323023,0
BHW,D,19970924,000000,19.296,19.296,19.061,19.061,195974,0
BHW,D,19970925,000000,18.908,19.102,18.717,18.908,202549,0
BHW,D,19970926,000000,18.946,18.946,18.792,18.908,202460,0
BHW,D,19970929,000000,18.908,19.296,18.908,19.061,66110,0
BHW,D,19970930,000000,18.908,19.142,18.908,19.102,525730,0
BHW,D,19971001,000000,19.181,19.485,19.181,19.485,130965,0
BHW,D,19971002,000000,19.296,19.296,18.908,19.102,329678,0
BHW,D,19971003,000000,19.142,19.142,19.102,19.142,314351,0
BHW,D,19971006,000000,17.25,18.602,17.25,18.447,129119,0
BHW,D,19971007,000000,18.521,18.717,18.447,18.447,355152,0
BHW,D,19971008,000000,18.327,18.602,18.327,18.482,152884,0
BHW,D,19971009,000000,18.213,18.292,18.138,18.178,386972,0
