<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIP,D,20150401,000000,7.036,7.6487,6.3181,6.3852,14682,0
BIP,D,20150402,000000,6.9882,8.271,6.9882,7.6392,15064,0
BIP,D,20150407,000000,8.6156,8.6156,7.7444,7.821,2284,0
BIP,D,20150408,000000,8.0412,8.0412,8.0125,8.0412,2327,0
BIP,D,20150409,000000,7.8497,7.8497,7.8497,7.8497,397,0
BIP,D,20150410,000000,7.6679,7.6679,7.6583,7.6583,565,0
BIP,D,20150413,000000,7.6583,7.6583,7.6296,7.6296,521,0
BIP,D,20150414,000000,7.3233,7.3233,7.3233,7.3233,345,0
BIP,D,20150415,000000,7.0073,7.3712,7.0073,7.3712,616,0
BIP,D,20150416,000000,7.6392,7.6392,7.6392,7.6392,10,0
BIP,D,20150417,000000,7.5626,7.5626,7.5052,7.5052,361,0
BIP,D,20150420,000000,7.2084,7.6487,7.2084,7.6487,2634,0
BIP,D,20150422,000000,7.4668,7.4668,7.4668,7.4668,2152,0
BIP,D,20150423,000000,7.4668,7.4668,7.4668,7.4668,313,0
BIP,D,20150424,000000,7.5147,7.5147,7.5147,7.5147,96,0
BIP,D,20150427,000000,7.5913,7.5913,7.5913,7.5913,334,0
BIP,D,20150428,000000,7.5626,7.5626,7.5626,7.5626,334,0
BIP,D,20150429,000000,7.1892,7.1892,7.1797,7.1797,4826,0
BIP,D,20150505,000000,7.553,7.553,7.553,7.553,112,0
BIP,D,20150507,000000,7.5147,7.5147,7.1797,7.1797,1286,0
BIP,D,20150508,000000,7.1797,7.1797,7.1797,7.1797,6429,0
BIP,D,20150511,000000,7.6105,7.6105,7.6105,7.6105,734,0
BIP,D,20150514,000000,7.486,8.0412,7.486,8.0412,5460,0
BIP,D,20150515,000000,8.3284,8.5868,8.3189,8.5868,677,0
BIP,D,20150518,000000,8.6156,8.6156,7.8307,8.3954,742,0
BIP,D,20150519,000000,8.3954,8.3954,8.0412,8.0412,522,0
BIP,D,20150521,000000,8.0412,8.0412,8.0412,8.0412,835,0
BIP,D,20150522,000000,8.0412,8.0412,8.0412,8.0412,543,0
BIP,D,20150525,000000,8.137,8.137,8.137,8.137,52,0
BIP,D,20150526,000000,8.137,8.137,7.9455,7.9455,366,0
BIP,D,20150527,000000,8.0412,8.0412,8.0412,8.0412,157,0
BIP,D,20150601,000000,8.1274,8.1274,8.1274,8.1274,25,0
BIP,D,20150603,000000,7.9742,7.9742,7.9455,7.9455,1697,0
BIP,D,20150605,000000,7.6679,7.6679,7.6679,7.6679,77,0
BIP,D,20150608,000000,7.9742,7.9742,7.9742,7.9742,21,0
BIP,D,20150610,000000,7.9455,7.9455,7.9455,7.9455,313,0
BIP,D,20150611,000000,8.0412,8.2231,8.0412,8.2231,187,0
BIP,D,20150612,000000,8.2326,8.2326,8.2326,8.2326,61,0
BIP,D,20150615,000000,7.9455,8.1752,7.9455,8.1752,345,0
BIP,D,20150616,000000,7.9455,7.9455,7.9455,7.9455,345,0
BIP,D,20150617,000000,7.687,7.687,7.687,7.687,784,0
BIP,D,20150618,000000,7.6966,7.6966,7.6966,7.6966,209,0
BIP,D,20150622,000000,7.6966,7.6966,7.6966,7.6966,324,0
BIP,D,20150624,000000,7.7062,7.7062,7.6775,7.6966,1271,0
BIP,D,20150625,000000,7.5721,7.9551,7.5721,7.6583,689,0
BIP,D,20150629,000000,7.6105,7.6105,7.5721,7.5818,2418,0
BIP,D,20150709,000000,7.5339,7.5339,7.5339,7.5339,334,0
BIP,D,20150714,000000,7.5434,7.6679,7.5339,7.6583,6539,0
BIP,D,20150716,000000,7.419,7.419,7.419,7.419,83,0
BIP,D,20150720,000000,7.553,7.553,7.553,7.553,209,0
BIP,D,20150722,000000,7.553,7.553,7.5147,7.5147,454,0
BIP,D,20150723,000000,7.6583,7.6583,7.6583,7.6583,1045,0
BIP,D,20150724,000000,7.5147,7.6583,7.5147,7.6583,835,0
BIP,D,20150727,000000,7.6679,7.6679,7.6679,7.6679,188,0
BIP,D,20150728,000000,7.6679,7.6679,7.6679,7.6679,2298,0
BIP,D,20150730,000000,7.7062,7.7541,7.7062,7.7541,1301,0
BIP,D,20150731,000000,7.8497,7.8497,7.8497,7.8497,522,0
BIP,D,20150803,000000,7.9455,8.2039,7.9455,8.2039,3954,0
BIP,D,20150804,000000,8.2326,8.2326,8.2326,8.2326,897,0
BIP,D,20150805,000000,8.606,8.606,8.606,8.606,52,0
BIP,D,20150807,000000,8.606,8.9028,8.606,8.9028,2780,0
BIP,D,20150810,000000,9.0847,9.3722,9.0847,9.3722,63,0
BIP,D,20150811,000000,9.3051,10.818,9.3051,10.53,1458,0
BIP,D,20150812,000000,10.53,10.721,10.042,10.721,759,0
BIP,D,20150813,000000,10.721,11.487,10.721,11.392,2330,0
BIP,D,20150814,000000,11.44,11.487,11.44,11.487,264,0
BIP,D,20150817,000000,11.487,11.487,11.487,11.487,127,0
BIP,D,20150818,000000,11.382,11.382,11.382,11.382,209,0
BIP,D,20150820,000000,11.392,11.487,11.392,11.487,238,0
BIP,D,20150828,000000,10.492,10.98,10.492,10.98,241,0
BIP,D,20150831,000000,10.483,11.382,10.473,11.382,586,0
BIP,D,20150901,000000,11.382,11.392,11.382,11.392,171,0
BIP,D,20150902,000000,11.382,11.382,11.382,11.382,14,0
BIP,D,20150903,000000,11.382,11.392,11.382,11.392,208,0
BIP,D,20150904,000000,11.392,12.445,11.287,11.966,971,0
BIP,D,20150907,000000,11.918,11.918,11.871,11.871,209,0
BIP,D,20150908,000000,11.918,11.966,11.918,11.966,276,0
BIP,D,20150910,000000,11.966,11.966,11.966,11.966,331,0
BIP,D,20150911,000000,11.487,11.487,11.487,11.487,105,0
BIP,D,20150914,000000,11.478,11.487,11.229,11.487,32,0
