<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIPA,D,20211220,000000,27,27.2,27,27,930,0
BIPA,D,20211221,000000,27,27,26,26,403,0
BIPA,D,20211227,000000,27,27,26,26,320,0
BIPA,D,20211229,000000,26,26,26,26,215,0
BIPA,D,20220103,000000,26,26,26,26,28,0
BIPA,D,20220107,000000,26,26,26,26,50,0
BIPA,D,20220121,000000,25,25,25,25,54,0
BIPA,D,20220125,000000,25,25,25,25,100,0
BIPA,D,20220126,000000,25,25,25,25,183,0
BIPA,D,20220210,000000,24,24,24,24,325,0
BIPA,D,20220211,000000,23.2,23.2,23,23,390,0
BIPA,D,20220214,000000,22,22,22,22,100,0
BIPA,D,20220221,000000,22,22,22,22,350,0
BIPA,D,20220222,000000,21,22,21,22,73,0
BIPA,D,20220224,000000,21,21.8,21,21.8,110,0
BIPA,D,20220303,000000,23,24,23,24,980,0
BIPA,D,20220307,000000,23.6,23.6,23.6,23.6,40,0
BIPA,D,20220309,000000,23.8,23.8,21.6,22,1184,0
BIPA,D,20220310,000000,22,23,22,23,205,0
BIPA,D,20220321,000000,21,21,21,21,430,0
BIPA,D,20220322,000000,20,20.6,20,20,337,0
BIPA,D,20220323,000000,20,20,20,20,50,0
BIPA,D,20220324,000000,20,20,20,20,160,0
BIPA,D,20220325,000000,20.6,21,20.6,21,180,0
BIPA,D,20220404,000000,21,21,21,21,100,0
BIPA,D,20220405,000000,21,21,21,21,100,0
BIPA,D,20220406,000000,20,20,20,20,200,0
