<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMX,D,20100608,000000,5.4628,6.3749,4.7424,6.1011,75902,0
BMX,D,20100609,000000,6.5208,7.825,5.7728,7.825,33837,0
BMX,D,20100610,000000,8.1168,9.0106,7.3324,7.3324,19617,0
BMX,D,20100611,000000,7.2959,7.3416,6.8673,7.0223,17416,0
BMX,D,20100614,000000,6.5663,8.0165,6.5663,7.3416,6318,0
BMX,D,20100615,000000,7.0314,7.3871,7.0314,7.1135,855,0
BMX,D,20100616,000000,7.1135,7.2503,7.0314,7.2503,2829,0
BMX,D,20100617,000000,7.1591,7.2777,7.1135,7.2777,864,0
BMX,D,20100618,000000,7.2777,7.2777,7.0314,7.0314,935,0
BMX,D,20100621,000000,7.0314,7.0679,6.6575,6.8399,1950,0
BMX,D,20100622,000000,6.7943,7.9252,6.4386,7.3233,6628,0
BMX,D,20100623,000000,7.3871,7.3871,7.0223,7.1135,3044,0
BMX,D,20100624,000000,7.1591,7.1591,6.9311,7.1135,953,0
BMX,D,20100625,000000,7.1135,7.3416,7.0223,7.2047,274,0
BMX,D,20100628,000000,7.0223,7.0223,6.8399,6.8399,1053,0
BMX,D,20100629,000000,6.9311,6.9311,6.7488,6.9311,230,0
BMX,D,20100630,000000,6.7488,6.9311,6.7488,6.7488,833,0
BMX,D,20100701,000000,6.7488,6.9767,6.7488,6.9767,230,0
BMX,D,20100702,000000,7.1957,7.1957,6.9767,6.9767,99,0
BMX,D,20100705,000000,6.7488,6.7488,6.7396,6.7396,164,0
BMX,D,20100706,000000,6.7488,7.0223,6.7488,6.7488,408,0
BMX,D,20100707,000000,6.7488,6.7488,6.7488,6.7488,77,0
BMX,D,20100708,000000,6.9311,6.9311,6.8399,6.8399,187,0
BMX,D,20100709,000000,6.9311,7.1135,6.9311,6.9767,256,0
BMX,D,20100712,000000,6.9311,7.0679,6.9311,7.0679,137,0
BMX,D,20100713,000000,7.0679,7.1957,7.0679,7.1957,1097,0
BMX,D,20100714,000000,7.1957,7.2868,7.1957,7.2686,994,0
BMX,D,20100715,000000,7.2412,7.2412,7.2412,7.2412,55,0
BMX,D,20100716,000000,7.2777,7.2777,7.1591,7.1591,225,0
BMX,D,20100719,000000,7.1591,7.2777,7.1591,7.2777,932,0
BMX,D,20100720,000000,7.3324,7.3324,7.1774,7.1774,1759,0
BMX,D,20100721,000000,7.3416,7.3871,7.2047,7.2047,888,0
BMX,D,20100722,000000,7.2047,7.2047,7.2047,7.2047,274,0
BMX,D,20100723,000000,7.2777,7.2777,7.2503,7.2503,121,0
BMX,D,20100726,000000,7.2777,7.2777,7.2777,7.2777,406,0
BMX,D,20100727,000000,7.2593,7.2593,7.2047,7.2593,187,0
BMX,D,20100728,000000,7.2593,7.2593,7.1591,7.2047,1876,0
BMX,D,20100729,000000,7.1591,7.2777,7.0679,7.2047,12262,0
BMX,D,20100730,000000,7.2047,7.2777,7.1135,7.2777,3185,0
BMX,D,20100802,000000,7.2868,7.2868,7.0863,7.0863,3547,0
BMX,D,20100803,000000,7.0863,7.1591,7.0679,7.1591,867,0
BMX,D,20100804,000000,7.0863,7.1135,7.0863,7.1135,22,0
BMX,D,20100805,000000,7.1135,7.1135,7.1135,7.1135,26,0
BMX,D,20100806,000000,7.0679,7.1135,6.9311,7.1135,1042,0
BMX,D,20100809,000000,7.0679,7.0679,7.0679,7.0679,548,0
BMX,D,20100810,000000,7.0314,7.9344,7.0314,7.9344,10783,0
BMX,D,20100811,000000,7.5696,8.1168,7.4327,8.1168,680,0
BMX,D,20100812,000000,8.0255,8.0255,8.0255,8.0255,669,0
BMX,D,20100813,000000,7.7519,7.7519,7.3962,7.6607,3315,0
BMX,D,20100816,000000,7.4783,7.8431,7.4146,7.4146,1645,0
BMX,D,20100817,000000,7.3871,7.3871,7.3416,7.3416,3798,0
BMX,D,20100818,000000,7.2959,7.4327,7.2959,7.4327,1113,0
BMX,D,20100819,000000,7.4601,7.7063,7.4327,7.4327,6481,0
BMX,D,20100820,000000,7.4327,7.4327,7.4327,7.4327,24,0
BMX,D,20100823,000000,7.4783,7.597,7.4783,7.597,522,0
BMX,D,20100824,000000,7.606,7.606,7.5239,7.5239,2916,0
BMX,D,20100825,000000,7.4783,7.597,7.4783,7.4783,1470,0
BMX,D,20100826,000000,7.597,8.0985,7.5057,8.0985,6491,0
BMX,D,20100827,000000,8.0985,8.5727,8.0711,8.3904,5884,0
BMX,D,20100830,000000,8.4268,8.4268,8.2079,8.2079,2939,0
BMX,D,20100831,000000,8.4177,8.4177,8.2991,8.2991,790,0
BMX,D,20100901,000000,8.3904,8.4177,8.3904,8.4177,318,0
BMX,D,20100902,000000,8.3904,8.3904,8.3904,8.3904,10,0
BMX,D,20100903,000000,8.2991,8.2991,8.1168,8.2991,822,0
BMX,D,20100906,000000,8.2991,8.3447,8.2991,8.2991,268,0
BMX,D,20100907,000000,8.2991,8.2991,8.2079,8.2079,263,0
BMX,D,20100908,000000,8.2991,8.3447,8.2079,8.3447,744,0
BMX,D,20100909,000000,8.3629,8.4633,8.2991,8.4359,1930,0
BMX,D,20100910,000000,8.4359,8.4815,8.2991,8.2991,2445,0
BMX,D,20100913,000000,8.2626,8.2718,8.2626,8.2718,274,0
BMX,D,20100914,000000,8.2626,8.4541,8.2626,8.4541,121,0
BMX,D,20100915,000000,8.4633,8.4633,8.3082,8.3082,1189,0
