<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOW,D,20120125,000000,8.4008,13.992,8.4008,9.801,8127,0
BOW,D,20120126,000000,10.128,10.782,9.3345,9.801,21771,0
BOW,D,20120127,000000,10.314,10.314,9.3802,9.3802,2147,0
BOW,D,20120130,000000,9.567,9.567,9.567,9.567,170,0
BOW,D,20120131,000000,9.4097,9.4097,9.3159,9.3345,1133,0
BOW,D,20120201,000000,9.3345,9.3345,8.5875,9.3345,2219,0
BOW,D,20120202,000000,9.2876,9.2876,8.4475,9.1847,1354,0
BOW,D,20120203,000000,9.2313,9.2313,8.8769,9.2219,49,0
BOW,D,20120206,000000,9.1942,9.1942,8.8769,9.1657,50,0
BOW,D,20120207,000000,8.9142,8.9608,8.4475,8.6714,4890,0
BOW,D,20120208,000000,8.6342,8.6342,8.2701,8.5408,2234,0
BOW,D,20120209,000000,8.5782,8.5782,8.4008,8.5687,353,0
BOW,D,20120210,000000,8.4008,8.4008,8.4008,8.4008,183,0
BOW,D,20120213,000000,8.4008,8.4008,8.4008,8.4008,75,0
BOW,D,20120214,000000,8.6714,8.6714,8.6714,8.6714,10,0
BOW,D,20120215,000000,8.5315,8.5315,8.0648,8.4008,5343,0
BOW,D,20120216,000000,7.99,8.3074,7.6634,8.3074,2349,0
BOW,D,20120217,000000,8.4008,8.4008,8.2608,8.2608,160,0
BOW,D,20120220,000000,8.214,8.214,7.9155,7.9155,225,0
BOW,D,20120221,000000,7.9808,7.9808,7.1874,7.6541,1897,0
BOW,D,20120222,000000,7.5608,7.6074,7.5608,7.6074,1308,0
BOW,D,20120223,000000,7.9247,7.9247,7.6074,7.6074,21,0
BOW,D,20120224,000000,7.4674,7.5608,7.2714,7.5608,2449,0
BOW,D,20120227,000000,7.6074,7.6074,7.5514,7.5514,1041,0
BOW,D,20120228,000000,7.5421,7.5421,7.5233,7.5233,85,0
BOW,D,20120229,000000,7.5421,7.5421,7.514,7.514,12,0
BOW,D,20120301,000000,7.4674,7.4767,7.3273,7.4767,707,0
BOW,D,20120302,000000,7.6541,7.6541,7.6541,7.6541,2,0
BOW,D,20120305,000000,7.6541,7.6541,7.5608,7.5608,184,0
BOW,D,20120306,000000,7.5047,7.5047,7.5047,7.5047,53,0
BOW,D,20120307,000000,7.8408,7.8408,7.5608,7.5608,208,0
BOW,D,20120308,000000,7.6541,7.6541,6.9634,7.4674,2400,0
BOW,D,20120309,000000,7.2807,7.2807,7.2807,7.2807,337,0
BOW,D,20120312,000000,7.2807,7.2807,7.2807,7.2807,10,0
BOW,D,20120313,000000,7.2339,7.2339,6.9167,7.0194,942,0
BOW,D,20120314,000000,7.1593,7.1593,6.8326,6.8326,1324,0
BOW,D,20120315,000000,7.1874,7.1874,6.9073,6.9073,369,0
BOW,D,20120316,000000,7.1874,7.1874,6.9073,6.9073,160,0
BOW,D,20120319,000000,7.0473,7.0473,6.9167,6.9167,133,0
BOW,D,20120320,000000,7.0473,7.0473,7.0473,7.0473,21,0
BOW,D,20120321,000000,7.0473,7.0473,7.0473,7.0473,21,0
BOW,D,20120322,000000,7.0473,7.0473,7.0473,7.0473,3,0
BOW,D,20120323,000000,7.0473,7.0473,7.0473,7.0473,2,0
BOW,D,20120326,000000,7.0473,7.1874,7.0473,7.1874,21,0
BOW,D,20120327,000000,7.1874,7.1874,7.0473,7.0473,108,0
BOW,D,20120328,000000,7.1874,7.1874,6.9167,6.9167,118,0
BOW,D,20120329,000000,6.9073,6.9073,6.6273,6.9073,32,0
BOW,D,20120330,000000,7.1686,7.1686,7.1686,7.1686,15,0
BOW,D,20120402,000000,7.1686,7.1686,7.1686,7.1686,2439,0
BOW,D,20120403,000000,7.1874,7.1874,7.1874,7.1874,48,0
BOW,D,20120404,000000,6.9073,6.9073,6.9073,6.9073,21,0
BOW,D,20120410,000000,7.1874,7.1874,6.8139,6.8139,1112,0
BOW,D,20120411,000000,7.0007,7.0007,6.6553,6.6553,147,0
BOW,D,20120412,000000,6.4873,6.4873,6.4406,6.4406,1168,0
BOW,D,20120413,000000,6.3472,6.3472,6.3007,6.3472,198,0
BOW,D,20120416,000000,6.7206,6.7206,6.7206,6.7206,21,0
BOW,D,20120417,000000,6.5713,6.5713,6.5713,6.5713,10,0
BOW,D,20120418,000000,7.1874,7.1874,6.926,7.0007,15,0
BOW,D,20120419,000000,7.2714,7.2714,7.038,7.038,10,0
BOW,D,20120420,000000,7.038,7.038,7.038,7.038,21,0
BOW,D,20120423,000000,7.038,7.038,6.5339,6.5339,2321,0
BOW,D,20120424,000000,7.038,7.038,7.038,7.038,10,0
BOW,D,20120425,000000,6.5713,6.5713,6.5339,6.5339,26,0
BOW,D,20120426,000000,6.5807,6.5807,6.5807,6.5807,498,0
BOW,D,20120427,000000,7.038,7.038,6.5153,6.8606,199,0
BOW,D,20120430,000000,7.038,7.038,7.038,7.038,10,0
BOW,D,20120502,000000,7.038,7.038,7.038,7.038,10,0
BOW,D,20120504,000000,7.038,7.038,7.0007,7.0007,15,0
BOW,D,20120507,000000,6.9912,6.9912,6.6459,6.6459,108,0
BOW,D,20120508,000000,7.1033,7.1033,6.5433,6.5433,70,0
BOW,D,20120509,000000,6.5433,6.5433,6.3472,6.4126,1320,0
BOW,D,20120510,000000,6.4033,6.4033,6.4033,6.4033,160,0
BOW,D,20120511,000000,6.4033,6.4033,6.2539,6.2539,73,0
BOW,D,20120514,000000,6.2539,6.2539,6.2539,6.2539,1,0
BOW,D,20120515,000000,6.3472,6.3472,6.3472,6.3472,10,0
BOW,D,20120517,000000,6.0672,6.0672,5.946,5.946,208,0
BOW,D,20120524,000000,5.6472,5.6472,5.6472,5.6472,1328,0
BOW,D,20120528,000000,5.3672,5.3672,5.3672,5.3672,1398,0
BOW,D,20120529,000000,5.0965,5.0965,4.8538,4.8538,1474,0
BOW,D,20120530,000000,4.8352,4.8352,4.5644,4.8352,402,0
BOW,D,20120604,000000,4.8352,4.8352,4.8165,4.8165,381,0
BOW,D,20120605,000000,4.8071,4.8165,4.8071,4.8165,225,0
BOW,D,20120613,000000,5.6286,5.6378,5.6286,5.6378,128,0
BOW,D,20120614,000000,5.4139,5.4139,5.4139,5.4139,262,0
BOW,D,20120615,000000,5.4045,5.4045,5.1431,5.4045,102,0
BOW,D,20120618,000000,5.4045,5.4045,5.4045,5.4045,10,0
BOW,D,20120619,000000,5.4045,5.4045,5.1431,5.4045,1482,0
BOW,D,20120620,000000,5.4045,5.4045,5.4045,5.4045,5,0
BOW,D,20120621,000000,5.3485,5.3485,4.8818,5.3485,1553,0
BOW,D,20120622,000000,5.4045,5.6006,5.0498,5.6006,378,0
BOW,D,20120625,000000,5.6006,5.6006,5.1431,5.6006,16,0
BOW,D,20120626,000000,5.6006,5.6006,5.1431,5.6006,568,0
BOW,D,20120627,000000,5.6006,5.6006,5.1431,5.4139,1468,0
BOW,D,20120628,000000,5.4139,5.4139,4.9658,5.4139,16,0
BOW,D,20120629,000000,5.4139,5.9552,5.0592,5.9552,2368,0
BOW,D,20120703,000000,5.3672,6.4033,5.3672,6.4033,2481,0
BOW,D,20120704,000000,6.4313,6.4313,6.4313,6.4313,5,0
BOW,D,20120705,000000,6.7206,6.7206,5.946,6.7206,1278,0
BOW,D,20120706,000000,6.7206,6.7206,6.7206,6.7206,5,0
BOW,D,20120709,000000,6.7206,6.7206,6.0298,6.6459,873,0
BOW,D,20120710,000000,6.7113,6.7113,6.7113,6.7113,15,0
BOW,D,20120711,000000,6.7113,6.7113,6.3007,6.6741,1362,0
BOW,D,20120712,000000,6.7019,6.7019,6.0393,6.6927,450,0
BOW,D,20120713,000000,6.6927,6.6927,6.6927,6.6927,5,0
BOW,D,20120716,000000,6.6927,6.6927,6.6927,6.6927,21,0
BOW,D,20120717,000000,6.6927,6.6927,6.6927,6.6927,10,0
BOW,D,20120718,000000,6.6927,6.6927,6.6927,6.6927,4,0
BOW,D,20120719,000000,6.7019,6.7019,6.3752,6.7019,1148,0
BOW,D,20120720,000000,6.6927,6.6927,6.6927,6.6927,4,0
BOW,D,20120723,000000,6.6927,6.6927,6.0486,6.6927,2161,0
BOW,D,20120724,000000,6.6927,6.6927,6.0393,6.6927,1736,0
BOW,D,20120725,000000,6.6927,6.6927,6.0393,6.6273,347,0
BOW,D,20120726,000000,6.6927,6.6927,6.1233,6.6927,329,0
BOW,D,20120727,000000,6.6927,6.6927,6.1606,6.6273,334,0
BOW,D,20120730,000000,6.6741,6.954,6.0112,6.954,310,0
BOW,D,20120731,000000,6.898,6.898,6.898,6.898,10,0
BOW,D,20120801,000000,6.7206,6.8139,6.7206,6.8139,2589,0
BOW,D,20120802,000000,6.8046,6.8046,6.8046,6.8046,5,0
BOW,D,20120803,000000,6.8139,6.8139,6.8139,6.8139,5,0
BOW,D,20120806,000000,6.8139,6.8139,6.8139,6.8139,2,0
BOW,D,20120807,000000,6.8046,6.8046,6.8046,6.8046,2,0
BOW,D,20120808,000000,6.7113,6.7113,6.7113,6.7113,5,0
BOW,D,20120809,000000,6.7113,6.7113,6.7113,6.7113,10,0
BOW,D,20120810,000000,6.6927,6.6927,6.6927,6.6927,3,0
BOW,D,20120813,000000,6.8139,6.8139,6.8139,6.8139,10,0
