<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAR,D,20040526,000000,21.143,21.913,21.045,21.623,532911,0
CAR,D,20040527,000000,21.815,22.297,21.815,22.105,225411,0
CAR,D,20040528,000000,22.105,22.202,21.815,22.105,54117,0
CAR,D,20040531,000000,22.105,22.202,21.913,22.105,22910,0
CAR,D,20040601,000000,22.105,22.105,21.815,22.105,13651,0
CAR,D,20040602,000000,22.009,22.105,22.009,22.105,19457,0
CAR,D,20040603,000000,22.105,22.105,21.913,21.913,7979,0
CAR,D,20040604,000000,22.105,22.105,21.913,22.105,37163,0
CAR,D,20040607,000000,22.105,22.491,22.105,22.491,53902,0
CAR,D,20040608,000000,22.491,23.348,22.491,23.156,36807,0
CAR,D,20040609,000000,23.25,24.022,23.059,24.022,37228,0
CAR,D,20040611,000000,23.926,25.949,23.926,25.273,50489,0
CAR,D,20040614,000000,25.273,25.273,23.733,24.696,23652,0
CAR,D,20040615,000000,24.504,24.6,24.022,24.213,7719,0
CAR,D,20040616,000000,24.022,24.696,24.022,24.406,9482,0
CAR,D,20040617,000000,24.406,24.6,23.541,23.541,28207,0
CAR,D,20040618,000000,23.829,24.022,23.541,23.541,9655,0
CAR,D,20040621,000000,23.348,24.311,23.348,23.926,19461,0
CAR,D,20040622,000000,24.119,24.213,23.926,23.926,6896,0
CAR,D,20040623,000000,24.311,24.6,24.119,24.119,19926,0
CAR,D,20040624,000000,24.504,24.504,24.119,24.213,7738,0
CAR,D,20040625,000000,24.311,24.6,24.022,24.6,9887,0
CAR,D,20040628,000000,24.793,26.429,24.793,26.237,33997,0
CAR,D,20040629,000000,26.526,26.624,25.756,25.949,7747,0
CAR,D,20040630,000000,26.334,26.334,25.756,25.756,10795,0
CAR,D,20040701,000000,25.756,25.851,25.273,25.658,2208,0
CAR,D,20040702,000000,25.467,25.658,25.082,25.467,12037,0
CAR,D,20040705,000000,25.658,25.949,25.564,25.851,4502,0
CAR,D,20040706,000000,25.658,25.949,25.467,25.851,4345,0
CAR,D,20040707,000000,25.851,26.237,25.564,26.141,7169,0
CAR,D,20040708,000000,25.949,27.384,25.949,27.19,15493,0
CAR,D,20040709,000000,27.384,28.347,27.19,28.347,19249,0
CAR,D,20040712,000000,28.347,29.405,28.347,28.443,49959,0
CAR,D,20040713,000000,28.443,28.829,28.154,28.731,24632,0
CAR,D,20040714,000000,28.347,30.562,28.347,30.272,61241,0
CAR,D,20040715,000000,30.272,31.42,29.695,30.176,45387,0
