<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL,D,20141028,000000,11.328,11.476,11.032,11.284,65270,0
CDL,D,20141029,000000,11.29,11.395,11.254,11.386,15314,0
CDL,D,20141030,000000,11.386,11.92,11.386,11.92,24094,0
CDL,D,20141031,000000,12.024,12.439,12.024,12.431,25606,0
CDL,D,20141103,000000,12.49,12.949,12.439,12.58,22787,0
CDL,D,20141104,000000,12.794,12.794,12.157,12.157,10272,0
CDL,D,20141105,000000,12.157,12.401,12.157,12.349,2300,0
CDL,D,20141106,000000,12.328,12.328,12.142,12.328,3360,0
CDL,D,20141107,000000,12.291,12.586,11.934,12.586,17017,0
CDL,D,20141110,000000,12.549,12.905,12.262,12.809,2861,0
CDL,D,20141112,000000,12.727,13.068,12.727,13.068,4028,0
CDL,D,20141113,000000,13.164,13.69,13.164,13.622,3375,0
CDL,D,20141114,000000,13.816,14.068,13.557,13.994,8002,0
CDL,D,20141117,000000,14.141,14.807,14.141,14.438,13303,0
CDL,D,20141118,000000,14.585,14.585,14.291,14.459,2470,0
CDL,D,20141119,000000,14.074,14.163,13.771,14.068,5123,0
CDL,D,20141120,000000,14.068,14.068,13.92,14.068,3910,0
CDL,D,20141121,000000,13.926,14.068,13.926,14.068,3455,0
CDL,D,20141124,000000,14.068,14.363,13.697,14.216,7468,0
CDL,D,20141125,000000,14.06,14.06,13.697,13.92,2289,0
CDL,D,20141126,000000,14.06,14.068,13.92,13.92,3122,0
CDL,D,20141127,000000,14.438,14.438,14.216,14.356,310,0
CDL,D,20141128,000000,14.216,14.438,14.207,14.207,93,0
CDL,D,20141201,000000,14.068,14.068,14.068,14.068,675,0
CDL,D,20141202,000000,14.068,14.141,14.068,14.141,303,0
CDL,D,20141203,000000,13.697,14.068,13.622,14.053,2414,0
CDL,D,20141204,000000,14.06,14.06,13.92,13.92,723,0
CDL,D,20141205,000000,13.92,13.994,12.845,13.216,5821,0
CDL,D,20141208,000000,13.253,13.697,13.253,13.548,1257,0
CDL,D,20141209,000000,13.587,13.771,13.327,13.771,1040,0
CDL,D,20141210,000000,13.771,13.771,13.327,13.622,1747,0
CDL,D,20141211,000000,13.622,13.622,12.956,13.37,3094,0
CDL,D,20141212,000000,13.327,13.327,12.956,13.306,2025,0
CDL,D,20141215,000000,13.467,13.467,13.467,13.467,5,0
CDL,D,20141216,000000,13.105,13.105,12.741,13.105,5807,0
CDL,D,20141217,000000,13.098,13.098,12.164,12.956,6687,0
CDL,D,20141218,000000,13.06,13.06,12.216,12.216,2249,0
CDL,D,20141219,000000,12.231,13.615,12.231,13.615,4643,0
CDL,D,20141222,000000,13.542,13.542,12.956,13.467,367,0
CDL,D,20141223,000000,13.43,13.43,12.956,13.312,317,0
CDL,D,20141229,000000,13.312,13.312,12.956,13.179,155,0
CDL,D,20141230,000000,13.172,13.172,13.172,13.172,28,0
CDL,D,20150102,000000,13.327,13.327,13.327,13.327,39,0
CDL,D,20150105,000000,13.32,13.542,12.956,13.244,236,0
CDL,D,20150107,000000,13.327,13.327,13.327,13.327,5,0
CDL,D,20150108,000000,13.312,13.512,13.253,13.327,1538,0
CDL,D,20150109,000000,13.327,13.542,12.883,12.883,2135,0
CDL,D,20150112,000000,12.883,13.179,12.845,13.179,2239,0
CDL,D,20150113,000000,13.32,13.327,13.253,13.32,494,0
CDL,D,20150114,000000,13.209,13.209,12.956,12.956,65,0
CDL,D,20150115,000000,12.623,13.216,12.216,13.06,1872,0
CDL,D,20150116,000000,13.06,13.172,13.06,13.172,210,0
CDL,D,20150119,000000,13.253,13.253,13.216,13.216,89,0
CDL,D,20150120,000000,13.164,13.179,13.164,13.179,12,0
CDL,D,20150121,000000,13.098,13.098,12.735,13.068,9504,0
CDL,D,20150122,000000,13.031,13.031,12.586,12.586,325,0
CDL,D,20150123,000000,12.586,12.586,11.958,12.068,11766,0
CDL,D,20150126,000000,12.328,12.328,11.698,12.054,14182,0
CDL,D,20150127,000000,12.18,12.18,11.993,11.993,175,0
CDL,D,20150128,000000,12.106,12.216,11.958,12.202,4227,0
CDL,D,20150129,000000,12.106,12.216,12.106,12.216,466,0
CDL,D,20150130,000000,12.252,12.439,12.068,12.291,4562,0
CDL,D,20150202,000000,12.424,12.424,11.66,12.252,1241,0
CDL,D,20150203,000000,12.267,12.267,11.845,12.149,507,0
CDL,D,20150204,000000,12.187,12.187,11.793,11.793,1680,0
CDL,D,20150205,000000,11.845,12.068,11.727,11.727,7557,0
CDL,D,20150206,000000,11.727,12.727,11.698,12.291,8489,0
CDL,D,20150209,000000,13.031,13.031,12.002,12.439,3893,0
CDL,D,20150210,000000,12.231,12.475,11.845,12.127,7799,0
CDL,D,20150211,000000,11.855,11.987,11.735,11.735,6244,0
CDL,D,20150212,000000,11.92,11.92,11.246,11.365,4222,0
CDL,D,20150213,000000,11.476,11.698,11.476,11.698,1649,0
CDL,D,20150216,000000,11.721,11.721,11.402,11.698,645,0
CDL,D,20150217,000000,11.698,11.698,11.343,11.343,1597,0
