<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19940802,000000,8.0471,8.0471,8.0471,8.0471,357108,0
CDR,D,19940803,000000,8.8385,8.8385,8.8385,8.8385,334563,0
CDR,D,19940804,000000,9.715,9.715,9.715,9.715,365739,0
CDR,D,19940808,000000,8.8385,8.8385,8.8385,8.8385,271213,0
CDR,D,19940809,000000,10.432,10.432,10.432,10.432,139342,0
CDR,D,19940810,000000,9.84,9.84,9.84,9.84,160764,0
CDR,D,19940811,000000,9.639,9.639,9.639,9.639,131529,0
CDR,D,19940816,000000,10.241,10.241,10.241,10.241,83785,0
CDR,D,19940817,000000,10.755,10.755,10.755,10.755,84834,0
CDR,D,19940818,000000,9.677,9.677,9.677,9.677,56118,0
CDR,D,19940822,000000,10.041,10.041,10.041,10.041,108045,0
CDR,D,19940823,000000,9.2389,9.2389,9.2389,9.2389,70407,0
CDR,D,19940824,000000,9.0386,9.0386,9.0386,9.0386,78179,0
CDR,D,19940825,000000,8.1235,8.1235,8.1235,8.1235,65907,0
CDR,D,19940829,000000,8.8003,8.8003,8.8003,8.8003,91307,0
CDR,D,19940830,000000,8.7622,8.7622,8.7622,8.7622,59243,0
CDR,D,19940831,000000,8.2473,8.2473,8.2473,8.2473,48104,0
CDR,D,19940901,000000,8.0471,8.0471,8.0471,8.0471,70109,0
CDR,D,19940905,000000,7.6466,7.6466,7.6466,7.6466,44351,0
CDR,D,19940906,000000,6.8744,6.8744,6.8744,6.8744,38826,0
CDR,D,19940907,000000,6.1974,6.1974,6.1974,6.1974,161320,0
CDR,D,19940908,000000,6.7886,6.7886,6.7886,6.7886,89289,0
CDR,D,19940912,000000,7.4465,7.4465,7.4465,7.4465,111816,0
CDR,D,19940913,000000,6.7123,6.7123,6.7123,6.7123,168285,0
CDR,D,19940914,000000,6.8267,6.8267,6.8267,6.8267,69782,0
CDR,D,19940915,000000,6.6932,6.6932,6.6932,6.6932,40467,0
CDR,D,19940919,000000,6.6742,6.6742,6.6742,6.6742,56496,0
CDR,D,19940920,000000,6.0162,6.0162,6.0162,6.0162,65080,0
CDR,D,19940921,000000,5.4728,5.4728,5.4728,5.4728,92244,0
CDR,D,19940922,000000,5.692,5.692,5.692,5.692,81628,0
CDR,D,19940926,000000,5.5395,5.5395,5.5395,5.5395,51328,0
CDR,D,19940927,000000,5.1392,5.1392,5.1392,5.1392,58148,0
CDR,D,19940928,000000,5.1392,5.1392,5.1392,5.1392,104771,0
CDR,D,19940929,000000,5.4347,5.4347,5.4347,5.4347,52559,0
CDR,D,19941003,000000,5.9781,5.9781,5.9781,5.9781,107561,0
CDR,D,19941004,000000,6.0354,6.0354,6.0354,6.0354,127365,0
CDR,D,19941005,000000,6.636,6.636,6.636,6.636,82442,0
CDR,D,19941006,000000,6.5312,6.5312,6.5312,6.5312,102738,0
CDR,D,19941007,000000,6.6551,6.6551,6.6551,6.6551,84375,0
CDR,D,19941010,000000,6.5312,6.5312,6.5312,6.5312,53669,0
CDR,D,19941011,000000,6.2356,6.2356,6.2356,6.2356,55980,0
CDR,D,19941012,000000,6.2356,6.2356,6.2356,6.2356,49576,0
CDR,D,19941013,000000,5.6158,5.6158,5.6158,5.6158,90351,0
CDR,D,19941014,000000,6.1498,6.1498,6.1498,6.1498,130179,0
CDR,D,19941017,000000,6.4358,6.4358,6.4358,6.4358,93623,0
CDR,D,19941018,000000,6.636,6.636,6.636,6.636,92342,0
CDR,D,19941019,000000,6.5312,6.5312,6.5312,6.5312,45438,0
CDR,D,19941020,000000,6.4168,6.4168,6.4168,6.4168,121096,0
CDR,D,19941021,000000,6.0926,6.0926,6.0926,6.0926,61572,0
CDR,D,19941024,000000,5.6349,5.6349,5.6349,5.6349,60841,0
CDR,D,19941025,000000,5.7111,5.7111,5.7111,5.7111,47007,0
CDR,D,19941026,000000,5.7398,5.7398,5.7398,5.7398,116858,0
CDR,D,19941027,000000,5.4347,5.4347,5.4347,5.4347,32844,0
CDR,D,19941028,000000,5.3202,5.3202,5.3202,5.3202,28780,0
CDR,D,19941102,000000,5.8542,5.8542,5.8542,5.8542,42545,0
CDR,D,19941103,000000,5.7969,5.7969,5.7969,5.7969,17547,0
CDR,D,19941104,000000,5.7779,5.7779,5.7779,5.7779,46007,0
CDR,D,19941107,000000,5.7398,5.7398,5.7398,5.7398,36047,0
CDR,D,19941108,000000,5.7398,5.7398,5.7398,5.7398,20781,0
CDR,D,19941109,000000,5.7588,5.7588,5.7588,5.7588,53864,0
CDR,D,19941110,000000,5.7588,5.7588,5.7588,5.7588,46151,0
CDR,D,19941114,000000,5.7398,5.7398,5.7398,5.7398,38244,0
CDR,D,19941115,000000,5.3202,5.3202,5.3202,5.3202,43246,0
CDR,D,19941116,000000,5.3202,5.3202,5.3202,5.3202,72881,0
CDR,D,19941117,000000,5.2154,5.2154,5.2154,5.2154,23355,0
CDR,D,19941118,000000,5.5205,5.5205,5.5205,5.5205,46263,0
CDR,D,19941121,000000,4.958,4.958,4.958,4.958,18391,0
CDR,D,19941122,000000,4.4812,4.4812,4.4812,4.4812,58844,0
CDR,D,19941123,000000,4.5384,4.5384,4.5384,4.5384,33135,0
CDR,D,19941124,000000,4.5193,4.5193,4.5193,4.5193,22761,0
CDR,D,19941125,000000,4.5384,4.5384,4.5384,4.5384,14160,0
CDR,D,19941128,000000,4.958,4.958,4.958,4.958,35930,0
CDR,D,19941129,000000,5.4537,5.4537,5.4537,5.4537,83792,0
CDR,D,19941130,000000,5.9114,5.9114,5.9114,5.9114,75562,0
CDR,D,19941201,000000,5.8732,5.8732,5.8732,5.8732,80805,0
CDR,D,19941202,000000,5.2726,5.2726,5.2726,5.2726,50246,0
CDR,D,19941205,000000,5.5395,5.5395,5.5395,5.5395,35985,0
CDR,D,19941206,000000,5.4156,5.4156,5.4156,5.4156,35512,0
CDR,D,19941207,000000,5.5395,5.5395,5.5395,5.5395,90471,0
CDR,D,19941208,000000,4.977,4.977,4.977,4.977,0,0
CDR,D,19941209,000000,4.5384,4.5384,4.5384,4.5384,38531,0
CDR,D,19941212,000000,4.9198,4.9198,4.9198,4.9198,64567,0
CDR,D,19941213,000000,4.7386,4.7386,4.7386,4.7386,33947,0
CDR,D,19941214,000000,4.6433,4.6433,4.6433,4.6433,55496,0
CDR,D,19941215,000000,4.7386,4.7386,4.7386,4.7386,21406,0
CDR,D,19941216,000000,5.1963,5.1963,5.1963,5.1963,79099,0
CDR,D,19941219,000000,5.1201,5.1201,5.1201,5.1201,29263,0
CDR,D,19941220,000000,5.0628,5.0628,5.0628,5.0628,27651,0
CDR,D,19941221,000000,4.977,4.977,4.977,4.977,15121,0
CDR,D,19941222,000000,5.1201,5.1201,5.1201,5.1201,11165,0
CDR,D,19941223,000000,5.1201,5.1201,5.1201,5.1201,16482,0
CDR,D,19941227,000000,5.0818,5.0818,5.0818,5.0818,15792,0
CDR,D,19941228,000000,4.9198,4.9198,4.9198,4.9198,17532,0
CDR,D,19941229,000000,4.958,4.958,4.958,4.958,21155,0
CDR,D,19950102,000000,5.4537,5.4537,5.4537,5.4537,82286,0
CDR,D,19950103,000000,5.1773,5.1773,5.1773,5.1773,57071,0
CDR,D,19950104,000000,5.3202,5.3202,5.3202,5.3202,23134,0
CDR,D,19950105,000000,5.4347,5.4347,5.4347,5.4347,22443,0
CDR,D,19950106,000000,5.1582,5.1582,5.1582,5.1582,16095,0
CDR,D,19950109,000000,5.2726,5.2726,5.2726,5.2726,12700,0
CDR,D,19950110,000000,5.2726,5.2726,5.2726,5.2726,43394,0
CDR,D,19950111,000000,5.3012,5.3012,5.3012,5.3012,27656,0
CDR,D,19950112,000000,5.3584,5.3584,5.3584,5.3584,19230,0
CDR,D,19950113,000000,5.4347,5.4347,5.4347,5.4347,39730,0
CDR,D,19950116,000000,5.3775,5.3775,5.3775,5.3775,11997,0
CDR,D,19950117,000000,5.3202,5.3202,5.3202,5.3202,26140,0
CDR,D,19950118,000000,5.2344,5.2344,5.2344,5.2344,30264,0
CDR,D,19950119,000000,5.3202,5.3202,5.3202,5.3202,9593,0
CDR,D,19950120,000000,5.3012,5.3012,5.3012,5.3012,15386,0
CDR,D,19950123,000000,5.1201,5.1201,5.1201,5.1201,27259,0
CDR,D,19950124,000000,4.8435,4.8435,4.8435,4.8435,19632,0
CDR,D,19950125,000000,4.815,4.815,4.815,4.815,149817,0
CDR,D,19950126,000000,4.815,4.815,4.815,4.815,25213,0
CDR,D,19950127,000000,4.8625,4.8625,4.8625,4.8625,22328,0
CDR,D,19950130,000000,4.815,4.815,4.815,4.815,33203,0
CDR,D,19950131,000000,4.815,4.815,4.815,4.815,51773,0
CDR,D,19950201,000000,4.9198,4.9198,4.9198,4.9198,23275,0
CDR,D,19950202,000000,4.9198,4.9198,4.9198,4.9198,45237,0
CDR,D,19950203,000000,4.815,4.815,4.815,4.815,31958,0
CDR,D,19950206,000000,5.0628,5.0628,5.0628,5.0628,6721,0
CDR,D,19950207,000000,5.5777,5.5777,5.5777,5.5777,72366,0
CDR,D,19950208,000000,5.4728,5.4728,5.4728,5.4728,42729,0
CDR,D,19950209,000000,5.1201,5.1201,5.1201,5.1201,16808,0
CDR,D,19950210,000000,5.1201,5.1201,5.1201,5.1201,44159,0
CDR,D,19950213,000000,5.0151,5.0151,5.0151,5.0151,4581,0
CDR,D,19950214,000000,5.2154,5.2154,5.2154,5.2154,10638,0
CDR,D,19950215,000000,5.0818,5.0818,5.0818,5.0818,8862,0
CDR,D,19950216,000000,5.1963,5.1963,5.1963,5.1963,7600,0
CDR,D,19950217,000000,5.1392,5.1392,5.1392,5.1392,8760,0
CDR,D,19950220,000000,4.958,4.958,4.958,4.958,7158,0
CDR,D,19950221,000000,4.7005,4.7005,4.7005,4.7005,32981,0
CDR,D,19950222,000000,4.7577,4.7577,4.7577,4.7577,18281,0
CDR,D,19950223,000000,4.8435,4.8435,4.8435,4.8435,25313,0
CDR,D,19950224,000000,5.3202,5.3202,5.3202,5.3202,96479,0
CDR,D,19950227,000000,4.796,4.796,4.796,4.796,27086,0
CDR,D,19950228,000000,4.815,4.815,4.815,4.815,18052,0
CDR,D,19950301,000000,4.8817,4.8817,4.8817,4.8817,11783,0
CDR,D,19950302,000000,5.0151,5.0151,5.0151,5.0151,16040,0
CDR,D,19950303,000000,5.0818,5.0818,5.0818,5.0818,14866,0
CDR,D,19950306,000000,5.0628,5.0628,5.0628,5.0628,28567,0
CDR,D,19950307,000000,5.0151,5.0151,5.0151,5.0151,27001,0
CDR,D,19950308,000000,5.0818,5.0818,5.0818,5.0818,11617,0
CDR,D,19950309,000000,5.101,5.101,5.101,5.101,16282,0
CDR,D,19950310,000000,5.0343,5.0343,5.0343,5.0343,25801,0
CDR,D,19950313,000000,4.9961,4.9961,4.9961,4.9961,28608,0
CDR,D,19950314,000000,4.9198,4.9198,4.9198,4.9198,8135,0
CDR,D,19950315,000000,5.0151,5.0151,5.0151,5.0151,11060,0
CDR,D,19950316,000000,4.9198,4.9198,4.9198,4.9198,9756,0
CDR,D,19950317,000000,4.9389,4.9389,4.9389,4.9389,19132,0
CDR,D,19950320,000000,4.8625,4.8625,4.8625,4.8625,18212,0
CDR,D,19950321,000000,4.8817,4.8817,4.8817,4.8817,15165,0
CDR,D,19950322,000000,4.8625,4.8625,4.8625,4.8625,16360,0
CDR,D,19950323,000000,4.815,4.815,4.815,4.815,26041,0
CDR,D,19950324,000000,4.8435,4.8435,4.8435,4.8435,6613,0
CDR,D,19950327,000000,4.8625,4.8625,4.8625,4.8625,16465,0
CDR,D,19950328,000000,4.796,4.796,4.796,4.796,12499,0
CDR,D,19950329,000000,4.7005,4.7005,4.7005,4.7005,7021,0
CDR,D,19950330,000000,4.7196,4.7196,4.7196,4.7196,12392,0
CDR,D,19950331,000000,4.815,4.815,4.815,4.815,16599,0
CDR,D,19950403,000000,4.9198,4.9198,4.9198,4.9198,14132,0
CDR,D,19950404,000000,5.0151,5.0151,5.0151,5.0151,37065,0
CDR,D,19950405,000000,5.0151,5.0151,5.0151,5.0151,25007,0
CDR,D,19950406,000000,5.0818,5.0818,5.0818,5.0818,59372,0
CDR,D,19950407,000000,5.2154,5.2154,5.2154,5.2154,69381,0
CDR,D,19950410,000000,5.7588,5.7588,5.7588,5.7588,106251,0
CDR,D,19950411,000000,5.7969,5.7969,5.7969,5.7969,65403,0
CDR,D,19950412,000000,5.7969,5.7969,5.7969,5.7969,79208,0
CDR,D,19950413,000000,5.5395,5.5395,5.5395,5.5395,72886,0
CDR,D,19950414,000000,5.673,5.673,5.673,5.673,42021,0
CDR,D,19950418,000000,6.1307,6.1307,6.1307,6.1307,19155,0
CDR,D,19950419,000000,6.7314,6.7314,6.7314,6.7314,72202,0
CDR,D,19950420,000000,6.636,6.636,6.636,6.636,86409,0
CDR,D,19950421,000000,6.4358,6.4358,6.4358,6.4358,80534,0
CDR,D,19950424,000000,6.7505,6.7505,6.7505,6.7505,71915,0
CDR,D,19950425,000000,6.636,6.636,6.636,6.636,109330,0
CDR,D,19950426,000000,6.0926,6.0926,6.0926,6.0926,50709,0
CDR,D,19950427,000000,6.1974,6.1974,6.1974,6.1974,85177,0
CDR,D,19950428,000000,6.2356,6.2356,6.2356,6.2356,96824,0
CDR,D,19950504,000000,6.4549,6.4549,6.4549,6.4549,73232,0
CDR,D,19950505,000000,6.6742,6.6742,6.6742,6.6742,78099,0
CDR,D,19950509,000000,7.027,7.027,7.027,7.027,73189,0
CDR,D,19950510,000000,7.742,7.742,7.742,7.742,137479,0
CDR,D,19950511,000000,8.4477,8.4477,8.4477,8.4477,197194,0
CDR,D,19950512,000000,8.0471,8.0471,8.0471,8.0471,111120,0
CDR,D,19950515,000000,8.562,8.562,8.562,8.562,92196,0
CDR,D,19950516,000000,7.7039,7.7039,7.7039,7.7039,60723,0
CDR,D,19950517,000000,7.7039,7.7039,7.7039,7.7039,142149,0
CDR,D,19950518,000000,7.4275,7.4275,7.4275,7.4275,112076,0
CDR,D,19950519,000000,7.3702,7.3702,7.3702,7.3702,82314,0
CDR,D,19950522,000000,6.8744,6.8744,6.8744,6.8744,98321,0
CDR,D,19950523,000000,6.1974,6.1974,6.1974,6.1974,92600,0
CDR,D,19950524,000000,6.7886,6.7886,6.7886,6.7886,30925,0
CDR,D,19950525,000000,7.4465,7.4465,7.4465,7.4465,118156,0
CDR,D,19950526,000000,7.3129,7.3129,7.3129,7.3129,69234,0
CDR,D,19950529,000000,7.3129,7.3129,7.3129,7.3129,40845,0
CDR,D,19950530,000000,6.9888,6.9888,6.9888,6.9888,52001,0
CDR,D,19950531,000000,6.3119,6.3119,6.3119,6.3119,51168,0
CDR,D,19950601,000000,6.2356,6.2356,6.2356,6.2356,65858,0
CDR,D,19950602,000000,6.3309,6.3309,6.3309,6.3309,81564,0
CDR,D,19950605,000000,6.5312,6.5312,6.5312,6.5312,40035,0
CDR,D,19950606,000000,6.8267,6.8267,6.8267,6.8267,74152,0
CDR,D,19950607,000000,7.027,7.027,7.027,7.027,80443,0
CDR,D,19950608,000000,6.8267,6.8267,6.8267,6.8267,39164,0
CDR,D,19950609,000000,6.636,6.636,6.636,6.636,33630,0
CDR,D,19950612,000000,6.2546,6.2546,6.2546,6.2546,65171,0
CDR,D,19950613,000000,6.4358,6.4358,6.4358,6.4358,51847,0
CDR,D,19950614,000000,6.636,6.636,6.636,6.636,67106,0
CDR,D,19950616,000000,6.2356,6.2356,6.2356,6.2356,49734,0
CDR,D,19950619,000000,6.2356,6.2356,6.2356,6.2356,27594,0
CDR,D,19950620,000000,6.4358,6.4358,6.4358,6.4358,38474,0
CDR,D,19950621,000000,6.4358,6.4358,6.4358,6.4358,19592,0
CDR,D,19950622,000000,6.3309,6.3309,6.3309,6.3309,20369,0
CDR,D,19950623,000000,6.4739,6.4739,6.4739,6.4739,14831,0
CDR,D,19950626,000000,6.8076,6.8076,6.8076,6.8076,44707,0
CDR,D,19950627,000000,6.8267,6.8267,6.8267,6.8267,55267,0
CDR,D,19950628,000000,6.2738,6.2738,6.2738,6.2738,28773,0
CDR,D,19950629,000000,6.4358,6.4358,6.4358,6.4358,75326,0
CDR,D,19950630,000000,6.4358,6.4358,6.4358,6.4358,89161,0
CDR,D,19950703,000000,6.5312,6.5312,6.5312,6.5312,67744,0
CDR,D,19950704,000000,6.2928,6.2928,6.2928,6.2928,27251,0
CDR,D,19950705,000000,6.0354,6.0354,6.0354,6.0354,60244,0
CDR,D,19950706,000000,6.0354,6.0354,6.0354,6.0354,73669,0
CDR,D,19950707,000000,6.0926,6.0926,6.0926,6.0926,44473,0
CDR,D,19950710,000000,5.4919,5.4919,5.4919,5.4919,241075,0
CDR,D,19950711,000000,5.5968,5.5968,5.5968,5.5968,73625,0
CDR,D,19950712,000000,5.4347,5.4347,5.4347,5.4347,60059,0
CDR,D,19950713,000000,5.5586,5.5586,5.5586,5.5586,34107,0
CDR,D,19950714,000000,5.5586,5.5586,5.5586,5.5586,33745,0
CDR,D,19950717,000000,5.7111,5.7111,5.7111,5.7111,34644,0
CDR,D,19950718,000000,5.692,5.692,5.692,5.692,106226,0
CDR,D,19950719,000000,5.6158,5.6158,5.6158,5.6158,37485,0
CDR,D,19950720,000000,5.4537,5.4537,5.4537,5.4537,63229,0
