<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEZ,D,19990223,000000,2.3215,2.3215,2.3215,2.3215,3083678,0
CEZ,D,19990224,000000,2.3588,2.3588,2.3588,2.3588,3580522,0
CEZ,D,19990225,000000,2.4146,2.4146,2.4146,2.4146,1827561,0
CEZ,D,19990226,000000,2.3961,2.3961,2.3961,2.3961,1821052,0
CEZ,D,19990301,000000,2.4191,2.4191,2.4191,2.4191,1519943,0
CEZ,D,19990302,000000,2.4471,2.4471,2.4471,2.4471,3038678,0
CEZ,D,19990303,000000,2.4238,2.4238,2.4238,2.4238,1942189,0
CEZ,D,19990304,000000,2.3913,2.3913,2.3913,2.3913,1847289,0
CEZ,D,19990305,000000,2.3542,2.3542,2.3542,2.3542,1842461,0
CEZ,D,19990308,000000,2.3542,2.3542,2.3542,2.3542,892471,0
CEZ,D,19990309,000000,2.34,2.34,2.34,2.34,898192,0
CEZ,D,19990310,000000,2.3913,2.3913,2.3913,2.3913,950783,0
CEZ,D,19990311,000000,2.5262,2.5262,2.5262,2.5262,3995359,0
CEZ,D,19990312,000000,2.5913,2.5913,2.5913,2.5913,5671540,0
CEZ,D,19990315,000000,2.6703,2.6703,2.6703,2.6703,4070687,0
CEZ,D,19990316,000000,2.7263,2.7263,2.7263,2.7263,5243548,0
CEZ,D,19990317,000000,2.6891,2.6891,2.6891,2.6891,3735466,0
CEZ,D,19990318,000000,2.5495,2.5495,2.5495,2.5495,3284087,0
CEZ,D,19990319,000000,2.6472,2.6472,2.6472,2.6472,2652301,0
CEZ,D,19990322,000000,2.6146,2.6146,2.6146,2.6146,2943180,0
CEZ,D,19990323,000000,2.5542,2.5542,2.5542,2.5542,1873576,0
CEZ,D,19990324,000000,2.4564,2.4564,2.4564,2.4564,1442691,0
CEZ,D,19990325,000000,2.5029,2.5029,2.5029,2.5029,2345509,0
CEZ,D,19990326,000000,2.4284,2.4284,2.4284,2.4284,2721115,0
CEZ,D,19990329,000000,2.3542,2.3542,2.3542,2.3542,452339,0
CEZ,D,19990330,000000,2.5495,2.5495,2.5495,2.5495,2430767,0
CEZ,D,19990331,000000,2.5913,2.5913,2.5913,2.5913,3028066,0
CEZ,D,19990401,000000,2.5542,2.5542,2.5542,2.5542,1646320,0
CEZ,D,19990402,000000,2.582,2.582,2.582,2.582,7197,0
CEZ,D,19990406,000000,2.6239,2.6239,2.6239,2.6239,1690542,0
CEZ,D,19990407,000000,2.6239,2.6239,2.6239,2.6239,1146324,0
CEZ,D,19990408,000000,2.6703,2.6703,2.6703,2.6703,2631018,0
CEZ,D,19990409,000000,2.7077,2.7077,2.7077,2.7077,5320891,0
CEZ,D,19990412,000000,2.6378,2.6378,2.6378,2.6378,1028652,0
CEZ,D,19990413,000000,2.5868,2.5868,2.5868,2.5868,2301334,0
CEZ,D,19990414,000000,2.5962,2.5962,2.5962,2.5962,709126,0
CEZ,D,19990415,000000,2.5913,2.5913,2.5913,2.5913,1859906,0
CEZ,D,19990416,000000,2.568,2.568,2.568,2.568,1609473,0
CEZ,D,19990419,000000,2.6053,2.6053,2.6053,2.6053,2123343,0
CEZ,D,19990420,000000,2.5495,2.5495,2.5495,2.5495,702084,0
CEZ,D,19990421,000000,2.5402,2.5402,2.5402,2.5402,960166,0
CEZ,D,19990422,000000,2.5402,2.5402,2.5402,2.5402,1861946,0
