<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLN,D,20161017,000000,18.892,20.332,18.147,19.048,1817498,0
CLN,D,20161018,000000,18.999,19.077,18.275,18.618,228584,0
CLN,D,20161019,000000,18.618,18.657,18.225,18.559,357966,0
CLN,D,20161020,000000,18.519,18.843,18.333,18.725,821146,0
CLN,D,20161021,000000,18.765,19.322,18.765,19.107,158858,0
CLN,D,20161024,000000,19.255,19.891,19.156,19.402,304007,0
CLN,D,20161025,000000,19.794,19.794,19.097,19.176,57347,0
CLN,D,20161026,000000,19.176,19.205,18.961,18.961,28198,0
CLN,D,20161027,000000,19.008,19.205,18.961,18.961,28092,0
CLN,D,20161028,000000,19.018,19.087,18.589,18.715,30100,0
CLN,D,20161031,000000,18.715,18.941,18.569,18.715,32214,0
CLN,D,20161102,000000,18.715,18.715,17.982,17.99,66534,0
CLN,D,20161103,000000,18.118,18.372,17.196,17.344,149612,0
CLN,D,20161104,000000,17.139,18.608,16.893,17.883,108822,0
CLN,D,20161107,000000,18.118,18.598,18.118,18.441,30678,0
CLN,D,20161108,000000,18.441,18.559,17.962,17.962,21972,0
CLN,D,20161109,000000,17.932,18.421,17.648,18.304,70918,0
CLN,D,20161110,000000,18.391,19.038,18.323,18.519,40848,0
CLN,D,20161114,000000,18.265,18.471,17.962,18.421,13032,0
CLN,D,20161115,000000,18.089,18.421,18.089,18.372,3902,0
CLN,D,20161116,000000,18.372,18.912,18.323,18.323,14581,0
CLN,D,20161117,000000,18.265,18.765,18.156,18.421,211322,0
CLN,D,20161118,000000,18.275,18.813,18.049,18.804,192242,0
CLN,D,20161121,000000,18.618,20.332,18.569,19.402,121623,0
CLN,D,20161122,000000,19.539,20.077,19.411,19.969,211598,0
CLN,D,20161123,000000,19.989,20.225,19.744,20.047,89869,0
CLN,D,20161124,000000,20.047,20.431,19.891,20.382,73962,0
CLN,D,20161125,000000,20.45,22.017,20.292,21.478,167490,0
CLN,D,20161128,000000,21.478,22.037,21.478,21.949,120997,0
CLN,D,20161129,000000,22.047,22.341,20.588,20.588,102135,0
CLN,D,20161130,000000,21.107,21.558,20.518,21.067,169566,0
CLN,D,20161201,000000,21.851,21.93,21.215,21.832,14839,0
CLN,D,20161202,000000,21.851,21.901,21.654,21.842,16144,0
CLN,D,20161205,000000,21.851,22.341,21.851,22.281,94346,0
CLN,D,20161206,000000,22.41,23.419,22.351,23.037,53807,0
CLN,D,20161207,000000,23.37,24.692,23.37,24.154,84704,0
CLN,D,20161208,000000,24.497,24.497,23.811,24.105,60201,0
CLN,D,20161209,000000,24.458,24.458,23.518,24.095,43567,0
CLN,D,20161212,000000,24.203,24.458,23.419,23.469,22996,0
CLN,D,20161213,000000,23.86,23.908,23.469,23.811,29201,0
CLN,D,20161214,000000,23.908,24.007,23.536,23.713,15883,0
