<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMP,D,20050114,000000,46.87,47.995,37.496,40.308,37191,0
CMP,D,20050117,000000,41.059,42.184,37.121,37.309,10547,0
CMP,D,20050118,000000,36.559,37.496,36.559,37.496,3521,0
CMP,D,20050119,000000,36.652,37.496,36.652,37.028,1189,0
CMP,D,20050120,000000,36.652,37.496,36.559,37.028,1219,0
CMP,D,20050121,000000,36.278,37.028,36.278,36.933,770,0
CMP,D,20050124,000000,37.028,37.028,36.559,36.747,5053,0
CMP,D,20050125,000000,35.715,37.684,35.715,37.684,12,0
CMP,D,20050126,000000,36.747,37.872,36.652,37.028,2090,0
CMP,D,20050127,000000,37.402,37.402,37.402,37.402,12,0
CMP,D,20050128,000000,36.933,36.933,36.559,36.559,2181,0
CMP,D,20050131,000000,36.559,36.559,36.09,36.09,3084,0
CMP,D,20050201,000000,36.559,37.496,36.559,37.496,2453,0
CMP,D,20050202,000000,37.215,41.152,37.215,39.559,7980,0
CMP,D,20050203,000000,40.308,40.308,38.902,38.902,844,0
CMP,D,20050204,000000,39.371,39.371,37.965,37.965,1451,0
CMP,D,20050207,000000,37.965,38.153,37.965,38.058,867,0
CMP,D,20050208,000000,38.058,38.058,37.965,38.058,672,0
CMP,D,20050209,000000,38.058,38.058,37.496,37.496,560,0
CMP,D,20050210,000000,37.496,39.652,37.309,39.652,6617,0
CMP,D,20050211,000000,39.652,40.027,39.278,40.027,54863,0
CMP,D,20050214,000000,40.215,41.152,40.121,41.152,556,0
CMP,D,20050215,000000,41.059,41.059,40.684,40.684,1842,0
CMP,D,20050216,000000,40.777,40.777,40.308,40.496,2316,0
CMP,D,20050217,000000,39.934,40.496,39.559,40.496,3709,0
CMP,D,20050218,000000,40.308,40.684,40.308,40.308,282,0
CMP,D,20050221,000000,40.308,40.684,39.934,40.684,3082,0
CMP,D,20050222,000000,39.278,40.589,39.278,40.308,1668,0
CMP,D,20050223,000000,40.496,40.965,40.496,40.871,845,0
CMP,D,20050224,000000,41.246,41.246,40.308,40.308,1003,0
CMP,D,20050225,000000,40.308,40.308,39.371,39.371,757,0
CMP,D,20050228,000000,39.371,39.371,38.621,38.621,454,0
CMP,D,20050301,000000,39.465,39.465,37.496,38.621,1744,0
CMP,D,20050302,000000,38.527,39.652,38.527,39.652,961,0
CMP,D,20050303,000000,39.84,39.84,38.996,38.996,214,0
CMP,D,20050304,000000,39.371,40.215,38.246,40.215,2571,0
CMP,D,20050307,000000,38.434,39.84,38.058,39.84,2101,0
CMP,D,20050308,000000,38.621,39.84,38.621,39.84,277,0
CMP,D,20050309,000000,39.746,39.84,39.746,39.84,1467,0
CMP,D,20050310,000000,39.652,40.589,38.902,40.589,1761,0
CMP,D,20050311,000000,40.308,40.308,40.308,40.308,5,0
CMP,D,20050314,000000,39.371,40.308,39.371,40.308,1003,0
CMP,D,20050315,000000,39.746,40.308,39.652,40.308,841,0
CMP,D,20050316,000000,39.652,40.308,39.652,40.308,1161,0
CMP,D,20050317,000000,40.121,40.308,38.996,40.215,1142,0
CMP,D,20050318,000000,40.308,40.403,39.371,40.403,961,0
CMP,D,20050321,000000,40.403,40.589,39.934,40.589,364,0
CMP,D,20050322,000000,40.308,42.184,40.308,41.246,2432,0
CMP,D,20050324,000000,41.246,41.433,40.403,41.246,1998,0
CMP,D,20050329,000000,42.184,42.184,42.184,42.184,5,0
CMP,D,20050330,000000,41.433,41.902,41.433,41.902,112,0
CMP,D,20050331,000000,41.809,41.809,41.246,41.246,237,0
CMP,D,20050401,000000,40.403,41.528,40.308,41.528,160,0
CMP,D,20050404,000000,40.496,40.496,40.308,40.308,265,0
CMP,D,20050405,000000,40.965,40.965,39.84,40.589,447,0
CMP,D,20050406,000000,40.965,40.965,40.965,40.965,5,0
CMP,D,20050407,000000,40.965,40.965,40.965,40.965,5,0
CMP,D,20050411,000000,39.934,40.121,39.09,40.121,1586,0
CMP,D,20050412,000000,39.371,39.371,39.183,39.183,549,0
CMP,D,20050413,000000,39.183,39.84,39.183,39.84,640,0
CMP,D,20050414,000000,39.84,40.308,39.84,40.308,518,0
CMP,D,20050415,000000,39.183,40.308,39.09,40.308,800,0
CMP,D,20050418,000000,39.934,39.934,39.934,39.934,5,0
CMP,D,20050419,000000,39.371,40.308,38.996,40.308,539,0
CMP,D,20050421,000000,40.121,40.121,40.121,40.121,213,0
CMP,D,20050426,000000,40.308,40.308,39.371,40.308,405,0
CMP,D,20050427,000000,40.308,40.308,40.308,40.308,5,0
CMP,D,20050428,000000,40.121,40.121,37.872,39.84,2411,0
CMP,D,20050429,000000,40.496,40.496,39.371,40.496,157,0
CMP,D,20050502,000000,41.152,41.152,41.152,41.152,5,0
CMP,D,20050504,000000,40.496,40.589,40.403,40.589,149,0
CMP,D,20050505,000000,40.215,40.215,39.183,40.121,1555,0
CMP,D,20050506,000000,40.027,40.121,39.09,40.121,393,0
CMP,D,20050509,000000,40.777,40.777,39.09,39.746,426,0
CMP,D,20050510,000000,39.371,39.934,38.715,39.371,2856,0
CMP,D,20050511,000000,39.183,39.371,37.965,39.371,1875,0
CMP,D,20050512,000000,39.84,41.152,39.84,41.152,630,0
CMP,D,20050513,000000,41.059,41.246,40.121,41.246,475,0
CMP,D,20050516,000000,41.246,42.09,41.152,42.09,1568,0
CMP,D,20050517,000000,42.09,42.652,42.09,42.652,452,0
CMP,D,20050518,000000,43.121,43.308,42.652,43.121,337,0
CMP,D,20050519,000000,43.121,44.996,43.027,44.901,14217,0
CMP,D,20050520,000000,45.277,45.558,45.277,45.558,281,0
CMP,D,20050523,000000,45.464,50.057,45.371,49.214,1222,0
CMP,D,20050524,000000,49.589,50.152,49.589,50.152,904,0
CMP,D,20050525,000000,50.714,51.558,50.714,51.558,897,0
CMP,D,20050527,000000,51.558,51.558,51.089,51.558,738,0
CMP,D,20050530,000000,51.558,51.558,50.901,51.558,534,0
CMP,D,20050531,000000,51.463,54.182,50.433,51.089,2903,0
CMP,D,20050601,000000,50.62,50.62,48.745,49.027,3293,0
