<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COG,D,19970319,000000,4.988,4.988,4.988,4.988,93923,0
COG,D,19970320,000000,4.988,4.988,4.988,4.988,48717,0
COG,D,19970321,000000,4.988,4.988,4.988,4.988,57538,0
COG,D,19970324,000000,4.7578,4.7578,4.7578,4.7578,28584,0
COG,D,19970325,000000,4.6044,4.6044,4.6044,4.6044,49736,0
COG,D,19970326,000000,4.6044,4.6044,4.6044,4.6044,54405,0
COG,D,19970327,000000,5.0648,5.0648,5.0648,5.0648,111652,0
COG,D,19970401,000000,5.5637,5.5637,5.5637,5.5637,148284,0
COG,D,19970402,000000,5.6404,5.6404,5.6404,5.6404,115685,0
COG,D,19970403,000000,5.8323,5.8323,5.8323,5.8323,146856,0
COG,D,19970404,000000,5.9857,5.9857,5.9857,5.9857,237148,0
COG,D,19970407,000000,6.5613,6.5613,6.5613,6.5613,154316,0
COG,D,19970408,000000,7.2135,7.2135,7.2135,7.2135,362097,0
COG,D,19970409,000000,7.4437,7.4437,7.4437,7.4437,188346,0
COG,D,19970410,000000,7.674,7.674,7.674,7.674,192339,0
COG,D,19970411,000000,7.674,7.674,7.674,7.674,166146,0
COG,D,19970414,000000,6.9066,6.9066,6.9066,6.9066,52920,0
COG,D,19970415,000000,6.7531,6.7531,6.7531,6.7531,225305,0
COG,D,19970416,000000,7.2135,7.2135,7.2135,7.2135,225064,0
COG,D,19970417,000000,6.5229,6.5229,6.5229,6.5229,163194,0
COG,D,19970418,000000,6.4461,6.4461,6.4461,6.4461,153036,0
COG,D,19970421,000000,6.7531,6.7531,6.7531,6.7531,116687,0
COG,D,19970422,000000,6.5229,6.5229,6.5229,6.5229,82097,0
COG,D,19970423,000000,6.4461,6.4461,6.4461,6.4461,88193,0
COG,D,19970424,000000,6.2926,6.2926,6.2926,6.2926,99323,0
COG,D,19970425,000000,6.0241,6.0241,6.0241,6.0241,77772,0
COG,D,19970428,000000,5.7171,5.7171,5.7171,5.7171,66642,0
COG,D,19970429,000000,5.7555,5.7555,5.7555,5.7555,83747,0
COG,D,19970430,000000,6.1391,6.1391,6.1391,6.1391,56116,0
COG,D,19970505,000000,6.2926,6.2926,6.2926,6.2926,62931,0
COG,D,19970506,000000,6.2926,6.2926,6.2926,6.2926,46642,0
COG,D,19970507,000000,5.9089,5.9089,5.9089,5.9089,18193,0
COG,D,19970508,000000,5.9089,5.9089,5.9089,5.9089,43172,0
COG,D,19970509,000000,6.0625,6.0625,6.0625,6.0625,25980,0
COG,D,19970512,000000,5.5637,5.5637,5.5637,5.5637,65514,0
COG,D,19970513,000000,5.6787,5.6787,5.6787,5.6787,73960,0
COG,D,19970514,000000,5.5253,5.5253,5.5253,5.5253,55652,0
COG,D,19970515,000000,5.5637,5.5637,5.5637,5.5637,41249,0
COG,D,19970516,000000,5.6021,5.6021,5.6021,5.6021,33917,0
COG,D,19970519,000000,5.3718,5.3718,5.3718,5.3718,55289,0
COG,D,19970520,000000,5.4101,5.4101,5.4101,5.4101,51016,0
COG,D,19970521,000000,5.3718,5.3718,5.3718,5.3718,44492,0
COG,D,19970522,000000,5.3718,5.3718,5.3718,5.3718,70504,0
COG,D,19970523,000000,5.3718,5.3718,5.3718,5.3718,26992,0
COG,D,19970526,000000,5.1416,5.1416,5.1416,5.1416,16920,0
COG,D,19970527,000000,4.9114,4.9114,4.9114,4.9114,19565,0
COG,D,19970528,000000,5.0648,5.0648,5.0648,5.0648,33368,0
COG,D,19970530,000000,4.988,4.988,4.988,4.988,7118,0
COG,D,19970602,000000,5.1416,5.1416,5.1416,5.1416,28104,0
COG,D,19970603,000000,5.1032,5.1032,5.1032,5.1032,19986,0
COG,D,19970604,000000,4.9114,4.9114,4.9114,4.9114,15473,0
COG,D,19970605,000000,4.6044,4.6044,4.6044,4.6044,19221,0
COG,D,19970606,000000,4.8346,4.8346,4.8346,4.8346,29268,0
COG,D,19970609,000000,4.988,4.988,4.988,4.988,23857,0
COG,D,19970610,000000,4.8346,4.8346,4.8346,4.8346,15363,0
COG,D,19970611,000000,4.8346,4.8346,4.8346,4.8346,25337,0
COG,D,19970612,000000,4.988,4.988,4.988,4.988,27065,0
COG,D,19970613,000000,5.18,5.18,5.18,5.18,55369,0
COG,D,19970616,000000,5.0648,5.0648,5.0648,5.0648,41630,0
COG,D,19970617,000000,4.9114,4.9114,4.9114,4.9114,26178,0
COG,D,19970618,000000,4.7578,4.7578,4.7578,4.7578,26033,0
COG,D,19970619,000000,4.6812,4.6812,4.6812,4.6812,34927,0
COG,D,19970620,000000,4.988,4.988,4.988,4.988,42000,0
COG,D,19970623,000000,4.988,4.988,4.988,4.988,23757,0
COG,D,19970624,000000,4.7578,4.7578,4.7578,4.7578,23961,0
COG,D,19970625,000000,4.6428,4.6428,4.6428,4.6428,29186,0
COG,D,19970626,000000,4.566,4.566,4.566,4.566,49820,0
COG,D,19970627,000000,4.4509,4.4509,4.4509,4.4509,37521,0
COG,D,19970630,000000,4.4509,4.4509,4.4509,4.4509,16103,0
COG,D,19970701,000000,4.3741,4.3741,4.3741,4.3741,24135,0
COG,D,19970702,000000,4.3741,4.3741,4.3741,4.3741,28060,0
COG,D,19970703,000000,4.4509,4.4509,4.4509,4.4509,26711,0
COG,D,19970704,000000,4.8346,4.8346,4.8346,4.8346,54399,0
COG,D,19970707,000000,4.6812,4.6812,4.6812,4.6812,63446,0
COG,D,19970708,000000,4.8346,4.8346,4.8346,4.8346,73533,0
COG,D,19970709,000000,5.0648,5.0648,5.0648,5.0648,120242,0
COG,D,19970710,000000,5.3718,5.3718,5.3718,5.3718,128449,0
COG,D,19970711,000000,5.2182,5.2182,5.2182,5.2182,68701,0
COG,D,19970714,000000,4.9114,4.9114,4.9114,4.9114,26876,0
COG,D,19970715,000000,4.4893,4.4893,4.4893,4.4893,40653,0
COG,D,19970716,000000,4.7578,4.7578,4.7578,4.7578,56539,0
COG,D,19970717,000000,4.8346,4.8346,4.8346,4.8346,29792,0
COG,D,19970718,000000,4.7578,4.7578,4.7578,4.7578,12820,0
COG,D,19970721,000000,4.5276,4.5276,4.5276,4.5276,40749,0
COG,D,19970722,000000,4.5276,4.5276,4.5276,4.5276,19105,0
COG,D,19970723,000000,4.6044,4.6044,4.6044,4.6044,26279,0
COG,D,19970724,000000,4.1439,4.1439,4.1439,4.1439,64431,0
COG,D,19970725,000000,4.0672,4.0672,4.0672,4.0672,28767,0
COG,D,19970728,000000,4.1439,4.1439,4.1439,4.1439,31853,0
COG,D,19970729,000000,3.9905,3.9905,3.9905,3.9905,16038,0
COG,D,19970730,000000,4.1823,4.1823,4.1823,4.1823,33952,0
COG,D,19970731,000000,4.2974,4.2974,4.2974,4.2974,19198,0
COG,D,19970801,000000,4.1439,4.1439,4.1439,4.1439,41266,0
COG,D,19970804,000000,4.2207,4.2207,4.2207,4.2207,14572,0
