<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRJ,D,20180806,000000,100,114,90,98.78,33060,0
CRJ,D,20180807,000000,98.7,103.4,93,93.2,4841,0
CRJ,D,20180808,000000,94.8,98.89,90.91,97.49,2461,0
CRJ,D,20180809,000000,98.9,98.9,92,92,1619,0
CRJ,D,20180810,000000,92.1,92.3,84,87.9,2027,0
CRJ,D,20180813,000000,84,95,82,92,1185,0
CRJ,D,20180814,000000,93,98.5,92,94,731,0
CRJ,D,20180816,000000,98.5,111.5,98.5,107,5568,0
CRJ,D,20180817,000000,110,122,107,117.5,3394,0
CRJ,D,20180820,000000,119,124,115,115,1771,0
CRJ,D,20180821,000000,114.5,115.5,107,112,1987,0
CRJ,D,20180822,000000,110,113,106,111,1951,0
CRJ,D,20180823,000000,108,113,106,109,706,0
CRJ,D,20180824,000000,106,108.9,103,108.9,367,0
CRJ,D,20180827,000000,110.9,110.9,97.1,103,2864,0
CRJ,D,20180828,000000,106,107,100,102,3911,0
CRJ,D,20180829,000000,100,118,93.1,98,24110,0
CRJ,D,20180830,000000,96.8,97,82.5,85.1,15868,0
CRJ,D,20180831,000000,86.8,92.5,75.51,88,9804,0
CRJ,D,20180903,000000,105,126,102,119,22954,0
CRJ,D,20180904,000000,121,163,118,141,29682,0
CRJ,D,20180905,000000,139.9,155,131.1,140,13014,0
CRJ,D,20180906,000000,140.02,148,130,137,6744,0
CRJ,D,20180907,000000,138,145,133,145,3734,0
CRJ,D,20180910,000000,154,159,147,155.3,4017,0
CRJ,D,20180911,000000,159,186,152,180.8,7998,0
CRJ,D,20180912,000000,175,177.9,167,170,3130,0
CRJ,D,20180913,000000,168,175,152,166,4674,0
CRJ,D,20180914,000000,166,169,158,168.5,1858,0
CRJ,D,20180917,000000,162,167,158.5,162,2002,0
CRJ,D,20180918,000000,165,165,155.22,162.5,1846,0
CRJ,D,20180919,000000,163,194,163,185,8426,0
CRJ,D,20180920,000000,185,194.98,180.1,183,870,0
CRJ,D,20180921,000000,180.1,185,175,178,913,0
CRJ,D,20180924,000000,180,184,178,180,647,0
CRJ,D,20180925,000000,180,194.98,180,193,1562,0
CRJ,D,20180926,000000,190,195,185,194.94,388,0
CRJ,D,20180927,000000,195,195,186,193,466,0
CRJ,D,20180928,000000,186,187.4,181.02,185,569,0
CRJ,D,20181001,000000,180,180,165,165,2283,0
CRJ,D,20181002,000000,168,178,168,171.5,582,0
CRJ,D,20181003,000000,170,174,165,172,377,0
CRJ,D,20181004,000000,170,173,165,172,238,0
CRJ,D,20181005,000000,165,170.5,163,165,899,0
CRJ,D,20181008,000000,171,171,156,164.98,510,0
CRJ,D,20181009,000000,161.5,163,152.2,163,697,0
CRJ,D,20181010,000000,160,182,160,176.7,6306,0
CRJ,D,20181011,000000,180,180,163.02,168,1311,0
CRJ,D,20181012,000000,159,175,152.5,175,1003,0
CRJ,D,20181015,000000,175,175,168,170,209,0
CRJ,D,20181016,000000,170,170,157,160,713,0
CRJ,D,20181017,000000,161,170,155,155.1,442,0
CRJ,D,20181018,000000,164.4,173,155.2,172,1144,0
CRJ,D,20181019,000000,172,173,162,169.9,1181,0
CRJ,D,20181022,000000,161.5,170,154.42,160.2,5063,0
CRJ,D,20181023,000000,163,165,154.5,155.62,1472,0
CRJ,D,20181024,000000,154.5,159,151,153.5,1095,0
CRJ,D,20181025,000000,150.7,150.7,141,145.1,1258,0
CRJ,D,20181026,000000,149,149,134,140.1,1597,0
CRJ,D,20181029,000000,136,141.9,134.02,137.5,388,0
CRJ,D,20181030,000000,136,139,128.4,133,704,0
CRJ,D,20181031,000000,133,140,132,140,628,0
CRJ,D,20181102,000000,132.04,150.1,132.04,150,636,0
CRJ,D,20181105,000000,151,159.4,147.02,147.5,287,0
CRJ,D,20181106,000000,146,160.5,140.1,156.32,1698,0
CRJ,D,20181107,000000,167,171,155,155,1232,0
CRJ,D,20181108,000000,155,160,151,151,700,0
CRJ,D,20181109,000000,151,169.9,127,145,753,0
CRJ,D,20181113,000000,135,161.8,135,140.02,668,0
CRJ,D,20181114,000000,138,154.6,138,146,120,0
CRJ,D,20181115,000000,146,146,141,141,683,0
CRJ,D,20181116,000000,141.6,141.6,133,140,610,0
CRJ,D,20181119,000000,139,141,135,141,362,0
CRJ,D,20181120,000000,141,141.2,135.02,135.06,597,0
CRJ,D,20181121,000000,138,139,135,136.1,485,0
CRJ,D,20181122,000000,135.1,140,134,139,210,0
CRJ,D,20181123,000000,138.6,145,137.1,139,173,0
CRJ,D,20181126,000000,141,156.5,141,149,455,0
CRJ,D,20181127,000000,148,155,146,146,406,0
CRJ,D,20181128,000000,145.6,150,145.6,148,281,0
CRJ,D,20181129,000000,152,158,152,158,431,0
CRJ,D,20181130,000000,159,159,152,152,184,0
CRJ,D,20181203,000000,157.9,157.9,148,154.1,481,0
CRJ,D,20181204,000000,153.66,153.66,147.5,147.5,63,0
CRJ,D,20181205,000000,147.5,150,146,147.9,146,0
CRJ,D,20181206,000000,150,150,143,143,268,0
CRJ,D,20181207,000000,144,144.1,140,143,473,0
CRJ,D,20181210,000000,143,145,137.1,144,157,0
CRJ,D,20181211,000000,143,150,143,143.02,174,0
CRJ,D,20181212,000000,143.02,146,142,146,91,0
CRJ,D,20181213,000000,141,149.38,141,149.38,11,0
CRJ,D,20181214,000000,149.28,151,147,147,172,0
CRJ,D,20181217,000000,147,149,142,149,161,0
CRJ,D,20181219,000000,143,147,143,147,95,0
CRJ,D,20181220,000000,142,148,142,142,142,0
CRJ,D,20181221,000000,142,147,133.1,141,157,0
CRJ,D,20181227,000000,140,141,133,133,304,0
CRJ,D,20181228,000000,140.7,141,140.7,141,120,0
