<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTX,D,20210419,000000,174,175,170.98,171.98,26344,0
CTX,D,20210420,000000,172.8,172.8,150,154.04,18376,0
CTX,D,20210421,000000,155,169.96,150,168,10621,0
CTX,D,20210422,000000,167,174.8,167,173.98,3543,0
CTX,D,20210423,000000,172,174.28,169.02,174.28,1643,0
CTX,D,20210426,000000,180,180,172.32,177.9,397,0
CTX,D,20210427,000000,178,178,175.64,177.86,67,0
CTX,D,20210428,000000,177.96,177.96,169,177.46,164,0
CTX,D,20210429,000000,177.94,177.94,171.02,176.94,208,0
CTX,D,20210430,000000,176.9,178.58,172.42,178,594,0
CTX,D,20210504,000000,172.5,177.46,170.26,177.46,10875,0
CTX,D,20210505,000000,172.2,174,172.12,173,7318,0
CTX,D,20210506,000000,173,173,170.32,172,5449,0
CTX,D,20210507,000000,172.96,172.96,171,171.6,12763,0
CTX,D,20210510,000000,172,172,169,171.98,620,0
CTX,D,20210511,000000,172,172,171,171,51,0
CTX,D,20210512,000000,171,171.5,170,170,8067,0
CTX,D,20210513,000000,170.96,170.96,166.28,168.6,2169,0
CTX,D,20210514,000000,169,170.5,167.52,170.5,16858,0
CTX,D,20210517,000000,171.98,171.98,168.3,170,454,0
CTX,D,20210518,000000,171,171,168.02,170.98,36,0
CTX,D,20210519,000000,170.96,170.98,170.5,170.98,4,0
CTX,D,20210520,000000,168,170.98,168,170.98,139,0
CTX,D,20210521,000000,166.2,170.96,166.2,170.96,3,0
CTX,D,20210524,000000,170.96,170.96,166.4,170,32,0
CTX,D,20210525,000000,166.5,169.5,166.5,169.5,63,0
CTX,D,20210526,000000,170,170,166.52,169.9,32,0
CTX,D,20210527,000000,169.8,169.8,169.8,169.8,5,0
CTX,D,20210528,000000,166.56,169.78,166.56,169.5,28,0
CTX,D,20210531,000000,169.4,169.4,165.4,169,89,0
CTX,D,20210601,000000,169,175,165.22,170,3002,0
CTX,D,20210602,000000,170,174,167,174,7106,0
CTX,D,20210604,000000,174.5,174.9,173.9,174,14,0
CTX,D,20210607,000000,174,174,174,174,206,0
CTX,D,20210608,000000,174,178,174,178,1548,0
CTX,D,20210609,000000,178,184,178,184,586,0
CTX,D,20210610,000000,184,184,182.8,184,1190,0
CTX,D,20210611,000000,183.98,185,178.2,184.8,1909,0
CTX,D,20210614,000000,185,186,181.5,185.9,1444,0
CTX,D,20210615,000000,183.16,185.9,182.6,185.9,1212,0
CTX,D,20210616,000000,185.5,190,184,187.1,7440,0
CTX,D,20210617,000000,186.9,187,183,185.5,953,0
CTX,D,20210618,000000,185.5,188,185,187.94,1793,0
CTX,D,20210621,000000,185,187.86,184,187.86,3486,0
CTX,D,20210622,000000,186.98,186.98,186.5,186.5,194,0
CTX,D,20210623,000000,186.5,192.16,186,190,7763,0
CTX,D,20210624,000000,194,197,192,195,258,0
CTX,D,20210625,000000,195,199,195,198,571,0
CTX,D,20210628,000000,198,200,192,200,2614,0
CTX,D,20210629,000000,200,203,197.1,201,3964,0
CTX,D,20210630,000000,198.58,202.4,198.58,198.8,1670,0
CTX,D,20210701,000000,199.5,201.9,197.16,199.6,1120,0
CTX,D,20210702,000000,200,200,198,199.4,1716,0
CTX,D,20210705,000000,199.4,199.4,194,199.4,2994,0
CTX,D,20210706,000000,195.5,199,195.5,199,422,0
CTX,D,20210707,000000,196.04,198.9,196.04,198.9,89,0
CTX,D,20210708,000000,198.8,198.8,194.6,198.6,395,0
CTX,D,20210709,000000,198.6,198.6,193.3,198,17772,0
CTX,D,20210712,000000,197.4,197.5,193.46,197.5,107,0
CTX,D,20210713,000000,198,198,180.3,191.9,2211,0
CTX,D,20210714,000000,193,193,188,188,348,0
CTX,D,20210715,000000,190.7,190.7,186,189,478,0
CTX,D,20210716,000000,188,198,188,195,1250,0
CTX,D,20210719,000000,195,196,194.5,195,283,0
CTX,D,20210720,000000,196,196,192.06,194.9,143,0
CTX,D,20210721,000000,193,199,190,195,176,0
CTX,D,20210722,000000,195,195.5,190,195,150,0
CTX,D,20210723,000000,195,195.5,192,195.5,3063,0
CTX,D,20210726,000000,195.5,195.5,190,193,7033,0
CTX,D,20210727,000000,195,195,191,195,295,0
CTX,D,20210728,000000,195,195,190,192,162,0
CTX,D,20210729,000000,192,194.98,189,192,39120,0
CTX,D,20210730,000000,192,192,191,191,66,0
CTX,D,20210802,000000,192,192,188.2,191,204,0
CTX,D,20210803,000000,182.2,192.9,182.2,192.9,431,0
CTX,D,20210804,000000,192.9,192.9,187,192,8824,0
CTX,D,20210805,000000,192.5,192.5,187.04,190,92,0
CTX,D,20210806,000000,188,192.48,188,190.98,5138,0
CTX,D,20210809,000000,190.9,194.98,190,194.98,6313,0
CTX,D,20210810,000000,194,194,190,193.98,151,0
CTX,D,20210811,000000,193.98,193.98,192,193,144,0
CTX,D,20210812,000000,193.98,193.98,188.16,191,329,0
CTX,D,20210813,000000,193.98,193.98,190,190.5,30,0
CTX,D,20210816,000000,190,192,189.6,190,166,0
CTX,D,20210817,000000,190,193,189.6,193,704,0
CTX,D,20210818,000000,193.98,193.98,190.5,190.5,71,0
CTX,D,20210819,000000,185.5,190.98,185,190.5,195,0
CTX,D,20210820,000000,190,192,185.1,192,142,0
CTX,D,20210823,000000,185.28,190,185.28,190,9,0
CTX,D,20210824,000000,190,190,190,190,1,0
CTX,D,20210825,000000,191,191,185.22,190,16,0
CTX,D,20210826,000000,190,190,189,190,337,0
CTX,D,20210827,000000,190.1,191.9,185.28,190,36,0
CTX,D,20210830,000000,185,190,185,189.7,481,0
CTX,D,20210831,000000,189.7,190,184.2,189.9,345,0
CTX,D,20210901,000000,188,188.8,175,188.8,1752,0
CTX,D,20210902,000000,188,188,188,188,1,0
CTX,D,20210903,000000,188.88,188.88,186,188.48,400,0
CTX,D,20210906,000000,184,187.5,183.2,183.62,465,0
CTX,D,20210907,000000,183.62,188.5,183.62,186,68,0
CTX,D,20210908,000000,188.5,188.5,183.74,185.02,232,0
CTX,D,20210909,000000,183.7,188,183.7,186,4005,0
CTX,D,20210910,000000,185,188.96,184.08,185.04,1199,0
CTX,D,20210913,000000,185.04,188.98,184.28,186,1023,0
CTX,D,20210914,000000,186,188.6,185,185.02,8153,0
CTX,D,20210915,000000,185.86,188,185.02,188,163,0
CTX,D,20210916,000000,185,188.7,184.24,188,248,0
CTX,D,20210917,000000,185.1,190,185.02,189.9,4359,0
CTX,D,20210920,000000,188.02,188.9,184.44,188.7,301,0
CTX,D,20210921,000000,185,188,184.42,188,1471,0
CTX,D,20210922,000000,184.24,189.9,184.24,188,425,0
CTX,D,20210923,000000,185.72,189,185.72,189,1017,0
CTX,D,20210924,000000,186,189,186,186,6329,0
CTX,D,20210927,000000,184.28,189.84,184.2,189.84,25,0
CTX,D,20210928,000000,189.86,189.86,185.12,187.9,1265,0
CTX,D,20210929,000000,189,189,185.02,186.88,1553,0
CTX,D,20210930,000000,186.88,188,185,188,1703,0
CTX,D,20211001,000000,185.1,189,184.54,186,983,0
CTX,D,20211004,000000,186,188,184.48,186.06,5861,0
CTX,D,20211005,000000,189.5,189.5,185.16,186,72,0
CTX,D,20211006,000000,188,190,187.12,189,6801,0
CTX,D,20211007,000000,189,193,189,191.5,2335,0
CTX,D,20211008,000000,191,192,183.02,190,19523,0
CTX,D,20211011,000000,190,190,190,190,30,0
CTX,D,20211012,000000,188,189,188,188.5,143,0
CTX,D,20211013,000000,189,192,187,191,103,0
CTX,D,20211014,000000,190,190,190,190,2600,0
CTX,D,20211015,000000,190,209,190,202,8564,0
CTX,D,20211018,000000,204.9,204.9,190,195.98,54227,0
CTX,D,20211019,000000,195.98,200,194.5,200,5366,0
CTX,D,20211020,000000,199.9,199.9,196.9,197.5,137,0
CTX,D,20211021,000000,197,197,196,196.5,127,0
CTX,D,20211022,000000,195.8,199.98,195,196.96,1718,0
CTX,D,20211025,000000,196.98,196.98,194.7,195.48,477,0
CTX,D,20211026,000000,195.5,195.5,189,190,2103,0
CTX,D,20211027,000000,190,192.8,189,190,11974,0
CTX,D,20211028,000000,190,195,187,195,19233,0
CTX,D,20211029,000000,194.98,196.98,192,192,185,0
CTX,D,20211102,000000,190,194.98,190,193.98,2036,0
CTX,D,20211103,000000,193,193,176.4,182.2,1398,0
CTX,D,20211104,000000,182,189,180.06,189,394,0
CTX,D,20211105,000000,184.2,190,184,189.8,696,0
CTX,D,20211108,000000,184.2,189.4,184.2,188.9,37,0
CTX,D,20211109,000000,184.1,189,180,182,452,0
CTX,D,20211110,000000,181,185,181,185,626,0
CTX,D,20211112,000000,184.98,190,184.98,189.86,848,0
CTX,D,20211115,000000,188.9,193.98,188.9,190,1170,0
CTX,D,20211116,000000,190,193.78,189.5,193.78,1060,0
CTX,D,20211117,000000,190,192,190,192,426,0
CTX,D,20211118,000000,190,190,180,185.1,966,0
CTX,D,20211119,000000,181,187,181,186,392,0
CTX,D,20211122,000000,185,185,184,184.9,172,0
CTX,D,20211123,000000,182.5,184,182.5,184,35,0
CTX,D,20211124,000000,183.5,184,178.22,183.68,129,0
CTX,D,20211125,000000,183.58,183.6,183.58,183.6,95,0
CTX,D,20211126,000000,180.1,185,179.02,185,1261,0
CTX,D,20211129,000000,180,185.78,176.6,185.78,127,0
CTX,D,20211130,000000,185,188.8,180.1,185,3423,0
CTX,D,20211201,000000,185,187.5,185,187.44,377,0
CTX,D,20211202,000000,188.88,189.9,188.88,188.88,823,0
CTX,D,20211203,000000,182,186,182,185.8,11307,0
CTX,D,20211206,000000,185,185,183,183,593,0
CTX,D,20211207,000000,182,182,180,181.98,399,0
CTX,D,20211208,000000,180,180.5,180,180.5,1457,0
CTX,D,20211209,000000,180.5,180.5,178.3,180,4684,0
CTX,D,20211210,000000,179.8,179.8,178.6,178.6,3147,0
CTX,D,20211213,000000,177.1,180,177.1,179.88,685,0
CTX,D,20211214,000000,179.88,180,175.6,178.4,150,0
CTX,D,20211215,000000,175.7,179.8,174.12,179,387,0
CTX,D,20211216,000000,177,177,174,174,449,0
CTX,D,20211217,000000,178,178,178,178,146,0
CTX,D,20211221,000000,178,178,173,175,218,0
CTX,D,20211222,000000,176,178,172.52,175,872,0
CTX,D,20211223,000000,176.4,176.4,171.98,175.9,1372,0
CTX,D,20211227,000000,175.9,179.5,173.5,178.9,2198,0
CTX,D,20211228,000000,178.98,179,177,179,284,0
CTX,D,20211229,000000,179,179.8,178,179.8,3064,0
CTX,D,20211230,000000,180,182,178,179.8,964,0
CTX,D,20220103,000000,175.4,178,174,178,336,0
CTX,D,20220104,000000,176,177.9,175,175,1252,0
CTX,D,20220105,000000,175,175,173,175,545,0
CTX,D,20220107,000000,175,180,175,180,4443,0
CTX,D,20220110,000000,180,180,171.5,180,3598,0
CTX,D,20220111,000000,179,179,175,178,66,0
CTX,D,20220112,000000,180,183.98,177.02,180,24561,0
CTX,D,20220113,000000,183.78,183.78,179.5,180,1215,0
CTX,D,20220114,000000,174.02,179,174,178.98,116,0
CTX,D,20220117,000000,178.9,179,177,179,21376,0
CTX,D,20220118,000000,175,178.62,172.04,178.5,643,0
CTX,D,20220119,000000,177.98,177.98,174,176.9,125,0
CTX,D,20220120,000000,177,187,177,184,12921,0
CTX,D,20220121,000000,180,184,175.04,179.9,6549,0
CTX,D,20220124,000000,175.3,178,170.2,173.5,3152,0
CTX,D,20220125,000000,172.98,172.98,165.02,169.5,1277,0
CTX,D,20220126,000000,170.02,179,170.02,178,984,0
CTX,D,20220127,000000,170,175,168.52,171,1152,0
CTX,D,20220128,000000,172,178,170,171,2010,0
CTX,D,20220131,000000,175,175,172.52,173.5,314,0
CTX,D,20220201,000000,174,174,170,173.86,248,0
CTX,D,20220202,000000,169,173,167,170,1461,0
CTX,D,20220203,000000,168.4,172,167.7,172,504,0
CTX,D,20220204,000000,167.7,171,167,171,1171,0
CTX,D,20220207,000000,173.6,174.6,170.9,174.6,178,0
CTX,D,20220208,000000,174.3,174.3,160.8,170.98,1975,0
CTX,D,20220209,000000,173.2,174.5,168.1,174.5,1204,0
CTX,D,20220210,000000,174.5,176,172.04,176,756,0
CTX,D,20220211,000000,175,175.5,171,174.5,294,0
CTX,D,20220214,000000,169.1,175,166.7,173,1067,0
CTX,D,20220215,000000,170,173,170,173,61,0
CTX,D,20220216,000000,174.98,174.98,168.7,174,103,0
CTX,D,20220217,000000,175,175,167.36,171,363,0
CTX,D,20220218,000000,171,173.1,168,173,1142,0
CTX,D,20220221,000000,172.8,173.2,166.06,172.88,624,0
CTX,D,20220222,000000,166,171.9,158.06,171.9,545,0
CTX,D,20220223,000000,171.9,187,171,187,1710,0
CTX,D,20220224,000000,173.98,175,147,175,5815,0
CTX,D,20220225,000000,173.88,181,171,181,6511,0
CTX,D,20220228,000000,180,181,170,181,7927,0
CTX,D,20220301,000000,181.5,181.5,176.24,179.9,85,0
CTX,D,20220302,000000,171.44,180.96,171.44,177,367,0
CTX,D,20220303,000000,175,180,170.6,175,302,0
CTX,D,20220304,000000,175,177.2,170.66,175,280,0
CTX,D,20220307,000000,170.6,175,162.2,168.98,688,0
CTX,D,20220308,000000,166,170,162.02,165,350,0
CTX,D,20220309,000000,170,170,169.04,169.7,28,0
CTX,D,20220310,000000,169.76,169.76,169,169.1,299,0
CTX,D,20220311,000000,169.1,175,169.1,174.98,6563,0
CTX,D,20220314,000000,166.5,172.28,165.5,172.16,459,0
CTX,D,20220316,000000,170,171.98,166.5,169.98,252,0
CTX,D,20220317,000000,168.98,168.98,165,165,8279,0
CTX,D,20220318,000000,168,170,162.1,164.98,407,0
CTX,D,20220321,000000,162.3,164.98,162.3,164.8,388,0
CTX,D,20220322,000000,164.8,167.16,164.8,165,157,0
CTX,D,20220323,000000,166,166,160,160,122,0
CTX,D,20220324,000000,164.98,164.98,160.5,164,600,0
CTX,D,20220325,000000,162,162.1,160,162,198,0
CTX,D,20220328,000000,162,164,162,164,148,0
CTX,D,20220329,000000,164.96,167.04,160,160,2580,0
CTX,D,20220330,000000,160.02,160.02,159,160,6773,0
CTX,D,20220331,000000,160,160,158,160,70,0
CTX,D,20220401,000000,164,164,157.2,159.98,273,0
CTX,D,20220404,000000,159.98,159.98,153,154.94,3932,0
CTX,D,20220405,000000,154.94,155,150,155,2643,0
CTX,D,20220406,000000,152,152,147.5,150,11605,0
CTX,D,20220407,000000,150,150,147.1,150,262,0
CTX,D,20220408,000000,145,150,144,147,2295,0
CTX,D,20220411,000000,150.02,155,149,154.36,16726,0
CTX,D,20220412,000000,150,150,145.08,148,496,0
CTX,D,20220413,000000,149,149,139,139,3429,0
CTX,D,20220414,000000,143,154,143,151,1126,0
CTX,D,20220419,000000,150,165,144,165,9570,0
CTX,D,20220420,000000,174.5,174.5,160,169,5036,0
CTX,D,20220421,000000,165,172.5,163,163,149,0
CTX,D,20220422,000000,166,166,155,155,323,0
