<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAD,D,20201229,000000,18,19.49,16.562,19.2,828136,0
DAD,D,20201230,000000,19.398,19.398,18.2,19.3,214560,0
DAD,D,20210104,000000,19.35,19.35,18.56,18.72,49681,0
DAD,D,20210105,000000,18.78,18.8,18.51,18.62,27856,0
DAD,D,20210107,000000,18.3,18.84,18.3,18.74,41269,0
DAD,D,20210108,000000,18.74,18.9,18.51,18.8,47256,0
DAD,D,20210111,000000,18.86,18.86,18.598,18.838,20650,0
DAD,D,20210112,000000,18.61,18.8,18.59,18.7,13280,0
DAD,D,20210113,000000,18.7,19.298,18.5,19.298,77988,0
DAD,D,20210114,000000,19.298,19.298,18.522,19,17815,0
DAD,D,20210115,000000,19.1,19.2,18.702,18.8,110970,0
DAD,D,20210118,000000,18.8,18.9,18.572,18.646,7901,0
DAD,D,20210119,000000,18.606,19.2,18.606,18.8,9842,0
DAD,D,20210120,000000,18.8,18.8,18.61,18.66,4817,0
DAD,D,20210121,000000,18.62,19.14,18.612,19.01,17672,0
DAD,D,20210122,000000,18.622,19.05,18.62,18.8,2458,0
DAD,D,20210125,000000,18.88,19.044,18.7,18.7,2347,0
DAD,D,20210126,000000,18.7,18.888,18.624,18.7,2759,0
DAD,D,20210127,000000,18.88,18.88,18.5,18.542,12759,0
DAD,D,20210128,000000,18.5,19.1,18.11,19.1,20323,0
DAD,D,20210129,000000,18.7,19.14,18.5,19.08,10623,0
DAD,D,20210201,000000,19.1,19.1,18.552,18.62,6284,0
DAD,D,20210202,000000,18.98,18.98,18.55,18.59,4078,0
DAD,D,20210203,000000,18.59,18.62,18.5,18.55,3214,0
DAD,D,20210204,000000,18.52,18.9,18.52,18.6,1108,0
DAD,D,20210205,000000,18.894,18.894,18.5,18.55,3113,0
DAD,D,20210208,000000,18.65,18.9,18.5,18.85,5126,0
DAD,D,20210209,000000,18.502,18.848,18.502,18.8,3184,0
DAD,D,20210210,000000,18.8,19,18.502,18.99,17632,0
DAD,D,20210211,000000,18.8,19.44,18.6,19.3,24314,0
DAD,D,20210212,000000,19.2,19.348,19.13,19.13,6214,0
DAD,D,20210215,000000,19.3,19.446,19.13,19.202,7223,0
DAD,D,20210216,000000,19.4,20.5,19.198,19.86,16514,0
DAD,D,20210217,000000,20.09,20.4,19.75,20,9626,0
DAD,D,20210218,000000,19.782,20.1,19.78,19.78,1962,0
DAD,D,20210219,000000,19.89,20.1,19.398,19.51,13097,0
DAD,D,20210222,000000,19.5,20,18.9,19.742,5358,0
DAD,D,20210223,000000,19.89,19.89,19.06,19.2,8604,0
DAD,D,20210224,000000,19.2,19.698,19.2,19.6,4907,0
DAD,D,20210225,000000,19.5,19.6,19.4,19.5,3312,0
DAD,D,20210226,000000,19.4,19.4,19,19.18,4365,0
DAD,D,20210301,000000,19.31,20.5,19.002,20.09,18270,0
DAD,D,20210302,000000,20.1,20.5,20,20.3,6934,0
DAD,D,20210303,000000,20.41,20.5,20,20,6258,0
DAD,D,20210304,000000,20,20,19.55,19.85,1621,0
DAD,D,20210305,000000,19.66,19.958,19.5,19.78,3882,0
DAD,D,20210308,000000,19.51,19.85,19.39,19.4,10873,0
DAD,D,20210309,000000,19.39,19.8,19.36,19.5,2745,0
DAD,D,20210310,000000,19.79,19.8,19.41,19.55,4161,0
DAD,D,20210311,000000,19.6,19.602,19.33,19.55,2919,0
DAD,D,20210312,000000,19.898,20,19.6,19.6,845,0
DAD,D,20210315,000000,19.602,20,19.45,20,4275,0
DAD,D,20210316,000000,19.99,19.99,19.504,19.6,3267,0
DAD,D,20210317,000000,19.75,19.9,19.5,19.9,9177,0
DAD,D,20210318,000000,19.75,20,19.66,19.7,1709,0
DAD,D,20210319,000000,20.1,20.5,19.71,20.5,13966,0
DAD,D,20210322,000000,20.5,21.89,20.5,21.88,70350,0
DAD,D,20210323,000000,21.88,21.9,20.75,20.75,12490,0
DAD,D,20210324,000000,21,21.1,20.8,20.8,3867,0
DAD,D,20210325,000000,21,21,20.55,20.65,2165,0
DAD,D,20210326,000000,20.6,20.75,20.5,20.55,2550,0
DAD,D,20210329,000000,20.5,21,20.5,20.9,1845,0
DAD,D,20210330,000000,20.91,20.91,20.45,20.6,3377,0
DAD,D,20210331,000000,20.7,20.995,20.4,20.51,4389,0
DAD,D,20210401,000000,20.5,20.995,20.4,20.75,1463,0
DAD,D,20210406,000000,20.99,20.99,20.5,20.95,6486,0
DAD,D,20210407,000000,20.99,20.99,20.6,20.85,5586,0
DAD,D,20210408,000000,21.1,21.9,20.9,21.4,27834,0
DAD,D,20210409,000000,21.605,22.22,21.35,22.22,72723,0
DAD,D,20210412,000000,22.325,23.89,22.325,23.5,35315,0
DAD,D,20210413,000000,23.785,23.785,23,23.3,14258,0
DAD,D,20210414,000000,23.8,23.8,23.01,23.28,6199,0
DAD,D,20210415,000000,23.28,23.6,22.7,23.57,6705,0
DAD,D,20210416,000000,23.35,24.845,23.305,24.29,20161,0
