<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCR,D,20050621,000000,10.806,10.852,10.49,10.673,304991,0
DCR,D,20050622,000000,10.583,10.628,10.49,10.583,26535,0
DCR,D,20050623,000000,10.583,10.628,10.537,10.583,31782,0
DCR,D,20050624,000000,10.221,10.537,10.221,10.401,12127,0
DCR,D,20050627,000000,10.354,10.583,10.354,10.583,15082,0
DCR,D,20050628,000000,10.49,10.628,10.49,10.628,36888,0
DCR,D,20050629,000000,10.49,10.628,10.49,10.537,5568,0
DCR,D,20050630,000000,10.628,10.673,10.628,10.628,7973,0
DCR,D,20050701,000000,10.445,10.628,10.445,10.628,1366,0
DCR,D,20050704,000000,10.49,10.673,10.49,10.673,10715,0
DCR,D,20050705,000000,10.628,10.72,10.628,10.72,14431,0
DCR,D,20050706,000000,10.72,10.72,10.628,10.628,3780,0
DCR,D,20050707,000000,10.628,10.628,9.815,10.628,10003,0
DCR,D,20050708,000000,10.401,10.628,10.401,10.628,621,0
DCR,D,20050711,000000,10.401,10.673,10.401,10.673,8591,0
DCR,D,20050712,000000,10.401,10.628,10.401,10.628,4551,0
DCR,D,20050713,000000,10.72,10.72,10.72,10.72,14702,0
DCR,D,20050714,000000,10.673,10.72,10.628,10.628,14476,0
DCR,D,20050715,000000,10.628,10.628,10.628,10.628,121,0
DCR,D,20050718,000000,10.401,10.401,10.401,10.401,1620,0
DCR,D,20050719,000000,10.401,10.49,10.401,10.49,110810,0
DCR,D,20050720,000000,10.583,10.583,10.401,10.583,112775,0
DCR,D,20050721,000000,10.401,10.628,10.401,10.401,4539,0
DCR,D,20050725,000000,10.312,10.354,10.312,10.354,2175,0
DCR,D,20050726,000000,10.49,10.49,10.445,10.49,57050,0
DCR,D,20050727,000000,10.628,10.628,10.312,10.312,2314,0
DCR,D,20050728,000000,10.312,10.401,10.312,10.401,2382,0
DCR,D,20050729,000000,10.401,10.401,10.401,10.401,442,0
DCR,D,20050801,000000,10.312,10.312,10.312,10.312,189,0
DCR,D,20050802,000000,10.312,10.445,9.677,10.445,5080,0
DCR,D,20050803,000000,10.445,10.445,10.445,10.445,2168,0
DCR,D,20050804,000000,10.49,10.583,10.49,10.583,2354,0
DCR,D,20050805,000000,10.221,10.806,10.221,10.806,26784,0
DCR,D,20050808,000000,10.806,11.212,10.806,10.852,38493,0
DCR,D,20050809,000000,10.897,11.171,10.806,11.171,15036,0
DCR,D,20050810,000000,11.035,11.08,10.943,10.943,5777,0
DCR,D,20050811,000000,10.852,10.852,10.852,10.852,164,0
DCR,D,20050812,000000,10.76,10.852,10.76,10.852,1048,0
DCR,D,20050816,000000,10.852,11.035,10.673,11.035,8929,0
DCR,D,20050817,000000,11.035,11.533,11.035,11.305,24330,0
