<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEL,D,20090918,000000,7.9332,8.606,7.6624,7.9413,265480,0
DEL,D,20090921,000000,8.0395,8.3947,7.8048,7.911,63725,0
DEL,D,20090922,000000,7.8513,7.9945,7.6243,7.9265,50496,0
DEL,D,20090923,000000,7.9191,7.9191,7.7457,7.911,24199,0
DEL,D,20090924,000000,7.7761,7.8209,7.6696,7.7679,9949,0
DEL,D,20090925,000000,7.7679,7.7679,7.4359,7.549,24205,0
DEL,D,20090928,000000,7.5411,7.5411,7.3598,7.4359,8765,0
DEL,D,20090929,000000,7.2092,7.4051,7.2092,7.3982,11313,0
DEL,D,20090930,000000,7.3075,7.3829,7.2092,7.2469,11768,0
DEL,D,20091001,000000,7.353,7.3598,7.2545,7.3598,3452,0
DEL,D,20091002,000000,7.353,7.353,7.0958,7.353,4771,0
DEL,D,20091005,000000,7.2847,7.3221,7.1488,7.3221,532,0
DEL,D,20091006,000000,7.179,7.2998,7.1716,7.2998,722,0
DEL,D,20091007,000000,7.3221,7.3221,7.179,7.3221,6992,0
DEL,D,20091008,000000,7.3221,7.3221,7.1488,7.2319,3163,0
DEL,D,20091009,000000,7.2319,7.3452,7.2092,7.2168,11468,0
DEL,D,20091012,000000,7.2394,7.2771,7.111,7.2469,6249,0
DEL,D,20091013,000000,7.0883,7.2168,7.0883,7.1337,12058,0
DEL,D,20091014,000000,7.1716,7.1716,7.0582,7.1337,4287,0
DEL,D,20091015,000000,7.1337,7.2243,7.1337,7.1337,2113,0
DEL,D,20091016,000000,7.1337,7.1639,7.0205,7.1639,5767,0
DEL,D,20091019,000000,6.9602,7.1261,6.9602,6.9903,6191,0
DEL,D,20091020,000000,7.0958,7.0958,6.8846,6.9826,8323,0
DEL,D,20091021,000000,6.9451,6.9826,6.8014,6.9826,4832,0
DEL,D,20091022,000000,6.8241,6.9752,6.8241,6.9752,2415,0
DEL,D,20091023,000000,6.9826,7.1261,6.9451,7.1261,4761,0
DEL,D,20091026,000000,6.9602,7.1186,6.9451,7.111,2645,0
DEL,D,20091027,000000,7.0808,7.111,6.8695,6.8695,135,0
DEL,D,20091028,000000,7.1261,7.1261,6.9451,7.0883,2766,0
DEL,D,20091029,000000,7.0883,7.111,7.0808,7.111,6447,0
DEL,D,20091030,000000,7.0958,7.1337,6.9826,6.9826,3991,0
DEL,D,20091102,000000,6.9526,7.1716,6.9526,7.1639,397,0
DEL,D,20091103,000000,7.1639,7.1639,6.9826,7.1261,3686,0
DEL,D,20091104,000000,7.1261,7.1261,7.0657,7.0958,1223,0
DEL,D,20091105,000000,7.1488,7.5411,7.0808,7.5332,10793,0
DEL,D,20091106,000000,7.5332,7.5332,7.3375,7.3982,4078,0
DEL,D,20091109,000000,7.4128,7.6846,7.4128,7.6624,8268,0
DEL,D,20091110,000000,7.7005,7.8358,7.6243,7.8358,11419,0
DEL,D,20091112,000000,7.8358,7.8358,7.7005,7.8209,2697,0
DEL,D,20091113,000000,7.8358,7.8358,7.7147,7.7908,9505,0
DEL,D,20091116,000000,7.8358,7.8358,7.5411,7.7761,6523,0
DEL,D,20091117,000000,7.7761,7.8358,7.3221,7.3982,13988,0
DEL,D,20091118,000000,7.5112,7.6172,7.3598,7.4359,5341,0
DEL,D,20091119,000000,7.4359,7.5112,7.3221,7.3982,5380,0
DEL,D,20091120,000000,7.6172,7.6172,7.3221,7.549,2832,0
DEL,D,20091123,000000,7.549,7.7005,7.3221,7.7005,4947,0
DEL,D,20091124,000000,7.6624,7.6624,7.3982,7.6624,1832,0
DEL,D,20091125,000000,7.6545,7.6545,7.549,7.6243,966,0
DEL,D,20091126,000000,7.6243,7.6243,7.3982,7.5791,1774,0
DEL,D,20091127,000000,7.3221,7.6093,7.3221,7.4736,2071,0
DEL,D,20091130,000000,7.5863,7.5863,7.3375,7.4582,320,0
DEL,D,20091201,000000,7.5411,7.7005,7.1867,7.6696,13609,0
DEL,D,20091202,000000,7.6624,7.6624,7.3221,7.3906,11438,0
DEL,D,20091203,000000,7.3906,7.4736,7.3152,7.4504,1552,0
DEL,D,20091204,000000,7.2469,7.4504,7.2469,7.4283,2087,0
DEL,D,20091207,000000,7.2621,7.3829,7.2469,7.2545,4435,0
DEL,D,20091208,000000,7.2394,7.3152,7.0431,7.2017,4650,0
DEL,D,20091209,000000,7.1942,7.2017,7.0582,7.0582,3319,0
DEL,D,20091210,000000,7.1563,7.1716,7.1563,7.1639,3378,0
DEL,D,20091211,000000,6.9451,7.1563,6.9451,7.1563,6221,0
DEL,D,20091215,000000,7.3598,7.3598,6.9903,7.3221,695,0
DEL,D,20091217,000000,7.1639,7.1639,7.0205,7.1563,1722,0
DEL,D,20091218,000000,7.0205,7.1488,6.9451,7.1488,1100,0
DEL,D,20091221,000000,7.1488,7.8513,7.1488,7.3221,3034,0
DEL,D,20091222,000000,7.1261,7.3221,6.8771,7.2319,1185,0
DEL,D,20091223,000000,7.3221,7.3221,6.9451,7.1488,2163,0
DEL,D,20091228,000000,7.1261,7.1337,7.0507,7.0958,9583,0
DEL,D,20091229,000000,7.1716,7.1716,6.9299,7.0958,891,0
DEL,D,20091230,000000,7.0958,7.1716,7.0205,7.1488,2126,0
DEL,D,20091231,000000,7.1488,7.1488,7.1488,7.1488,1404,0
DEL,D,20100104,000000,7.0205,7.1488,7.0205,7.1412,1938,0
DEL,D,20100105,000000,7.1337,7.1337,6.9826,7.111,2254,0
DEL,D,20100106,000000,7.1639,7.1639,6.9451,7.0958,208,0
DEL,D,20100107,000000,7.1563,7.1563,6.8014,6.8317,2468,0
DEL,D,20100108,000000,7.179,7.179,6.9451,7.1488,1761,0
DEL,D,20100111,000000,7.1716,7.1716,7.1639,7.1639,210,0
DEL,D,20100112,000000,6.9073,7.1716,6.8921,7.1488,1003,0
DEL,D,20100113,000000,6.9526,7.1261,6.9451,7.0958,1907,0
DEL,D,20100114,000000,7.1261,7.1261,6.9451,7.0808,450,0
DEL,D,20100115,000000,7.1261,7.1261,6.9526,7.0582,1022,0
DEL,D,20100118,000000,7.0582,7.0582,7.0582,7.0582,277,0
DEL,D,20100119,000000,7.0507,7.0507,7.0507,7.0507,68,0
DEL,D,20100120,000000,7.0355,7.0355,7.0355,7.0355,132,0
