<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOM,D,20061024,000000,58.218,62.455,51.525,54.204,1433158,0
DOM,D,20061025,000000,57.108,57.462,54.649,56.659,258298,0
DOM,D,20061026,000000,57.728,57.728,53.98,53.98,126624,0
DOM,D,20061027,000000,53.98,54.649,53.534,54.204,114925,0
DOM,D,20061030,000000,55.052,55.052,51.748,52.864,58029,0
DOM,D,20061031,000000,53.445,53.578,52.641,53.534,37592,0
DOM,D,20061102,000000,53.712,53.712,53.088,53.31,108793,0
DOM,D,20061103,000000,53.534,53.534,52.998,53.221,17781,0
DOM,D,20061106,000000,53.534,54.873,52.641,53.98,26907,0
DOM,D,20061107,000000,55.32,56.928,53.98,56.839,84972,0
DOM,D,20061108,000000,57.108,57.108,55.32,57.108,23049,0
DOM,D,20061109,000000,56.659,57.062,56.21,56.21,17090,0
DOM,D,20061110,000000,56.21,56.21,55.452,55.858,11190,0
DOM,D,20061113,000000,56.21,56.21,55.32,55.32,34476,0
DOM,D,20061114,000000,55.095,55.543,53.98,54.873,43185,0
DOM,D,20061115,000000,55.721,55.721,53.578,54.07,22725,0
DOM,D,20061116,000000,54.382,55.721,54.382,54.873,78114,0
DOM,D,20061117,000000,54.962,55.543,54.516,54.873,62331,0
DOM,D,20061120,000000,54.873,55.32,54.516,55.095,34110,0
DOM,D,20061121,000000,55.32,56.076,55.095,55.765,46241,0
DOM,D,20061122,000000,55.765,56.614,55.765,56.434,105258,0
DOM,D,20061123,000000,56.614,56.614,56.21,56.434,30023,0
DOM,D,20061124,000000,56.434,57.551,56.21,57.281,73111,0
DOM,D,20061127,000000,57.551,60.226,57.551,59.956,158272,0
DOM,D,20061128,000000,58.749,60.09,58.128,60.09,58353,0
DOM,D,20061129,000000,60.003,61.565,59.333,61.473,69303,0
DOM,D,20061130,000000,61.565,62.186,60.806,61.253,42562,0
DOM,D,20061201,000000,61.565,62.414,60.853,62.228,64406,0
DOM,D,20061204,000000,62.455,65.577,61.927,64.776,63346,0
DOM,D,20061205,000000,65.623,65.801,65.133,65.577,66691,0
DOM,D,20061206,000000,65.662,66.024,64.021,64.463,205672,0
DOM,D,20061207,000000,64.463,65.801,64.463,65.577,27242,0
DOM,D,20061208,000000,65.976,65.976,64.727,65.23,36400,0
DOM,D,20061211,000000,65.499,65.499,64.24,64.371,26581,0
DOM,D,20061212,000000,64.69,64.69,63.572,63.971,139793,0
DOM,D,20061213,000000,63.708,64.24,63.13,63.13,29809,0
DOM,D,20061214,000000,63.21,64.156,60.806,62.455,45690,0
DOM,D,20061215,000000,61.565,63.345,59.774,63.345,74573,0
DOM,D,20061218,000000,63.345,64.199,62.014,64.156,53694,0
DOM,D,20061219,000000,64.021,64.199,62.902,64.021,119488,0
DOM,D,20061220,000000,63.345,64.69,62.05,62.902,75394,0
DOM,D,20061221,000000,61.793,62.455,61.793,62.05,26501,0
DOM,D,20061222,000000,62.05,62.455,61.608,62.014,66518,0
DOM,D,20061227,000000,62.014,63.302,62.014,62.902,25114,0
DOM,D,20061228,000000,62.902,63.345,62.014,63.345,42525,0
DOM,D,20061229,000000,61.699,66.92,61.699,66.92,102730,0
DOM,D,20070102,000000,66.024,66.429,65.577,65.577,29600,0
DOM,D,20070103,000000,65.931,65.931,63.572,64.334,46644,0
DOM,D,20070104,000000,64.24,64.24,62.682,63.13,37123,0
DOM,D,20070105,000000,63.572,66.691,63.345,65.533,139337,0
DOM,D,20070108,000000,65.577,66.606,63.799,66.606,31927,0
DOM,D,20070109,000000,66.245,68.702,65.577,68.256,108132,0
DOM,D,20070110,000000,68.702,69.153,67.627,68.702,21972,0
DOM,D,20070111,000000,68.034,70.269,68.034,70.13,38996,0
DOM,D,20070112,000000,70.935,71.158,69.415,69.773,67929,0
DOM,D,20070115,000000,70.48,73.614,69.585,73.076,31577,0
DOM,D,20070116,000000,73.614,73.614,71.109,73.076,35825,0
DOM,D,20070117,000000,72.726,72.726,71.382,71.823,33609,0
DOM,D,20070118,000000,72.229,73.382,71.382,73.215,75831,0
DOM,D,20070119,000000,73.16,73.16,71.74,72.272,28867,0
DOM,D,20070122,000000,71.473,72.272,71.249,71.823,82511,0
DOM,D,20070123,000000,72.046,72.046,69.585,71.382,61332,0
DOM,D,20070124,000000,71.424,72.272,70.935,72.272,27033,0
DOM,D,20070125,000000,72.76,73.74,72.76,73.614,89586,0
DOM,D,20070126,000000,73.215,73.516,71.382,72.726,41594,0
DOM,D,20070129,000000,73.124,75.7,72.272,74.86,60761,0
DOM,D,20070130,000000,75.042,75.308,73.614,74.95,32602,0
DOM,D,20070131,000000,74.048,75.7,74.048,74.95,33255,0
DOM,D,20070201,000000,75.7,76.689,75.392,75.882,43206,0
DOM,D,20070202,000000,76.505,78.962,76.286,78.294,23137,0
DOM,D,20070205,000000,78.072,79.508,77.625,78.739,20186,0
DOM,D,20070206,000000,78.739,78.962,77.625,78.294,8970,0
DOM,D,20070207,000000,77.003,78.072,76.337,77.179,21992,0
DOM,D,20070208,000000,76.727,76.727,70.759,73.382,59766,0
DOM,D,20070209,000000,72.76,74.719,72.76,73.425,31852,0
DOM,D,20070212,000000,73.614,74.552,72.726,74.552,109144,0
DOM,D,20070213,000000,75.083,76.07,74.552,75.392,79093,0
DOM,D,20070214,000000,76.727,76.727,75.392,75.93,13740,0
DOM,D,20070215,000000,76.458,76.458,72.272,73.614,23011,0
DOM,D,20070216,000000,73.614,75.84,73.614,73.614,28053,0
DOM,D,20070219,000000,75.266,75.266,72.894,74.86,93625,0
DOM,D,20070220,000000,74.86,74.902,73.614,73.614,29318,0
DOM,D,20070221,000000,74.496,74.719,73.382,73.614,57678,0
DOM,D,20070222,000000,73.698,74.496,73.382,74.279,113645,0
DOM,D,20070223,000000,74.496,74.496,73.124,73.382,161546,0
DOM,D,20070226,000000,74.769,74.769,73.425,73.425,18365,0
DOM,D,20070227,000000,73.425,73.614,68.97,69.153,47184,0
DOM,D,20070228,000000,67.674,71.424,67.674,71.424,119490,0
DOM,D,20070301,000000,72.272,73.124,70.269,71.382,52512,0
DOM,D,20070302,000000,71.158,73.16,70.046,72.501,52054,0
DOM,D,20070305,000000,70.269,72.229,68.525,71.473,59108,0
DOM,D,20070306,000000,70.528,72.501,70.528,72.411,21861,0
DOM,D,20070307,000000,72.501,73.614,72.272,73.614,50743,0
DOM,D,20070308,000000,73.614,75.608,73.614,74.986,42425,0
DOM,D,20070309,000000,75.748,77.841,75.175,75.84,90564,0
DOM,D,20070312,000000,75.84,77.625,75.84,76.774,30852,0
DOM,D,20070313,000000,76.951,76.951,76.727,76.819,118260,0
DOM,D,20070314,000000,75.392,76.951,74.048,76.951,35681,0
DOM,D,20070315,000000,76.727,77.579,76.727,76.951,44281,0
DOM,D,20070316,000000,77.179,78.025,76.727,76.727,124847,0
DOM,D,20070319,000000,77.802,77.802,75.84,76.727,9101,0
DOM,D,20070320,000000,76.727,77.179,75.392,76.689,15222,0
DOM,D,20070321,000000,75.84,76.774,75.84,76.727,85768,0
DOM,D,20070322,000000,76.951,77.579,76.727,76.951,19857,0
DOM,D,20070323,000000,77.579,77.579,75.84,76.911,17124,0
DOM,D,20070326,000000,75.882,76.727,75.882,76.505,11979,0
DOM,D,20070327,000000,75.972,76.727,75.972,76.727,29196,0
DOM,D,20070328,000000,76.689,76.951,75.84,76.951,20650,0
DOM,D,20070329,000000,75.93,76.951,75.93,76.774,16402,0
DOM,D,20070330,000000,76.727,78.517,76.505,76.505,94158,0
DOM,D,20070402,000000,77.625,77.978,75.882,77.978,12749,0
DOM,D,20070403,000000,78.072,78.072,76.286,77.579,6611,0
DOM,D,20070404,000000,77.625,78.517,77.625,78.072,33815,0
DOM,D,20070405,000000,78.072,78.294,77.625,78.072,8681,0
DOM,D,20070410,000000,78.072,78.962,78.072,78.739,48219,0
DOM,D,20070411,000000,79.015,83.209,79.015,82.933,63469,0
DOM,D,20070412,000000,83.209,83.233,78.962,80.529,22666,0
DOM,D,20070413,000000,80.751,82.533,80.751,81.643,51800,0
DOM,D,20070416,000000,82.533,82.533,81.727,82.08,43732,0
DOM,D,20070417,000000,81.812,82.264,81.282,82.08,83852,0
DOM,D,20070418,000000,82.264,86.997,82.264,82.749,48549,0
DOM,D,20070419,000000,82.971,83.209,79.408,81.412,27085,0
DOM,D,20070420,000000,80.575,82.08,80.575,81.643,21889,0
DOM,D,20070423,000000,81.643,82.487,80.751,82.08,146993,0
DOM,D,20070424,000000,82.127,82.487,81.182,82.08,175595,0
DOM,D,20070425,000000,79.861,79.861,78.155,79.408,71245,0
DOM,D,20070426,000000,79.861,79.861,78.378,79.408,25072,0
DOM,D,20070427,000000,78.072,79.408,78.072,78.962,3611,0
DOM,D,20070430,000000,78.072,80.299,72.935,80.299,47676,0
DOM,D,20070502,000000,80.261,80.299,78.072,78.294,8780,0
DOM,D,20070504,000000,78.072,79.861,78.072,79.861,15310,0
DOM,D,20070507,000000,79.638,79.638,78.962,78.962,10126,0
DOM,D,20070508,000000,78.962,78.962,76.337,76.727,26495,0
DOM,D,20070509,000000,75.84,76.727,73.425,74.048,38485,0
DOM,D,20070510,000000,73.782,74.048,69.455,70.528,29817,0
DOM,D,20070511,000000,69.191,70.48,69.101,70.48,36514,0
DOM,D,20070514,000000,74.719,74.719,70.48,71.382,48634,0
DOM,D,20070515,000000,72.272,72.935,70.528,70.528,36892,0
DOM,D,20070516,000000,72.229,72.229,70.57,70.669,105930,0
DOM,D,20070517,000000,70.935,71.823,70.528,70.71,115323,0
DOM,D,20070518,000000,70.71,73.16,70.57,71.606,90060,0
DOM,D,20070521,000000,73.382,73.614,71.956,72.272,15844,0
DOM,D,20070522,000000,73.382,73.382,71.382,71.473,45930,0
DOM,D,20070523,000000,71.823,72.935,71.382,72.272,8789,0
DOM,D,20070524,000000,72.935,76.727,72.726,76.727,90376,0
DOM,D,20070525,000000,76.07,78.072,76.07,77.179,81792,0
DOM,D,20070528,000000,79.231,79.231,77.441,78.155,21204,0
DOM,D,20070529,000000,79.184,79.446,77.542,78.118,66362,0
DOM,D,20070530,000000,75.441,78.118,75.441,77.672,21249,0
DOM,D,20070531,000000,78.209,79.908,78.118,79.908,57281,0
DOM,D,20070601,000000,79.446,79.446,78.378,78.378,64452,0
DOM,D,20070604,000000,79.184,79.184,75.349,76.558,94570,0
DOM,D,20070605,000000,76.774,76.774,74.986,76.337,50945,0
DOM,D,20070606,000000,75.475,75.475,72.355,72.355,15090,0
DOM,D,20070608,000000,71.55,72.313,70.752,71.648,102707,0
DOM,D,20070611,000000,73.209,74.719,72.984,74.719,29403,0
DOM,D,20070612,000000,73.65,74.95,73.209,73.209,4854,0
DOM,D,20070613,000000,71.866,72.76,70.977,71.907,13408,0
DOM,D,20070614,000000,72.76,74.552,72.76,74.552,54808,0
DOM,D,20070615,000000,74.769,75.175,74.769,74.769,18578,0
DOM,D,20070618,000000,74.95,74.95,72.984,74.685,39622,0
DOM,D,20070619,000000,73.65,74.552,73.019,74.552,7453,0
DOM,D,20070620,000000,74.986,75.308,73.65,74.552,14749,0
DOM,D,20070621,000000,74.769,74.769,70.977,70.977,106384,0
DOM,D,20070622,000000,73.614,73.614,72.005,73.209,108185,0
DOM,D,20070625,000000,73.243,73.243,72.313,73.209,69279,0
DOM,D,20070626,000000,72.984,74.496,72.984,74.363,185018,0
DOM,D,20070627,000000,74.552,75.93,72.76,75.93,177590,0
DOM,D,20070628,000000,75.882,75.882,73.209,74.237,71524,0
DOM,D,20070629,000000,73.209,74.237,72.76,73.209,41337,0
DOM,D,20070702,000000,74.453,74.453,72.313,73.209,55109,0
DOM,D,20070703,000000,72.313,73.209,71.866,71.866,5444,0
DOM,D,20070704,000000,71.417,72.76,70.57,71.866,16656,0
DOM,D,20070705,000000,71.866,72.313,70.57,71.823,4688,0
DOM,D,20070706,000000,71.823,71.866,69.983,70.752,37269,0
DOM,D,20070709,000000,71.018,72.264,70.752,72.264,56610,0
DOM,D,20070710,000000,72.179,72.495,70.977,71.417,187270,0
DOM,D,20070711,000000,71.193,71.417,70.081,70.081,162448,0
DOM,D,20070712,000000,70.081,70.081,67.006,67.445,27848,0
DOM,D,20070713,000000,67.536,68.473,67.405,68.473,3505,0
DOM,D,20070716,000000,67.405,68.695,65.165,65.356,13579,0
DOM,D,20070717,000000,64.947,64.947,62.05,63.254,58453,0
DOM,D,20070718,000000,64.057,65.165,63.254,63.61,22057,0
DOM,D,20070719,000000,63.83,64.635,63.61,64.279,42799,0
DOM,D,20070720,000000,64.279,67.405,64.057,67.405,98745,0
DOM,D,20070723,000000,68.473,69.585,68.303,69.455,7255,0
DOM,D,20070724,000000,69.633,69.633,68.303,69.055,167683,0
DOM,D,20070725,000000,67.581,69.191,67.581,69.191,32339,0
DOM,D,20070726,000000,68.695,68.741,64.279,66.738,2292,0
DOM,D,20070727,000000,63.61,65.709,61.596,65.623,8590,0
DOM,D,20070730,000000,65.571,66.953,62.941,66.953,3342,0
DOM,D,20070731,000000,67.851,67.851,66.514,66.953,3872,0
DOM,D,20070801,000000,66.057,66.514,64.727,64.898,26278,0
DOM,D,20070802,000000,66.057,69.191,65.623,69.191,9877,0
DOM,D,20070803,000000,67.851,70.928,67.851,70.928,61932,0
DOM,D,20070806,000000,67.006,69.633,67.006,69.191,16614,0
DOM,D,20070807,000000,68.963,70.843,68.963,70.843,21961,0
DOM,D,20070808,000000,70.928,70.928,69.191,70.528,33222,0
DOM,D,20070809,000000,69.717,70.388,69.5,69.5,2764,0
DOM,D,20070810,000000,66.193,69.191,65.755,67.851,13303,0
DOM,D,20070813,000000,68.741,69.545,67.851,69.415,12171,0
DOM,D,20070814,000000,67.006,70.081,66.953,69.191,30525,0
DOM,D,20070816,000000,66.953,67.006,63.567,63.567,30789,0
DOM,D,20070817,000000,63.524,69.191,58.027,65.165,13719,0
DOM,D,20070820,000000,65.388,66.738,63.389,65.623,32936,0
DOM,D,20070821,000000,63.83,64.727,61.196,64.727,9287,0
DOM,D,20070822,000000,64.727,68.741,64.727,68.303,26508,0
DOM,D,20070823,000000,66.953,67.006,66.057,66.953,4039,0
DOM,D,20070824,000000,66.823,67.405,66.823,67.405,3054,0
DOM,D,20070827,000000,66.953,68.303,66.738,67.851,3601,0
DOM,D,20070828,000000,65.657,67.851,65.657,67.045,93373,0
DOM,D,20070829,000000,65.441,67.851,65.441,66.953,4314,0
DOM,D,20070830,000000,66.423,68.518,66.423,67.405,22995,0
DOM,D,20070831,000000,66.953,68.741,66.953,68.741,3248,0
DOM,D,20070903,000000,67.895,69.147,67.405,68.073,617,0
DOM,D,20070904,000000,67.221,67.851,67.221,67.758,3815,0
DOM,D,20070905,000000,69.095,69.095,67.851,68.387,4255,0
DOM,D,20070906,000000,67.49,67.621,67.405,67.621,1126,0
DOM,D,20070907,000000,67.851,68.256,67.621,67.621,8447,0
DOM,D,20070910,000000,66.057,67.045,66.024,66.514,3424,0
DOM,D,20070911,000000,65.165,68.303,65.165,68.303,4808,0
DOM,D,20070912,000000,67.006,67.182,66.953,67.006,1568,0
DOM,D,20070913,000000,66.057,67.666,65.976,66.868,4624,0
DOM,D,20070914,000000,66.377,68.303,66.285,67.666,8512,0
DOM,D,20070917,000000,67.895,67.895,67.405,67.621,26498,0
DOM,D,20070918,000000,66.953,69.191,66.193,69.191,6268,0
DOM,D,20070919,000000,69.191,69.191,68.426,69.095,2198,0
DOM,D,20070920,000000,68.792,69.191,67.758,69.191,1957,0
DOM,D,20070921,000000,68.303,70.528,67.621,70.528,5132,0
DOM,D,20070924,000000,70.528,70.528,67.445,67.445,3751,0
DOM,D,20070925,000000,67.581,68.303,66.514,67.536,40080,0
DOM,D,20070926,000000,67.445,67.445,66.285,66.285,6468,0
DOM,D,20070927,000000,66.776,66.776,65.931,66.423,14138,0
DOM,D,20070928,000000,66.423,66.914,66.057,66.514,9889,0
DOM,D,20071001,000000,66.514,66.514,64.77,65.258,34578,0
DOM,D,20071002,000000,64.279,64.855,63.83,64.855,3159,0
DOM,D,20071003,000000,63.873,66.057,63.389,63.389,5249,0
DOM,D,20071004,000000,63.027,64.77,63.027,64.77,10316,0
DOM,D,20071005,000000,63.474,64.192,63.161,63.788,16758,0
DOM,D,20071008,000000,63.567,64.499,63.389,64.499,45475,0
DOM,D,20071009,000000,64.499,65.526,64.057,65.526,45915,0
DOM,D,20071010,000000,65.623,66.057,64.549,65.623,67896,0
DOM,D,20071011,000000,65.623,65.623,63.788,63.788,5277,0
DOM,D,20071012,000000,63.739,63.788,62.941,63.61,19564,0
DOM,D,20071015,000000,65.12,65.12,62.941,63.389,5246,0
DOM,D,20071016,000000,62.492,62.492,61.596,62.05,1632,0
DOM,D,20071017,000000,62.05,62.941,61.159,62,6403,0
DOM,D,20071018,000000,61.596,64.279,61.11,64.23,13679,0
DOM,D,20071019,000000,64.413,66.953,64.057,66.953,356931,0
DOM,D,20071022,000000,65.623,65.623,64.23,64.727,19220,0
DOM,D,20071023,000000,64.77,65.623,64.365,64.727,166700,0
DOM,D,20071024,000000,64.683,64.683,63.431,64.23,41993,0
DOM,D,20071025,000000,64.727,64.727,63.431,64.057,25834,0
DOM,D,20071026,000000,64.499,64.499,63.204,63.204,20533,0
DOM,D,20071029,000000,63.389,63.389,62.05,62.271,3760,0
DOM,D,20071030,000000,62.228,62.314,59.68,59.68,16336,0
DOM,D,20071031,000000,58.072,59.498,57.136,59.276,85439,0
DOM,D,20071102,000000,59.276,60.619,58.027,59.769,21034,0
DOM,D,20071105,000000,60.038,61.596,60.038,60.26,39224,0
