<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DPL,D,20041223,000000,13.328,15.682,13.159,14.505,230075,0
DPL,D,20041224,000000,14.8,15.388,14.589,15.388,39397,0
DPL,D,20041227,000000,16.018,18.037,15.766,17.995,246160,0
DPL,D,20041228,000000,18.541,20.39,18.037,19.466,234131,0
DPL,D,20041229,000000,19.634,19.802,18.037,18.541,98973,0
DPL,D,20041230,000000,17.995,18.037,16.985,17.069,100952,0
DPL,D,20041231,000000,17.28,18.247,17.28,18.037,42136,0
DPL,D,20050103,000000,18.247,19.005,18.037,18.457,53481,0
DPL,D,20050104,000000,18.457,18.5,18.037,18.12,20819,0
DPL,D,20050105,000000,18.247,18.247,17.743,18.037,19047,0
DPL,D,20050106,000000,17.447,17.784,17.323,17.447,16845,0
DPL,D,20050107,000000,17.447,17.868,17.447,17.657,8020,0
DPL,D,20050110,000000,17.49,17.49,16.648,16.775,16742,0
DPL,D,20050111,000000,16.607,16.607,15.808,15.808,35645,0
DPL,D,20050112,000000,15.682,16.06,15.682,15.892,13411,0
DPL,D,20050113,000000,16.06,16.103,15.682,15.766,10307,0
DPL,D,20050114,000000,15.808,15.851,15.304,15.555,21431,0
DPL,D,20050117,000000,15.345,15.514,14.758,14.925,24355,0
DPL,D,20050118,000000,14.8,14.925,14.127,14.378,24902,0
DPL,D,20050119,000000,14.337,15.514,14.168,15.43,37936,0
DPL,D,20050120,000000,15.304,15.304,14.841,14.968,8159,0
DPL,D,20050121,000000,15.093,15.22,14.589,14.925,8343,0
DPL,D,20050124,000000,14.968,14.968,14.505,14.925,6392,0
DPL,D,20050125,000000,14.968,16.06,14.925,16.018,39246,0
DPL,D,20050126,000000,16.481,16.817,15.725,16.144,46779,0
DPL,D,20050127,000000,16.186,16.271,15.682,16.06,23991,0
DPL,D,20050128,000000,16.144,16.144,15.851,16.103,12212,0
DPL,D,20050131,000000,16.103,16.481,15.892,16.271,15892,0
DPL,D,20050201,000000,16.271,16.271,16.06,16.229,4849,0
DPL,D,20050202,000000,16.271,16.271,15.892,16.103,8001,0
DPL,D,20050203,000000,15.977,16.103,15.808,15.851,5276,0
DPL,D,20050204,000000,15.851,16.06,15.851,15.933,7028,0
DPL,D,20050207,000000,15.933,15.933,15.514,15.851,16966,0
DPL,D,20050208,000000,15.682,15.851,15.555,15.851,4845,0
DPL,D,20050209,000000,15.933,15.933,15.64,15.808,2747,0
DPL,D,20050210,000000,15.682,15.808,15.64,15.808,2895,0
DPL,D,20050211,000000,15.766,15.766,15.598,15.682,3840,0
DPL,D,20050214,000000,15.64,15.64,15.304,15.304,10128,0
DPL,D,20050215,000000,15.304,15.304,14.8,15.093,12754,0
DPL,D,20050216,000000,15.514,15.808,15.093,15.304,15515,0
DPL,D,20050217,000000,15.134,15.64,14.968,15.514,7415,0
DPL,D,20050218,000000,15.514,15.514,15.304,15.514,2436,0
DPL,D,20050221,000000,15.304,15.514,15.134,15.514,1651,0
DPL,D,20050222,000000,15.345,15.345,15.093,15.304,2712,0
DPL,D,20050223,000000,15.304,15.304,15.134,15.134,5481,0
DPL,D,20050224,000000,15.134,16.06,15.093,15.977,21445,0
DPL,D,20050225,000000,16.103,16.271,15.682,15.977,20713,0
DPL,D,20050228,000000,15.766,15.766,15.514,15.555,2784,0
DPL,D,20050301,000000,15.514,15.766,15.473,15.555,1688,0
DPL,D,20050302,000000,15.473,15.514,15.22,15.345,3632,0
DPL,D,20050303,000000,15.22,15.514,15.093,15.22,4150,0
DPL,D,20050304,000000,15.473,15.473,15.134,15.134,1524,0
DPL,D,20050307,000000,15.093,15.304,15.093,15.262,6349,0
DPL,D,20050308,000000,15.262,15.262,14.925,15.052,1761,0
DPL,D,20050309,000000,15.22,15.22,14.968,15.01,1652,0
DPL,D,20050310,000000,15.01,15.134,15.01,15.01,738,0
DPL,D,20050311,000000,15.01,15.052,14.589,14.925,1724,0
DPL,D,20050314,000000,14.925,14.925,14.758,14.925,663,0
DPL,D,20050315,000000,14.715,14.715,14.505,14.589,4824,0
DPL,D,20050316,000000,14.505,14.505,13.958,14.294,11878,0
DPL,D,20050317,000000,14.127,14.168,13.916,13.958,5316,0
DPL,D,20050318,000000,14.042,14.211,13.916,14.127,5875,0
