<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL,D,20070629,000000,4.2398,4.3554,3.8928,3.8928,19058762,0
DVL,D,20070702,000000,3.9572,3.9572,3.4946,3.7451,7791803,0
DVL,D,20070703,000000,3.8544,3.9442,3.8221,3.8671,6372110,0
DVL,D,20070704,000000,3.9185,3.9957,3.8735,3.9185,2447047,0
DVL,D,20070705,000000,3.9635,3.9635,3.8221,3.8928,1952702,0
DVL,D,20070706,000000,3.9057,3.9121,3.8415,3.8479,727571,0
DVL,D,20070709,000000,3.8607,3.8607,3.6938,3.7193,1209779,0
DVL,D,20070710,000000,3.7065,3.7258,3.5523,3.5846,2394200,0
DVL,D,20070711,000000,3.5974,3.5974,3.4046,3.4752,1751385,0
DVL,D,20070712,000000,3.4303,3.5203,3.4046,3.4624,1139019,0
DVL,D,20070713,000000,3.4624,3.5846,3.4303,3.5652,1174997,0
DVL,D,20070716,000000,3.5781,3.6487,3.2826,3.4689,639490,0
DVL,D,20070717,000000,3.4433,3.4433,3.3018,3.3854,867527,0
DVL,D,20070718,000000,3.4046,3.4046,3.3083,3.3276,1208138,0
DVL,D,20070719,000000,3.3404,3.6744,3.3404,3.6102,2074930,0
DVL,D,20070720,000000,3.6616,3.6616,3.501,3.5139,872949,0
DVL,D,20070723,000000,3.5139,3.5846,3.4046,3.4689,534840,0
DVL,D,20070724,000000,3.5459,3.5459,3.3211,3.334,1389274,0
DVL,D,20070725,000000,3.212,3.3276,3.0706,3.3083,2287951,0
DVL,D,20070726,000000,3.3083,3.3276,3.1991,3.1991,1358900,0
DVL,D,20070727,000000,3.0898,3.2441,3.077,3.0835,1799364,0
DVL,D,20070730,000000,3.1156,3.212,3.1156,3.1476,640223,0
DVL,D,20070731,000000,3.2054,3.3083,3.2054,3.2441,1076105,0
DVL,D,20070801,000000,3.212,3.212,3.1348,3.1606,625554,0
DVL,D,20070802,000000,3.2504,3.2697,3.1092,3.1092,1876274,0
DVL,D,20070803,000000,3.167,3.167,3.0706,3.0835,349774,0
DVL,D,20070806,000000,3.0192,3.032,2.8907,2.955,926698,0
DVL,D,20070807,000000,3.0192,3.0449,2.7172,2.7172,1504797,0
DVL,D,20070808,000000,2.7686,2.8779,2.7172,2.7302,2087719,0
DVL,D,20070809,000000,2.7622,2.7622,2.5117,2.5824,3902888,0
DVL,D,20070810,000000,2.4796,2.4925,2.3061,2.3447,3471255,0
DVL,D,20070813,000000,2.3447,2.6595,2.3447,2.6016,3402976,0
DVL,D,20070814,000000,2.6016,2.6852,2.563,2.563,3372097,0
DVL,D,20070816,000000,2.4346,2.4346,2.1969,2.3126,2418852,0
DVL,D,20070817,000000,2.3061,2.563,2.2741,2.5053,3755337,0
DVL,D,20070820,000000,2.6016,2.6658,2.5053,2.5502,1134817,0
DVL,D,20070821,000000,2.5759,2.5759,2.4346,2.5374,1015202,0
DVL,D,20070822,000000,2.5695,2.6658,2.5117,2.6209,3121002,0
DVL,D,20070823,000000,2.6595,2.7365,2.608,2.6274,2981075,0
DVL,D,20070824,000000,2.6337,2.743,2.5824,2.6724,2139362,0
DVL,D,20070827,000000,2.7302,2.8265,2.7302,2.7559,1538341,0
DVL,D,20070828,000000,2.7559,2.8073,2.7108,2.7686,937339,0
DVL,D,20070829,000000,2.608,2.7751,2.6016,2.7559,1104654,0
DVL,D,20070830,000000,2.8265,2.865,2.5567,2.6274,2091925,0
DVL,D,20070831,000000,2.6787,2.7622,2.6787,2.6981,620263,0
DVL,D,20070903,000000,2.7108,2.7302,2.6337,2.6981,407428,0
DVL,D,20070904,000000,2.6981,2.6981,2.6145,2.6466,656046,0
DVL,D,20070905,000000,2.653,2.6595,2.4925,2.4925,1184058,0
DVL,D,20070906,000000,2.5246,2.5374,2.4282,2.4925,664234,0
DVL,D,20070907,000000,2.4667,2.5181,2.3704,2.4025,932365,0
DVL,D,20070910,000000,2.3447,2.4025,2.2741,2.3383,816321,0
DVL,D,20070911,000000,2.3576,2.4218,2.351,2.4089,883521,0
DVL,D,20070912,000000,2.4346,2.4474,2.3768,2.3896,363490,0
DVL,D,20070913,000000,2.3704,2.5824,2.3447,2.563,1459918,0
DVL,D,20070914,000000,2.563,2.653,2.4282,2.4539,1568907,0
DVL,D,20070917,000000,2.4474,2.4539,2.3832,2.4346,578584,0
DVL,D,20070918,000000,2.4282,2.4346,2.3768,2.4282,1209323,0
DVL,D,20070919,000000,2.5181,2.5374,2.4667,2.4796,1218438,0
DVL,D,20070920,000000,2.4732,2.4925,2.4282,2.4282,776248,0
DVL,D,20070921,000000,2.4282,2.544,2.4282,2.4411,2206261,0
DVL,D,20070924,000000,2.4474,2.4925,2.4089,2.4218,600601,0
DVL,D,20070925,000000,2.4089,2.5374,2.4089,2.5246,1994074,0
DVL,D,20070926,000000,2.5374,3.0449,2.5053,2.8843,10435563,0
DVL,D,20070927,000000,2.9164,2.9871,2.7302,2.7494,4743799,0
DVL,D,20070928,000000,2.7494,2.8779,2.6658,2.6981,2438474,0
DVL,D,20071001,000000,2.6916,2.743,2.608,2.6595,1183880,0
DVL,D,20071002,000000,2.7044,2.7365,2.6337,2.653,1752946,0
DVL,D,20071003,000000,2.653,2.6658,2.5695,2.5824,1089668,0
DVL,D,20071004,000000,2.563,2.7172,2.544,2.653,4654955,0
DVL,D,20071005,000000,2.6724,2.7559,2.6403,2.7302,3864489,0
DVL,D,20071008,000000,2.7494,2.7622,2.6852,2.6916,800379,0
DVL,D,20071009,000000,2.6916,2.8073,2.6916,2.7302,1317201,0
DVL,D,20071010,000000,2.7622,2.7622,2.6916,2.6981,682340,0
DVL,D,20071011,000000,2.7044,2.7302,2.6658,2.6981,758917,0
