<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH,D,19960305,000000,0.03814,0.03814,0.03814,0.03814,4137314,0
ECH,D,19960306,000000,0.04172,0.04172,0.04172,0.04172,9504779,0
ECH,D,19960307,000000,0.04256,0.04256,0.04256,0.04256,3059232,0
ECH,D,19960308,000000,0.04215,0.04215,0.04215,0.04215,2484973,0
ECH,D,19960311,000000,0.03982,0.03982,0.03982,0.03982,351581,0
ECH,D,19960312,000000,0.03583,0.03583,0.03583,0.03583,167247,0
ECH,D,19960313,000000,0.03751,0.03751,0.03751,0.03751,731064,0
ECH,D,19960314,000000,0.03856,0.03856,0.03856,0.03856,428276,0
ECH,D,19960315,000000,0.03876,0.03876,0.03876,0.03876,581093,0
ECH,D,19960318,000000,0.0394,0.0394,0.0394,0.0394,216033,0
ECH,D,19960319,000000,0.04215,0.04215,0.04215,0.04215,534963,0
ECH,D,19960320,000000,0.03982,0.03982,0.03982,0.03982,477061,0
ECH,D,19960321,000000,0.03982,0.03982,0.03982,0.03982,175789,0
ECH,D,19960322,000000,0.03583,0.03583,0.03583,0.03583,237296,0
ECH,D,19960325,000000,0.0394,0.0394,0.0394,0.0394,596469,0
ECH,D,19960326,000000,0.03645,0.03645,0.03645,0.03645,547681,0
ECH,D,19960327,000000,0.03876,0.03876,0.03876,0.03876,245270,0
ECH,D,19960328,000000,0.03668,0.03668,0.03668,0.03668,544453,0
ECH,D,19960329,000000,0.03751,0.03751,0.03751,0.03751,332023,0
ECH,D,19960401,000000,0.03668,0.03668,0.03668,0.03668,585081,0
ECH,D,19960402,000000,0.03668,0.03668,0.03668,0.03668,789345,0
ECH,D,19960403,000000,0.03624,0.03624,0.03624,0.03624,344365,0
ECH,D,19960404,000000,0.03751,0.03751,0.03751,0.03751,119784,0
ECH,D,19960405,000000,0.03668,0.03668,0.03668,0.03668,530977,0
ECH,D,19960409,000000,0.03751,0.03751,0.03751,0.03751,345692,0
ECH,D,19960410,000000,0.03668,0.03668,0.03668,0.03668,326711,0
ECH,D,19960411,000000,0.03668,0.03668,0.03668,0.03668,163072,0
ECH,D,19960412,000000,0.03729,0.03729,0.03729,0.03729,788773,0
