<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDI,D,20101027,000000,4.5625,4.5625,4.2736,4.4,145820,0
EDI,D,20101028,000000,4.4061,4.4061,4.033,4.0387,73649,0
EDI,D,20101029,000000,4.0401,4.0959,3.6745,4.0897,175602,0
EDI,D,20101102,000000,4.0929,4.0929,4.0208,4.0871,39032,0
EDI,D,20101103,000000,3.9847,4.063,3.8643,3.8643,5901,0
EDI,D,20101104,000000,4.063,4.063,3.9123,4.057,2244,0
EDI,D,20101105,000000,3.9123,4.057,3.8582,4.0026,3904,0
EDI,D,20101108,000000,3.9484,4.0088,3.9123,4.0088,9657,0
EDI,D,20101109,000000,4.0088,4.033,3.8221,3.9667,9415,0
EDI,D,20101110,000000,3.9123,3.9726,3.8523,3.9667,3491,0
EDI,D,20101112,000000,3.8582,3.9667,3.8523,3.9667,2142,0
EDI,D,20101115,000000,3.8582,3.9667,3.8582,3.9425,432,0
EDI,D,20101116,000000,3.8643,3.8763,3.7921,3.8523,6977,0
EDI,D,20101117,000000,3.8523,3.8523,3.7319,3.7319,4418,0
EDI,D,20101118,000000,3.7019,3.7019,3.5333,3.6898,35948,0
EDI,D,20101119,000000,3.6898,3.7921,3.6898,3.7921,17852,0
EDI,D,20101122,000000,3.6597,3.786,3.6356,3.6356,6231,0
EDI,D,20101123,000000,3.7319,3.7319,3.5754,3.7259,8758,0
EDI,D,20101124,000000,3.7319,3.75,3.6718,3.75,23267,0
EDI,D,20101125,000000,3.6718,3.7199,3.5814,3.6055,10724,0
EDI,D,20101126,000000,3.6055,3.6718,3.5633,3.6536,13990,0
EDI,D,20101129,000000,3.6475,3.6475,3.6475,3.6475,2577,0
EDI,D,20101130,000000,3.6055,3.6416,3.5213,3.6416,9310,0
EDI,D,20101201,000000,3.6416,3.6416,3.6416,3.6416,4641,0
EDI,D,20101202,000000,3.6114,3.6114,3.6055,3.6055,1047,0
EDI,D,20101203,000000,3.6114,3.6114,3.3707,3.6114,23789,0
EDI,D,20101206,000000,3.6114,3.6114,3.4971,3.5513,8216,0
EDI,D,20101207,000000,3.6114,3.6114,3.5574,3.6114,4981,0
EDI,D,20101208,000000,3.5333,3.7079,3.5033,3.7079,21359,0
EDI,D,20101209,000000,3.6958,3.8523,3.6958,3.8523,8982,0
EDI,D,20101210,000000,3.8523,3.8523,3.7259,3.7319,7673,0
EDI,D,20101213,000000,3.6718,3.7319,3.6236,3.7319,6642,0
EDI,D,20101214,000000,3.7319,3.8943,3.7019,3.8943,7493,0
EDI,D,20101215,000000,3.7981,3.8824,3.7319,3.8824,10277,0
EDI,D,20101216,000000,3.9065,3.9968,3.8702,3.9968,2726,0
EDI,D,20101217,000000,3.9184,4.0269,3.8824,4.0269,8248,0
EDI,D,20101220,000000,3.8281,3.8523,3.6718,3.7981,9618,0
EDI,D,20101221,000000,3.7621,3.7621,3.6536,3.6718,4489,0
EDI,D,20101222,000000,3.6416,3.8523,3.6416,3.7921,6650,0
EDI,D,20101223,000000,3.8523,3.8824,3.8523,3.8824,1412,0
EDI,D,20101227,000000,3.774,3.8643,3.7379,3.8582,9268,0
EDI,D,20101228,000000,3.8523,3.8582,3.6837,3.7079,9312,0
EDI,D,20101229,000000,3.8403,3.9667,3.7079,3.9004,14902,0
EDI,D,20101230,000000,3.8523,3.9726,3.8523,3.9726,14736,0
EDI,D,20101231,000000,3.9409,3.9782,3.8606,3.972,13948,0
EDI,D,20110103,000000,3.8582,3.8582,3.7921,3.7921,2397,0
EDI,D,20110104,000000,3.7921,3.7921,3.7921,3.7921,2839,0
EDI,D,20110105,000000,3.7921,3.7921,3.768,3.7921,22725,0
EDI,D,20110107,000000,3.8523,3.8523,3.8221,3.8221,414,0
EDI,D,20110110,000000,3.8221,3.8221,3.774,3.774,1537,0
EDI,D,20110112,000000,3.8702,3.8824,3.7981,3.8824,2997,0
EDI,D,20110113,000000,3.9065,3.9305,3.8824,3.9065,4080,0
EDI,D,20110114,000000,3.9123,3.9305,3.8221,3.8824,8030,0
EDI,D,20110117,000000,3.8221,3.9004,3.8221,3.9004,221,0
EDI,D,20110118,000000,3.8943,3.9247,3.8943,3.9247,283,0
EDI,D,20110119,000000,3.9247,3.9305,3.7981,3.7981,736,0
EDI,D,20110120,000000,3.9247,3.9247,3.7621,3.8763,2394,0
EDI,D,20110121,000000,3.8702,3.9184,3.7921,3.9184,5539,0
EDI,D,20110124,000000,3.9123,3.9123,3.8523,3.9123,1616,0
EDI,D,20110125,000000,3.9123,3.9123,3.8221,3.9123,690,0
EDI,D,20110126,000000,3.8943,3.8943,3.8221,3.8221,467,0
EDI,D,20110127,000000,3.8221,3.8763,3.8221,3.8763,7450,0
EDI,D,20110128,000000,3.8763,3.8763,3.7981,3.8463,1176,0
EDI,D,20110131,000000,3.848,3.8851,3.7923,3.848,1822,0
EDI,D,20110201,000000,3.768,3.8824,3.7621,3.8824,3444,0
EDI,D,20110202,000000,3.768,3.8763,3.768,3.8763,5341,0
EDI,D,20110203,000000,3.8523,3.8523,3.7981,3.8523,947,0
EDI,D,20110204,000000,3.8523,3.8523,3.7921,3.8523,549,0
EDI,D,20110207,000000,3.8463,3.9425,3.8463,3.9425,6157,0
EDI,D,20110208,000000,3.9123,3.9123,3.8463,3.8824,638,0
EDI,D,20110209,000000,3.9065,3.9065,3.8582,3.8824,720,0
EDI,D,20110210,000000,3.8824,3.8824,3.8342,3.8763,970,0
EDI,D,20110211,000000,3.8523,3.8763,3.8523,3.8763,183,0
EDI,D,20110214,000000,3.8824,3.8824,3.8342,3.8702,531,0
EDI,D,20110215,000000,3.8702,3.8702,3.8702,3.8702,16,0
EDI,D,20110216,000000,3.8523,3.8824,3.8523,3.8523,1107,0
EDI,D,20110217,000000,3.8523,3.8523,3.7921,3.7921,5642,0
EDI,D,20110218,000000,3.7921,3.8523,3.7921,3.8463,6165,0
EDI,D,20110221,000000,3.8221,3.8824,3.8221,3.8702,1135,0
EDI,D,20110222,000000,3.8221,3.8582,3.7921,3.8221,7954,0
EDI,D,20110223,000000,3.8523,3.8523,3.7981,3.8523,614,0
EDI,D,20110224,000000,3.7981,3.8403,3.7981,3.8403,11374,0
EDI,D,20110225,000000,3.7921,3.8221,3.7921,3.8221,2192,0
EDI,D,20110228,000000,3.8233,3.8851,3.8233,3.8851,7658,0
EDI,D,20110301,000000,3.9004,3.9004,3.8221,3.9004,2658,0
EDI,D,20110302,000000,3.8523,3.8523,3.8523,3.8523,1277,0
EDI,D,20110303,000000,3.8523,3.8523,3.8221,3.8523,2030,0
EDI,D,20110304,000000,3.8523,3.8523,3.8523,3.8523,8103,0
EDI,D,20110307,000000,3.8824,3.8824,3.8824,3.8824,552,0
EDI,D,20110308,000000,3.8824,3.8824,3.8824,3.8824,499,0
EDI,D,20110309,000000,3.8824,3.8885,3.8763,3.8824,2548,0
EDI,D,20110310,000000,3.9004,3.9004,3.8103,3.8103,2535,0
EDI,D,20110311,000000,3.9004,3.9004,3.8103,3.8103,3370,0
EDI,D,20110314,000000,3.8582,3.8582,3.8103,3.8103,499,0
EDI,D,20110315,000000,3.8523,3.8523,3.8041,3.8463,15221,0
EDI,D,20110316,000000,3.8041,3.8463,3.8041,3.8463,2097,0
EDI,D,20110317,000000,3.8403,3.8403,3.8403,3.8403,82,0
EDI,D,20110318,000000,3.8342,3.8342,3.8342,3.8342,51,0
EDI,D,20110321,000000,3.8221,3.8221,3.8221,3.8221,1105,0
EDI,D,20110322,000000,3.8403,3.9184,3.8041,3.9123,17122,0
EDI,D,20110323,000000,3.9247,4.0929,3.9247,4.063,25964,0
EDI,D,20110324,000000,4.057,4.2194,4.057,4.1713,31773,0
EDI,D,20110325,000000,4.2134,4.2134,4.0749,4.1413,5595,0
EDI,D,20110328,000000,4.1351,4.1351,4.0149,4.0929,7104,0
EDI,D,20110329,000000,4.0929,4.0929,4.033,4.0929,2297,0
EDI,D,20110330,000000,4.1111,4.1111,3.9847,3.9847,2911,0
EDI,D,20110331,000000,4.0897,4.0897,3.9844,3.9844,2836,0
EDI,D,20110401,000000,3.9305,3.9726,3.9123,3.9726,2501,0
EDI,D,20110404,000000,3.9726,4.0026,3.9726,4.0026,954,0
EDI,D,20110405,000000,3.9968,3.9968,3.9968,3.9968,82,0
EDI,D,20110406,000000,3.9726,3.9847,3.9305,3.9787,3017,0
EDI,D,20110407,000000,3.9787,3.9787,3.9667,3.9667,672,0
EDI,D,20110408,000000,3.9667,3.9667,3.9667,3.9667,82,0
EDI,D,20110411,000000,3.9305,3.9305,3.8824,3.8824,638,0
EDI,D,20110412,000000,3.8824,3.8824,3.8221,3.8221,5683,0
EDI,D,20110413,000000,3.8281,3.8763,3.7921,3.8763,4593,0
EDI,D,20110414,000000,3.8523,3.9366,3.8523,3.9366,1777,0
EDI,D,20110415,000000,3.9425,3.9425,3.9425,3.9425,447,0
EDI,D,20110418,000000,3.9366,3.9366,3.786,3.9366,2927,0
EDI,D,20110419,000000,3.8702,3.8885,3.774,3.8824,7512,0
EDI,D,20110420,000000,3.8824,3.8824,3.7921,3.8763,724,0
EDI,D,20110421,000000,3.8824,3.8824,3.8824,3.8824,41,0
EDI,D,20110426,000000,3.8643,3.8643,3.8643,3.8643,32,0
EDI,D,20110427,000000,3.8643,3.8643,3.7621,3.8342,2199,0
