<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENP,D,19970820,000000,1.9921,1.9921,1.9921,1.9921,938769,0
ENP,D,19970821,000000,2.1896,2.1896,2.1896,2.1896,769480,0
ENP,D,19970822,000000,2.0662,2.0662,2.0662,2.0662,194547,0
ENP,D,19970825,000000,1.9921,1.9921,1.9921,1.9921,302235,0
ENP,D,19970826,000000,2.0497,2.0497,2.0497,2.0497,201295,0
ENP,D,19970827,000000,2.239,2.239,2.239,2.239,388513,0
ENP,D,19970828,000000,2.4612,2.4612,2.4612,2.4612,535580,0
ENP,D,19970829,000000,2.5684,2.5684,2.5684,2.5684,406021,0
ENP,D,19970901,000000,2.5684,2.5684,2.5684,2.5684,385884,0
ENP,D,19970902,000000,2.8153,2.8153,2.8153,2.8153,545958,0
ENP,D,19970903,000000,3.1034,3.1034,3.1034,3.1034,374814,0
ENP,D,19970904,000000,3.0541,3.0541,3.0541,3.0541,582181,0
ENP,D,19970905,000000,3.1692,3.1692,3.1692,3.1692,293861,0
ENP,D,19970908,000000,3.3915,3.3915,3.3915,3.3915,376547,0
ENP,D,19970909,000000,3.0541,3.0541,3.0541,3.0541,600827,0
ENP,D,19970910,000000,2.7494,2.7494,2.7494,2.7494,253344,0
ENP,D,19970911,000000,2.733,2.733,2.733,2.733,317155,0
ENP,D,19970912,000000,2.7,2.7,2.7,2.7,149788,0
ENP,D,19970915,000000,2.626,2.626,2.626,2.626,180576,0
ENP,D,19970916,000000,2.6425,2.6425,2.6425,2.6425,130532,0
ENP,D,19970917,000000,2.6425,2.6425,2.6425,2.6425,216595,0
ENP,D,19970918,000000,2.56,2.56,2.56,2.56,69908,0
ENP,D,19970919,000000,2.4118,2.4118,2.4118,2.4118,78717,0
ENP,D,19970922,000000,2.4366,2.4366,2.4366,2.4366,151592,0
ENP,D,19970923,000000,2.4532,2.4532,2.4532,2.4532,145101,0
ENP,D,19970924,000000,2.4366,2.4366,2.4366,2.4366,55884,0
ENP,D,19970925,000000,2.3543,2.3543,2.3543,2.3543,78661,0
ENP,D,19970926,000000,2.2143,2.2143,2.2143,2.2143,102103,0
ENP,D,19970929,000000,2.206,2.206,2.206,2.206,55070,0
ENP,D,19970930,000000,2.1074,2.1074,2.1074,2.1074,77836,0
