<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL,D,20061229,000000,5.6735,5.6771,5.2686,5.5071,993542,0
ETL,D,20070102,000000,5.6424,5.6771,5.4796,5.5597,221358,0
ETL,D,20070103,000000,5.5695,5.5695,5.1995,5.2789,77334,0
ETL,D,20070104,000000,5.2686,5.2686,4.9262,5.1267,73756,0
ETL,D,20070105,000000,5.0749,5.2482,4.9988,5.1612,41614,0
ETL,D,20070108,000000,5.106,5.1651,5.0266,5.1651,37165,0
ETL,D,20070109,000000,5.1824,5.1824,5.113,5.1651,7525,0
ETL,D,20070110,000000,5.1612,5.1612,5.0542,5.1439,4455,0
ETL,D,20070111,000000,5.0889,5.1995,4.9608,5.1995,40437,0
ETL,D,20070112,000000,5.2027,5.3032,5.1478,5.1995,53049,0
ETL,D,20070115,000000,5.286,5.286,5.1304,5.1651,36341,0
ETL,D,20070116,000000,5.2653,5.2653,5.158,5.1824,20913,0
ETL,D,20070117,000000,5.1856,5.2616,5.1511,5.1824,28472,0
ETL,D,20070118,000000,5.1478,5.1478,5.1164,5.1478,34048,0
ETL,D,20070119,000000,5.2546,5.2546,5.0646,5.2482,23464,0
ETL,D,20070122,000000,5.2686,5.3032,5.1651,5.2272,19654,0
ETL,D,20070123,000000,5.234,5.234,5.1304,5.1304,7246,0
ETL,D,20070124,000000,5.1651,5.2686,5.1304,5.1995,21153,0
ETL,D,20070125,000000,5.1651,5.3689,5.1651,5.3689,92673,0
ETL,D,20070126,000000,5.3345,5.3689,5.1995,5.3414,14309,0
ETL,D,20070129,000000,5.4208,5.4726,5.3345,5.4726,36911,0
ETL,D,20070130,000000,5.4208,5.4381,5.3204,5.4138,39143,0
ETL,D,20070131,000000,5.3069,5.4726,5.3032,5.4694,96235,0
ETL,D,20070201,000000,5.4208,5.4726,5.4035,5.4035,43766,0
ETL,D,20070202,000000,5.4763,6.4792,5.4035,6.293,1098560,0
ETL,D,20070205,000000,6.293,6.4308,5.895,6.1061,268679,0
ETL,D,20070206,000000,6.0543,6.1166,5.7492,5.9845,142258,0
ETL,D,20070207,000000,5.9845,5.9845,5.7251,5.8151,52487,0
ETL,D,20070208,000000,5.7533,5.8499,5.7117,5.7979,50785,0
ETL,D,20070209,000000,5.7389,6.0262,5.514,6.0262,95028,0
ETL,D,20070212,000000,6.1235,6.3272,6.0712,6.2026,58243,0
ETL,D,20070213,000000,6.1609,6.3272,6.1097,6.3272,38618,0
ETL,D,20070214,000000,6.2686,6.8055,6.2686,6.6349,108531,0
ETL,D,20070215,000000,6.6701,6.6701,6.3615,6.4968,14915,0
ETL,D,20070216,000000,6.5561,6.8392,6.3272,6.8392,124686,0
ETL,D,20070219,000000,6.8426,6.9436,6.6701,6.8426,56194,0
ETL,D,20070220,000000,6.7805,6.8426,6.7044,6.8392,20627,0
ETL,D,20070221,000000,6.7765,7.0123,6.7765,6.9261,15596,0
ETL,D,20070222,000000,7.0745,7.2855,6.9261,7.2789,74640,0
