<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLC,D,20130710,000000,1.4087,1.785,1.4087,1.7367,17229,0
GLC,D,20130711,000000,1.7367,1.756,1.6981,1.7464,5179,0
GLC,D,20130712,000000,1.7367,1.7367,1.7367,1.7367,311,0
GLC,D,20130715,000000,1.7367,1.7367,1.5727,1.5727,19913,0
GLC,D,20130716,000000,1.6884,1.7271,1.6113,1.6788,4514,0
GLC,D,20130717,000000,1.6788,1.6884,1.6113,1.6788,4364,0
GLC,D,20130718,000000,1.6788,1.6788,1.5534,1.6306,7423,0
GLC,D,20130719,000000,1.6306,1.6306,1.5437,1.621,8771,0
GLC,D,20130722,000000,1.621,1.6306,1.5148,1.6306,14462,0
GLC,D,20130723,000000,1.6306,1.6306,1.4858,1.592,4944,0
GLC,D,20130724,000000,1.592,1.592,1.4762,1.592,14053,0
GLC,D,20130725,000000,1.592,1.6691,1.592,1.6691,7493,0
GLC,D,20130726,000000,1.6595,1.6595,1.6595,1.6595,1129,0
GLC,D,20130729,000000,1.6498,1.6498,1.6017,1.6498,1527,0
GLC,D,20130730,000000,1.6498,1.6498,1.6017,1.6017,882,0
GLC,D,20130731,000000,1.6498,1.6498,1.563,1.6306,5569,0
GLC,D,20130801,000000,1.6306,1.6306,1.5437,1.6113,9614,0
GLC,D,20130802,000000,1.6306,1.6306,1.6306,1.6306,5,0
GLC,D,20130805,000000,1.6306,1.6306,1.6017,1.6017,4706,0
GLC,D,20130806,000000,1.6113,1.6113,1.6113,1.6113,5,0
GLC,D,20130807,000000,1.6113,1.6113,1.6113,1.6113,1,0
GLC,D,20130808,000000,1.6306,1.6306,1.5341,1.5823,6906,0
GLC,D,20130809,000000,1.5823,1.5823,1.5823,1.5823,1,0
GLC,D,20130812,000000,1.5727,1.5727,1.5727,1.5727,689,0
GLC,D,20130813,000000,1.6113,1.6402,1.5437,1.6402,8091,0
GLC,D,20130814,000000,1.6691,1.6884,1.6498,1.6884,8466,0
GLC,D,20130816,000000,1.6884,1.7367,1.6884,1.7367,2595,0
GLC,D,20130819,000000,1.785,1.785,1.7464,1.7753,5665,0
GLC,D,20130820,000000,1.7753,1.7753,1.7657,1.7753,5760,0
GLC,D,20130821,000000,1.7753,1.7753,1.7753,1.7753,207,0
GLC,D,20130822,000000,1.7753,1.7753,1.6981,1.7657,9331,0
GLC,D,20130823,000000,1.7753,1.7753,1.7753,1.7753,105,0
GLC,D,20130826,000000,1.7753,1.7753,1.7753,1.7753,1,0
GLC,D,20130827,000000,1.7753,1.7753,1.7753,1.7753,4,0
GLC,D,20130828,000000,1.7753,1.7753,1.7367,1.7367,2600,0
GLC,D,20130829,000000,1.7753,1.7753,1.7367,1.7367,3412,0
GLC,D,20130830,000000,1.7367,1.7367,1.7367,1.7367,10,0
GLC,D,20130902,000000,1.7367,1.7367,1.7367,1.7367,23,0
GLC,D,20130903,000000,1.7367,1.7367,1.6884,1.6884,800,0
GLC,D,20130904,000000,1.7367,1.7657,1.7367,1.7657,37,0
GLC,D,20130905,000000,1.756,1.756,1.756,1.756,5,0
GLC,D,20130906,000000,1.756,1.756,1.6691,1.7271,1100,0
GLC,D,20130909,000000,1.7271,1.7271,1.7271,1.7271,5,0
GLC,D,20130910,000000,1.6884,1.8042,1.6884,1.8042,23982,0
GLC,D,20130911,000000,1.8139,1.8139,1.7945,1.8139,11000,0
GLC,D,20130912,000000,1.8235,1.8235,1.756,1.756,1508,0
GLC,D,20130913,000000,1.756,1.756,1.756,1.756,622,0
GLC,D,20130916,000000,1.756,1.8718,1.756,1.8718,25958,0
GLC,D,20130917,000000,1.8814,2.1419,1.8814,2.0841,106145,0
GLC,D,20130918,000000,2.0841,2.0841,1.9394,2.0455,361979,0
GLC,D,20130919,000000,2.0455,2.0551,2.0068,2.0455,3802,0
GLC,D,20130920,000000,2.0455,2.1709,2.0455,2.1709,42491,0
GLC,D,20130923,000000,2.2481,2.2481,2.1226,2.1419,32392,0
GLC,D,20130924,000000,2.2578,2.2578,2.1129,2.1419,14618,0
GLC,D,20130925,000000,2.1709,2.1709,2.0841,2.1709,20214,0
GLC,D,20130926,000000,2.1709,2.1709,2.0841,2.1709,30987,0
GLC,D,20130927,000000,2.1709,2.1709,2.0165,2.0358,21732,0
GLC,D,20130930,000000,2.0358,2.0358,1.9682,2.0358,11525,0
GLC,D,20131001,000000,2.0358,2.0358,1.9972,2.0358,3849,0
GLC,D,20131002,000000,2.0358,2.0358,1.9394,2.0358,8820,0
GLC,D,20131003,000000,2.0358,2.0358,2.0358,2.0358,2,0
GLC,D,20131004,000000,2.0358,2.0358,2.0358,2.0358,5,0
GLC,D,20131007,000000,1.9586,1.9779,1.9586,1.9779,5494,0
GLC,D,20131008,000000,1.9779,1.9779,1.9586,1.9779,994,0
GLC,D,20131009,000000,1.9682,1.9682,1.9007,1.9682,14196,0
GLC,D,20131010,000000,1.9682,1.9682,1.9682,1.9682,17889,0
GLC,D,20131011,000000,1.9297,1.9297,1.9007,1.9297,32460,0
GLC,D,20131014,000000,1.9586,1.9586,1.9104,1.9586,2574,0
GLC,D,20131015,000000,1.9586,1.9586,1.9586,1.9586,4674,0
GLC,D,20131016,000000,1.9586,2.0648,1.9394,2.0262,40482,0
GLC,D,20131017,000000,2.0841,2.1998,2.0841,2.1612,214306,0
GLC,D,20131018,000000,2.1323,2.1902,2.1034,2.1034,114122,0
GLC,D,20131021,000000,2.1226,2.1226,2.0262,2.0744,29232,0
GLC,D,20131022,000000,2.0744,2.0744,2.0262,2.0358,51691,0
GLC,D,20131023,000000,2.0358,2.0358,2.0068,2.0358,7369,0
GLC,D,20131024,000000,2.0358,2.0358,2.0262,2.0262,9547,0
GLC,D,20131025,000000,2.0262,2.0262,1.9297,1.9297,89337,0
GLC,D,20131028,000000,1.9972,2.1129,1.9972,2.1034,68252,0
GLC,D,20131029,000000,2.1226,2.3252,2.1226,2.2866,96244,0
GLC,D,20131030,000000,2.2673,2.2963,2.2191,2.2191,25579,0
GLC,D,20131031,000000,2.2288,2.2963,2.2191,2.2191,27290,0
GLC,D,20131104,000000,2.2673,2.5086,2.2673,2.4025,153752,0
GLC,D,20131105,000000,2.4025,2.4796,2.2963,2.4121,59149,0
GLC,D,20131106,000000,2.3928,2.3928,2.3156,2.3639,7298,0
GLC,D,20131107,000000,2.3832,2.3832,2.3059,2.3639,18040,0
GLC,D,20131108,000000,2.3639,2.3735,2.3639,2.3735,1705,0
GLC,D,20131112,000000,2.3735,2.4507,2.3639,2.4507,324939,0
GLC,D,20131113,000000,2.4603,2.605,2.4507,2.5086,56701,0
GLC,D,20131114,000000,2.5761,2.6436,2.5279,2.6436,54229,0
GLC,D,20131115,000000,2.6436,2.6436,2.5375,2.6436,60557,0
GLC,D,20131118,000000,2.605,2.6436,2.5761,2.6243,27070,0
GLC,D,20131119,000000,2.6147,2.6243,2.4603,2.5375,26332,0
GLC,D,20131120,000000,2.5375,2.634,2.5086,2.605,25138,0
GLC,D,20131121,000000,2.5954,2.6243,2.5472,2.6147,11158,0
GLC,D,20131122,000000,2.6147,2.6243,2.5954,2.605,17657,0
GLC,D,20131125,000000,2.6243,2.6243,2.5279,2.5279,8655,0
GLC,D,20131126,000000,2.5279,2.5954,2.5086,2.5761,14035,0
GLC,D,20131127,000000,2.5857,2.5857,2.4121,2.5472,25594,0
GLC,D,20131128,000000,2.5569,2.5569,2.4603,2.4603,6672,0
GLC,D,20131129,000000,2.4603,2.4796,2.3156,2.4603,26479,0
GLC,D,20131202,000000,2.4796,2.4796,2.3639,2.4603,9030,0
GLC,D,20131203,000000,2.4796,2.4796,2.3542,2.4121,34331,0
GLC,D,20131204,000000,2.4121,2.4603,2.4121,2.4603,6639,0
GLC,D,20131205,000000,2.4507,2.47,2.2481,2.3928,19857,0
GLC,D,20131206,000000,2.3156,2.4025,2.3156,2.4025,1295,0
GLC,D,20131209,000000,2.47,2.47,2.4121,2.4121,3104,0
GLC,D,20131210,000000,2.4121,2.47,2.3639,2.4313,14170,0
GLC,D,20131211,000000,2.47,2.4796,2.3639,2.4796,15043,0
GLC,D,20131212,000000,2.4796,2.4796,2.3832,2.3832,6787,0
GLC,D,20131213,000000,2.3832,2.3832,2.2963,2.3059,16076,0
GLC,D,20131216,000000,2.3639,2.5472,2.2963,2.4217,20548,0
GLC,D,20131217,000000,2.4217,2.5472,2.2963,2.2963,18390,0
GLC,D,20131218,000000,2.2866,2.4989,2.2866,2.4893,6689,0
GLC,D,20131219,000000,2.4893,2.4893,2.3156,2.3156,16901,0
GLC,D,20131220,000000,2.3639,2.4121,2.2578,2.4121,13163,0
GLC,D,20131223,000000,2.4121,2.5086,2.4121,2.4121,2664,0
GLC,D,20131227,000000,2.4025,2.4121,2.4025,2.4025,1575,0
GLC,D,20131230,000000,2.5279,2.5279,2.4603,2.4603,519,0
GLC,D,20140102,000000,2.4603,2.5279,2.4121,2.441,9456,0
GLC,D,20140103,000000,2.441,2.441,2.4121,2.441,1554,0
GLC,D,20140107,000000,2.4603,2.4603,2.3928,2.4507,3731,0
GLC,D,20140108,000000,2.4893,2.4893,2.3928,2.4507,1540,0
GLC,D,20140109,000000,2.4893,2.4893,2.3156,2.3542,28225,0
GLC,D,20140110,000000,2.3156,2.3639,2.2963,2.3252,3173,0
GLC,D,20140113,000000,2.3252,2.4603,2.3252,2.4507,6254,0
GLC,D,20140114,000000,2.4313,2.4313,2.3349,2.3832,4302,0
GLC,D,20140115,000000,2.3542,2.3639,2.3542,2.3639,202,0
GLC,D,20140116,000000,2.3542,2.3735,2.3542,2.3639,4542,0
GLC,D,20140117,000000,2.3446,2.3542,2.3349,2.3542,7067,0
GLC,D,20140120,000000,2.3349,2.3832,2.3349,2.3349,3442,0
GLC,D,20140121,000000,2.4893,2.4893,2.3446,2.4025,1068,0
GLC,D,20140122,000000,2.3928,2.4025,2.3252,2.3639,18479,0
GLC,D,20140123,000000,2.3639,2.3928,2.2963,2.3928,13052,0
GLC,D,20140124,000000,2.3928,2.4121,2.3832,2.4121,9080,0
GLC,D,20140127,000000,2.3735,2.4893,2.3735,2.4796,23326,0
GLC,D,20140128,000000,2.3832,2.4796,2.3542,2.4217,10863,0
GLC,D,20140129,000000,2.4603,2.4603,2.3349,2.4313,964,0
GLC,D,20140130,000000,2.4313,2.4313,2.3156,2.3156,52742,0
GLC,D,20140131,000000,2.3156,2.3928,2.3156,2.3832,7455,0
GLC,D,20140203,000000,2.3639,2.3639,2.277,2.3252,18534,0
GLC,D,20140204,000000,2.3252,2.3349,2.3156,2.3156,24117,0
GLC,D,20140205,000000,2.3542,2.3542,2.3059,2.3059,5036,0
GLC,D,20140206,000000,2.3059,2.3542,2.277,2.3446,13027,0
GLC,D,20140207,000000,2.3639,2.3639,2.2385,2.3156,21451,0
GLC,D,20140210,000000,2.3156,2.3446,2.2673,2.3059,918,0
GLC,D,20140211,000000,2.2963,2.2963,2.2191,2.2481,15148,0
GLC,D,20140212,000000,2.2578,2.2578,2.1709,2.2191,19878,0
GLC,D,20140213,000000,2.2191,2.2191,2.1709,2.2095,16646,0
GLC,D,20140214,000000,2.2191,2.2481,2.2095,2.2385,5474,0
GLC,D,20140217,000000,2.2385,2.2481,2.2385,2.2385,1499,0
GLC,D,20140218,000000,2.2963,2.2963,2.2288,2.277,1761,0
GLC,D,20140219,000000,2.2481,2.2963,2.2481,2.2963,726,0
GLC,D,20140220,000000,2.277,2.2866,2.277,2.2866,1575,0
GLC,D,20140221,000000,2.2866,2.2866,2.2385,2.2866,3281,0
GLC,D,20140224,000000,2.2866,2.2866,2.1998,2.2385,7233,0
GLC,D,20140225,000000,2.2385,2.2866,2.1709,2.2866,19929,0
GLC,D,20140226,000000,2.2866,2.2866,2.1226,2.1226,21261,0
