<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW,D,20101109,000000,28.945,30.799,28.8,30.799,19440548,0
GPW,D,20101110,000000,30.799,30.799,29.657,29.657,2343845,0
GPW,D,20101112,000000,29.144,30.57,28.516,30.57,2884911,0
GPW,D,20101115,000000,30.455,30.684,29.657,29.999,664517,0
GPW,D,20101116,000000,29.827,29.943,29.201,29.201,616288,0
GPW,D,20101117,000000,29.172,29.657,28.916,28.916,739001,0
GPW,D,20101118,000000,29.372,29.714,29.115,29.115,451589,0
GPW,D,20101119,000000,29.372,29.429,29.058,29.201,633306,0
GPW,D,20101122,000000,29.201,29.372,29.115,29.228,603145,0
GPW,D,20101123,000000,29.201,29.201,28.602,28.602,519667,0
GPW,D,20101124,000000,28.8,29.087,28.602,29.087,615016,0
GPW,D,20101125,000000,29.172,29.228,28.688,29.029,142598,0
GPW,D,20101126,000000,29.029,29.029,28.464,28.859,693214,0
GPW,D,20101129,000000,28.63,28.66,28.369,28.431,278921,0
GPW,D,20101130,000000,28.231,28.8,28.231,28.8,172255,0
GPW,D,20101201,000000,28.8,29.772,28.63,29.714,380979,0
GPW,D,20101202,000000,29.714,29.858,29.486,29.686,404063,0
GPW,D,20101203,000000,29.657,29.714,29.372,29.486,100315,0
GPW,D,20101206,000000,29.458,29.486,29.029,29.144,88827,0
GPW,D,20101207,000000,28.916,29.087,28.745,28.945,143145,0
GPW,D,20101208,000000,28.83,29.144,28.745,29.144,558922,0
GPW,D,20101209,000000,29.087,29.201,28.859,29.087,228709,0
GPW,D,20101210,000000,29.087,29.144,28.916,29.002,86703,0
GPW,D,20101213,000000,29.029,29.372,29.029,29.372,135225,0
GPW,D,20101214,000000,29.144,29.314,28.859,28.859,118330,0
GPW,D,20101215,000000,28.83,28.916,28.772,28.886,173578,0
GPW,D,20101216,000000,28.859,28.886,28.66,28.859,122011,0
GPW,D,20101217,000000,28.745,28.8,28.63,28.66,93963,0
GPW,D,20101220,000000,28.66,28.8,28.46,28.8,314214,0
GPW,D,20101221,000000,28.602,28.66,28.516,28.63,157372,0
GPW,D,20101222,000000,28.516,28.688,28.509,28.574,568754,0
GPW,D,20101223,000000,28.516,28.574,28.464,28.464,195278,0
GPW,D,20101227,000000,28.475,28.509,28.123,28.147,194941,0
GPW,D,20101228,000000,28.116,28.231,27.832,28.061,416633,0
GPW,D,20101229,000000,27.946,28.506,27.946,28.506,191735,0
GPW,D,20101230,000000,28.516,28.516,28.287,28.318,89420,0
GPW,D,20101231,000000,28.319,28.429,27.772,27.949,145274,0
GPW,D,20110103,000000,28.002,28.174,27.844,28.116,197489,0
GPW,D,20110104,000000,28.116,28.544,28.116,28.391,232489,0
