<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20080320,000000,3.0179,3.1553,2.9461,2.9461,209422,0
IFI,D,20080325,000000,2.8217,2.9789,2.5989,2.6187,47956,0
IFI,D,20080326,000000,2.6055,2.6841,2.4223,2.4615,104760,0
IFI,D,20080327,000000,2.5989,2.5989,2.4679,2.5202,11667,0
IFI,D,20080328,000000,2.5468,2.5468,2.4223,2.514,11940,0
IFI,D,20080331,000000,2.4223,2.5402,2.3242,2.5335,25320,0
IFI,D,20080401,000000,2.5402,2.5796,2.4223,2.4746,7090,0
IFI,D,20080402,000000,2.4877,2.4944,2.3702,2.4354,10581,0
IFI,D,20080403,000000,2.3962,2.3962,2.226,2.2323,25717,0
IFI,D,20080404,000000,2.2456,2.2456,2.0621,2.1539,42843,0
IFI,D,20080407,000000,2.1276,2.1409,2.0621,2.1276,22478,0
IFI,D,20080408,000000,2.0558,2.4811,2.0294,2.4811,90785,0
IFI,D,20080409,000000,2.4746,2.7364,2.4158,2.7364,99261,0
IFI,D,20080410,000000,2.7496,2.7822,2.6581,2.6972,11875,0
IFI,D,20080411,000000,2.7496,3.1358,2.7496,3.0966,124410,0
IFI,D,20080414,000000,2.8151,2.9919,2.8151,2.9396,5972,0
IFI,D,20080415,000000,2.9461,2.959,2.7565,2.7629,1178,0
IFI,D,20080416,000000,2.9396,3.0442,2.7629,2.9789,65222,0
IFI,D,20080417,000000,2.9461,2.9461,2.7629,2.7692,5015,0
IFI,D,20080418,000000,2.7496,2.7692,2.5924,2.7692,15613,0
IFI,D,20080421,000000,2.8022,2.8672,2.8022,2.8672,3730,0
IFI,D,20080422,000000,2.8022,2.9132,2.8022,2.9132,1926,0
IFI,D,20080423,000000,2.933,2.933,2.933,2.933,18,0
IFI,D,20080424,000000,2.7496,2.9132,2.7496,2.9132,770,0
IFI,D,20080425,000000,2.7565,2.8282,2.7565,2.8282,741,0
IFI,D,20080428,000000,2.8479,2.8479,2.6385,2.7889,3113,0
IFI,D,20080429,000000,2.7889,2.7889,2.6187,2.6187,21057,0
IFI,D,20080430,000000,2.743,2.874,2.743,2.874,26683,0
IFI,D,20080505,000000,2.874,2.9132,2.7496,2.874,17705,0
IFI,D,20080506,000000,3.1948,3.1948,2.8479,3.0119,1753,0
IFI,D,20080507,000000,3.064,3.064,3.064,3.064,1,0
IFI,D,20080508,000000,2.7822,2.8088,2.6841,2.6972,10732,0
IFI,D,20080509,000000,2.6972,2.7889,2.6841,2.7889,2659,0
IFI,D,20080512,000000,2.7889,2.9069,2.7889,2.9069,107,0
IFI,D,20080513,000000,2.6187,2.8282,2.6119,2.8282,1945,0
IFI,D,20080515,000000,2.5532,2.7496,2.5532,2.7496,12536,0
IFI,D,20080516,000000,2.4944,2.586,2.4223,2.4223,19613,0
IFI,D,20080519,000000,2.4877,2.5532,2.4223,2.5532,30690,0
IFI,D,20080520,000000,2.5468,2.5468,2.5468,2.5468,16,0
IFI,D,20080521,000000,2.311,2.5402,2.311,2.5402,1472,0
IFI,D,20080523,000000,2.5468,2.6187,2.5468,2.5924,1896,0
IFI,D,20080526,000000,2.5989,2.5989,2.5335,2.5335,117,0
IFI,D,20080527,000000,2.4223,2.586,2.4223,2.586,447,0
IFI,D,20080529,000000,2.3896,2.586,2.3308,2.357,4162,0
IFI,D,20080530,000000,2.4223,2.4223,2.1932,2.4158,8831,0
IFI,D,20080602,000000,2.2846,2.2846,2.2846,2.2846,1526,0
IFI,D,20080603,000000,2.2587,2.2587,2.1669,2.2521,3049,0
IFI,D,20080604,000000,2.1276,2.2456,2.1276,2.1276,2231,0
IFI,D,20080605,000000,2.1932,2.3372,2.1932,2.3372,2182,0
IFI,D,20080606,000000,2.2915,2.4811,2.2915,2.4811,328,0
IFI,D,20080609,000000,2.5335,2.5335,2.5335,2.5335,1,0
IFI,D,20080610,000000,2.0294,2.0294,2.0294,2.0294,94,0
IFI,D,20080611,000000,2.4223,2.4223,2.4223,2.4223,94,0
IFI,D,20080612,000000,2.4158,2.4877,2.0426,2.357,1409,0
IFI,D,20080613,000000,2.3503,2.3503,2.3503,2.3503,2108,0
IFI,D,20080616,000000,2.357,2.357,2.357,2.357,2,0
IFI,D,20080617,000000,2.4158,2.4158,2.4158,2.4158,5,0
IFI,D,20080618,000000,2.4877,2.4877,2.4877,2.4877,1,0
IFI,D,20080619,000000,2.5202,2.586,2.5202,2.586,2,0
IFI,D,20080620,000000,2.5729,2.5729,2.5729,2.5729,229,0
IFI,D,20080624,000000,2.4553,2.4553,2.4158,2.4158,202,0
IFI,D,20080626,000000,2.4553,2.4553,2.4553,2.4553,14,0
IFI,D,20080627,000000,2.1342,2.3372,2.0294,2.2915,26336,0
IFI,D,20080630,000000,2.2915,2.2915,2.2915,2.2915,561,0
IFI,D,20080701,000000,2.0294,2.1276,1.9966,2.0949,5184,0
IFI,D,20080702,000000,1.964,2.0949,1.9183,2.0883,1147,0
IFI,D,20080703,000000,1.964,2.0621,1.9379,2.0488,17653,0
IFI,D,20080707,000000,2.0558,2.0558,1.9313,2.0294,1985,0
IFI,D,20080708,000000,1.964,1.964,1.964,1.964,229,0
IFI,D,20080711,000000,1.964,2.0488,1.9313,2.0294,3164,0
IFI,D,20080714,000000,2.0621,2.0621,2.0621,2.0621,78,0
IFI,D,20080715,000000,1.8722,1.9511,1.7741,1.9511,3546,0
IFI,D,20080716,000000,1.7741,1.8986,1.7741,1.8986,1722,0
IFI,D,20080717,000000,1.9051,2.0426,1.9051,2.0426,199,0
IFI,D,20080718,000000,2.0426,2.0426,2.0426,2.0426,229,0
IFI,D,20080723,000000,1.964,1.964,1.964,1.964,1209,0
IFI,D,20080729,000000,1.879,1.879,1.8722,1.8722,434,0
