<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMS,D,20120104,000000,0.6325,0.9036,0.6256,0.7438,152382,0
IMS,D,20120105,000000,0.7159,0.7159,0.6465,0.6882,15657,0
IMS,D,20120109,000000,0.6604,0.6951,0.6256,0.6951,18463,0
IMS,D,20120110,000000,0.6535,0.6951,0.6535,0.6812,2609,0
IMS,D,20120111,000000,0.6882,0.6882,0.6604,0.6882,4081,0
IMS,D,20120112,000000,0.6882,0.6951,0.6604,0.6951,3372,0
IMS,D,20120113,000000,0.6882,0.6882,0.6882,0.6882,1,0
IMS,D,20120116,000000,0.6256,0.6882,0.5561,0.6882,15527,0
IMS,D,20120117,000000,0.6951,0.6951,0.6256,0.6951,8804,0
IMS,D,20120118,000000,0.5979,0.6535,0.5909,0.6535,10538,0
IMS,D,20120119,000000,0.5979,0.6535,0.5909,0.6535,5823,0
IMS,D,20120120,000000,0.6535,0.6535,0.6535,0.6535,28,0
IMS,D,20120123,000000,0.6535,0.6744,0.6395,0.6744,8461,0
IMS,D,20120124,000000,0.6744,0.6744,0.6604,0.6744,10529,0
IMS,D,20120125,000000,0.6882,0.6882,0.6256,0.6465,8464,0
IMS,D,20120126,000000,0.6465,0.7091,0.6465,0.7091,20903,0
IMS,D,20120127,000000,0.7022,0.7159,0.6951,0.7091,7402,0
IMS,D,20120130,000000,0.7091,0.7159,0.7091,0.7159,8817,0
IMS,D,20120131,000000,0.7159,0.7159,0.6951,0.6951,1900,0
IMS,D,20120201,000000,0.7159,0.7159,0.6951,0.6951,28,0
IMS,D,20120202,000000,0.6951,0.6951,0.6535,0.6604,7666,0
IMS,D,20120203,000000,0.6604,0.6604,0.6604,0.6604,28,0
IMS,D,20120206,000000,0.6604,0.6604,0.6604,0.6604,28,0
IMS,D,20120207,000000,0.6604,0.6604,0.6465,0.6604,5318,0
IMS,D,20120208,000000,0.6604,0.6604,0.6256,0.6604,2186,0
IMS,D,20120209,000000,0.6604,0.6951,0.6535,0.6951,95630,0
IMS,D,20120210,000000,0.6812,0.7438,0.6812,0.6951,12055,0
IMS,D,20120213,000000,0.7647,0.7647,0.7647,0.7647,15,0
IMS,D,20120214,000000,0.7647,0.7647,0.7578,0.7578,157,0
IMS,D,20120215,000000,0.7647,0.9177,0.7647,0.9177,14848,0
IMS,D,20120216,000000,0.9177,0.9177,0.9036,0.9036,330,0
IMS,D,20120217,000000,0.9036,1.0079,0.9036,1.0079,4976,0
IMS,D,20120220,000000,1.0776,1.0776,1.0776,1.0776,213,0
IMS,D,20120221,000000,1.0776,1.0776,1.0079,1.0429,6555,0
IMS,D,20120222,000000,1.0705,1.0776,1.0498,1.0776,1538,0
IMS,D,20120223,000000,1.0776,1.0776,1.0776,1.0776,340,0
IMS,D,20120224,000000,1.0776,1.1818,1.0776,1.1818,13436,0
IMS,D,20120227,000000,1.1818,1.1818,1.1818,1.1818,144,0
IMS,D,20120228,000000,1.3069,1.3069,1.1818,1.1818,1628,0
IMS,D,20120229,000000,1.1818,1.1818,1.1818,1.1818,28,0
IMS,D,20120301,000000,1.1888,1.2165,1.1888,1.1888,1353,0
IMS,D,20120302,000000,1.1956,1.1956,1.1679,1.1679,7198,0
IMS,D,20120305,000000,1.147,1.147,1.147,1.147,28,0
IMS,D,20120307,000000,1.147,1.147,1.1124,1.1124,5293,0
IMS,D,20120313,000000,1.1124,1.1124,1.1124,1.1124,13,0
IMS,D,20120315,000000,1.1054,1.1054,1.0913,1.0913,28,0
IMS,D,20120316,000000,1.0913,1.0913,1.0913,1.0913,130,0
IMS,D,20120319,000000,1.0845,1.0845,1.0776,1.0776,14,0
IMS,D,20120320,000000,1.0776,1.0776,1.0776,1.0776,28,0
IMS,D,20120321,000000,1.0776,1.0776,1.0776,1.0776,28,0
IMS,D,20120322,000000,1.0776,1.0776,1.0776,1.0776,28,0
IMS,D,20120323,000000,1.0012,1.0012,1.0012,1.0012,661,0
IMS,D,20120328,000000,1.0358,1.0358,1.0358,1.0358,43,0
IMS,D,20120329,000000,1.0358,1.0358,1.0358,1.0358,13,0
IMS,D,20120405,000000,1.0358,1.0358,1.0358,1.0358,2159,0
IMS,D,20120413,000000,1.0358,1.0358,1.0358,1.0358,546,0
IMS,D,20120416,000000,1.0358,1.0358,1.0358,1.0358,4,0
IMS,D,20120420,000000,0.9733,0.9733,0.9733,0.9733,144,0
IMS,D,20120424,000000,1.0358,1.0358,1.0358,1.0358,555,0
IMS,D,20120425,000000,0.9663,0.9663,0.9663,0.9663,299,0
IMS,D,20120426,000000,0.9663,0.9663,0.9663,0.9663,24,0
IMS,D,20120430,000000,0.9663,0.9663,0.9663,0.9663,131,0
IMS,D,20120508,000000,0.9663,0.9663,0.9663,0.9663,2697,0
IMS,D,20120509,000000,0.9036,0.9036,0.8344,0.8344,5781,0
IMS,D,20120510,000000,0.8344,0.9663,0.8344,0.9663,6346,0
IMS,D,20120511,000000,0.9663,0.9663,0.9663,0.9663,5308,0
IMS,D,20120514,000000,0.9663,0.9663,0.9663,0.9663,2,0
IMS,D,20120515,000000,0.9663,0.9663,0.9663,0.9663,2,0
IMS,D,20120516,000000,0.9663,0.9663,0.9036,0.9036,7631,0
IMS,D,20120518,000000,0.9385,0.9663,0.9385,0.9663,15637,0
IMS,D,20120521,000000,0.9663,0.9663,0.9663,0.9663,7,0
IMS,D,20120522,000000,0.9663,0.9663,0.9315,0.9315,1782,0
IMS,D,20120523,000000,0.9663,0.9663,0.9663,0.9663,1,0
IMS,D,20120524,000000,0.862,0.862,0.862,0.862,2871,0
IMS,D,20120604,000000,0.862,0.9663,0.862,0.9663,13826,0
IMS,D,20120605,000000,0.9315,0.9315,0.9315,0.9315,1220,0
IMS,D,20120615,000000,0.9385,0.9385,0.9385,0.9385,2666,0
IMS,D,20120618,000000,0.9385,0.9385,0.9385,0.9385,144,0
IMS,D,20120619,000000,0.9385,0.9385,0.9385,0.9385,2666,0
IMS,D,20120625,000000,0.9594,0.9594,0.869,0.869,5933,0
IMS,D,20120626,000000,0.862,0.862,0.862,0.862,1,0
IMS,D,20120627,000000,0.7995,0.7995,0.7995,0.7995,393,0
IMS,D,20120628,000000,0.862,0.862,0.862,0.862,17272,0
IMS,D,20120629,000000,0.862,0.862,0.8273,0.8273,3157,0
IMS,D,20120703,000000,0.862,0.876,0.862,0.876,58451,0
IMS,D,20120704,000000,0.876,0.876,0.876,0.876,1,0
IMS,D,20120710,000000,0.8344,0.8344,0.8344,0.8344,145,0
IMS,D,20120711,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120712,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120713,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120716,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120717,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120718,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120719,000000,0.8344,0.8344,0.8344,0.8344,11465,0
IMS,D,20120720,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120723,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120724,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120725,000000,0.8344,0.8344,0.8344,0.8344,2,0
IMS,D,20120726,000000,0.7647,0.7647,0.7647,0.7647,4123,0
IMS,D,20120727,000000,0.7647,0.7647,0.7091,0.7091,4972,0
IMS,D,20120731,000000,0.6951,0.6951,0.6951,0.6951,2101,0
IMS,D,20120803,000000,0.7022,0.73,0.7022,0.7091,6452,0
IMS,D,20120827,000000,0.6951,0.6951,0.6951,0.6951,39,0
IMS,D,20120828,000000,0.6951,0.6951,0.6951,0.6951,1,0
IMS,D,20120829,000000,0.6951,0.6951,0.6951,0.6951,2,0
IMS,D,20120830,000000,0.6951,0.6951,0.6951,0.6951,2,0
IMS,D,20120831,000000,0.6951,0.6951,0.6951,0.6951,2,0
IMS,D,20120903,000000,0.6951,0.6951,0.6951,0.6951,2,0
IMS,D,20120904,000000,0.6951,0.6951,0.6951,0.6951,1,0
IMS,D,20120905,000000,0.6951,0.6951,0.6951,0.6951,2,0
IMS,D,20120906,000000,0.6951,0.6951,0.6951,0.6951,2,0
IMS,D,20120907,000000,0.6951,0.6951,0.6951,0.6951,1,0
IMS,D,20120910,000000,0.7022,0.7022,0.7022,0.7022,5,0
IMS,D,20120914,000000,0.7091,0.7091,0.7091,0.7091,1,0
IMS,D,20121003,000000,0.7091,0.7091,0.7091,0.7091,1,0
IMS,D,20121004,000000,0.7091,0.7091,0.7091,0.7091,1,0
IMS,D,20121008,000000,0.7091,0.7091,0.7091,0.7091,2,0
IMS,D,20121009,000000,0.7091,0.7091,0.7091,0.7091,1,0
IMS,D,20121015,000000,0.7159,0.7159,0.7159,0.7159,5,0
IMS,D,20121112,000000,0.7091,0.7091,0.7091,0.7091,1,0
IMS,D,20121113,000000,0.7091,0.7091,0.7091,0.7091,2,0
IMS,D,20121114,000000,0.7022,0.7022,0.7022,0.7022,1,0
IMS,D,20121122,000000,0.6118,0.7091,0.6118,0.7091,4040,0
IMS,D,20121123,000000,0.5979,0.5979,0.5979,0.5979,719,0
IMS,D,20121126,000000,0.6118,0.6118,0.6118,0.6118,2452,0
IMS,D,20121203,000000,0.5838,0.5838,0.5422,0.5422,4136,0
IMS,D,20121212,000000,0.5213,0.5213,0.5213,0.5213,2877,0
IMS,D,20121213,000000,0.49354,0.49354,0.49354,0.49354,2220,0
IMS,D,20121221,000000,0.48664,0.48664,0.48664,0.48664,150,0
IMS,D,20121228,000000,0.47962,0.47962,0.47962,0.47962,1438,0
IMS,D,20130102,000000,0.5561,0.5561,0.5561,0.5561,1274,0
IMS,D,20130107,000000,0.5213,0.5213,0.5213,0.5213,2877,0
IMS,D,20130109,000000,0.48664,0.48664,0.48664,0.48664,4295,0
IMS,D,20130114,000000,0.44491,0.44491,0.42406,0.42406,3119,0
IMS,D,20130115,000000,0.45189,0.45189,0.45189,0.45189,3319,0
IMS,D,20130116,000000,0.47267,0.5145,0.47267,0.47267,5760,0
IMS,D,20130117,000000,0.5145,0.5282,0.5145,0.5282,3747,0
IMS,D,20130118,000000,0.48664,0.5005,0.47267,0.47962,10138,0
IMS,D,20130121,000000,0.48664,0.48664,0.48664,0.48664,144,0
IMS,D,20130122,000000,0.48664,0.48664,0.48664,0.48664,230,0
IMS,D,20130123,000000,0.48664,0.48664,0.48664,0.48664,217,0
IMS,D,20130124,000000,0.48664,0.48664,0.48664,0.48664,207,0
IMS,D,20130125,000000,0.48664,0.48664,0.46575,0.47267,10400,0
IMS,D,20130128,000000,0.48664,0.5005,0.48664,0.5005,145,0
IMS,D,20130129,000000,0.5005,0.5005,0.5005,0.5005,66,0
IMS,D,20130130,000000,0.47267,0.5005,0.47267,0.5005,11660,0
IMS,D,20130131,000000,0.5005,0.5005,0.5005,0.5005,13,0
IMS,D,20130201,000000,0.5005,0.5005,0.5005,0.5005,324,0
IMS,D,20130204,000000,0.47267,0.47267,0.46575,0.46575,368,0
IMS,D,20130205,000000,0.5005,0.5005,0.5005,0.5005,128,0
IMS,D,20130206,000000,0.5005,0.5005,0.46575,0.46575,484,0
IMS,D,20130207,000000,0.46575,0.46575,0.45884,0.45884,2103,0
IMS,D,20130208,000000,0.47962,0.5075,0.47962,0.5075,8745,0
IMS,D,20130211,000000,0.5075,0.5075,0.5075,0.5075,66,0
