<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INK,D,19990428,000000,3.0297,3.0297,3.0297,3.0297,198416,0
INK,D,19990429,000000,2.7233,2.7233,2.7233,2.7233,58828,0
INK,D,19990430,000000,2.7233,2.7233,2.7233,2.7233,44261,0
INK,D,19990504,000000,2.9956,2.9956,2.9956,2.9956,26364,0
INK,D,19990505,000000,3.2681,3.2681,3.2681,3.2681,69464,0
INK,D,19990506,000000,3.4995,3.4995,3.4995,3.4995,93415,0
INK,D,19990507,000000,3.3632,3.3632,3.3632,3.3632,30583,0
INK,D,19990510,000000,3.2,3.2,3.2,3.2,25350,0
INK,D,19990511,000000,3.0978,3.0978,3.0978,3.0978,16112,0
INK,D,19990512,000000,3.234,3.234,3.234,3.234,6601,0
INK,D,19990513,000000,3.1659,3.1659,3.1659,3.1659,7126,0
INK,D,19990514,000000,3.1659,3.1659,3.1659,3.1659,2833,0
INK,D,19990517,000000,3.0297,3.0297,3.0297,3.0297,7016,0
INK,D,19990518,000000,3.1318,3.1318,3.1318,3.1318,12512,0
INK,D,19990519,000000,3.234,3.234,3.234,3.234,14080,0
INK,D,19990520,000000,3.234,3.234,3.234,3.234,3725,0
INK,D,19990521,000000,3.1659,3.1659,3.1659,3.1659,27482,0
INK,D,19990524,000000,3.234,3.234,3.234,3.234,10531,0
INK,D,19990525,000000,3.1659,3.1659,3.1659,3.1659,10053,0
INK,D,19990526,000000,3.0978,3.0978,3.0978,3.0978,10122,0
INK,D,19990527,000000,3.1659,3.1659,3.1659,3.1659,15000,0
INK,D,19990528,000000,3.0978,3.0978,3.0978,3.0978,8306,0
INK,D,19990531,000000,3.1318,3.1318,3.1318,3.1318,6255,0
INK,D,19990601,000000,3.1659,3.1659,3.1659,3.1659,4860,0
INK,D,19990602,000000,3.064,3.064,3.064,3.064,3698,0
INK,D,19990607,000000,3.0978,3.0978,3.0978,3.0978,9628,0
INK,D,19990608,000000,3.0297,3.0297,3.0297,3.0297,7037,0
INK,D,19990609,000000,3.0297,3.0297,3.0297,3.0297,6520,0
INK,D,19990610,000000,3.0978,3.0978,3.0978,3.0978,7419,0
INK,D,19990611,000000,3.1318,3.1318,3.1318,3.1318,3571,0
INK,D,19990614,000000,3.0297,3.0297,3.0297,3.0297,7399,0
INK,D,19990615,000000,3.0978,3.0978,3.0978,3.0978,13318,0
INK,D,19990616,000000,3.0978,3.0978,3.0978,3.0978,669,0
INK,D,19990617,000000,3.0978,3.0978,3.0978,3.0978,12904,0
INK,D,19990618,000000,3.0978,3.0978,3.0978,3.0978,5737,0
INK,D,19990621,000000,3.0297,3.0297,3.0297,3.0297,11433,0
INK,D,19990622,000000,3.0978,3.0978,3.0978,3.0978,133742,0
INK,D,19990623,000000,3.1659,3.1659,3.1659,3.1659,36904,0
INK,D,19990624,000000,3.2953,3.2953,3.2953,3.2953,72552,0
INK,D,19990625,000000,3.234,3.234,3.234,3.234,37968,0
INK,D,19990628,000000,3.0978,3.0978,3.0978,3.0978,17527,0
INK,D,19990629,000000,3.1659,3.1659,3.1659,3.1659,14415,0
INK,D,19990630,000000,3.3632,3.3632,3.3632,3.3632,81520,0
INK,D,19990701,000000,3.3632,3.3632,3.3632,3.3632,38371,0
INK,D,19990702,000000,3.2681,3.2681,3.2681,3.2681,22873,0
INK,D,19990705,000000,3.2681,3.2681,3.2681,3.2681,5675,0
INK,D,19990706,000000,3.2681,3.2681,3.2681,3.2681,10847,0
INK,D,19990707,000000,3.1659,3.1659,3.1659,3.1659,5071,0
INK,D,19990708,000000,3.234,3.234,3.234,3.234,4667,0
INK,D,19990709,000000,3.234,3.234,3.234,3.234,11095,0
INK,D,19990712,000000,3.234,3.234,3.234,3.234,17242,0
INK,D,19990713,000000,3.2,3.2,3.2,3.2,7826,0
INK,D,19990714,000000,3.1659,3.1659,3.1659,3.1659,3267,0
INK,D,19990715,000000,3.2,3.2,3.2,3.2,2822,0
INK,D,19990716,000000,3.2,3.2,3.2,3.2,6433,0
INK,D,19990719,000000,3.0978,3.0978,3.0978,3.0978,3145,0
INK,D,19990720,000000,3.1659,3.1659,3.1659,3.1659,2237,0
INK,D,19990721,000000,3.2,3.2,3.2,3.2,4678,0
INK,D,19990722,000000,3.1318,3.1318,3.1318,3.1318,1933,0
INK,D,19990723,000000,3.064,3.064,3.064,3.064,2700,0
INK,D,19990726,000000,3.0297,3.0297,3.0297,3.0297,13266,0
INK,D,19990727,000000,3.0297,3.0297,3.0297,3.0297,2758,0
INK,D,19990728,000000,3.064,3.064,3.064,3.064,9656,0
INK,D,19990729,000000,3.1318,3.1318,3.1318,3.1318,4457,0
INK,D,19990730,000000,3.0978,3.0978,3.0978,3.0978,6267,0
INK,D,19990802,000000,3.1318,3.1318,3.1318,3.1318,5583,0
INK,D,19990803,000000,3.0978,3.0978,3.0978,3.0978,1378,0
INK,D,19990804,000000,3.0297,3.0297,3.0297,3.0297,7725,0
INK,D,19990805,000000,3.0978,3.0978,3.0978,3.0978,10247,0
INK,D,19990806,000000,3.1659,3.1659,3.1659,3.1659,9013,0
INK,D,19990809,000000,3.2,3.2,3.2,3.2,8048,0
INK,D,19990810,000000,3.234,3.234,3.234,3.234,27515,0
INK,D,19990811,000000,3.1659,3.1659,3.1659,3.1659,7110,0
INK,D,19990812,000000,3.234,3.234,3.234,3.234,17688,0
INK,D,19990813,000000,3.2953,3.2953,3.2953,3.2953,19321,0
INK,D,19990816,000000,3.3632,3.3632,3.3632,3.3632,7547,0
INK,D,19990817,000000,3.2681,3.2681,3.2681,3.2681,8910,0
INK,D,19990818,000000,3.2953,3.2953,3.2953,3.2953,7424,0
INK,D,19990819,000000,3.234,3.234,3.234,3.234,4114,0
INK,D,19990820,000000,3.2953,3.2953,3.2953,3.2953,21116,0
INK,D,19990823,000000,3.2953,3.2953,3.2953,3.2953,7698,0
INK,D,19990824,000000,3.2953,3.2953,3.2953,3.2953,2226,0
INK,D,19990825,000000,3.2953,3.2953,3.2953,3.2953,2410,0
INK,D,19990826,000000,3.234,3.234,3.234,3.234,8395,0
INK,D,19990827,000000,3.2681,3.2681,3.2681,3.2681,384,0
INK,D,19990830,000000,3.234,3.234,3.234,3.234,4383,0
INK,D,19990831,000000,3.2953,3.2953,3.2953,3.2953,6615,0
INK,D,19990901,000000,3.3294,3.3294,3.3294,3.3294,740,0
INK,D,19990902,000000,3.2953,3.2953,3.2953,3.2953,3205,0
INK,D,19990903,000000,3.3294,3.3294,3.3294,3.3294,21969,0
INK,D,19990906,000000,3.3632,3.3632,3.3632,3.3632,14142,0
INK,D,19990907,000000,3.3632,3.3632,3.3632,3.3632,9438,0
INK,D,19990908,000000,3.3632,3.3632,3.3632,3.3632,40223,0
INK,D,19990909,000000,3.3974,3.3974,3.3974,3.3974,17826,0
INK,D,19990910,000000,3.4995,3.4995,3.4995,3.4995,35789,0
INK,D,19990913,000000,3.8059,3.8059,3.8059,3.8059,28403,0
INK,D,19990914,000000,3.5677,3.5677,3.5677,3.5677,24541,0
INK,D,19990915,000000,3.2953,3.2953,3.2953,3.2953,9288,0
INK,D,19990916,000000,3.2953,3.2953,3.2953,3.2953,10762,0
INK,D,19990917,000000,3.3632,3.3632,3.3632,3.3632,5068,0
INK,D,19990920,000000,3.4995,3.4995,3.4995,3.4995,4902,0
INK,D,19990921,000000,3.3294,3.3294,3.3294,3.3294,3267,0
INK,D,19990922,000000,3.234,3.234,3.234,3.234,7989,0
INK,D,19990923,000000,3.234,3.234,3.234,3.234,11983,0
INK,D,19990924,000000,3.1659,3.1659,3.1659,3.1659,19247,0
INK,D,19990927,000000,3.234,3.234,3.234,3.234,14282,0
INK,D,19990928,000000,3.1659,3.1659,3.1659,3.1659,3712,0
INK,D,19990929,000000,3.2271,3.2271,3.2271,3.2271,7872,0
INK,D,19990930,000000,3.2681,3.2681,3.2681,3.2681,7127,0
INK,D,19991001,000000,3.3632,3.3632,3.3632,3.3632,10224,0
INK,D,19991004,000000,3.3632,3.3632,3.3632,3.3632,6861,0
INK,D,19991005,000000,3.4314,3.4314,3.4314,3.4314,2451,0
INK,D,19991006,000000,3.4655,3.4655,3.4655,3.4655,11349,0
INK,D,19991007,000000,3.4995,3.4995,3.4995,3.4995,24164,0
INK,D,19991008,000000,3.5677,3.5677,3.5677,3.5677,3461,0
INK,D,19991011,000000,3.6016,3.6016,3.6016,3.6016,13571,0
INK,D,19991012,000000,3.6016,3.6016,3.6016,3.6016,23163,0
INK,D,19991013,000000,3.5677,3.5677,3.5677,3.5677,17790,0
INK,D,19991014,000000,3.5677,3.5677,3.5677,3.5677,3712,0
INK,D,19991015,000000,3.5677,3.5677,3.5677,3.5677,8327,0
INK,D,19991018,000000,3.2953,3.2953,3.2953,3.2953,2946,0
INK,D,19991019,000000,3.3294,3.3294,3.3294,3.3294,29510,0
INK,D,19991020,000000,3.4314,3.4314,3.4314,3.4314,891,0
INK,D,19991021,000000,3.6016,3.6016,3.6016,3.6016,10119,0
