<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INL,D,20071108,000000,4.5906,4.9858,4.4573,4.9813,103856,0
INL,D,20071109,000000,5.0225,5.3305,4.9813,5.1374,38082,0
INL,D,20071112,000000,4.8248,5.2339,4.733,4.9583,9134,0
INL,D,20071113,000000,4.9627,4.9627,4.9396,4.9396,331,0
INL,D,20071114,000000,5.0548,5.0548,4.7789,4.9169,1025,0
INL,D,20071115,000000,4.8708,4.8708,3.9977,4.1356,20900,0
INL,D,20071116,000000,3.9977,4.0437,3.9061,4.0345,17635,0
INL,D,20071119,000000,4.0437,4.2045,4.0208,4.1954,17618,0
INL,D,20071120,000000,4.2045,4.2828,4.0943,4.1356,20470,0
INL,D,20071121,000000,4.1127,4.2184,3.9061,4.1954,8607,0
INL,D,20071122,000000,4.2045,4.2045,3.7957,3.8094,29448,0
INL,D,20071123,000000,4.0026,4.1356,3.9151,4.0437,24134,0
INL,D,20071126,000000,3.9105,3.9105,3.7727,3.7727,2955,0
INL,D,20071127,000000,3.7681,3.8919,3.405,3.8919,12860,0
INL,D,20071128,000000,3.8967,4.4849,3.7681,4.4849,18763,0
INL,D,20071129,000000,4.5262,4.7284,4.5262,4.6778,9963,0
INL,D,20071130,000000,4.687,5.0042,4.4159,4.8615,14323,0
INL,D,20071203,000000,4.8615,4.8939,4.8615,4.8939,3288,0
INL,D,20071204,000000,4.9627,4.9627,4.5951,4.8663,2177,0
INL,D,20071205,000000,4.8663,4.8663,4.8663,4.8663,1287,0
INL,D,20071206,000000,4.8433,4.8708,4.5951,4.8663,10710,0
INL,D,20071207,000000,4.4388,4.8205,4.4388,4.5998,27002,0
INL,D,20071210,000000,4.6778,4.8708,4.6778,4.7146,11697,0
INL,D,20071211,000000,4.6457,4.8157,4.6457,4.8157,7133,0
INL,D,20071212,000000,4.7789,4.7789,4.6778,4.7789,4063,0
INL,D,20071213,000000,4.733,4.733,4.733,4.733,99,0
INL,D,20071214,000000,4.5998,4.756,4.5125,4.756,31614,0
INL,D,20071217,000000,4.5951,4.5951,4.4895,4.5034,5113,0
INL,D,20071218,000000,4.5034,4.6412,4.3701,4.5906,67269,0
INL,D,20071219,000000,4.5034,4.586,4.3655,4.5079,120654,0
INL,D,20071220,000000,4.3885,4.4436,4.1818,4.4344,144951,0
INL,D,20071221,000000,4.2735,4.3655,4.1402,4.3149,234275,0
INL,D,20071227,000000,4.5677,4.5677,4.3655,4.5584,11080,0
INL,D,20071228,000000,4.301,4.4755,4.301,4.4755,17346,0
INL,D,20080102,000000,4.5906,4.5906,4.3655,4.5815,656,0
INL,D,20080103,000000,4.6319,4.6366,4.471,4.5951,3664,0
INL,D,20080104,000000,4.5034,4.5951,4.4114,4.5951,16086,0
INL,D,20080107,000000,4.4573,4.5906,4.3701,4.5034,24364,0
INL,D,20080108,000000,4.3655,4.4941,4.3196,4.4941,15066,0
INL,D,20080109,000000,4.3196,4.3471,4.1356,4.3471,24696,0
INL,D,20080110,000000,4.3608,4.4941,4.1587,4.2965,15067,0
INL,D,20080111,000000,4.393,4.393,4.0897,4.1356,48456,0
INL,D,20080114,000000,4.1356,4.1356,3.883,3.9886,32488,0
INL,D,20080115,000000,3.9061,4.3561,3.814,4.0437,19298,0
INL,D,20080116,000000,3.883,3.883,3.6762,3.8416,45829,0
INL,D,20080117,000000,4.1309,4.1309,3.7681,4.0117,18111,0
INL,D,20080118,000000,3.8416,3.9977,3.7681,3.9471,13277,0
INL,D,20080121,000000,3.9518,4.1356,3.9061,4.1356,67104,0
INL,D,20080122,000000,3.9518,4.3424,3.9061,4.3424,81428,0
INL,D,20080123,000000,4.3655,4.5034,4.3196,4.5034,87262,0
INL,D,20080124,000000,4.5354,4.5584,4.5354,4.5584,41784,0
INL,D,20080125,000000,4.5034,4.5631,4.2322,4.5631,32011,0
INL,D,20080128,000000,4.4986,4.5034,4.3196,4.5034,10161,0
INL,D,20080129,000000,4.3196,4.4804,4.3196,4.4804,23747,0
INL,D,20080130,000000,4.4804,4.5906,4.278,4.5906,56357,0
INL,D,20080131,000000,4.5262,4.71,4.4941,4.5034,83527,0
INL,D,20080201,000000,4.5034,4.5034,4.324,4.4849,6540,0
INL,D,20080204,000000,4.3608,4.4849,4.2,4.2505,40478,0
INL,D,20080205,000000,4.0943,4.2505,4.0069,4.2274,2668,0
INL,D,20080206,000000,4.0852,4.1309,4.0852,4.1309,1877,0
INL,D,20080207,000000,3.9518,3.9518,3.9518,3.9518,1691,0
INL,D,20080208,000000,4.2459,4.2459,4.1172,4.1172,2,0
INL,D,20080211,000000,3.9658,4.0852,3.86,4.0852,17614,0
INL,D,20080212,000000,4.0805,4.0897,4.0805,4.0897,892,0
INL,D,20080213,000000,4.1172,4.2459,3.9289,4.0712,9920,0
INL,D,20080214,000000,4.1309,4.1309,4.0437,4.1264,1860,0
INL,D,20080215,000000,4.1356,4.1356,3.9977,4.1309,101,0
INL,D,20080218,000000,4.1036,4.1036,4.1036,4.1036,276,0
INL,D,20080219,000000,4.108,4.108,3.9609,4.0897,370,0
INL,D,20080220,000000,4.0805,4.0897,3.8691,4.0392,12310,0
INL,D,20080221,000000,3.8875,3.9886,3.8647,3.9886,3523,0
INL,D,20080222,000000,3.9933,3.9933,3.9933,3.9933,21,0
INL,D,20080225,000000,3.9061,3.9977,3.8187,3.9977,2831,0
