<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INP,D,20110217,000000,4.3108,4.4027,4.2057,4.4027,977586,0
INP,D,20110218,000000,4.3896,4.5014,4.3634,4.5014,119170,0
INP,D,20110221,000000,4.5014,4.6328,4.4487,4.6,331773,0
INP,D,20110222,000000,4.6328,4.6328,4.567,4.6,87421,0
INP,D,20110223,000000,4.6262,4.6393,4.567,4.5801,59063,0
INP,D,20110224,000000,4.6,4.6,4.3765,4.4816,18572,0
INP,D,20110225,000000,4.3896,4.4554,4.3765,4.4554,8242,0
INP,D,20110228,000000,4.4555,4.5773,4.4555,4.5367,21510,0
INP,D,20110301,000000,4.4421,4.5473,4.4421,4.5473,88252,0
INP,D,20110302,000000,4.5473,4.6657,4.5473,4.6064,86340,0
INP,D,20110303,000000,4.6262,4.6393,4.6064,4.6328,98019,0
INP,D,20110304,000000,4.6328,4.6328,4.6131,4.6328,21148,0
INP,D,20110307,000000,4.6262,4.6459,4.6196,4.6459,20458,0
INP,D,20110308,000000,4.6459,4.6524,4.6131,4.6524,9024,0
INP,D,20110309,000000,4.6524,4.6722,4.6524,4.6722,19635,0
INP,D,20110310,000000,4.6657,4.6853,4.6131,4.6788,9026,0
INP,D,20110311,000000,4.6722,4.6722,4.6657,4.6657,2,0
INP,D,20110314,000000,4.6524,4.6524,4.567,4.6262,4209,0
INP,D,20110315,000000,4.6196,4.6196,4.5079,4.6064,34120,0
INP,D,20110316,000000,4.6064,4.6064,4.6,4.6064,6648,0
INP,D,20110317,000000,4.6328,4.6459,4.6,4.6459,5795,0
INP,D,20110318,000000,4.6459,4.6722,4.6,4.6131,43500,0
INP,D,20110321,000000,4.6657,4.6657,4.6,4.659,15674,0
INP,D,20110322,000000,4.6657,4.6853,4.6328,4.6788,6599,0
INP,D,20110323,000000,4.6853,4.6853,4.6064,4.659,4129,0
INP,D,20110324,000000,4.659,4.659,4.567,4.6,2832,0
INP,D,20110325,000000,4.6,4.6,4.4816,4.5341,677,0
INP,D,20110328,000000,4.4685,4.5868,4.3371,4.5868,18541,0
INP,D,20110329,000000,4.6,4.6,4.4685,4.6,22554,0
INP,D,20110330,000000,4.6524,4.6524,4.4816,4.6459,55434,0
INP,D,20110331,000000,4.6449,4.6518,4.5705,4.6518,14682,0
INP,D,20110401,000000,4.6524,4.6524,4.5408,4.6459,15252,0
INP,D,20110404,000000,4.4882,4.6328,4.4882,4.6328,7173,0
INP,D,20110405,000000,4.6328,4.6657,4.5341,4.659,34501,0
INP,D,20110406,000000,4.6524,4.6722,4.6328,4.6328,29423,0
INP,D,20110407,000000,4.6657,4.9219,4.5935,4.8365,63380,0
INP,D,20110408,000000,4.843,4.843,4.6328,4.7969,6249,0
INP,D,20110411,000000,4.7969,4.7969,4.659,4.7641,1170,0
INP,D,20110412,000000,4.7313,4.7313,4.659,4.7181,8784,0
INP,D,20110413,000000,4.7181,4.7181,4.6657,4.6657,682,0
INP,D,20110414,000000,4.6657,4.6657,4.6657,4.6657,125615,0
INP,D,20110415,000000,4.6657,4.6853,4.659,4.6853,5773,0
