<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPE,D,20090526,000000,4.5911,4.5911,3.9632,3.9632,770105,0
IPE,D,20090527,000000,4.078,4.3075,4.0508,4.0577,158949,0
IPE,D,20090528,000000,4.2399,4.2399,3.9024,3.9159,23626,0
IPE,D,20090529,000000,3.8977,4.2529,3.8624,4.2529,51064,0
IPE,D,20090601,000000,4.4223,5.0299,4.4223,4.7261,118465,0
IPE,D,20090602,000000,4.9286,5.0299,4.5911,4.6923,87081,0
IPE,D,20090603,000000,4.8475,4.8613,4.3886,4.5236,296899,0
IPE,D,20090604,000000,4.5236,4.6587,4.456,4.5843,25171,0
IPE,D,20090605,000000,4.6923,4.7261,4.6045,4.6518,17977,0
IPE,D,20090608,000000,4.6923,4.6923,4.1927,4.5236,15899,0
IPE,D,20090609,000000,4.456,4.5911,4.456,4.5034,44381,0
IPE,D,20090610,000000,4.456,4.6452,4.456,4.456,14115,0
IPE,D,20090612,000000,4.5236,4.5236,4.321,4.4898,8585,0
IPE,D,20090615,000000,4.4493,4.4493,4.2198,4.3751,30620,0
IPE,D,20090616,000000,4.2198,4.3412,4.2198,4.2535,50031,0
IPE,D,20090617,000000,4.2399,4.3886,4.0508,4.2535,18943,0
IPE,D,20090618,000000,4.105,4.2602,4.0508,4.2602,13788,0
IPE,D,20090619,000000,4.3684,4.3684,4.1523,4.321,3855,0
IPE,D,20090622,000000,4.321,4.321,4.0577,4.0643,5396,0
IPE,D,20090623,000000,4.1859,4.5777,4.1859,4.456,65597,0
IPE,D,20090624,000000,4.5911,4.5911,4.321,4.4493,12883,0
IPE,D,20090625,000000,4.456,4.456,4.2129,4.2129,5427,0
IPE,D,20090626,000000,4.4493,4.4898,4.4493,4.456,5321,0
IPE,D,20090629,000000,4.3481,4.5843,4.3481,4.5843,24240,0
IPE,D,20090630,000000,4.5573,4.5843,4.3886,4.5843,43854,0
IPE,D,20090701,000000,4.3953,4.4223,4.3886,4.4223,50958,0
IPE,D,20090702,000000,4.4629,4.5236,4.3547,4.3547,21081,0
IPE,D,20090703,000000,4.321,4.5102,4.267,4.5102,10153,0
IPE,D,20090706,000000,4.5034,4.5034,4.5034,4.5034,1452,0
IPE,D,20090707,000000,4.4898,4.4898,4.1523,4.3143,17403,0
IPE,D,20090708,000000,4.0847,4.1859,4.0508,4.1859,40510,0
IPE,D,20090709,000000,4.2535,4.2535,4.0847,4.1657,8474,0
IPE,D,20090710,000000,4.2535,4.2535,4.0577,4.0577,108788,0
IPE,D,20090713,000000,4.0577,4.1523,4.0577,4.1523,5993,0
IPE,D,20090714,000000,4.1523,4.1523,4.0577,4.1387,28007,0
IPE,D,20090715,000000,4.1455,4.1859,4.0847,4.1657,163984,0
IPE,D,20090716,000000,4.1185,4.1793,4.0982,4.105,198144,0
IPE,D,20090717,000000,4.1185,4.1185,4.1117,4.1117,26485,0
IPE,D,20090720,000000,4.0915,4.1252,4.0508,4.1252,13330,0
IPE,D,20090721,000000,4.1455,4.1455,4.0982,4.0982,80322,0
IPE,D,20090722,000000,4.1185,4.1185,4.0847,4.1185,1687,0
IPE,D,20090723,000000,4.0847,4.132,4.0508,4.0508,16984,0
IPE,D,20090724,000000,4.1185,4.1185,3.9497,4.0308,23269,0
IPE,D,20090727,000000,4.0374,4.1523,3.9833,4.132,224371,0
IPE,D,20090728,000000,4.132,4.1455,4.0508,4.1117,5347,0
IPE,D,20090729,000000,4.0442,4.0713,3.9698,4.0508,10056,0
IPE,D,20090730,000000,4.0508,4.0847,3.9902,4.0713,54113,0
IPE,D,20090731,000000,4.0915,4.1117,4.0713,4.105,82711,0
IPE,D,20090803,000000,4.1185,4.3547,4.0508,4.2874,134299,0
IPE,D,20090804,000000,4.2874,4.5102,4.2874,4.3751,28843,0
IPE,D,20090805,000000,4.3751,4.9286,4.3751,4.5102,42361,0
IPE,D,20090806,000000,4.6248,4.7869,4.5911,4.6587,14748,0
IPE,D,20090807,000000,4.6574,4.906,4.6574,4.828,24144,0
IPE,D,20090810,000000,4.9132,5.5379,4.8635,5.4812,67922,0
IPE,D,20090811,000000,5.4957,5.5363,5.2662,5.4688,24598,0
IPE,D,20090812,000000,5.0974,5.3473,5.0974,5.2662,10768,0
IPE,D,20090813,000000,5.3338,5.5363,5.3338,5.5025,14017,0
IPE,D,20090814,000000,5.5296,5.8738,5.5228,5.5363,26698,0
IPE,D,20090817,000000,5.6039,5.6039,5.4351,5.4823,2298,0
IPE,D,20090818,000000,5.4957,5.5296,5.3946,5.3946,3336,0
IPE,D,20090819,000000,5.4013,5.4013,4.8949,5.3338,17616,0
IPE,D,20090820,000000,5.3811,5.3811,5.1244,5.3,7833,0
IPE,D,20090821,000000,5.3676,5.3676,4.9961,5.3,10029,0
IPE,D,20090824,000000,5.3338,5.3338,4.9624,5.2122,7895,0
IPE,D,20090825,000000,4.9961,5.2325,4.8613,4.9152,52428,0
IPE,D,20090826,000000,4.9274,5.1759,4.8493,5.0977,21822,0
IPE,D,20090827,000000,5.0974,5.1312,4.8613,5.1312,5454,0
IPE,D,20090828,000000,5.0907,5.219,5.0637,5.1987,19870,0
IPE,D,20090831,000000,5.2114,5.2823,5.1403,5.2538,6702,0
IPE,D,20090901,000000,5.0693,5.0693,4.7214,4.7286,70757,0
IPE,D,20090902,000000,4.7145,4.7145,4.2883,4.3523,33891,0
IPE,D,20090903,000000,4.3523,4.3807,4.189,4.3594,24819,0
IPE,D,20090904,000000,4.3594,4.5227,4.3594,4.5227,4680,0
IPE,D,20090907,000000,4.5227,4.7073,4.5227,4.7073,12520,0
IPE,D,20090908,000000,4.5938,4.6434,4.4872,4.5583,37744,0
IPE,D,20090909,000000,4.5794,4.6574,4.5583,4.5653,15789,0
IPE,D,20090910,000000,4.7214,4.7214,4.5227,4.6789,7021,0
IPE,D,20090911,000000,4.7428,4.7569,4.6149,4.7001,51098,0
IPE,D,20090914,000000,4.4375,4.5794,4.4304,4.4304,8932,0
IPE,D,20090915,000000,4.402,4.473,4.1676,4.3949,14199,0
IPE,D,20090916,000000,4.409,4.544,4.402,4.544,2483,0
IPE,D,20090917,000000,4.686,4.7569,4.551,4.622,4705,0
IPE,D,20090918,000000,4.6149,4.6789,4.6149,4.6149,184507,0
IPE,D,20090921,000000,4.5794,4.6504,4.5794,4.6504,4588,0
IPE,D,20090922,000000,4.5794,4.828,4.473,4.828,8285,0
IPE,D,20090923,000000,4.8635,4.899,4.6149,4.899,7878,0
IPE,D,20090924,000000,4.828,4.828,4.828,4.828,171,0
IPE,D,20090925,000000,4.5583,4.828,4.551,4.7569,12772,0
IPE,D,20090928,000000,4.5794,4.8635,4.551,4.8635,14429,0
IPE,D,20091001,000000,4.5866,4.7854,4.5583,4.622,3893,0
IPE,D,20091002,000000,4.6149,4.7214,4.5653,4.7073,9444,0
IPE,D,20091005,000000,4.6149,4.7001,4.6149,4.7001,2355,0
IPE,D,20091006,000000,4.7073,4.7073,4.5653,4.686,1681,0
IPE,D,20091007,000000,4.7001,4.7001,4.5938,4.6718,1458,0
IPE,D,20091008,000000,4.6149,4.686,4.6149,4.686,2305,0
IPE,D,20091009,000000,4.686,4.686,4.5368,4.5368,2098,0
IPE,D,20091012,000000,4.7001,4.7001,4.3309,4.6007,7650,0
IPE,D,20091013,000000,4.4375,4.473,4.3309,4.402,17013,0
IPE,D,20091014,000000,4.402,4.5368,4.3451,4.473,3730,0
IPE,D,20091015,000000,4.5368,4.5368,4.3594,4.5013,2719,0
IPE,D,20091016,000000,4.4659,4.4659,4.3664,4.3664,3212,0
IPE,D,20091019,000000,4.2316,4.3309,4.2316,4.3026,32287,0
IPE,D,20091020,000000,4.3451,4.5013,4.3451,4.5013,4168,0
IPE,D,20091021,000000,4.5085,4.7214,4.3523,4.7214,2961,0
IPE,D,20091022,000000,4.5583,4.686,4.5583,4.686,11633,0
IPE,D,20091023,000000,4.544,4.7569,4.5085,4.6149,12186,0
IPE,D,20091026,000000,4.686,4.97,4.6504,4.8777,13131,0
IPE,D,20091027,000000,4.7569,4.97,4.7569,4.97,9408,0
IPE,D,20091028,000000,4.9628,4.97,4.6504,4.9628,19379,0
IPE,D,20091029,000000,4.6504,5.3249,4.6504,5.3249,143895,0
IPE,D,20091030,000000,5.3249,5.4669,4.9842,5.396,38823,0
IPE,D,20091104,000000,4.899,5.3036,4.899,5.3036,70564,0
IPE,D,20091105,000000,5.2538,5.2823,4.97,5.2823,83002,0
IPE,D,20091106,000000,5.0197,5.2754,5.0197,5.2538,24165,0
IPE,D,20091109,000000,5.2468,5.3108,5.2468,5.3108,6251,0
IPE,D,20091110,000000,5.2538,5.2538,5.0125,5.0125,330,0
IPE,D,20091112,000000,5.3108,5.4741,5.0836,5.4741,44924,0
IPE,D,20091113,000000,5.4315,5.4741,5.2538,5.396,12304,0
IPE,D,20091116,000000,5.396,5.9285,5.396,5.8929,44260,0
IPE,D,20091117,000000,5.8858,5.8858,5.6799,5.7154,10713,0
IPE,D,20091118,000000,5.3604,5.7509,5.3604,5.6799,2305,0
IPE,D,20091119,000000,5.5806,5.6799,5.5733,5.6799,10380,0
IPE,D,20091120,000000,5.7439,5.7439,5.7439,5.7439,1410,0
IPE,D,20091123,000000,5.7439,5.7439,5.6799,5.6799,8631,0
IPE,D,20091124,000000,5.6089,5.8503,5.5947,5.8219,11101,0
IPE,D,20091125,000000,5.8077,5.8149,5.7509,5.8149,5915,0
IPE,D,20091126,000000,5.6303,5.8149,5.6161,5.8149,4649,0
IPE,D,20091127,000000,5.6729,5.8006,5.4812,5.7865,11068,0
IPE,D,20091130,000000,5.7154,5.8219,5.6089,5.8077,18540,0
IPE,D,20091201,000000,5.6799,5.8077,5.6799,5.8077,11727,0
IPE,D,20091202,000000,5.7226,5.7509,5.6871,5.7509,8271,0
IPE,D,20091203,000000,5.6089,5.7509,5.6089,5.7509,4140,0
IPE,D,20091204,000000,5.7012,5.7368,5.6799,5.6799,12733,0
IPE,D,20091207,000000,5.6089,5.6658,5.5733,5.5733,1410,0
IPE,D,20091208,000000,5.6799,5.6799,5.6799,5.6799,177,0
IPE,D,20091209,000000,5.6729,5.6729,5.6729,5.6729,177,0
IPE,D,20091210,000000,5.6587,5.7368,5.6089,5.7368,4014,0
IPE,D,20091211,000000,5.6799,5.7368,5.6374,5.7368,12754,0
IPE,D,20091214,000000,5.5523,5.6799,5.5523,5.6799,15178,0
IPE,D,20091215,000000,5.6089,5.6658,5.5733,5.6658,7257,0
IPE,D,20091216,000000,5.5733,5.7368,5.4812,5.7368,14193,0
IPE,D,20091217,000000,5.6019,5.6799,5.4812,5.6799,19660,0
IPE,D,20091218,000000,5.6729,5.6729,5.6729,5.6729,3717,0
IPE,D,20091221,000000,5.6019,5.6019,5.5733,5.5733,8192,0
IPE,D,20091222,000000,5.5733,5.6658,5.5733,5.6658,6152,0
IPE,D,20091223,000000,5.5733,5.6729,5.5733,5.6729,2816,0
IPE,D,20091228,000000,5.8006,5.8006,5.6089,5.6871,24183,0
IPE,D,20091229,000000,5.7509,5.7509,5.7509,5.7509,2889,0
IPE,D,20091230,000000,5.6799,5.6799,5.6303,5.6799,2297,0
IPE,D,20091231,000000,5.7509,5.7509,5.7509,5.7509,4694,0
IPE,D,20100104,000000,5.7509,5.7509,5.7439,5.7439,2878,0
IPE,D,20100105,000000,5.6799,5.6799,5.6445,5.6445,610,0
IPE,D,20100106,000000,5.6089,5.6658,5.5663,5.6658,2747,0
IPE,D,20100107,000000,5.6658,5.6799,5.6658,5.6799,1268,0
IPE,D,20100108,000000,5.6799,5.6799,5.5806,5.5806,3380,0
IPE,D,20100111,000000,5.5733,5.5733,5.5733,5.5733,283,0
IPE,D,20100113,000000,5.2611,5.4669,5.2611,5.3249,1521,0
IPE,D,20100114,000000,5.5733,5.5733,5.3604,5.3604,177,0
IPE,D,20100115,000000,5.3676,5.3676,5.3676,5.3676,1231,0
IPE,D,20100118,000000,5.396,5.396,5.396,5.396,1015,0
IPE,D,20100119,000000,5.1902,5.3604,5.183,5.3604,8096,0
IPE,D,20100120,000000,5.396,5.396,5.396,5.396,496,0
