<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRL,D,20121218,000000,7.4479,7.4766,7.4309,7.4766,106966,0
IRL,D,20121219,000000,7.5677,7.6803,7.5677,7.6376,76843,0
IRL,D,20121220,000000,7.698,7.698,7.5493,7.5493,51501,0
IRL,D,20121221,000000,7.5935,7.6163,7.5788,7.6133,36623,0
IRL,D,20121227,000000,7.6376,7.695,7.6376,7.6921,50981,0
IRL,D,20121228,000000,7.7097,7.7392,7.6509,7.7362,54020,0
IRL,D,20130102,000000,7.7965,7.8252,7.7965,7.8193,45339,0
IRL,D,20130103,000000,7.8414,7.8414,7.806,7.8112,23099,0
IRL,D,20130104,000000,7.8112,7.8252,7.806,7.8252,37211,0
IRL,D,20130107,000000,7.7825,7.7825,7.5581,7.5905,85731,0
IRL,D,20130108,000000,7.5581,7.6663,7.5581,7.5729,37395,0
IRL,D,20130109,000000,7.6075,7.6398,7.6075,7.6376,48472,0
IRL,D,20130110,000000,7.6575,7.6803,7.6575,7.6774,33232,0
IRL,D,20130111,000000,7.6663,7.7678,7.6663,7.7473,22039,0
IRL,D,20130114,000000,7.7678,7.8141,7.7678,7.806,28757,0
IRL,D,20130115,000000,7.7678,7.8112,7.7678,7.7774,17734,0
IRL,D,20130116,000000,7.7965,7.7965,7.7561,7.7715,11022,0
IRL,D,20130117,000000,7.7532,7.9017,7.7532,7.8414,30357,0
IRL,D,20130118,000000,7.8576,7.898,7.8576,7.8693,16188,0
IRL,D,20130121,000000,7.8112,7.8318,7.8112,7.8252,12744,0
IRL,D,20130122,000000,7.8414,7.8428,7.7965,7.7965,10634,0
IRL,D,20130123,000000,7.5493,7.6075,7.375,7.4479,54308,0
IRL,D,20130124,000000,7.6075,7.7532,7.4339,7.4479,10849,0
IRL,D,20130125,000000,7.4567,7.4626,7.4398,7.4479,11290,0
IRL,D,20130128,000000,7.5214,7.5214,7.4913,7.5214,16916,0
IRL,D,20130129,000000,7.5361,7.5361,7.5008,7.5361,8197,0
IRL,D,20130130,000000,7.5361,7.5581,7.5067,7.5471,7105,0
IRL,D,20130131,000000,7.5361,7.553,7.5214,7.553,6544,0
