<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS,D,20110111,000000,5.3675,5.7544,5.3675,5.5807,1125588,0
IZS,D,20110112,000000,5.5333,5.636,5.3675,5.6045,241474,0
IZS,D,20110113,000000,5.5807,5.6045,5.4544,5.5333,135895,0
IZS,D,20110114,000000,5.5807,5.5807,5.3756,5.565,38633,0
IZS,D,20110117,000000,5.5254,5.557,5.5254,5.5412,15722,0
IZS,D,20110118,000000,5.5333,5.636,5.5333,5.636,43605,0
IZS,D,20110119,000000,5.636,6.1963,5.6201,6.1571,67572,0
IZS,D,20110120,000000,6.0859,6.228,6.0149,6.1018,8733,0
IZS,D,20110121,000000,6.1018,6.6937,6.0386,6.5358,83490,0
IZS,D,20110124,000000,6.6068,6.6228,6.4963,6.5517,17081,0
IZS,D,20110125,000000,6.5517,6.5517,6.3701,6.4332,36697,0
IZS,D,20110126,000000,6.5122,6.7254,6.3938,6.5831,55610,0
IZS,D,20110127,000000,6.4569,6.7254,6.3701,6.5358,189757,0
IZS,D,20110128,000000,6.6068,6.6068,6.4728,6.5122,65606,0
IZS,D,20110131,000000,6.4728,6.4728,6.3307,6.4489,9651,0
IZS,D,20110201,000000,6.5122,6.5122,6.2754,6.3307,12913,0
IZS,D,20110202,000000,6.2438,6.3307,5.9912,6.1571,79201,0
IZS,D,20110203,000000,6.1018,6.1097,5.9201,6.0938,12969,0
IZS,D,20110204,000000,5.8965,6.0702,5.8965,6.0702,12850,0
IZS,D,20110207,000000,6.0781,6.3149,6.0781,6.0781,2781,0
IZS,D,20110208,000000,5.9755,6.2359,5.8411,6.0781,792308,0
IZS,D,20110209,000000,6.0702,6.149,6.0702,6.1175,356,0
IZS,D,20110210,000000,6.1175,6.2122,5.9675,5.9675,4035,0
IZS,D,20110211,000000,5.9596,6.1963,5.8806,5.9596,79207,0
IZS,D,20110214,000000,5.9359,5.9359,5.7623,5.8411,36739,0
IZS,D,20110215,000000,5.8255,5.8411,5.565,5.707,10923,0
IZS,D,20110216,000000,5.6834,5.8806,5.5254,5.8806,2258,0
IZS,D,20110217,000000,5.778,5.8727,5.6834,5.707,4078,0
IZS,D,20110218,000000,5.6834,5.707,5.6834,5.707,3721,0
IZS,D,20110221,000000,5.7544,5.7544,5.699,5.699,901,0
IZS,D,20110222,000000,5.7544,5.8411,5.5333,5.6913,3260,0
IZS,D,20110223,000000,5.7623,5.8411,5.7228,5.7228,24531,0
IZS,D,20110224,000000,5.7544,5.7544,5.6439,5.7228,19789,0
IZS,D,20110225,000000,5.7228,5.7467,5.6834,5.7228,8062,0
IZS,D,20110228,000000,5.7623,5.9596,5.7544,5.8176,10570,0
IZS,D,20110301,000000,5.7623,5.9201,5.7623,5.8806,1976,0
IZS,D,20110302,000000,5.8411,5.9596,5.8411,5.8806,1254,0
IZS,D,20110303,000000,5.9912,5.9912,5.9201,5.9201,1026,0
IZS,D,20110304,000000,5.9201,5.9201,5.857,5.9201,1429,0
IZS,D,20110307,000000,5.9596,5.9992,5.857,5.9992,8885,0
IZS,D,20110308,000000,6.0386,6.0622,5.9992,6.0622,2674,0
IZS,D,20110309,000000,6.0622,6.0622,5.9992,6.0386,3987,0
IZS,D,20110310,000000,5.9992,6.3938,5.9992,6.3859,4651,0
IZS,D,20110311,000000,6.3859,6.3859,6.2359,6.2438,685,0
IZS,D,20110314,000000,6.2517,6.4489,5.9992,6.3149,6916,0
IZS,D,20110315,000000,6.2912,6.2912,5.9992,6.1571,4528,0
IZS,D,20110316,000000,6.228,6.228,5.9992,6.149,3749,0
IZS,D,20110317,000000,6.0386,6.0781,6.0386,6.0781,1128,0
IZS,D,20110318,000000,6.0781,6.0781,5.9596,5.9992,1154,0
IZS,D,20110321,000000,5.9992,6.0781,5.7623,6.0702,3579,0
IZS,D,20110322,000000,6.0702,6.0702,5.9992,6.0622,1072,0
IZS,D,20110323,000000,6.0622,6.0622,5.9201,6.0543,1042,0
IZS,D,20110324,000000,6.0543,6.0543,5.9596,6.0386,1887,0
IZS,D,20110325,000000,6.0622,6.0622,5.9596,6.0622,3257,0
IZS,D,20110328,000000,6.0702,6.0702,5.9596,5.9992,3582,0
IZS,D,20110329,000000,6.0386,6.0386,5.9596,5.9992,1078,0
IZS,D,20110330,000000,6.0702,6.0702,5.9596,6.0071,6480,0
IZS,D,20110331,000000,6.0702,6.0702,5.9675,5.9992,1066,0
IZS,D,20110401,000000,5.9992,5.9992,5.9755,5.9833,1223,0
