<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
K2H,D,20080424,000000,15.579,15.585,14.089,14.649,5345,0
K2H,D,20080425,000000,14.963,14.963,14.058,14.863,1808,0
K2H,D,20080428,000000,14.9,14.9,14.9,14.9,33,0
K2H,D,20080429,000000,14.894,14.894,14.339,14.887,266,0
K2H,D,20080505,000000,14.837,14.837,14.837,14.837,5,0
K2H,D,20080506,000000,14.837,14.837,14.818,14.818,113,0
K2H,D,20080507,000000,14.826,14.826,14.339,14.807,116,0
K2H,D,20080508,000000,14.807,14.807,14.807,14.807,2,0
K2H,D,20080509,000000,14.807,14.807,14.807,14.807,2,0
K2H,D,20080512,000000,14.807,14.807,14.807,14.807,2,0
K2H,D,20080513,000000,14.807,14.807,14.807,14.807,166,0
K2H,D,20080514,000000,14.807,14.807,14.339,14.807,324,0
K2H,D,20080515,000000,14.807,14.807,14.807,14.807,201,0
K2H,D,20080516,000000,14.339,14.807,14.339,14.807,291,0
K2H,D,20080519,000000,14.807,14.807,14.807,14.807,1,0
K2H,D,20080520,000000,14.807,14.807,14.807,14.807,1,0
K2H,D,20080521,000000,14.794,14.794,14.794,14.794,3,0
K2H,D,20080523,000000,14.807,14.807,14.807,14.807,1,0
K2H,D,20080526,000000,14.807,14.807,14.768,14.776,187,0
K2H,D,20080527,000000,14.776,14.776,14.776,14.776,43,0
K2H,D,20080528,000000,14.776,14.776,13.779,14.776,138,0
K2H,D,20080529,000000,14.776,14.776,14.027,14.714,238,0
K2H,D,20080530,000000,14.776,14.776,14.776,14.776,1,0
K2H,D,20080602,000000,14.776,14.807,14.776,14.807,64,0
K2H,D,20080603,000000,14.807,14.807,14.807,14.807,3,0
K2H,D,20080604,000000,14.807,14.807,14.089,14.807,164,0
K2H,D,20080605,000000,14.807,14.807,14.807,14.807,1,0
K2H,D,20080606,000000,14.807,14.807,14.027,14.027,215,0
K2H,D,20080609,000000,14.089,14.588,14.089,14.588,162,0
K2H,D,20080610,000000,14.588,14.588,14.089,14.339,679,0
K2H,D,20080611,000000,13.715,13.965,13.218,13.715,2948,0
K2H,D,20080612,000000,14.027,14.837,14.027,14.089,740,0
K2H,D,20080613,000000,14.334,14.334,14.334,14.334,1,0
K2H,D,20080616,000000,14.334,14.334,14.334,14.334,2,0
K2H,D,20080617,000000,14.334,14.334,14.334,14.334,2,0
K2H,D,20080618,000000,14.334,14.334,13.091,14.326,4813,0
K2H,D,20080619,000000,13.098,14.326,13.098,14.326,1142,0
K2H,D,20080620,000000,14.326,14.326,14.326,14.326,2,0
K2H,D,20080623,000000,14.32,14.32,14.32,14.32,1,0
K2H,D,20080624,000000,14.308,14.308,13.218,13.715,143,0
K2H,D,20080625,000000,14.027,14.027,14.027,14.027,17,0
K2H,D,20080626,000000,14.027,14.027,14.027,14.027,1,0
K2H,D,20080627,000000,13.715,14.027,13.091,14.027,467,0
K2H,D,20080630,000000,14.027,14.027,12.717,12.904,2583,0
K2H,D,20080701,000000,13.341,13.341,12.593,13.279,67,0
K2H,D,20080704,000000,12.656,12.904,12.47,12.904,338,0
K2H,D,20080708,000000,12.47,12.47,11.732,12.436,756,0
K2H,D,20080709,000000,12.375,12.375,11.845,12.375,162,0
K2H,D,20080710,000000,12.436,12.436,12.407,12.407,261,0
K2H,D,20080711,000000,12.748,12.748,12.748,12.748,1,0
K2H,D,20080714,000000,12.748,12.748,12.748,12.748,1,0
K2H,D,20080715,000000,11.732,13.086,11.732,13.086,113,0
K2H,D,20080716,000000,13.086,13.086,11.752,12.407,470,0
K2H,D,20080717,000000,12.407,12.407,11.158,12.263,1030,0
K2H,D,20080721,000000,12.033,12.033,12.033,12.033,1,0
K2H,D,20080722,000000,12.157,12.157,12.157,12.157,1,0
K2H,D,20080723,000000,12.15,12.15,12.15,12.15,1,0
K2H,D,20080724,000000,12.144,12.144,12.144,12.144,17,0
K2H,D,20080725,000000,12.126,12.126,12.126,12.126,1,0
K2H,D,20080728,000000,12.107,12.107,11.097,11.832,1240,0
K2H,D,20080730,000000,11.777,12.033,10.692,12.033,2493,0
K2H,D,20080731,000000,12.093,12.093,12.088,12.088,33,0
K2H,D,20080801,000000,12.093,12.093,12.093,12.093,1,0
K2H,D,20080804,000000,12.093,12.093,12.062,12.062,112,0
K2H,D,20080805,000000,11.957,11.957,10.91,11.84,219,0
K2H,D,20080806,000000,11.84,11.84,11.222,11.832,228,0
K2H,D,20080807,000000,11.957,11.957,11.907,11.907,14,0
K2H,D,20080808,000000,11.901,11.901,11.901,11.901,1,0
K2H,D,20080811,000000,11.951,11.951,11.951,11.951,1,0
K2H,D,20080812,000000,11.939,11.939,11.939,11.939,1,0
K2H,D,20080813,000000,11.933,11.933,11.933,11.933,1,0
K2H,D,20080814,000000,11.939,11.939,11.939,11.939,1,0
K2H,D,20080818,000000,11.926,11.926,11.926,11.926,1,0
K2H,D,20080819,000000,11.933,11.933,11.933,11.933,1,0
