<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH,D,19970710,000000,7.9801,7.9801,7.9801,7.9801,7250853,0
KGH,D,19970711,000000,8.1501,8.1501,8.1501,8.1501,4586322,0
KGH,D,19970714,000000,7.3374,7.3374,7.3374,7.3374,1172706,0
KGH,D,19970715,000000,6.6256,6.6256,6.6256,6.6256,2450723,0
KGH,D,19970716,000000,7.2684,7.2684,7.2684,7.2684,1680368,0
KGH,D,19970717,000000,7.4063,7.4705,7.4063,7.4705,2264931,0
KGH,D,19970718,000000,7.3006,7.3006,7.0664,7.0985,787491,0
KGH,D,19970721,000000,7.3006,7.3006,7.2363,7.3006,1077550,0
KGH,D,19970722,000000,7.3006,7.4063,7.3006,7.3374,698663,0
KGH,D,19970723,000000,7.3694,7.3694,7.1674,7.2363,599107,0
KGH,D,19970724,000000,7.3006,7.3006,7.2363,7.2363,730169,0
KGH,D,19970725,000000,7.2684,7.2684,7.1995,7.1995,582774,0
KGH,D,19970728,000000,7.1353,7.1353,7.0298,7.0298,607483,0
KGH,D,19970729,000000,6.9654,7.1353,6.9654,7.0664,347686,0
KGH,D,19970730,000000,7.0664,7.3006,7.0664,7.2363,387540,0
KGH,D,19970731,000000,7.1995,7.1995,7.0298,7.0664,385351,0
KGH,D,19970801,000000,7.0664,7.1995,7.0664,7.0664,287596,0
KGH,D,19970804,000000,7.1353,7.1995,7.1353,7.1674,407889,0
KGH,D,19970805,000000,7.1995,7.3006,7.1995,7.3006,603124,0
KGH,D,19970806,000000,7.3006,7.3006,7.1995,7.2363,440890,0
KGH,D,19970807,000000,7.2684,7.7458,7.2684,7.7092,551643,0
KGH,D,19970808,000000,7.6083,8.1501,7.6083,7.948,1091895,0
KGH,D,19970811,000000,7.8104,7.8104,7.5762,7.6083,784869,0
KGH,D,19970812,000000,7.5762,7.8104,7.5762,7.7092,648959,0
