<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP,D,19961119,000000,16.952,16.952,16.952,16.952,37046,0
KMP,D,19961120,000000,17.496,17.496,17.496,17.496,23178,0
KMP,D,19961121,000000,19.244,19.244,19.244,19.244,22422,0
KMP,D,19961122,000000,21.115,21.115,21.115,21.115,98627,0
KMP,D,19961125,000000,21.297,21.297,21.297,21.297,29677,0
KMP,D,19961126,000000,20.512,20.512,20.512,20.512,13846,0
KMP,D,19961127,000000,19.909,19.909,19.909,19.909,16976,0
KMP,D,19961128,000000,19.305,19.305,19.305,19.305,9582,0
KMP,D,19961129,000000,20.874,20.874,20.874,20.874,15499,0
KMP,D,19961202,000000,21.115,21.115,21.115,21.115,41914,0
KMP,D,19961203,000000,21.718,21.718,21.718,21.718,31518,0
KMP,D,19961204,000000,23.529,23.529,23.529,23.529,42079,0
KMP,D,19961205,000000,24.433,24.433,24.433,24.433,51672,0
KMP,D,19961206,000000,26.304,26.304,26.304,26.304,66779,0
KMP,D,19961209,000000,25.036,25.036,25.036,25.036,43577,0
KMP,D,19961210,000000,25.7,25.7,25.7,25.7,25447,0
KMP,D,19961211,000000,27.148,27.148,27.148,27.148,16428,0
KMP,D,19961212,000000,28.354,28.354,28.354,28.354,39130,0
KMP,D,19961213,000000,28.354,28.354,28.354,28.354,42869,0
KMP,D,19961216,000000,28.233,28.233,28.233,28.233,43210,0
KMP,D,19961217,000000,27.148,27.148,27.148,27.148,29285,0
KMP,D,19961218,000000,25.821,25.821,25.821,25.821,25755,0
KMP,D,19961219,000000,27.148,27.148,27.148,27.148,26833,0
KMP,D,19961220,000000,27.087,27.087,27.087,27.087,22131,0
KMP,D,19961223,000000,25.096,25.096,25.096,25.096,23371,0
KMP,D,19961224,000000,24.433,24.433,24.433,24.433,7552,0
KMP,D,19961230,000000,25.459,25.459,25.459,25.459,28045,0
KMP,D,19961231,000000,25.579,25.579,25.579,25.579,13349,0
KMP,D,19970102,000000,25.338,25.338,25.338,25.338,6730,0
KMP,D,19970103,000000,25.398,25.398,25.398,25.398,11241,0
KMP,D,19970106,000000,25.338,25.338,25.338,25.338,9413,0
KMP,D,19970107,000000,25.158,25.158,25.158,25.158,2743,0
KMP,D,19970108,000000,26.062,26.062,26.062,26.062,11685,0
KMP,D,19970109,000000,25.941,25.941,25.941,25.941,7691,0
KMP,D,19970110,000000,26.304,26.304,26.304,26.304,9372,0
KMP,D,19970113,000000,24.735,24.735,24.735,24.735,9117,0
KMP,D,19970114,000000,24.794,24.794,24.794,24.794,10204,0
KMP,D,19970115,000000,24.131,24.131,24.131,24.131,9676,0
KMP,D,19970116,000000,24.131,24.131,24.131,24.131,48340,0
KMP,D,19970117,000000,25.338,25.338,25.338,25.338,37434,0
KMP,D,19970120,000000,27.871,27.871,27.871,27.871,42642,0
KMP,D,19970121,000000,27.148,27.148,27.148,27.148,13741,0
