<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRK,D,19970210,000000,34.229,34.229,34.229,34.229,403515,0
KRK,D,19970211,000000,26.969,26.969,26.969,26.969,714738,0
KRK,D,19970212,000000,21.016,21.016,21.016,21.016,420324,0
KRK,D,19970213,000000,23.778,23.778,23.778,23.778,187887,0
KRK,D,19970214,000000,26.221,26.221,26.221,26.221,140122,0
KRK,D,19970217,000000,29.753,29.753,29.753,29.753,179431,0
KRK,D,19970218,000000,27.83,27.83,27.83,27.83,128986,0
KRK,D,19970219,000000,26.582,26.582,26.582,26.582,95589,0
KRK,D,19970220,000000,26.294,26.294,26.294,26.294,142041,0
KRK,D,19970221,000000,25.992,25.992,25.992,25.992,55901,0
KRK,D,19970224,000000,26.018,26.018,26.018,26.018,61781,0
KRK,D,19970225,000000,26.011,26.011,26.011,26.011,60317,0
KRK,D,19970226,000000,25.821,25.821,25.821,25.821,40148,0
KRK,D,19970227,000000,25.84,25.84,25.84,25.84,127509,0
KRK,D,19970228,000000,27.076,27.076,27.076,27.076,46743,0
KRK,D,19970303,000000,26.575,26.575,26.575,26.575,45280,0
KRK,D,19970304,000000,25.67,25.67,25.67,25.67,31509,0
KRK,D,19970305,000000,24.777,24.777,24.777,24.777,50871,0
KRK,D,19970306,000000,24.698,24.698,24.698,24.698,27149,0
KRK,D,19970307,000000,24.377,24.377,24.377,24.377,32394,0
KRK,D,19970310,000000,24.18,24.18,24.18,24.18,18099,0
KRK,D,19970311,000000,24.036,24.036,24.036,24.036,28826,0
KRK,D,19970312,000000,24.207,24.207,24.207,24.207,13804,0
KRK,D,19970313,000000,24.16,24.16,24.16,24.16,15249,0
KRK,D,19970314,000000,24.114,24.114,24.114,24.114,13118,0
KRK,D,19970317,000000,23.918,23.918,23.918,23.918,17735,0
KRK,D,19970318,000000,23.405,23.405,23.405,23.405,27213,0
KRK,D,19970319,000000,23.295,23.295,23.295,23.295,22183,0
KRK,D,19970320,000000,23.149,23.149,23.149,23.149,17903,0
KRK,D,19970321,000000,22.531,22.531,22.531,22.531,96047,0
KRK,D,19970324,000000,22.25,22.25,22.25,22.25,42249,0
KRK,D,19970325,000000,21.778,21.778,21.778,21.778,38347,0
KRK,D,19970326,000000,21.133,21.133,21.133,21.133,42751,0
KRK,D,19970327,000000,21.837,21.837,21.837,21.837,75282,0
KRK,D,19970328,000000,21.614,21.614,21.614,21.614,55671,0
KRK,D,19970401,000000,21.423,21.423,21.423,21.423,6535,0
KRK,D,19970402,000000,22.002,22.002,22.002,22.002,36519,0
KRK,D,19970403,000000,23.833,23.833,23.833,23.833,65513,0
KRK,D,19970404,000000,23.255,23.255,23.255,23.255,28599,0
KRK,D,19970407,000000,22.217,22.217,22.217,22.217,25855,0
KRK,D,19970408,000000,22.756,22.756,22.756,22.756,9128,0
KRK,D,19970409,000000,22.795,22.795,22.795,22.795,15510,0
KRK,D,19970410,000000,22.658,22.658,22.658,22.658,19820,0
KRK,D,19970411,000000,23.242,23.242,23.242,23.242,13909,0
KRK,D,19970414,000000,23.058,23.058,23.058,23.058,15418,0
KRK,D,19970415,000000,22.853,22.853,22.853,22.853,11412,0
KRK,D,19970416,000000,22.742,22.742,22.742,22.742,8366,0
KRK,D,19970417,000000,23.255,23.255,23.255,23.255,11306,0
KRK,D,19970418,000000,23.189,23.189,23.189,23.189,14702,0
KRK,D,19970421,000000,22.947,22.947,22.947,22.947,10497,0
KRK,D,19970422,000000,22.749,22.749,22.749,22.749,22517,0
KRK,D,19970423,000000,22.847,22.847,22.847,22.847,27408,0
KRK,D,19970424,000000,22.926,22.926,22.926,22.926,24239,0
KRK,D,19970425,000000,23.005,23.005,23.005,23.005,27332,0
KRK,D,19970428,000000,22.742,22.742,22.742,22.742,7540,0
KRK,D,19970429,000000,22.618,22.618,22.618,22.618,12555,0
KRK,D,19970430,000000,22.691,22.691,22.691,22.691,6751,0
KRK,D,19970505,000000,22.678,22.678,22.678,22.678,10544,0
KRK,D,19970506,000000,22.683,22.683,22.683,22.683,15145,0
KRK,D,19970507,000000,22.795,22.795,22.795,22.795,21695,0
KRK,D,19970508,000000,23.308,23.308,23.308,23.308,26661,0
KRK,D,19970509,000000,23.767,23.767,23.767,23.767,55930,0
KRK,D,19970512,000000,23.077,23.077,23.077,23.077,49042,0
KRK,D,19970513,000000,22.788,22.788,22.788,22.788,42220,0
KRK,D,19970514,000000,22.683,22.683,22.683,22.683,78859,0
KRK,D,19970515,000000,22.243,22.243,22.243,22.243,46576,0
KRK,D,19970516,000000,22.29,22.29,22.29,22.29,37390,0
KRK,D,19970519,000000,22.165,22.165,22.165,22.165,5255,0
KRK,D,19970520,000000,22.264,22.264,22.264,22.264,7695,0
KRK,D,19970521,000000,22.65,22.65,22.65,22.65,64585,0
KRK,D,19970522,000000,22.618,22.618,22.618,22.618,14657,0
KRK,D,19970523,000000,22.683,22.683,22.683,22.683,9704,0
KRK,D,19970526,000000,22.597,22.597,22.597,22.597,10254,0
KRK,D,19970527,000000,22.559,22.559,22.559,22.559,12097,0
KRK,D,19970528,000000,22.236,22.236,22.236,22.236,20708,0
KRK,D,19970529,000000,22.691,22.691,22.691,22.691,22625,0
KRK,D,19970530,000000,22.611,22.611,22.611,22.611,9128,0
KRK,D,19970602,000000,22.172,22.172,22.172,22.172,10589,0
KRK,D,19970603,000000,22.323,22.323,22.323,22.323,18724,0
KRK,D,19970604,000000,22.284,22.284,22.284,22.284,31460,0
KRK,D,19970605,000000,22.106,22.106,22.106,22.106,20493,0
KRK,D,19970606,000000,21.522,21.522,21.522,21.522,31978,0
KRK,D,19970609,000000,21.469,21.469,21.469,21.469,9904,0
KRK,D,19970610,000000,21.483,21.483,21.483,21.483,15952,0
KRK,D,19970611,000000,21.096,21.096,21.096,21.096,30380,0
KRK,D,19970612,000000,20.886,20.886,20.886,20.886,12477,0
KRK,D,19970613,000000,20.484,20.484,20.484,20.484,29406,0
KRK,D,19970616,000000,20.215,20.215,20.215,20.215,19241,0
KRK,D,19970617,000000,20.183,20.183,20.183,20.183,14230,0
KRK,D,19970618,000000,20.157,20.157,20.157,20.157,11091,0
KRK,D,19970619,000000,20.773,20.773,20.773,20.773,11458,0
