<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY,D,19960130,000000,12.709,12.709,12.709,12.709,235166,0
KTY,D,19960131,000000,13.166,13.166,13.166,13.166,248455,0
KTY,D,19960201,000000,13.166,13.166,13.166,13.166,120739,0
KTY,D,19960202,000000,13.713,13.713,13.713,13.713,199073,0
KTY,D,19960205,000000,13.853,13.853,13.853,13.853,78189,0
KTY,D,19960206,000000,13.713,13.713,13.713,13.713,145623,0
KTY,D,19960207,000000,13.166,13.166,13.166,13.166,412302,0
KTY,D,19960208,000000,13.713,13.713,13.713,13.713,242386,0
KTY,D,19960209,000000,15.083,15.083,15.083,15.083,246175,0
KTY,D,19960212,000000,16.592,16.592,16.592,16.592,145807,0
KTY,D,19960213,000000,17.371,17.371,17.371,17.371,440465,0
KTY,D,19960214,000000,16.914,16.914,16.914,16.914,166233,0
KTY,D,19960215,000000,16.914,16.914,16.914,16.914,161146,0
KTY,D,19960216,000000,16.867,16.867,16.867,16.867,75597,0
KTY,D,19960219,000000,16.458,16.458,16.458,16.458,81729,0
KTY,D,19960220,000000,16.227,16.227,16.227,16.227,119116,0
KTY,D,19960221,000000,16.227,16.227,16.227,16.227,145828,0
KTY,D,19960222,000000,16.684,16.684,16.684,16.684,72101,0
KTY,D,19960223,000000,16.592,16.592,16.592,16.592,45856,0
KTY,D,19960226,000000,16.732,16.732,16.732,16.732,75679,0
KTY,D,19960227,000000,16.64,16.64,16.64,16.64,81302,0
KTY,D,19960228,000000,16.458,16.458,16.458,16.458,17256,0
KTY,D,19960229,000000,17.05,17.05,17.05,17.05,110664,0
KTY,D,19960301,000000,17.14,17.14,17.14,17.14,50429,0
KTY,D,19960304,000000,17.736,17.736,17.736,17.736,106669,0
KTY,D,19960305,000000,18.88,18.88,18.88,18.88,102150,0
KTY,D,19960306,000000,19.472,19.472,19.472,19.472,54625,0
KTY,D,19960307,000000,21.438,21.438,21.438,21.438,57349,0
KTY,D,19960308,000000,19.562,19.562,19.562,19.562,81345,0
KTY,D,19960311,000000,19.337,19.337,19.337,19.337,36357,0
KTY,D,19960312,000000,19.472,19.472,19.472,19.472,53110,0
KTY,D,19960313,000000,19.703,19.703,19.703,19.703,57390,0
KTY,D,19960314,000000,19.472,19.472,19.472,19.472,30791,0
KTY,D,19960315,000000,19.654,19.654,19.654,19.654,10299,0
KTY,D,19960318,000000,20.341,20.341,20.341,20.341,19563,0
KTY,D,19960319,000000,20.937,20.937,20.937,20.937,58897,0
KTY,D,19960320,000000,21.711,21.711,21.711,21.711,90679,0
KTY,D,19960321,000000,21.486,21.486,21.486,21.486,174242,0
KTY,D,19960322,000000,21.711,21.711,21.711,21.711,43429,0
KTY,D,19960325,000000,21.62,21.62,21.62,21.62,187332,0
KTY,D,19960326,000000,21.256,21.256,21.256,21.256,10535,0
KTY,D,19960327,000000,21.164,21.164,21.164,21.164,11573,0
KTY,D,19960328,000000,21.438,21.438,21.438,21.438,18728,0
KTY,D,19960329,000000,21.486,21.486,21.486,21.486,19688,0
KTY,D,19960401,000000,21.394,21.394,21.394,21.394,12479,0
KTY,D,19960402,000000,21.164,21.164,21.164,21.164,12900,0
KTY,D,19960403,000000,20.937,20.937,20.937,20.937,16573,0
KTY,D,19960404,000000,20.708,20.708,20.708,20.708,19435,0
KTY,D,19960405,000000,20.937,20.937,20.937,20.937,43273,0
KTY,D,19960409,000000,20.572,20.572,20.572,20.572,25428,0
KTY,D,19960410,000000,20.572,20.572,20.572,20.572,28069,0
KTY,D,19960411,000000,20.756,20.756,20.756,20.756,12891,0
KTY,D,19960412,000000,20.847,20.847,20.847,20.847,3955,0
KTY,D,19960415,000000,21.164,21.164,21.164,21.164,14904,0
KTY,D,19960416,000000,21.164,21.164,21.164,21.164,28514,0
KTY,D,19960417,000000,21.256,21.256,21.256,21.256,12204,0
KTY,D,19960418,000000,21.62,21.62,21.62,21.62,27980,0
KTY,D,19960419,000000,21.486,21.486,21.486,21.486,11007,0
KTY,D,19960422,000000,21.62,21.62,21.62,21.62,43428,0
KTY,D,19960423,000000,21.711,21.711,21.711,21.711,56556,0
KTY,D,19960424,000000,21.711,21.711,21.711,21.711,60237,0
KTY,D,19960425,000000,21.711,21.711,21.711,21.711,14392,0
KTY,D,19960426,000000,20.937,20.937,20.937,20.937,40698,0
KTY,D,19960429,000000,21.164,21.164,21.164,21.164,21545,0
KTY,D,19960430,000000,21.256,21.256,21.256,21.256,15355,0
KTY,D,19960506,000000,21.256,21.256,21.256,21.256,23030,0
KTY,D,19960507,000000,21.711,21.711,21.711,21.711,19072,0
KTY,D,19960508,000000,21.711,21.711,21.711,21.711,52866,0
KTY,D,19960509,000000,21.942,21.942,21.942,21.942,26636,0
KTY,D,19960510,000000,21.711,21.711,21.711,21.711,32789,0
KTY,D,19960513,000000,21.942,21.942,21.942,21.942,15289,0
KTY,D,19960514,000000,22.307,22.307,22.307,22.307,135820,0
KTY,D,19960515,000000,22.077,22.077,22.077,22.077,87525,0
KTY,D,19960516,000000,22.077,22.077,22.077,22.077,67371,0
KTY,D,19960517,000000,21.851,21.851,21.851,21.851,48259,0
KTY,D,19960520,000000,21.668,21.668,21.668,21.668,32745,0
KTY,D,19960521,000000,21.62,21.62,21.62,21.62,13111,0
KTY,D,19960522,000000,21.213,21.213,21.213,21.213,18078,0
KTY,D,19960523,000000,20.937,20.937,20.937,20.937,24193,0
KTY,D,19960524,000000,20.616,20.616,20.616,20.616,38682,0
KTY,D,19960527,000000,20.482,20.482,20.482,20.482,20190,0
KTY,D,19960528,000000,20.159,20.159,20.159,20.159,9472,0
KTY,D,19960529,000000,19.654,19.654,19.654,19.654,15993,0
KTY,D,19960530,000000,19.472,19.472,19.472,19.472,10989,0
KTY,D,19960531,000000,19.562,19.562,19.562,19.562,1101,0
KTY,D,19960603,000000,19.703,19.703,19.703,19.703,1213,0
KTY,D,19960604,000000,19.794,19.794,19.794,19.794,3810,0
KTY,D,19960605,000000,19.886,19.886,19.886,19.886,21150,0
KTY,D,19960607,000000,19.794,19.794,19.794,19.794,2046,0
KTY,D,19960610,000000,19.886,19.886,19.886,19.886,2412,0
KTY,D,19960611,000000,19.886,19.886,19.886,19.886,41363,0
KTY,D,19960612,000000,19.611,19.611,19.611,19.611,1607,0
KTY,D,19960613,000000,19.654,19.654,19.654,19.654,5162,0
KTY,D,19960614,000000,19.562,19.562,19.562,19.562,10148,0
KTY,D,19960617,000000,19.794,19.794,19.794,19.794,12400,0
KTY,D,19960618,000000,19.562,19.562,19.562,19.562,26783,0
KTY,D,19960619,000000,19.794,19.794,19.794,19.794,46025,0
KTY,D,19960620,000000,19.837,19.837,19.837,19.837,104274,0
KTY,D,19960621,000000,19.654,19.654,19.654,19.654,85493,0
KTY,D,19960624,000000,19.654,19.654,19.654,19.654,57157,0
KTY,D,19960625,000000,19.654,19.654,19.654,19.654,60108,0
KTY,D,19960626,000000,19.794,19.794,19.794,19.794,138736,0
KTY,D,19960627,000000,19.654,19.654,19.654,19.654,53543,0
KTY,D,19960628,000000,19.562,19.562,19.562,19.562,98056,0
KTY,D,19960701,000000,19.562,19.562,19.562,19.562,22515,0
KTY,D,19960702,000000,19.43,19.43,19.43,19.43,45915,0
KTY,D,19960703,000000,19.43,19.43,19.43,19.43,24245,0
KTY,D,19960704,000000,19.43,19.43,19.43,19.43,56231,0
KTY,D,19960705,000000,20.25,20.25,20.25,20.25,100962,0
KTY,D,19960708,000000,19.562,19.562,19.562,19.562,119171,0
KTY,D,19960709,000000,19.43,19.43,19.43,19.43,56029,0
KTY,D,19960710,000000,19.43,19.43,19.43,19.43,17112,0
KTY,D,19960711,000000,19.247,19.247,19.247,19.247,23932,0
KTY,D,19960712,000000,19.247,19.247,19.247,19.247,1927,0
KTY,D,19960715,000000,19.247,19.247,19.247,19.247,18607,0
KTY,D,19960716,000000,19.106,19.106,19.106,19.106,12429,0
KTY,D,19960717,000000,18.651,18.651,18.651,18.651,23591,0
KTY,D,19960718,000000,18.424,18.424,18.424,18.424,5481,0
KTY,D,19960719,000000,18.742,18.742,18.742,18.742,13983,0
KTY,D,19960722,000000,18.194,18.194,18.194,18.194,1627,0
KTY,D,19960723,000000,18.058,18.058,18.058,18.058,3212,0
KTY,D,19960724,000000,18.194,18.194,18.194,18.194,2500,0
KTY,D,19960725,000000,18.194,18.194,18.194,18.194,5609,0
KTY,D,19960726,000000,18.742,18.742,18.742,18.742,117651,0
KTY,D,19960729,000000,19.197,19.197,19.197,19.197,5548,0
KTY,D,19960730,000000,19.106,19.106,19.106,19.106,3948,0
KTY,D,19960731,000000,19.106,19.106,19.106,19.106,15618,0
KTY,D,19960801,000000,18.515,18.515,18.515,18.515,5697,0
KTY,D,19960802,000000,18.424,18.424,18.424,18.424,1497,0
KTY,D,19960805,000000,18.332,18.332,18.332,18.332,3490,0
KTY,D,19960806,000000,18.286,18.286,18.286,18.286,35657,0
KTY,D,19960807,000000,18.194,18.194,18.194,18.194,6455,0
KTY,D,19960808,000000,18.286,18.286,18.286,18.286,26551,0
KTY,D,19960809,000000,18.286,18.286,18.286,18.286,17934,0
KTY,D,19960812,000000,18.194,18.194,18.194,18.194,14146,0
