<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAB,D,20140304,000000,2.3891,2.867,2.3891,2.867,1233,0
LAB,D,20140305,000000,3.4404,4.1093,3.4404,3.6506,20433,0
LAB,D,20140306,000000,3.7844,4.482,3.7844,4.1093,6647,0
LAB,D,20140307,000000,4.1475,4.1475,3.3447,3.9087,3698,0
LAB,D,20140310,000000,3.641,3.8226,3.536,3.8226,2500,0
LAB,D,20140311,000000,3.6315,3.6315,3.6315,3.6315,229,0
LAB,D,20140312,000000,3.5647,3.6028,3.364,3.6028,2927,0
LAB,D,20140313,000000,3.536,3.7939,3.536,3.7939,393,0
LAB,D,20140314,000000,3.6983,3.9182,3.6983,3.7271,926,0
LAB,D,20140317,000000,3.7748,3.7748,3.7271,3.7271,1288,0
LAB,D,20140318,000000,3.7271,3.7367,3.7271,3.7367,38,0
LAB,D,20140319,000000,3.6983,3.6983,3.6983,3.6983,3,0
LAB,D,20140320,000000,3.8226,4.1954,3.8226,4.1954,1183,0
LAB,D,20140321,000000,4.2049,4.2049,3.7748,4.0137,743,0
LAB,D,20140324,000000,3.7652,3.8131,3.7652,3.8131,125,0
LAB,D,20140325,000000,3.8609,4.0424,3.8226,3.9182,2191,0
LAB,D,20140326,000000,3.9182,3.9182,3.9182,3.9182,25,0
LAB,D,20140327,000000,3.9182,3.9182,3.9182,3.9182,15,0
LAB,D,20140328,000000,3.9182,4.0137,3.9182,4.0137,20,0
LAB,D,20140331,000000,3.9278,3.9278,3.9278,3.9278,16,0
LAB,D,20140401,000000,3.9373,4.2527,3.6983,4.2527,5073,0
LAB,D,20140402,000000,4.1379,4.2527,4.1379,4.2527,3850,0
LAB,D,20140403,000000,4.482,5.3708,4.4055,5.2752,2276,0
LAB,D,20140404,000000,5.1509,6.3169,5.1509,6.3169,2331,0
LAB,D,20140407,000000,6.68,6.68,5.3516,6.0207,1795,0
LAB,D,20140408,000000,6.1162,6.2118,5.562,5.562,390,0
LAB,D,20140410,000000,5.8008,6.4793,5.734,5.734,1519,0
LAB,D,20140411,000000,5.5905,5.5905,5.5524,5.5524,53,0
LAB,D,20140414,000000,5.5427,5.7531,4.9694,5.7531,1564,0
LAB,D,20140415,000000,6.2023,6.2023,5.6862,5.6862,31,0
LAB,D,20140416,000000,5.8296,5.9251,5.8296,5.9251,306,0
LAB,D,20140417,000000,6.0397,6.68,6.0397,6.68,496,0
LAB,D,20140422,000000,6.6609,6.6609,5.9633,5.9633,1451,0
LAB,D,20140423,000000,5.9251,6.0015,5.495,6.0015,1640,0
LAB,D,20140424,000000,5.734,6.2978,5.495,6.2978,1910,0
LAB,D,20140425,000000,6.2882,6.2882,6.2882,6.2882,10,0
LAB,D,20140428,000000,6.1544,6.1544,6.1544,6.1544,10,0
LAB,D,20140429,000000,5.7435,5.7435,5.7435,5.7435,15,0
LAB,D,20140430,000000,5.9919,5.9919,5.9919,5.9919,10,0
LAB,D,20140502,000000,5.9919,5.9919,5.9919,5.9919,10,0
LAB,D,20140505,000000,5.9919,5.9919,5.9919,5.9919,10,0
LAB,D,20140506,000000,5.9919,5.9919,5.9919,5.9919,10,0
LAB,D,20140507,000000,5.9919,5.9919,5.3516,5.9538,1580,0
LAB,D,20140509,000000,5.3516,5.9538,4.8452,5.9538,1288,0
LAB,D,20140512,000000,5.5905,5.7243,5.0267,5.0267,2110,0
LAB,D,20140513,000000,5.6288,5.6288,5.6288,5.6288,10,0
LAB,D,20140519,000000,5.0173,5.0173,4.9217,4.9217,342,0
LAB,D,20140520,000000,4.7782,5.1605,4.4916,5.1605,1827,0
LAB,D,20140521,000000,5.1605,5.734,4.3482,5.734,1586,0
LAB,D,20140522,000000,5.734,5.734,5.734,5.734,10,0
LAB,D,20140523,000000,5.734,5.734,4.7782,5.6384,333,0
LAB,D,20140526,000000,5.3516,5.3516,4.9789,5.3516,396,0
LAB,D,20140527,000000,4.8738,5.3039,4.635,5.3039,51,0
