<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEN,D,20050601,000000,3.5308,3.5308,3.3058,3.3734,399981,0
LEN,D,20050602,000000,3.5308,3.7557,3.5085,3.7107,195050,0
LEN,D,20050603,000000,3.8007,3.8007,3.4859,3.6209,112772,0
LEN,D,20050606,000000,3.6432,3.6432,3.5534,3.6209,54154,0
LEN,D,20050607,000000,3.5982,3.5982,3.5758,3.5982,9638,0
LEN,D,20050608,000000,3.6432,3.6657,3.5982,3.6432,36972,0
LEN,D,20050609,000000,3.5982,3.7557,3.5758,3.7557,60169,0
LEN,D,20050610,000000,3.7557,4.0931,3.7557,3.9132,136916,0
LEN,D,20050613,000000,3.9356,3.9356,3.8456,3.9132,39504,0
LEN,D,20050614,000000,3.8682,3.8906,3.7783,3.7783,36346,0
LEN,D,20050615,000000,3.7783,3.8682,3.7333,3.8456,40775,0
LEN,D,20050616,000000,3.8456,3.8906,3.7333,3.8232,104088,0
LEN,D,20050617,000000,3.7783,3.8456,3.7783,3.8456,7939,0
LEN,D,20050620,000000,3.7557,3.8232,3.7557,3.8232,151,0
LEN,D,20050621,000000,3.7557,3.7783,3.7107,3.7783,6375,0
LEN,D,20050622,000000,3.6432,3.7783,3.5758,3.7557,49666,0
LEN,D,20050623,000000,3.6209,3.7557,3.5982,3.7557,49571,0
LEN,D,20050627,000000,3.6657,3.7333,3.6657,3.7333,9709,0
LEN,D,20050628,000000,3.7107,3.7107,3.7107,3.7107,776,0
LEN,D,20050629,000000,3.6209,3.6432,3.5982,3.6432,9219,0
LEN,D,20050630,000000,3.6657,3.6882,3.6657,3.6882,3534,0
LEN,D,20050701,000000,3.6432,3.6657,3.6432,3.6657,11119,0
LEN,D,20050704,000000,3.6882,3.6882,3.6882,3.6882,667,0
LEN,D,20050706,000000,3.6432,3.6657,3.6432,3.6657,5514,0
LEN,D,20050707,000000,3.6657,3.6882,3.5982,3.6882,27238,0
LEN,D,20050708,000000,3.5982,3.6882,3.5982,3.6882,21167,0
LEN,D,20050711,000000,3.6882,3.6882,3.6882,3.6882,1983,0
LEN,D,20050712,000000,3.6209,3.6209,3.6209,3.6209,1092,0
LEN,D,20050713,000000,3.6432,3.6432,3.6209,3.6432,15588,0
LEN,D,20050714,000000,3.6432,3.6432,3.6432,3.6432,221,0
LEN,D,20050715,000000,3.6432,3.6432,3.6432,3.6432,1147,0
LEN,D,20050718,000000,3.6657,3.6882,3.6432,3.6432,9239,0
LEN,D,20050719,000000,3.6432,3.6657,3.6432,3.6657,12868,0
LEN,D,20050720,000000,3.6882,3.8232,3.6882,3.8232,94671,0
LEN,D,20050721,000000,3.7783,3.8232,3.7557,3.8232,3938,0
LEN,D,20050722,000000,3.8007,3.8007,3.7783,3.8007,11928,0
LEN,D,20050725,000000,3.8456,3.8456,3.8456,3.8456,8671,0
LEN,D,20050726,000000,3.8456,3.8456,3.7783,3.7783,10160,0
LEN,D,20050727,000000,3.7783,3.7783,3.7557,3.7783,7804,0
LEN,D,20050728,000000,3.8007,3.8007,3.7107,3.7107,3615,0
LEN,D,20050729,000000,3.7107,3.7333,3.7107,3.7333,278,0
LEN,D,20050801,000000,3.8232,3.9356,3.7107,3.9132,53095,0
LEN,D,20050802,000000,3.9132,3.9132,3.9132,3.9132,1445,0
LEN,D,20050803,000000,3.9132,3.9132,3.8232,3.8682,7210,0
LEN,D,20050804,000000,3.7783,4.0256,3.7783,4.0256,46860,0
LEN,D,20050805,000000,3.9356,4.0256,3.9132,3.9806,35594,0
LEN,D,20050808,000000,3.9806,4.1155,3.9806,3.9806,15435,0
LEN,D,20050810,000000,4.003,4.003,3.9582,3.9582,956,0
LEN,D,20050812,000000,3.7557,3.8906,3.7557,3.8007,4447,0
LEN,D,20050816,000000,3.7107,3.7107,3.7107,3.7107,1054,0
LEN,D,20050817,000000,3.7783,3.8232,3.7107,3.8232,5447,0
LEN,D,20050818,000000,3.8232,3.8232,3.8232,3.8232,1289,0
LEN,D,20050819,000000,3.8007,3.8232,3.6882,3.7783,5246,0
LEN,D,20050822,000000,3.7107,3.7107,3.7107,3.7107,556,0
LEN,D,20050823,000000,3.7107,3.7107,3.7107,3.7107,235776,0
LEN,D,20050824,000000,3.6882,3.7107,3.6882,3.7107,55186,0
LEN,D,20050825,000000,3.7107,3.7107,3.7107,3.7107,7891,0
LEN,D,20050826,000000,3.6882,3.6882,3.6882,3.6882,48,0
LEN,D,20050829,000000,3.6882,3.6882,3.5982,3.6209,11706,0
LEN,D,20050830,000000,3.6882,3.8906,3.6882,3.8906,14451,0
LEN,D,20050831,000000,3.9132,3.9132,3.8456,3.8906,8540,0
LEN,D,20050901,000000,3.7783,3.8232,3.7783,3.8232,369,0
LEN,D,20050902,000000,3.8007,3.8007,3.8007,3.8007,332,0
LEN,D,20050906,000000,3.8232,3.8232,3.8232,3.8232,3047,0
LEN,D,20050907,000000,3.7107,3.8232,3.6882,3.7783,1618,0
LEN,D,20050908,000000,3.7783,3.8232,3.7333,3.8232,687677,0
LEN,D,20050909,000000,3.7557,3.7557,3.5982,3.5982,4299,0
LEN,D,20050912,000000,3.7333,3.7333,3.5982,3.5982,1598,0
LEN,D,20050913,000000,3.6209,3.6209,3.6209,3.6209,1107,0
LEN,D,20050916,000000,3.6209,3.6209,3.5982,3.5982,3446,0
LEN,D,20050919,000000,3.5982,3.6209,3.5982,3.6209,3355,0
LEN,D,20050920,000000,3.6209,3.6209,3.3959,3.5758,32704,0
LEN,D,20050921,000000,3.5982,3.5982,3.5982,3.5982,2926,0
LEN,D,20050923,000000,3.4409,3.5982,3.4183,3.5982,4893,0
LEN,D,20050926,000000,3.6432,3.6432,3.6432,3.6432,447,0
LEN,D,20050927,000000,3.6209,3.9582,3.6209,3.7557,18263,0
LEN,D,20050928,000000,3.9356,3.9356,3.8906,3.8906,2613,0
LEN,D,20050929,000000,3.6657,3.7333,3.5982,3.6657,14523,0
LEN,D,20050930,000000,3.7107,3.8232,3.6882,3.8232,11563,0
LEN,D,20051003,000000,3.6882,3.6882,3.6657,3.6882,6551,0
LEN,D,20051004,000000,3.6882,3.6882,3.6432,3.6882,2465,0
LEN,D,20051005,000000,3.6209,3.6657,3.6209,3.6657,1319,0
LEN,D,20051006,000000,3.6209,3.6209,3.5534,3.5758,10059,0
LEN,D,20051007,000000,3.5308,3.5308,3.5308,3.5308,1112,0
LEN,D,20051010,000000,3.5085,3.5758,3.5085,3.5758,564,0
LEN,D,20051011,000000,3.5085,3.5085,3.5085,3.5085,9295,0
LEN,D,20051012,000000,3.4634,3.5982,3.4183,3.5085,452792,0
LEN,D,20051013,000000,3.4634,3.4634,3.3959,3.3959,9303,0
LEN,D,20051014,000000,3.3508,3.4859,3.3508,3.4859,1365,0
LEN,D,20051017,000000,3.4859,3.4859,3.4859,3.4859,354,0
LEN,D,20051019,000000,3.5534,3.5758,3.3734,3.3734,33373,0
LEN,D,20051020,000000,3.3734,3.4859,3.3734,3.4859,133165,0
LEN,D,20051021,000000,3.5758,3.5982,3.5308,3.5308,17296,0
LEN,D,20051025,000000,3.5982,3.5982,3.5758,3.5758,9074,0
LEN,D,20051026,000000,3.4409,3.5982,3.3734,3.5982,3961,0
LEN,D,20051027,000000,3.4409,3.5982,3.4409,3.5982,159,0
LEN,D,20051028,000000,3.4634,3.4634,3.4634,3.4634,2,0
LEN,D,20051031,000000,3.5758,3.5758,3.5085,3.5085,1215,0
LEN,D,20051102,000000,3.5758,3.7333,3.5758,3.6882,5057,0
LEN,D,20051103,000000,3.6432,3.6432,3.5534,3.6432,1487,0
LEN,D,20051104,000000,3.5982,3.7107,3.5982,3.7107,10274,0
LEN,D,20051107,000000,3.5085,3.5085,3.3734,3.4409,13272,0
LEN,D,20051108,000000,3.4409,3.5085,3.4409,3.5085,3729,0
LEN,D,20051114,000000,3.3959,3.4859,3.3959,3.4859,4492,0
LEN,D,20051115,000000,3.4409,3.4409,3.3959,3.3959,2779,0
LEN,D,20051116,000000,3.3959,3.3959,3.3959,3.3959,1112,0
LEN,D,20051117,000000,3.3734,3.3734,3.3283,3.3734,3794,0
LEN,D,20051118,000000,3.4409,3.4409,3.3283,3.3283,7556,0
LEN,D,20051121,000000,3.3734,3.4409,3.3283,3.3283,7308,0
LEN,D,20051122,000000,3.3283,3.3283,3.3058,3.3283,3591,0
LEN,D,20051123,000000,3.3283,3.5534,3.3283,3.4183,537759,0
LEN,D,20051124,000000,3.5982,3.5982,3.3734,3.3734,265037,0
LEN,D,20051125,000000,3.3734,3.4183,3.3734,3.4183,1645,0
LEN,D,20051128,000000,3.4183,3.5308,3.4183,3.5308,21127,0
LEN,D,20051129,000000,3.5534,3.5982,3.5085,3.5534,53730,0
LEN,D,20051130,000000,3.5308,3.5534,3.5308,3.5534,44468,0
LEN,D,20051201,000000,3.5534,3.5534,3.5534,3.5534,447,0
LEN,D,20051202,000000,3.5534,3.5534,3.5534,3.5534,5559,0
LEN,D,20051205,000000,3.4183,3.5758,3.4183,3.5758,22965,0
LEN,D,20051206,000000,3.5982,3.6432,3.5534,3.6432,27725,0
LEN,D,20051207,000000,3.6657,3.8232,3.5982,3.8232,36261,0
LEN,D,20051208,000000,3.6882,3.6882,3.6657,3.6657,9288,0
LEN,D,20051209,000000,3.6882,3.6882,3.6882,3.6882,2542,0
LEN,D,20051212,000000,3.6882,3.6882,3.5982,3.6657,4101,0
LEN,D,20051213,000000,3.5982,3.5982,3.5308,3.5982,17164,0
LEN,D,20051214,000000,3.5534,3.5534,3.5085,3.5085,2557,0
LEN,D,20051215,000000,3.5534,3.6882,3.5534,3.6657,13575,0
LEN,D,20051219,000000,3.5982,3.5982,3.5758,3.5758,1112,0
LEN,D,20051220,000000,3.5534,3.5982,3.5534,3.5982,1664,0
LEN,D,20051222,000000,3.6882,3.6882,3.6432,3.6657,2956,0
LEN,D,20051223,000000,3.5758,3.6432,3.5534,3.6432,1778,0
LEN,D,20051227,000000,3.5758,3.5758,3.5085,3.5085,3591,0
LEN,D,20051228,000000,3.6432,3.6657,3.5534,3.6657,14560,0
LEN,D,20051229,000000,3.6882,3.6882,3.5982,3.6657,18196,0
LEN,D,20051230,000000,3.5982,3.6882,3.5308,3.6882,8450,0
LEN,D,20060102,000000,3.5085,3.6657,3.5085,3.5758,5261,0
LEN,D,20060103,000000,3.5982,3.6432,3.5982,3.6432,794,0
LEN,D,20060104,000000,3.6432,3.6882,3.6209,3.6882,30144,0
LEN,D,20060106,000000,3.6657,3.6882,3.5982,3.6657,10322,0
LEN,D,20060109,000000,3.6882,3.6882,3.5982,3.5982,1837,0
LEN,D,20060111,000000,3.5982,3.6432,3.5982,3.5982,2621,0
LEN,D,20060112,000000,3.6209,3.6209,3.5085,3.5758,5516,0
LEN,D,20060113,000000,3.5085,3.6882,3.5085,3.5982,240136,0
LEN,D,20060116,000000,3.6432,3.8007,3.5534,3.7557,54586,0
LEN,D,20060117,000000,3.7783,3.7783,3.5308,3.6432,78336,0
LEN,D,20060118,000000,3.6432,3.6657,3.5758,3.6432,35634,0
LEN,D,20060119,000000,3.6432,3.7107,3.6432,3.6882,17695,0
LEN,D,20060120,000000,3.6432,3.6432,3.5758,3.5982,13806,0
LEN,D,20060123,000000,3.5982,3.5982,3.5085,3.5085,3336,0
LEN,D,20060125,000000,3.5308,3.5534,3.5085,3.5085,225873,0
LEN,D,20060126,000000,3.6209,3.6657,3.6209,3.6432,34046,0
LEN,D,20060127,000000,3.6432,3.6657,3.6432,3.6657,7037,0
LEN,D,20060130,000000,3.6432,3.6882,3.6209,3.6432,136613,0
LEN,D,20060131,000000,3.7333,3.7333,3.5982,3.5982,13221,0
LEN,D,20060201,000000,3.6432,3.8682,3.5982,3.8456,103088,0
LEN,D,20060202,000000,3.8906,3.8906,3.7107,3.8007,8076,0
LEN,D,20060203,000000,3.8682,3.8682,3.6209,3.7333,6753,0
LEN,D,20060206,000000,3.7333,3.8007,3.6657,3.7557,22043,0
LEN,D,20060207,000000,3.8007,3.8007,3.7557,3.7557,12505,0
LEN,D,20060208,000000,3.7557,4.003,3.7557,3.8682,44447,0
LEN,D,20060209,000000,3.9582,3.9582,3.8232,3.9582,4764,0
LEN,D,20060210,000000,3.9132,3.9356,3.8232,3.9132,4035,0
LEN,D,20060213,000000,3.9582,3.9582,3.9132,3.9582,3766,0
LEN,D,20060214,000000,3.9132,3.9582,3.7783,3.7783,5478,0
LEN,D,20060215,000000,3.9356,4.1155,3.9356,4.0481,63148,0
LEN,D,20060216,000000,4.183,4.8576,4.183,4.4979,393303,0
LEN,D,20060217,000000,4.5429,4.5429,4.2506,4.4304,53666,0
LEN,D,20060220,000000,4.4979,4.4979,4.2728,4.408,59664,0
LEN,D,20060221,000000,4.408,4.408,4.2728,4.3179,35870,0
LEN,D,20060222,000000,4.3629,4.3629,4.2056,4.2506,48937,0
LEN,D,20060223,000000,4.2728,4.3629,4.183,4.2953,7210,0
LEN,D,20060224,000000,4.2953,4.4979,4.2506,4.4979,70200,0
LEN,D,20060227,000000,4.4979,4.5429,4.3179,4.408,32443,0
LEN,D,20060228,000000,4.4304,4.4304,4.2728,4.2728,46884,0
LEN,D,20060301,000000,4.2728,4.4304,4.0931,4.4304,285936,0
LEN,D,20060302,000000,4.4304,4.4304,4.3179,4.3404,125674,0
LEN,D,20060303,000000,4.4304,4.4304,4.2953,4.3854,14780,0
LEN,D,20060306,000000,4.4754,4.4754,4.3179,4.3404,7183,0
LEN,D,20060307,000000,4.3404,4.3404,4.2728,4.3179,23093,0
LEN,D,20060308,000000,4.2728,4.2728,4.1606,4.2506,14369,0
LEN,D,20060309,000000,4.2506,4.3404,4.1606,4.2728,4238,0
LEN,D,20060310,000000,4.3179,4.3179,4.183,4.228,2483,0
LEN,D,20060313,000000,4.2728,4.2728,4.1155,4.228,6120,0
LEN,D,20060314,000000,4.138,4.2728,4.138,4.2506,5698,0
LEN,D,20060315,000000,4.228,4.408,4.2056,4.408,21898,0
LEN,D,20060316,000000,4.408,4.5429,4.3179,4.5429,28858,0
LEN,D,20060317,000000,4.5429,4.6778,4.5429,4.6778,26428,0
LEN,D,20060320,000000,4.7228,4.9251,4.7004,4.7902,29090,0
LEN,D,20060321,000000,4.8352,4.8352,4.6778,4.7228,22207,0
LEN,D,20060322,000000,4.6327,4.7677,4.6102,4.7677,26196,0
LEN,D,20060323,000000,4.8576,4.8576,4.7677,4.8127,1148,0
LEN,D,20060324,000000,4.7228,4.8352,4.6778,4.8352,18424,0
LEN,D,20060327,000000,4.9251,5.0153,4.8352,5.0153,12794,0
LEN,D,20060328,000000,5.0153,5.3075,5.0153,5.2626,26453,0
LEN,D,20060329,000000,5.2626,5.3973,5.1725,5.3973,123336,0
LEN,D,20060330,000000,5.3973,5.5548,5.3973,5.4198,40856,0
LEN,D,20060331,000000,5.4421,5.4421,5.2626,5.3526,48638,0
LEN,D,20060403,000000,5.2626,5.4421,5.2626,5.3749,31070,0
LEN,D,20060404,000000,5.3973,5.7793,5.3973,5.7793,47894,0
LEN,D,20060405,000000,5.8025,5.937,5.6896,5.8474,317724,0
LEN,D,20060406,000000,5.8246,5.8923,5.4421,5.8246,44596,0
LEN,D,20060407,000000,5.8474,5.8923,5.8246,5.8923,72289,0
