<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP,D,20010516,000000,40.513,40.513,37.249,40.178,4096,0
LPP,D,20010517,000000,38.923,40.095,38.505,40.095,2507,0
LPP,D,20010518,000000,38.588,39.341,38.588,39.341,12,0
LPP,D,20010524,000000,40.178,40.178,40.178,40.178,5,0
LPP,D,20010525,000000,40.513,40.513,40.513,40.513,286,0
LPP,D,20010529,000000,40.43,40.43,40.43,40.43,238,0
LPP,D,20010530,000000,40.261,40.261,40.261,40.261,238,0
LPP,D,20010531,000000,40.261,40.261,40.261,40.261,119,0
LPP,D,20010601,000000,39.844,39.844,39.844,39.844,238,0
LPP,D,20010604,000000,39.761,39.761,39.341,39.341,2032,0
LPP,D,20010605,000000,40.261,40.261,39.341,39.341,407,0
LPP,D,20010606,000000,40.178,40.261,39.341,40.261,294,0
LPP,D,20010607,000000,40.261,40.261,40.261,40.261,478,0
LPP,D,20010608,000000,40.43,40.43,40.43,40.43,119,0
LPP,D,20010611,000000,40.43,40.43,40.43,40.43,58,0
LPP,D,20010612,000000,38.923,40.513,38.923,40.513,297,0
LPP,D,20010615,000000,40.346,40.598,40.178,40.598,3784,0
LPP,D,20010618,000000,40.598,40.598,40.598,40.598,179,0
LPP,D,20010621,000000,39.761,39.761,39.761,39.761,238,0
LPP,D,20010622,000000,40.178,40.178,40.178,40.178,419,0
LPP,D,20010625,000000,40.261,40.261,40.178,40.178,238,0
LPP,D,20010626,000000,40.178,40.178,39.761,39.761,454,0
LPP,D,20010628,000000,41.017,41.017,40.178,40.513,717,0
LPP,D,20010629,000000,41.017,41.017,41.017,41.017,825,0
LPP,D,20010702,000000,40.261,40.261,40.261,40.261,458,0
LPP,D,20010703,000000,40.513,40.932,40.513,40.513,799,0
LPP,D,20010704,000000,40.598,40.764,40.598,40.68,836,0
LPP,D,20010705,000000,40.598,40.598,40.598,40.598,421,0
LPP,D,20010706,000000,40.848,41.017,40.848,41.017,514,0
LPP,D,20010709,000000,41.099,41.099,41.099,41.099,359,0
LPP,D,20010710,000000,41.017,41.099,41.017,41.017,574,0
LPP,D,20010711,000000,41.017,41.017,41.017,41.017,798,0
LPP,D,20010712,000000,41.017,41.183,41.017,41.183,1757,0
LPP,D,20010713,000000,41.017,41.017,41.017,41.017,58,0
LPP,D,20010716,000000,41.268,41.268,41.268,41.268,345,0
LPP,D,20010717,000000,41.099,41.268,41.099,41.268,932,0
LPP,D,20010718,000000,41.433,41.518,41.433,41.518,1028,0
LPP,D,20010719,000000,41.518,41.769,41.518,41.769,2928,0
LPP,D,20010720,000000,41.853,41.853,41.853,41.853,257,0
LPP,D,20010723,000000,42.689,42.856,42.689,42.856,460,0
LPP,D,20010724,000000,42.271,43.108,42.271,43.108,836,0
LPP,D,20010725,000000,43.526,43.526,43.526,43.526,58,0
LPP,D,20010727,000000,43.444,43.444,43.444,43.444,10,0
LPP,D,20010730,000000,43.108,43.526,43.108,43.526,503,0
LPP,D,20010731,000000,43.192,43.192,43.192,43.192,10,0
LPP,D,20010801,000000,43.192,43.192,43.192,43.192,10,0
LPP,D,20010802,000000,43.946,43.946,41.853,43.946,524,0
LPP,D,20010803,000000,43.526,43.946,43.526,43.946,227,0
