<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVC,D,20140411,000000,14.481,14.481,13.623,13.889,182196,0
LVC,D,20140414,000000,13.806,13.806,13.401,13.512,49341,0
LVC,D,20140415,000000,13.512,13.639,13.437,13.504,4410,0
LVC,D,20140416,000000,13.504,13.61,13.437,13.437,4339,0
LVC,D,20140417,000000,13.361,13.662,13.361,13.512,4732,0
LVC,D,20140422,000000,13.729,13.957,13.551,13.924,2879,0
LVC,D,20140423,000000,13.889,13.965,13.814,13.924,9349,0
LVC,D,20140424,000000,13.924,13.924,13.918,13.918,1212,0
LVC,D,20140425,000000,13.798,13.889,13.512,13.889,11765,0
LVC,D,20140428,000000,13.924,13.924,13.52,13.881,1089,0
LVC,D,20140429,000000,13.881,13.881,13.512,13.881,1946,0
LVC,D,20140430,000000,13.924,13.924,13.512,13.806,4167,0
LVC,D,20140502,000000,13.873,13.873,13.512,13.512,4780,0
LVC,D,20140505,000000,13.814,13.857,13.588,13.588,920,0
LVC,D,20140506,000000,13.588,13.739,13.512,13.588,1623,0
LVC,D,20140507,000000,13.512,13.52,13.347,13.468,8929,0
LVC,D,20140508,000000,13.468,13.475,13.442,13.442,2048,0
LVC,D,20140509,000000,13.451,13.451,13.286,13.286,960,0
LVC,D,20140512,000000,13.286,13.355,12.551,12.911,77346,0
LVC,D,20140513,000000,13.056,13.056,12.761,12.898,3368,0
LVC,D,20140514,000000,12.776,12.776,12.687,12.776,18549,0
LVC,D,20140515,000000,12.761,13.136,12.761,13.136,404,0
LVC,D,20140516,000000,13.129,13.136,12.761,13.129,3055,0
LVC,D,20140519,000000,13.098,13.098,13.098,13.098,10,0
LVC,D,20140520,000000,12.843,12.875,12.522,12.85,2016,0
LVC,D,20140521,000000,12.843,12.859,12.5,12.799,1035,0
LVC,D,20140522,000000,12.866,13.468,12.761,13.468,4246,0
LVC,D,20140523,000000,13.401,13.504,13.401,13.504,1347,0
LVC,D,20140526,000000,13.504,13.551,13.504,13.551,5,0
LVC,D,20140527,000000,13.512,13.512,13.325,13.496,890,0
LVC,D,20140528,000000,13.504,13.504,13.504,13.504,10,0
LVC,D,20140529,000000,13.361,13.361,13.212,13.286,577,0
LVC,D,20140530,000000,13.212,13.881,12.987,13.881,6725,0
LVC,D,20140602,000000,13.849,13.849,13.361,13.468,1537,0
LVC,D,20140603,000000,13.512,13.512,12.793,13.401,331,0
LVC,D,20140604,000000,12.911,13.401,12.911,13.361,946,0
LVC,D,20140605,000000,13.063,13.247,13.063,13.247,516,0
LVC,D,20140606,000000,13.361,13.7,13.226,13.226,15552,0
LVC,D,20140609,000000,13.468,13.775,13.136,13.775,5379,0
LVC,D,20140610,000000,13.865,13.873,13.739,13.739,3759,0
LVC,D,20140611,000000,13.739,13.739,13.512,13.685,1482,0
LVC,D,20140612,000000,13.685,13.685,13.662,13.679,419,0
LVC,D,20140613,000000,13.512,13.669,13.512,13.669,992,0
LVC,D,20140616,000000,13.662,13.662,13.212,13.617,1284,0
LVC,D,20140617,000000,13.669,13.669,13.376,13.662,2199,0
LVC,D,20140618,000000,13.654,13.7,13.654,13.662,595,0
LVC,D,20140620,000000,13.7,13.7,13.662,13.7,466,0
LVC,D,20140623,000000,13.662,13.662,13.662,13.662,45,0
LVC,D,20140624,000000,13.721,13.721,13.437,13.693,742,0
LVC,D,20140625,000000,13.718,13.718,13.662,13.662,587,0
LVC,D,20140626,000000,13.183,13.654,13.183,13.654,3334,0
LVC,D,20140627,000000,13.662,13.662,13.588,13.588,15,0
LVC,D,20140630,000000,13.647,13.647,13.368,13.512,582,0
LVC,D,20140701,000000,13.512,13.512,13.212,13.212,217,0
LVC,D,20140702,000000,13.401,13.437,13.024,13.437,4848,0
LVC,D,20140703,000000,13.437,13.437,13.437,13.437,10,0
LVC,D,20140704,000000,13.437,13.437,13.437,13.437,10,0
LVC,D,20140707,000000,13.437,13.437,13.431,13.431,2012,0
LVC,D,20140708,000000,13.437,13.437,13.361,13.416,2711,0
LVC,D,20140709,000000,13.416,13.416,13.063,13.407,1375,0
LVC,D,20140710,000000,13.407,13.407,13.024,13.383,3352,0
LVC,D,20140711,000000,13.383,13.383,13.063,13.286,1818,0
LVC,D,20140714,000000,12.994,13.339,12.994,13.339,1772,0
LVC,D,20140715,000000,13.339,13.339,13.041,13.247,858,0
LVC,D,20140716,000000,13.339,13.339,12.882,13.09,1374,0
LVC,D,20140717,000000,13.167,13.167,12.761,13.136,2325,0
LVC,D,20140718,000000,13.129,13.339,12.834,13.339,1478,0
LVC,D,20140721,000000,13.136,13.136,12.761,13.024,2441,0
LVC,D,20140722,000000,13.056,13.152,12.987,12.987,87,0
LVC,D,20140723,000000,12.911,12.987,12.911,12.987,298,0
LVC,D,20140724,000000,12.987,12.987,12.941,12.941,2415,0
LVC,D,20140725,000000,13.122,13.122,12.822,12.89,12275,0
LVC,D,20140728,000000,13.199,13.199,13.098,13.098,4001,0
LVC,D,20140729,000000,12.654,13.001,12.654,12.846,10992,0
LVC,D,20140730,000000,12.878,12.878,12.732,12.809,329,0
LVC,D,20140731,000000,12.794,12.794,12.639,12.794,3117,0
LVC,D,20140801,000000,12.846,12.846,12.272,12.83,5813,0
LVC,D,20140804,000000,12.732,12.959,12.732,12.916,5281,0
LVC,D,20140805,000000,13.039,13.039,12.424,12.424,1013,0
LVC,D,20140806,000000,12.462,12.462,12.272,12.272,6722,0
LVC,D,20140807,000000,12.263,12.263,11.504,12.011,22124,0
LVC,D,20140808,000000,12.011,12.011,11.045,11.658,12258,0
LVC,D,20140811,000000,11.803,11.803,11.65,11.658,2622,0
LVC,D,20140812,000000,11.841,11.841,11.504,11.65,110,0
LVC,D,20140813,000000,11.834,11.834,11.658,11.658,139,0
LVC,D,20140814,000000,11.841,11.841,11.314,11.658,452,0
LVC,D,20140818,000000,11.841,11.841,11.39,11.736,639,0
LVC,D,20140819,000000,11.728,11.728,11.504,11.658,943,0
LVC,D,20140820,000000,11.658,11.658,11.351,11.658,1396,0
LVC,D,20140821,000000,11.658,11.658,11.504,11.504,174,0
LVC,D,20140822,000000,11.544,11.658,11.544,11.658,730,0
LVC,D,20140825,000000,11.512,12.272,11.512,11.887,892,0
LVC,D,20140826,000000,11.887,11.887,11.544,11.65,71,0
LVC,D,20140827,000000,11.65,11.65,11.581,11.65,793,0
LVC,D,20140828,000000,11.65,11.65,11.504,11.504,13551,0
LVC,D,20140829,000000,11.504,11.504,11.166,11.351,17453,0
LVC,D,20140901,000000,11.504,11.504,10.89,11.497,15754,0
LVC,D,20140902,000000,11.504,11.504,11.123,11.497,4649,0
LVC,D,20140903,000000,11.198,12.272,11.198,12.272,2806,0
LVC,D,20140904,000000,12.272,12.349,11.973,12.341,3774,0
LVC,D,20140905,000000,12.349,12.349,11.811,11.811,1040,0
LVC,D,20140908,000000,11.887,11.887,11.504,11.88,1518,0
LVC,D,20140909,000000,11.88,11.88,11.428,11.504,184473,0
LVC,D,20140910,000000,11.619,11.619,11.504,11.563,184620,0
LVC,D,20140911,000000,12.256,12.256,11.736,11.773,2379,0
LVC,D,20140912,000000,11.849,12.187,11.849,12.187,53557,0
LVC,D,20140915,000000,12.263,12.692,12.195,12.432,27402,0
LVC,D,20140916,000000,12.424,12.74,12.424,12.732,45950,0
LVC,D,20140917,000000,12.746,13.415,12.746,13.055,33709,0
LVC,D,20140918,000000,13.26,13.422,13.055,13.422,34932,0
LVC,D,20140919,000000,13.72,13.72,13.684,13.684,593,0
LVC,D,20140922,000000,13.788,13.788,13.497,13.643,890,0
LVC,D,20140923,000000,13.651,13.912,13.643,13.806,4387,0
LVC,D,20140924,000000,13.806,13.806,13.727,13.806,7636,0
LVC,D,20140925,000000,13.806,13.806,13.291,13.806,5242,0
LVC,D,20140926,000000,13.437,13.806,13.43,13.806,4146,0
LVC,D,20140929,000000,13.806,14.035,13.727,14.027,11931,0
LVC,D,20140930,000000,14.027,14.035,13.576,14.035,21553,0
LVC,D,20141001,000000,14.035,14.035,13.819,14.035,20132,0
LVC,D,20141002,000000,14.035,14.035,13.951,14.02,52356,0
LVC,D,20141003,000000,14.035,14.035,13.745,13.75,65251,0
LVC,D,20141006,000000,13.727,14.142,13.727,14.142,24380,0
LVC,D,20141007,000000,14.15,14.15,13.866,14.111,32777,0
LVC,D,20141008,000000,14.15,14.15,13.835,14.111,41850,0
LVC,D,20141009,000000,14.15,14.15,14.111,14.111,16073,0
LVC,D,20141010,000000,14.15,14.189,14.111,14.111,17217,0
LVC,D,20141013,000000,14.15,14.282,14.15,14.264,15118,0
LVC,D,20141014,000000,14.229,14.264,14.074,14.074,41471,0
LVC,D,20141015,000000,14.15,14.15,13.806,13.967,503,0
LVC,D,20141016,000000,14.104,14.198,13.844,14.198,52854,0
LVC,D,20141017,000000,14.229,14.264,14.189,14.189,6060,0
LVC,D,20141020,000000,14.189,14.189,14.189,14.189,20,0
LVC,D,20141021,000000,14.189,14.189,14.189,14.189,13043,0
LVC,D,20141022,000000,14.258,14.258,14.189,14.189,13176,0
LVC,D,20141023,000000,14.189,14.189,14.189,14.189,13182,0
LVC,D,20141024,000000,14.189,14.189,13.96,14.189,2711,0
LVC,D,20141027,000000,14.258,14.258,14.18,14.18,139,0
LVC,D,20141028,000000,14.18,14.18,14.18,14.18,5,0
LVC,D,20141029,000000,14.18,14.18,14.18,14.18,3,0
LVC,D,20141030,000000,14.18,14.18,14.104,14.104,6,0
LVC,D,20141031,000000,14.171,14.171,13.806,13.806,6,0
LVC,D,20141103,000000,13.85,13.85,13.269,13.758,2370,0
LVC,D,20141104,000000,13.705,13.72,13.497,13.72,770,0
LVC,D,20141105,000000,13.806,14.573,13.758,13.814,5681,0
LVC,D,20141106,000000,13.835,13.92,13.835,13.92,64,0
LVC,D,20141107,000000,14.488,14.488,13.967,14.189,352,0
LVC,D,20141110,000000,14.448,14.455,14.411,14.411,3564,0
LVC,D,20141112,000000,14.434,14.879,14.381,14.718,56351,0
LVC,D,20141113,000000,14.687,15.3,14.687,15.223,2378,0
LVC,D,20141114,000000,15.223,15.223,14.801,15.223,1381,0
LVC,D,20141117,000000,15.185,15.185,14.801,15.132,144,0
LVC,D,20141118,000000,15.132,15.3,14.765,14.765,1749,0
LVC,D,20141119,000000,15.024,15.024,14.61,14.65,280,0
LVC,D,20141120,000000,14.565,14.565,14.049,14.396,230,0
