<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK,D,20070418,000000,8.6182,8.6182,6.8,6.9315,1688965,0
MAK,D,20070419,000000,6.9461,7.523,6.8657,7.3258,393907,0
MAK,D,20070420,000000,7.45,7.5519,7.2237,7.523,154199,0
MAK,D,20070423,000000,7.7423,7.7423,7.2312,7.311,63094,0
MAK,D,20070424,000000,7.2674,7.2674,7.1215,7.1576,28472,0
MAK,D,20070425,000000,7.1576,7.3771,7.0119,7.3696,39950,0
MAK,D,20070426,000000,7.3771,7.3771,7.1801,7.253,25265,0
MAK,D,20070427,000000,7.2312,7.3477,7.1433,7.3042,60729,0
MAK,D,20070430,000000,7.4868,7.5955,7.3846,7.523,53856,0
MAK,D,20070502,000000,7.523,7.5892,7.4577,7.4644,17904,0
MAK,D,20070504,000000,7.4577,7.6694,7.3771,7.6694,62201,0
MAK,D,20070507,000000,7.6694,7.6694,7.45,7.6105,34447,0
MAK,D,20070508,000000,7.5306,7.5306,7.3042,7.3042,36480,0
MAK,D,20070509,000000,7.3042,7.4065,7.253,7.3042,12436,0
MAK,D,20070510,000000,7.3771,7.3771,7.1576,7.2892,23363,0
MAK,D,20070511,000000,7.2892,7.2892,6.8365,7.2892,79043,0
MAK,D,20070514,000000,7.2968,7.3042,7.1576,7.2312,7534,0
MAK,D,20070515,000000,7.2598,7.3042,7.1576,7.2892,24222,0
MAK,D,20070516,000000,7.2968,7.2968,7.1576,7.2748,3590,0
MAK,D,20070517,000000,7.2019,7.2019,7.0265,7.085,22571,0
MAK,D,20070518,000000,7.1945,7.1945,6.9607,7.0119,7163,0
MAK,D,20070521,000000,7.0338,7.1215,7.0265,7.0265,9218,0
MAK,D,20070522,000000,7.0921,7.0921,6.9899,7.041,31302,0
MAK,D,20070523,000000,7.0338,7.0338,6.9826,7.0119,10951,0
MAK,D,20070524,000000,6.9387,7.0483,6.9242,7.0119,14726,0
MAK,D,20070525,000000,6.9826,7.2162,6.9826,7.2162,3558,0
MAK,D,20070528,000000,7.1945,7.4868,7.1945,7.4132,29549,0
MAK,D,20070529,000000,7.4132,7.4132,7.2674,7.3042,43292,0
MAK,D,20070530,000000,7.2312,7.3042,7.0338,7.3042,17537,0
MAK,D,20070531,000000,7.165,7.45,7.1215,7.4132,61252,0
MAK,D,20070601,000000,7.3042,7.4644,7.3042,7.3915,33450,0
MAK,D,20070604,000000,7.3042,7.5154,7.3042,7.4868,27626,0
MAK,D,20070605,000000,7.5599,7.5955,7.45,7.4868,17164,0
MAK,D,20070606,000000,7.523,7.7423,7.45,7.5813,67579,0
MAK,D,20070608,000000,7.4868,7.4868,7.3258,7.3621,31596,0
MAK,D,20070611,000000,7.3771,7.523,7.3771,7.4868,35452,0
MAK,D,20070612,000000,7.4868,7.4868,7.4357,7.45,72269,0
MAK,D,20070613,000000,7.5306,7.6033,7.4207,7.523,45031,0
MAK,D,20070614,000000,7.5599,7.5599,7.4868,7.523,26174,0
MAK,D,20070615,000000,7.5741,7.5741,7.3042,7.45,25770,0
MAK,D,20070618,000000,7.5087,7.5154,7.4207,7.45,53236,0
MAK,D,20070619,000000,7.45,7.9979,7.4207,7.9615,107061,0
