<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBR,D,20100629,000000,85.241,85.67,69.393,71.106,1317,0
MBR,D,20100630,000000,67.679,77.959,67.679,70.678,2369,0
MBR,D,20100701,000000,71.449,71.449,68.536,69.393,2700,0
MBR,D,20100702,000000,71.106,71.792,71.106,71.792,48,0
MBR,D,20100705,000000,71.106,71.106,71.106,71.106,15,0
MBR,D,20100706,000000,74.533,84.813,74.533,75.388,234,0
MBR,D,20100707,000000,74.961,98.515,74.961,98.515,741,0
MBR,D,20100708,000000,98.948,98.948,98.515,98.515,2584,0
MBR,D,20100713,000000,98.515,98.515,97.659,97.659,156,0
MBR,D,20100714,000000,98.515,98.515,98.515,98.515,35,0
MBR,D,20100716,000000,97.838,98.083,97.838,98.083,104,0
MBR,D,20100721,000000,85.67,97.659,83.528,97.659,14,0
MBR,D,20100722,000000,83.528,97.923,83.528,83.528,7,0
MBR,D,20100723,000000,94.067,94.067,83.528,83.528,12,0
MBR,D,20100726,000000,83.528,91.585,83.528,83.528,72,0
MBR,D,20100727,000000,83.956,83.956,83.956,83.956,57,0
MBR,D,20100729,000000,91.234,91.234,83.956,83.956,1536,0
MBR,D,20100730,000000,91.585,91.585,84.385,84.385,120,0
MBR,D,20100802,000000,84.385,91.495,84.385,84.813,507,0
MBR,D,20100803,000000,86.097,86.097,86.097,86.097,54,0
MBR,D,20100804,000000,91.585,91.585,86.526,86.526,32,0
MBR,D,20100805,000000,88.244,88.244,88.244,88.244,26,0
MBR,D,20100809,000000,88.244,88.244,88.244,88.244,5,0
MBR,D,20100811,000000,89.956,99.042,89.956,98.515,171,0
MBR,D,20100813,000000,84.813,96.804,83.956,89.956,692,0
MBR,D,20100816,000000,89.956,89.956,89.956,89.956,57,0
MBR,D,20100818,000000,94.237,94.237,94.237,94.237,2,0
MBR,D,20100823,000000,94.237,98.515,94.237,98.515,689,0
MBR,D,20100824,000000,98.515,98.515,98.515,98.515,119,0
MBR,D,20100830,000000,98.515,98.515,98.515,98.515,9,0
MBR,D,20100901,000000,98.515,98.609,98.083,98.515,235,0
MBR,D,20100902,000000,98.515,100.66,98.43,100.66,1053,0
MBR,D,20100903,000000,100.66,100.66,99.38,100.57,2042,0
MBR,D,20100906,000000,100.66,100.66,100.57,100.57,1722,0
MBR,D,20100907,000000,100.57,101.09,100.57,101.09,2151,0
MBR,D,20100908,000000,101.09,101.68,101.09,101.68,1682,0
MBR,D,20100909,000000,101.68,102.37,101.68,102.37,4311,0
MBR,D,20100910,000000,102.37,102.37,102.37,102.37,1411,0
MBR,D,20100913,000000,102.8,102.8,102.8,102.8,1004,0
MBR,D,20100914,000000,102.8,107.09,102.8,107.09,48,0
MBR,D,20100915,000000,110.78,110.78,110.78,110.78,35,0
MBR,D,20100916,000000,110.95,110.95,110.95,110.95,1,0
MBR,D,20100920,000000,110.51,110.51,110.51,110.51,17,0
MBR,D,20100922,000000,110.08,110.08,109.23,109.23,945,0
MBR,D,20100923,000000,109.23,109.23,109.23,109.23,1867,0
MBR,D,20100924,000000,107.09,107.95,106.23,107.09,1772,0
MBR,D,20100927,000000,110.51,110.51,110.51,110.51,676,0
MBR,D,20100928,000000,108.8,111.37,108.8,111.28,4258,0
MBR,D,20100929,000000,110.51,110.51,109.66,110.51,69,0
MBR,D,20100930,000000,111.37,111.37,110.51,111.37,5965,0
MBR,D,20101001,000000,111.63,111.63,111.54,111.63,5796,0
MBR,D,20101004,000000,111.63,111.63,111.63,111.63,3,0
MBR,D,20101005,000000,110.08,110.08,110.08,110.08,3,0
MBR,D,20101006,000000,111.71,112.66,111.71,112.66,2428,0
MBR,D,20101007,000000,112.92,113.08,112.66,112.66,9437,0
MBR,D,20101008,000000,107.95,112.73,107.09,112.73,5814,0
MBR,D,20101011,000000,113.42,114.02,112.22,114.02,6947,0
MBR,D,20101012,000000,114.37,114.97,114.37,114.97,2458,0
MBR,D,20101013,000000,116.25,119.26,116.25,118.99,2401,0
MBR,D,20101014,000000,119.08,119.85,115.83,119.26,480,0
MBR,D,20101015,000000,119.51,119.85,119.51,119.85,82,0
MBR,D,20101018,000000,115.66,119.51,114.8,115.66,271,0
MBR,D,20101019,000000,115.66,115.66,114.88,115.66,2109,0
MBR,D,20101020,000000,113.95,115.66,111.37,115.66,755,0
MBR,D,20101021,000000,115.66,117.27,115.66,117.27,451,0
MBR,D,20101022,000000,115.66,115.66,115.66,115.66,291,0
MBR,D,20101025,000000,119.08,119.08,117.37,117.37,53,0
MBR,D,20101026,000000,118.91,118.91,118.91,118.91,1,0
MBR,D,20101027,000000,119.08,119.08,115.66,115.66,36,0
MBR,D,20101028,000000,119.08,119.08,119.08,119.08,1,0
MBR,D,20101029,000000,117.8,117.8,113.95,117.8,52,0
MBR,D,20101102,000000,115.66,117.37,115.66,117.37,1515,0
MBR,D,20101103,000000,115.66,117.37,113.95,117.2,36,0
MBR,D,20101104,000000,113.08,117.71,113.08,117.71,6473,0
MBR,D,20101105,000000,115.66,117.71,115.22,117.71,94,0
MBR,D,20101108,000000,117.75,118.91,114.8,118.91,3590,0
MBR,D,20101109,000000,118.91,118.91,118.91,118.91,702,0
MBR,D,20101110,000000,118.62,118.99,115.66,118.99,609,0
MBR,D,20101112,000000,118.91,119.08,115.66,119.08,512,0
MBR,D,20101115,000000,119.08,119.08,119.08,119.08,3,0
MBR,D,20101116,000000,119.08,119.08,119.08,119.08,118,0
MBR,D,20101117,000000,119.08,119.08,119.08,119.08,120,0
MBR,D,20101118,000000,121.13,121.51,121.13,121.51,101,0
MBR,D,20101119,000000,120.79,121.22,120.79,121.22,127,0
MBR,D,20101123,000000,119.94,125.07,119.08,125.07,11801,0
MBR,D,20101124,000000,128.38,128.5,128.38,128.5,64,0
MBR,D,20101125,000000,138.79,138.79,138.79,138.79,1,0
MBR,D,20101126,000000,137.92,138.79,137.92,138.79,11673,0
MBR,D,20101129,000000,138.79,138.79,138.79,138.79,11673,0
MBR,D,20101130,000000,138.69,143.08,138.69,138.79,399,0
MBR,D,20101201,000000,138.79,138.79,138.79,138.79,6,0
MBR,D,20101202,000000,138.79,138.79,138.79,138.79,1,0
MBR,D,20101203,000000,138.79,138.79,138.79,138.79,1,0
MBR,D,20101207,000000,138.79,138.79,138.79,138.79,17,0
MBR,D,20101208,000000,138.79,138.79,138.79,138.79,1,0
MBR,D,20101209,000000,136.98,137.08,136.98,137.08,4,0
MBR,D,20101213,000000,128.5,136.98,128.5,136.98,14,0
MBR,D,20101214,000000,118.23,136.95,117.8,136.95,10,0
MBR,D,20101216,000000,136.16,136.16,136.16,136.16,1,0
MBR,D,20101217,000000,136.16,136.16,136.16,136.16,3,0
MBR,D,20101220,000000,136.13,136.13,136.13,136.13,2,0
MBR,D,20101221,000000,136.13,136.13,136.13,136.13,1,0
MBR,D,20101222,000000,136.05,136.05,119.09,136.05,473,0
MBR,D,20101223,000000,136.05,136.05,119.08,135.36,9,0
MBR,D,20101227,000000,128.5,135.32,128.5,135.32,60,0
MBR,D,20101228,000000,135.36,135.36,119.09,134.03,36,0
MBR,D,20101229,000000,133.64,133.98,133.64,133.98,74,0
MBR,D,20101230,000000,132.79,132.79,132.79,132.79,5,0
MBR,D,20101231,000000,132.79,132.79,132.79,132.79,5,0
MBR,D,20110103,000000,126.79,132.79,126.79,132.79,15,0
MBR,D,20110104,000000,132.79,132.79,132.79,132.79,1,0
MBR,D,20110105,000000,132.79,132.79,132.79,132.79,36,0
MBR,D,20110107,000000,128.5,131.93,127.65,131.93,58,0
MBR,D,20110110,000000,128.5,128.5,128.5,128.5,5,0
MBR,D,20110111,000000,128.5,128.5,128.5,128.5,1,0
MBR,D,20110112,000000,127.65,127.65,127.65,127.65,1,0
MBR,D,20110113,000000,117.37,124.14,113.08,123.71,263,0
MBR,D,20110114,000000,123.36,123.36,123.36,123.36,1,0
MBR,D,20110118,000000,122.93,122.93,122.93,122.93,4,0
MBR,D,20110119,000000,123.36,123.36,111.37,119.94,100,0
MBR,D,20110121,000000,111.37,119.51,111.37,119.08,64,0
MBR,D,20110124,000000,119.08,119.08,111.37,118.91,40,0
MBR,D,20110126,000000,118.66,118.66,118.66,118.66,5,0
MBR,D,20110127,000000,118.66,118.66,118.66,118.66,3,0
MBR,D,20110128,000000,118.66,118.66,118.66,118.66,2,0
MBR,D,20110131,000000,111.8,116.51,102.8,116.51,1772,0
MBR,D,20110201,000000,107.09,111.37,102.8,109.66,315,0
MBR,D,20110202,000000,107.95,111.37,107.95,111.37,268,0
MBR,D,20110203,000000,107.09,108.8,102.8,108.8,148,0
MBR,D,20110204,000000,102.96,108.8,102.8,108.8,103,0
MBR,D,20110210,000000,108.8,108.8,108.8,108.8,1,0
MBR,D,20110215,000000,107.95,110.51,107.95,110.51,44,0
MBR,D,20110216,000000,109.23,109.23,109.23,109.23,30,0
MBR,D,20110218,000000,107.95,107.95,107.95,107.95,58,0
MBR,D,20110221,000000,107.95,109.23,107.95,109.23,28,0
MBR,D,20110222,000000,109.23,110.51,109.23,110.51,152,0
MBR,D,20110223,000000,111.37,111.37,111.37,111.37,32,0
MBR,D,20110224,000000,111.37,111.37,111.37,111.37,1,0
MBR,D,20110225,000000,111.37,114.8,111.37,114.8,129,0
MBR,D,20110228,000000,114.8,114.8,114.8,114.8,11,0
MBR,D,20110301,000000,114.8,117.37,114.8,117.27,245,0
MBR,D,20110304,000000,117.27,117.27,117.27,117.27,1,0
MBR,D,20110308,000000,117.27,117.27,117.27,117.27,2,0
MBR,D,20110310,000000,116.51,116.51,116.51,116.51,11,0
MBR,D,20110311,000000,116.09,116.09,116.09,116.09,11,0
MBR,D,20110315,000000,114.8,114.8,114.8,114.8,5,0
MBR,D,20110316,000000,116.51,116.51,110.95,115.66,17,0
MBR,D,20110317,000000,115.66,115.66,115.66,115.66,5,0
MBR,D,20110318,000000,115.66,115.66,115.66,115.66,5,0
MBR,D,20110321,000000,115.66,116.51,115.66,116.51,57,0
MBR,D,20110322,000000,116.51,116.51,116.51,116.51,20,0
MBR,D,20110324,000000,116.51,116.94,116.51,116.94,118,0
MBR,D,20110325,000000,116.85,116.94,116.85,116.94,35,0
MBR,D,20110328,000000,116.51,116.51,116.51,116.51,24,0
MBR,D,20110329,000000,114.8,114.8,114.8,114.8,118,0
MBR,D,20110331,000000,115.66,115.66,115.66,115.66,19,0
MBR,D,20110408,000000,111.37,115.66,111.37,115.66,35,0
MBR,D,20110411,000000,115.66,115.66,115.66,115.66,1,0
MBR,D,20110412,000000,114.8,114.8,114.8,114.8,2,0
MBR,D,20110413,000000,114.8,114.8,114.8,114.8,1,0
MBR,D,20110414,000000,107.09,114.8,107.09,114.8,61,0
MBR,D,20110415,000000,114.8,114.8,114.8,114.8,11,0
MBR,D,20110418,000000,114.8,114.8,114.8,114.8,3,0
MBR,D,20110419,000000,107.09,114.8,107.09,114.8,350,0
MBR,D,20110420,000000,106.23,115.66,106.23,115.66,341,0
MBR,D,20110421,000000,111.37,114.8,111.37,114.8,332,0
MBR,D,20110427,000000,106.23,114.71,104.51,114.71,559,0
MBR,D,20110428,000000,112.22,112.22,112.22,112.22,2,0
MBR,D,20110429,000000,106.23,114.8,103.66,114.8,610,0
MBR,D,20110502,000000,113.95,114.8,105.84,114.8,240,0
MBR,D,20110505,000000,106.66,110.85,106.66,110.85,72,0
MBR,D,20110506,000000,105.8,111.37,105.38,111.37,178,0
MBR,D,20110509,000000,106.23,110.43,105.89,110.43,190,0
MBR,D,20110510,000000,109.66,109.66,109.66,109.66,30,0
MBR,D,20110511,000000,105.38,107.95,103.66,107.95,61,0
MBR,D,20110512,000000,102.8,107.95,102.8,107.95,14,0
MBR,D,20110516,000000,107.51,108.37,107.51,108.37,48,0
MBR,D,20110517,000000,102.8,108.37,102.8,108.37,760,0
MBR,D,20110518,000000,103.24,108.37,103.24,108.37,151,0
MBR,D,20110519,000000,103.24,111.37,101.19,111.37,236,0
MBR,D,20110523,000000,104.95,109.66,103.24,109.66,249,0
MBR,D,20110525,000000,104.51,109.57,102.8,109.57,1323,0
MBR,D,20110526,000000,104.08,107,102.8,107,537,0
MBR,D,20110527,000000,103.24,107,102.9,107,129,0
MBR,D,20110530,000000,103.24,106.57,102.9,106.57,73,0
MBR,D,20110531,000000,102.8,107,102.8,107,455,0
MBR,D,20110601,000000,108.37,113.85,105.38,113.85,4734,0
MBR,D,20110602,000000,119.15,119.15,109.66,115.66,5873,0
MBR,D,20110603,000000,115.66,115.66,107.95,115.66,139,0
MBR,D,20110606,000000,115.66,115.66,109.66,113.95,6750,0
MBR,D,20110609,000000,109.66,113.95,109.66,113.95,36,0
MBR,D,20110610,000000,113.78,113.78,113.78,113.78,5,0
MBR,D,20110613,000000,113.68,113.78,113.68,113.78,6,0
MBR,D,20110614,000000,109.66,113.08,103.66,113.08,234,0
MBR,D,20110615,000000,107.09,111.37,103.74,111.37,230,0
MBR,D,20110617,000000,113.68,113.68,113.68,113.68,53,0
MBR,D,20110620,000000,113.6,113.6,113.6,113.6,1,0
MBR,D,20110622,000000,108.37,113.68,108.37,113.68,32,0
MBR,D,20110624,000000,110.95,113.68,109.66,113.68,18,0
MBR,D,20110627,000000,113.68,113.68,108.37,113.51,7,0
MBR,D,20110629,000000,113.08,113.08,113.08,113.08,1,0
MBR,D,20110630,000000,113.08,113.08,113.08,113.08,1,0
MBR,D,20110701,000000,113.08,113.08,113.08,113.08,1,0
MBR,D,20110704,000000,113.08,113.08,113.08,113.08,1,0
MBR,D,20110705,000000,113.08,113.08,113.08,113.08,1,0
MBR,D,20110706,000000,107.95,113.08,107.95,113.08,31,0
MBR,D,20110707,000000,113.08,113.08,113.08,113.08,1,0
MBR,D,20110708,000000,107.95,111.37,107.95,111.37,24,0
MBR,D,20110712,000000,108.37,110.95,108.37,110.95,39,0
MBR,D,20110713,000000,113.08,113.08,113.08,113.08,1,0
MBR,D,20110718,000000,111.71,111.71,111.71,111.71,11,0
MBR,D,20110719,000000,113,113,113,113,1,0
MBR,D,20110720,000000,111.8,113,106.66,113,166,0
MBR,D,20110725,000000,113,113,113,113,12,0
MBR,D,20110726,000000,113,113,113,113,1,0
MBR,D,20110728,000000,113,113,106.51,112.66,153,0
MBR,D,20110729,000000,108.37,112.66,108.37,112.66,3,0
MBR,D,20110802,000000,111.28,111.28,111.28,111.28,5,0
MBR,D,20110803,000000,111.37,111.37,108.37,108.37,21,0
MBR,D,20110804,000000,110.08,110.08,104.51,106.66,27,0
MBR,D,20110805,000000,101.09,105.8,99.38,105.8,32,0
MBR,D,20110808,000000,101.09,104.51,90.811,104.51,1462,0
MBR,D,20110809,000000,99.38,102.8,99.38,102.8,19,0
MBR,D,20110810,000000,98.515,98.515,98.515,98.515,26,0
MBR,D,20110811,000000,95.948,95.948,85.67,91.666,128,0
MBR,D,20110812,000000,86.526,98.515,85.67,97.659,54,0
MBR,D,20110816,000000,85.67,98.515,85.67,92.522,304,0
MBR,D,20110817,000000,97.659,97.659,97.659,97.659,1,0
MBR,D,20110818,000000,89.956,89.956,89.956,89.956,5,0
MBR,D,20110819,000000,89.095,94.237,89.095,94.237,9,0
MBR,D,20110822,000000,95.948,95.948,95.948,95.948,14,0
MBR,D,20110823,000000,94.152,94.152,94.152,94.152,11,0
MBR,D,20110824,000000,95.948,95.948,95.948,95.948,2,0
MBR,D,20110825,000000,95.948,95.948,95.948,95.948,1,0
MBR,D,20110826,000000,95.948,95.948,95.948,95.948,2,0
MBR,D,20110829,000000,97.659,97.659,97.659,97.659,2,0
MBR,D,20110831,000000,97.236,98.515,97.236,98.515,71,0
MBR,D,20110901,000000,97.659,99.38,97.659,99.38,120,0
MBR,D,20110905,000000,99.38,99.38,99.38,99.38,1,0
MBR,D,20110906,000000,99.38,99.38,99.38,99.38,2,0
MBR,D,20110907,000000,99.38,99.38,99.38,99.38,4,0
MBR,D,20110908,000000,99.38,99.38,99.38,99.38,2,0
MBR,D,20110909,000000,94.237,94.237,94.237,94.237,11,0
MBR,D,20110912,000000,89.095,89.095,89.095,89.095,11,0
MBR,D,20110913,000000,92.522,95.863,92.522,95.863,28,0
MBR,D,20110914,000000,89.095,95.948,77.103,95.948,127,0
MBR,D,20110915,000000,90.811,95.102,90.811,95.102,26,0
MBR,D,20110916,000000,95.948,95.948,90.811,90.811,12,0
MBR,D,20110919,000000,92.522,92.522,92.522,92.522,1,0
MBR,D,20110920,000000,92.522,95.948,92.522,95.948,26,0
MBR,D,20110921,000000,95.948,95.948,95.948,95.948,1,0
MBR,D,20110922,000000,98.515,98.515,98.515,98.515,2,0
MBR,D,20110923,000000,92.522,92.522,92.522,92.522,11,0
MBR,D,20110926,000000,94.237,94.237,88.244,94.237,107,0
MBR,D,20110927,000000,94.237,94.237,94.237,94.237,3,0
MBR,D,20110928,000000,94.237,94.237,94.237,94.237,2,0
MBR,D,20110929,000000,94.237,94.237,94.237,94.237,3,0
MBR,D,20110930,000000,94.237,94.237,94.237,94.237,2,0
MBR,D,20111003,000000,94.237,94.237,94.237,94.237,3,0
MBR,D,20111004,000000,94.237,94.237,92.522,92.522,14,0
MBR,D,20111005,000000,94.237,94.237,94.237,94.237,3,0
MBR,D,20111006,000000,94.067,94.067,94.067,94.067,28,0
MBR,D,20111007,000000,94.152,94.152,94.152,94.152,2,0
MBR,D,20111010,000000,93.814,93.814,93.814,93.814,3,0
MBR,D,20111011,000000,93.814,93.814,93.814,93.814,3,0
MBR,D,20111012,000000,93.814,94.237,93.814,94.237,11,0
MBR,D,20111013,000000,94.237,94.237,94.237,94.237,4,0
MBR,D,20111014,000000,93.983,93.983,93.983,93.983,7,0
MBR,D,20111017,000000,94.237,94.237,94.237,94.237,6,0
MBR,D,20111018,000000,94.237,94.237,94.237,94.237,11,0
MBR,D,20111019,000000,94.237,94.237,94.237,94.237,118,0
MBR,D,20111020,000000,93.983,93.983,93.983,93.983,4,0
MBR,D,20111021,000000,95.102,95.102,95.102,95.102,5,0
MBR,D,20111024,000000,95.102,95.102,95.102,95.102,5,0
MBR,D,20111025,000000,95.102,95.102,95.102,95.102,4,0
MBR,D,20111026,000000,95.102,95.102,95.102,95.102,3,0
MBR,D,20111027,000000,95.102,95.102,95.102,95.102,3,0
MBR,D,20111028,000000,95.102,95.102,95.102,95.102,4,0
MBR,D,20111031,000000,95.102,98.43,95.102,98.43,39,0
MBR,D,20111103,000000,98.43,98.515,98.43,98.515,6,0
MBR,D,20111104,000000,98.43,98.43,98.43,98.43,2,0
MBR,D,20111107,000000,98.43,98.43,98.43,98.43,2,0
MBR,D,20111108,000000,98.43,98.43,98.43,98.43,2,0
MBR,D,20111109,000000,95.102,95.102,95.102,95.102,30,0
MBR,D,20111110,000000,95.008,95.102,95.008,95.102,3,0
MBR,D,20111114,000000,95.102,95.102,95.102,95.102,2,0
MBR,D,20111115,000000,95.102,95.102,95.102,95.102,2,0
MBR,D,20111128,000000,91.666,95.102,90.892,95.102,94,0
MBR,D,20111129,000000,95.102,95.102,95.102,95.102,35,0
MBR,D,20111130,000000,95.102,95.102,95.102,95.102,2,0
MBR,D,20111208,000000,90.892,94.237,90.811,94.237,731,0
MBR,D,20111209,000000,88.244,94.237,88.244,91.666,233,0
MBR,D,20111212,000000,86.954,94.237,86.526,94.237,118,0
MBR,D,20111213,000000,89.956,89.956,85.67,88.235,455,0
MBR,D,20111214,000000,88.235,88.235,83.956,88.235,462,0
MBR,D,20111219,000000,86.526,86.526,82.672,86.526,2756,0
MBR,D,20111222,000000,82.672,83.101,82.672,83.101,91,0
MBR,D,20111223,000000,80.53,80.53,80.53,80.53,31,0
MBR,D,20111227,000000,82.243,82.243,82.243,82.243,5,0
MBR,D,20120103,000000,82.672,82.672,82.672,82.672,31,0
MBR,D,20120105,000000,84.385,84.385,84.385,84.385,31,0
MBR,D,20120112,000000,83.142,83.142,83.101,83.101,81,0
MBR,D,20120113,000000,83.948,83.948,83.948,83.948,3,0
MBR,D,20120119,000000,83.913,83.913,83.913,83.913,11,0
MBR,D,20120125,000000,80.615,80.615,80.101,80.101,36,0
MBR,D,20120126,000000,81.387,83.948,81.387,83.948,64,0
MBR,D,20120130,000000,79.673,79.673,79.673,79.673,3,0
MBR,D,20120131,000000,83.656,83.948,83.656,83.948,57,0
MBR,D,20120213,000000,83.948,83.948,83.948,83.948,233,0
MBR,D,20120215,000000,80.016,80.016,80.016,80.016,11,0
MBR,D,20120217,000000,83.956,85.67,83.956,85.67,83,0
MBR,D,20120222,000000,84.813,84.813,84.813,84.813,31,0
MBR,D,20120229,000000,84.556,84.813,84.556,84.813,57,0
MBR,D,20120301,000000,84.813,84.813,84.813,84.813,118,0
MBR,D,20120302,000000,88.665,88.665,88.665,88.665,57,0
MBR,D,20120307,000000,84.385,85.584,84.385,85.584,280,0
MBR,D,20120313,000000,84.556,84.813,84.556,84.813,280,0
MBR,D,20120314,000000,86.097,86.097,86.097,86.097,57,0
MBR,D,20120315,000000,86.013,86.097,86.013,86.097,2,0
MBR,D,20120322,000000,86.27,86.27,86.27,86.27,57,0
MBR,D,20120329,000000,85.584,85.584,85.584,85.584,233,0
MBR,D,20120330,000000,86.013,86.013,86.013,86.013,175,0
MBR,D,20120402,000000,85.67,85.67,85.67,85.67,222,0
MBR,D,20120403,000000,86.097,86.097,86.097,86.097,233,0
MBR,D,20120416,000000,84.556,84.813,84.556,84.813,57,0
MBR,D,20120425,000000,84.813,84.813,84.813,84.813,2,0
MBR,D,20120427,000000,84.813,84.813,84.813,84.813,4,0
MBR,D,20120430,000000,84.813,84.813,84.813,84.813,118,0
MBR,D,20120507,000000,80.958,80.958,80.958,80.958,4,0
MBR,D,20120508,000000,84.771,84.771,84.771,84.771,1,0
MBR,D,20120509,000000,80.958,84.813,80.915,84.813,269,0
MBR,D,20120518,000000,80.958,80.958,76.246,80.958,320,0
MBR,D,20120521,000000,75.561,75.561,71.963,75.561,383,0
MBR,D,20120522,000000,71.963,71.963,68.364,68.364,1215,0
MBR,D,20120523,000000,68.193,68.193,65.108,65.108,128,0
