<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEG,D,20110225,000000,15.446,16.135,15.395,15.733,62356,0
MEG,D,20110228,000000,15.684,15.701,15.101,15.386,10337,0
MEG,D,20110301,000000,15.042,15.232,14.699,14.699,5299,0
MEG,D,20110302,000000,14.643,14.643,14.251,14.297,4817,0
MEG,D,20110303,000000,14.297,14.814,13.792,14.699,3389,0
MEG,D,20110304,000000,14.643,15.389,14.643,15.272,2354,0
MEG,D,20110307,000000,14.93,14.93,14.367,14.86,2705,0
MEG,D,20110308,000000,14.47,14.643,14.24,14.355,4548,0
MEG,D,20110309,000000,14.355,14.413,14.124,14.132,861,0
MEG,D,20110310,000000,14.074,14.93,14.074,14.727,6843,0
MEG,D,20110311,000000,14.244,14.244,14.212,14.24,1030,0
MEG,D,20110314,000000,14.181,14.63,14.181,14.212,1365,0
MEG,D,20110315,000000,14.24,14.355,14.24,14.24,5680,0
MEG,D,20110316,000000,14.269,14.636,14.153,14.188,548,0
MEG,D,20110317,000000,14.185,14.564,14.158,14.564,250,0
MEG,D,20110318,000000,14.643,14.93,14.074,14.93,2224,0
MEG,D,20110321,000000,14.216,14.923,14.216,14.643,296,0
MEG,D,20110322,000000,14.234,14.93,14.234,14.36,469,0
MEG,D,20110323,000000,14.36,14.643,14.36,14.442,416,0
MEG,D,20110324,000000,14.36,14.699,14.36,14.413,685,0
MEG,D,20110325,000000,14.423,14.498,14.36,14.498,1343,0
MEG,D,20110328,000000,14.47,14.498,14.355,14.355,1215,0
MEG,D,20110329,000000,14.498,14.498,14.355,14.413,313,0
MEG,D,20110330,000000,14.24,14.47,14.24,14.47,70,0
MEG,D,20110331,000000,14.269,14.389,14.269,14.353,479,0
MEG,D,20110401,000000,14.527,14.918,14.527,14.643,1985,0
MEG,D,20110404,000000,14.643,15.158,14.643,14.643,1654,0
MEG,D,20110405,000000,14.652,15.331,14.652,15.215,4694,0
MEG,D,20110406,000000,14.986,14.986,14.671,14.671,533,0
MEG,D,20110407,000000,14.677,14.757,14.659,14.757,390,0
MEG,D,20110408,000000,14.699,14.757,14.584,14.643,567,0
MEG,D,20110411,000000,14.643,14.918,14.591,14.912,609,0
MEG,D,20110412,000000,14.671,14.671,14.563,14.563,455,0
MEG,D,20110413,000000,14.671,14.699,14.671,14.671,104,0
MEG,D,20110414,000000,14.39,14.671,14.39,14.643,281,0
MEG,D,20110415,000000,14.643,14.757,14.643,14.699,501,0
MEG,D,20110418,000000,14.699,14.699,14.613,14.613,1120,0
MEG,D,20110419,000000,14.442,14.872,14.355,14.757,1989,0
MEG,D,20110420,000000,14.234,14.584,14.234,14.584,52,0
MEG,D,20110421,000000,14.413,14.699,14.355,14.584,1339,0
MEG,D,20110426,000000,14.413,14.866,14.413,14.866,336,0
MEG,D,20110427,000000,14.413,14.866,14.413,14.584,4294,0
MEG,D,20110428,000000,14.498,14.643,14.498,14.613,249,0
MEG,D,20110429,000000,14.855,14.855,14.629,14.641,1030,0
MEG,D,20110502,000000,14.643,14.643,14.643,14.643,194,0
MEG,D,20110504,000000,14.671,14.853,14.643,14.643,493,0
